ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u1	Madam President, I refer to my written question.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u2	Mrs Samyn, poverty experts are indeed discussing basic income, but, as you know, this is not included in the government agreement. Within the PPS Social Integration, I know that there are no studies on the subject and there are no plans to carry out one. The financial consequences of such a measure that is not planned have not been calculated.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u3	Madam Minister, as poverty is only difficult to reduce, it is important to look at the problem from a different angle and to change it. Unfortunately, during the discussion of the government statement, we had to establish that the pen is being held by the ultraliberals. At least that's what our party thinks. The unreasonable RSZ favor regime has not been completely abolished. Something should be done about top wages, at least as far as the RSZ contribution is concerned. The deductibility of the second house also remained unchanged, while many people could not even afford a first home. Madam Secretary, I am counting on an extra effort. With all these small measures, we will not be able to alleviate the worst need and help the people in need.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u4	Madam President, I refer to my written question.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u5	Mrs Samyn, of course I share citizens' concerns. It's in my DNA. That's why I went into politics. However, it is also important for me to look back at the basic philosophy. Workers build up social security through their work. At the time when a social risk occurs, social security provides much-needed protection. Old age is such a social risk, as is sickness or unemployment. The basic principle in social security is that social benefits cannot be combined. Whoever works has a paycheck. If you are ill, you have a sickness benefit. If you are looking for work, you will receive unemployment benefit. If you're retired, you have a pension. In this way, a citizen is protected at any time of his or her life. That's our social security. There are exceptions where working income can be combined or not limited with a social benefit. This must not result in social benefits being combined. I am in favour of good wages and worthy social benefits. As a politician, I find it unfair that someone should be dependent on another income on the social benefit they receive. Anyone who continues to work after retirement also, of course, builds up pension rights. An employee is not obliged to take up his pension. Since 2015, it is possible to retain the pension in addition to a professional income, if the employee concerned has 45 career years or is 65-pluser. This is already a very broad exception to the basic principles of labour income and replacement income. Mrs Samyn, I have included all the figures in my answer. Can I give you the numbers? Then I won't read them to you.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u6	Will these figures be added to the report?
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u7	Sure.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u8	Madam Minister, the basic pension or the first pillar is, as you know, an unreasonablely low level for many people. Many are forced to continue working because they won't make it to the end of the month. There are also people who still want to take up a pension, but at the same time want to keep working to have a bonus. They are now punished twice. This inequality needs to be addressed. I heard last weekend that you are working on the pension reform which I hope will be put on the agenda this year. We hope that the concerns of a large number of pensioners who continue to work will be taken into account, but will still be subject to tax or who become ill and are not entitled to benefits. I understand the principle of not combining two benefits, but we still need to think about that. We are talking about a larger group than we can imagine.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u9	For information, we cannot add the table to the report, but we will send it to you through the committee.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u10	Madam President, Mrs Samyn, the regulation of energy prices and the reduction of the impact of price increases on the consumer invoice are the powers of the Minister for Energy. I therefore invite you to ask this question to my colleague, Mrs van der Straeten. As Minister responsible for the fight against poverty, I am aware that we must intervene before the situation becomes dramatic. In order to mitigate the effects of rising energy costs, I, together with the Minister for Energy, advocated the indexation of the Gas and Electricity Fund for 2022 and a refinancing of EUR 16 million. In the 20 years that the fund exists, it has never been refinanced before. This additional budget will make it possible to significantly reduce citizens' energy bills with payment problems. In addition to these support measures, I would like to consider, together with my colleague responsible for energy, better coordination and strengthening of the various social energy funds, for example by progressively harmonising the provisions to ensure the same social rights for all consumers, regardless of which energy source they use.
ParlaMint-BE_2021-10-20-definitief-55-commissie-ic609x.u11	Madam Secretary, I will also put the question to your colleague. You may not blame us, but we believe that the measures taken in this area are no more and no less than patch-up work. Moreover, the extension of the social tariff will create an additional problem. Many who are in energy poverty will now be in the system for more than a year, so they cannot cancel their own energy contract that was put on hold. Hopefully, after next year's winter, the mad rise in energy prices will come to an end. In principle, therefore, it is advisable to look for the best provider, but these people will not be able to do so and will remain in a number of cases with an expensive contract. So I fear the financial impact on the poorest and most vulnerable group in our society.
