ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u1	We'll start work again.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u2	Madam President, a comment was made this morning on the Covid Safe Ticket for young people. I did not respond to that, but I would like to give you precise information on this. It is important that children and young people know that the Covid Safe Ticket is also useful for them and how to do it. This morning, a member of the committee wondered how to ask children for a Covid Safe Ticket when they visit their grandparents in a residential care center. This can be perfect. Young people from 12 years of age are perfectly capable of downloading and using the CovidSafeBE app. This is not always easy for young people, because they need to be able to handle the authentication for the application. For young people, however, there is another option: they can download the necessary certificates via their parents' application and forward them to their smartphone. Then it's on there, too. A third option is to print the Covid Safe Ticket on paper and put it in your pocket. If young people have questions about this, they can look at the "frequently asked questions" section on the covidsafe.be website, for questions 28 to 30. It explains how children and young people can use the Covid Safe Ticket, even when they are out without their parents. It is argued that it might be a good idea for young people and children to use the Covid Safe Ticket only if they visit their grandparents in a rest home. It's a misunderstanding they can't. The frequently asked questions 28 to 30 on the covidsafe.be website explain how it is perfectly possible for children and young people to use the Covid Safe Ticket independently.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u3	Thank you for this supplement. I'd like to correct something myself. I hadn't seen Mrs. Depoorter's Zoom Hand this morning. I want to give her the floor now, but apparently she's not here yet via Zoom.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u4	Mrs Depoorter has informed us that she is unable to attend until 2 p.m. She had another meeting about noon.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u5	Then I suggest we start with the next topical debate.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u6	Madam President, Minister, we are now having a topical debate on the emergence of different variants. I've been talking about this for a while. You didn't talk about it at the time, but the question is the same. The delta variant is now really dominant in our country and is much more contagious than the other variants of the coronavirus. Microbiologist Emmanuel André strives instead of going back two days, to go back seven days when asking about the different contacts a person has had. The whole idea of the performance of our tracing policy, which is still not in order, and I have already mentioned this this morning,...... indicates the following. When we look at the most recent bulletin, we notice that good 8,000 people are a high risk contact. We see that only 6,000 of them carry out a test. These tests show a very high positivity ratio. Immers, 17% positief test. It is therefore clear that tracing remains very important. My question is as follows. Do we adapt the tracing strategy according to the virological behaviour of the different variants? Has Mr Emmanuel André's proposal been discussed? My question dates back to the time when he announced to the public why he believed that the tracing strategy should change. What happened to the advice? Has the opinion been discussed at the RAG?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u7	I have no questions, Madam President.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u8	Mrs Gijbels wishes to speak.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u9	The vaccines would protect slightly less against the delta variant than against the alpha variant on which most vaccines were initially focused. What are the consequences for the Covid Safe Pass? It is assumed that two shots are sufficient to be safe, but one is stuck with the delta variant. Wouldn't it be more useful to stick to wearing a mouth mask and keep your distance instead of relying on the Covid Safe Pass, for example when young people visit elderly people in a vulnerable environment, such as a rest home? Secondly, this variant would spread faster and be more contagious, especially for the non-vaccinated population. What is its impact on natural immunity? Is that taken into account? I find very little data on this. We do have data on the care staff and blood donors, but very little is looked at in the general population. I wonder what impact this has on policy. Finally, what exactly does the delta variant affect the vaccination rate to be achieved? Can you explain how this has been achieved? Is it indeed greater than was originally suggested?
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u10	Madam President, I shall first respond to the questions raised by Mrs Rohonyi, among others. I will then return to the questions raised by Mrs Merckx and the other members. The delta variant, as we know, has become dominant in Belgium and the rest of Europe. Virtually all infections are now delta infections. It is therefore no longer necessary to detect this variant. Genomic monitoring is currently focused primarily on early detection of potential new variants. We are not aware of a different symptomatology for covid-19 infections by the delta variant, and in any case, there is still no scientific publication on this subject. On the other hand, studies have been conducted on possible differences in symptoms for this infection between vaccinated and unvaccinated individuals. There are some differences, as the symptoms are lighter in vaccinated people. Efforts are being made to improve genomic surveillance in order to better link serious diseases or deaths to different variants. On the other hand, we know, through studies in other countries, that the delta variant carries a higher risk of hospitalization. Furthermore, we know that currently 99.5% of all covid cases in Belgium are caused by the delta variant, and therefore deaths and covid hospitalizations can currently be attributed to this variant. In data from the United Kingdom, the number of complications in pregnant women was indeed higher in recent months than in previous data. Given that with the delta variant the evolution of the disease is more serious in general, it is expected that this increased severity will also occur in pregnant women. In addition, it is possible that more women may have been in contact with the virus due to the relaxation of measures. Given the risks associated with covid-19 during pregnancy, pregnant women had been identified in April as a priority group for vaccination by the Higher Health Council. This information had been made widely available. Ms. Rohonyi, the number of hospitalizations due to contamination increased from 7 in 100 (November and December 2020) to 2.5 in 100 (August 2021). This is therefore a significant decrease. We have information on the age and vaccination status of people who have been infected, but not yet on co-morbidities. This information is contained in the weekly epidemiological report of Sciensano in points 3.1 and 3.5.2. A higher incidence of new contamination is observed in young people (10-19 years and 20-39 years). In addition, the incidence of contamination is also higher in unvaccinated individuals (265 cases per 100,000 in the last week) than in fully vaccinated individuals (only 44 cases per 100,000 in the last week). When we compare these two figures, we see a very significant report. This really needs to be explained to the population. This is not zero contamination, but it is much less common among those who have been vaccinated. You will find all this information on the profile of hospitalized patients in a document on the Sciensano website. These clinical data were shared with external medical and scientific partners: the Public Health FPS, the Federal Centre of Expertise in Health Care (KCE), the Belgian Intensive Care Society, the University of Hasselt, the University Hospital of Leuven, the University Hospital of Ghent, the Belgian Society of Hematology, the Belgian Society of Medical Oncology, the Institute of Tropical Medicine, the Catholic University of Leuven, etc. A wide sharing of these data is therefore taking place. Moreover, a request for data can always be made on the Sciensano site. Mrs. Rohonyi, you also had some questions about the indications for treatment with tocilizumab and baricitinib, in addition to dexamethasone. They are still being evaluated by the European Medicines Agency. A Royal Order was drafted to administer monoclonal antibodies to patients who are at high risk of clinical deterioration less than 10 days after the onset of covid-19 symptoms and after multidisciplinary consultation between the hospital physician, the infectious physician and the immunologist. Sciensano publishes monthly updates and guidelines on the basis of the latest evidence, including the degree of evidence. Dexamethasone is routinely administered to hypoxia patients in all hospitals. Tocilizumab is given on a case-by-case basis after assessing the benefits and disadvantages of treatment for the patient in question. I refer again to the guidelines. Treatment guidelines for hospitalized covid-19 patients are updated monthly. You will also find them on the Sciensano website. Mrs Merckx, you referred to statements by Emmanuel André, who is also a very important scientific source for me. He said that one should actually go back seven days in time. The question is whether our investigation policy is up to that challenge. Based on the agreement concluded by the RIZIV with the National Reference Centre and the reference laboratories, 5 to 10% of positive samples for genome sequencing are collected from a number of cooperating clinical labs, with additional samples in case of risk travel, cluster outbreaks or other indications for possible new variants. From the NRC and the RAG, all evolutions at world level are also closely monitored. We are following the strategy recommended by the European Union. Emmanuel André's proposal has indeed been discussed and it has also given rise to proposals from the inter-federal committee on adjustments to the backward tracing strategy, which were adopted by the Inter-Ministerial Conference. We will maintain our search strategy and strengthen its enforcement. This is an entire chain, which begins, for example, when the PLF is completed, when it is controlled by carriers at the border, when an invitation to test is sent out in time, when it is followed up and when the quarantine is respected. For example, the last Consultation Committee decided to carry out a second test on day 7 in situations where day 1 testing is carried out without any further quarantine obligation. Next day we will also proceed with the removal of the PLF on paper, as the processing of the paper PLF takes much more time than is desirable for a proper follow-up. Chairman: Thierry Warmoes.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u11	Minister, you say that Emmanuel André's proposal was discussed by the RAG, but your answer is not really clear. In practice, however, the strategy has not yet changed.
ParlaMint-BE_2021-09-14-definitief-55-commissie-ic567x.u12	I doubt a little about going back to seven days in time. If we ask for a second test to be carried out on day 7, the logic is to ask people to think about all their contacts if they are infected abroad or after high risk contact. In my opinion, the formal directive is still going back two days. I believe, however, that the assumption is that one goes back further if one is tested on day 7. You will find that I have a little doubt now too, so I will ask you to do so and I hope to give you a clearer answer in the course of this afternoon.
