ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u1	Mrs Rohonyi, you asked three questions on the same subject.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u2	Yes, Mr. Chairman, but I will make sure that they are summarized in one question. They had to be updated based on Saturday events and subsequent announcements. Madam Minister, in the Committee on the Interior, at a previous meeting, you wanted to be reassuring about the organisation of Boum 2, this May 1st, at Bois de la Cambre. You announced that there was a consultation with Brussels local and regional authorities, but also that targeted communication on social networks would be put in place to deter participants. In the plenary session on 29 April, you also announced the presence, on the front line, of 50 stewards and, on the second line, a police reinforcement of local police. Unfortunately, despite your calls not to join this event and despite its very late withdrawal from Facebook, it must be admitted, this event brought together between 1,000 and 2,000 people. Fireworks, knives and fumigants were confiscated on that occasion. When the participants started fighting with each other, it was decided to evacuate the premises using water trucks, tear gas and mounted police horses. We witnessed a very bad remake of the Boum 1 as the balance sheet was again very heavy: of the participants, fifteen were injured, three police officers were taken to the hospital and a dozen were slightly injured. There were also 132 persons arrested on the margins of the rally: 127 administrative arrests and 5 judicial arrests for armed rebellion, threats and the sale of narcotics. Despite these incidents, the organizers of the event submitted an application for authorisation for a Boum 3, on 29 May. Therefore, Madam Minister, how did the police mechanism mobilised last Saturday be divided between Boum 2 and all the other events and demonstrations in Brussels on 1 May? Was this device, in your opinion, sufficient and proportionate to avoid overflows? Were there members of extreme right-wing groups among the participants in Boum 2 as feared by the Regional Security Council (CORES)? If so, were they identified and arrested? Can you tell us where they came from? From Brussels or other municipalities? Has an investigation been initiated with regard to the breakers, but also with regard to the few police officers, whose images are likely to illustrate a disproportionate use of force, including tear gas and batons? Were there any participants who had been the subject of reports of contempt or rebellion, prepared and transmitted to the public prosecutor's office during the past week? Why wasn't the Facebook event removed earlier? Why was the demand from the police so late? What targeted communication has been broadcast to deter public participation? Will you allow this famous new Boum 3? Finally, are you going to floor on a safe covid label that would allow the revival of the world of events, which would be able to properly frame all those young people who legitimately want to party?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u3	Mr President, Minister, the long-announced but illegal event La Boum 2 turned as expected and unfortunately again into a small battle in the Ter Kamerenbos. Let me refer you back to the debate we had on this one week before the start of La Boum 2, on which some colleagues and I questioned you about the communication with the organisers. You stated that it would have been impossible to contact them until then. For me, that is a somewhat questionable statement, as several journalists had already succeeded in doing so at that time. In addition, the organisers have their own website and email address and are present on various online media. Following the debate, a spokesperson of the initiators made another attempt to reach you and this time he succeeded. However, the young man in question was not invited to a serene conversation. Instead, he was referred to your Brussels colleagues and got an arrest and a criminal complaint on his leg, in which he was suspected of setting up a private militia and inciting violence. I quote this because from the outset I was hoping to believe that they had good intentions with that manifestation and did not intend to let them get out of hand. Of course, the real opportunity in the current pandemic can be discussed, but I note that there was a desire to be heard in the first place. Youth also wants a word in these difficult times. This is something I have to sympathise with and understand. Unfortunately, you didn't think so and you didn't answer their question about constructive dialogue for weeks. In the days preceding La Boum 2 everything has accelerated. The tension increased, a non-dialogue was chosen with the organizers and soon followed a bid of measures of which both you and mayor Close indicated that they would not be shy if people showed up on Saturday. On a nice Saturday it makes sense that I too would dare to go down with my family to the Ter Kamerenbos for a walk in the woods. That is quite harsh language in relation to a family with children who would like to go for a walk. There were reports that more and more people wanted to join the manifestation online. It is reported that this also applied to extremist groups on both the left and the right, who threatened to kick the shack and hijack the manifestation. Too bad, but it was. In other words, L'abîme couldn't control it anymore. Why was no more action taken after these ominous messages? Didn't you insist on this with Mayor Close? In the days before 1 May, everything pointed out that this would be a failure. In my opinion, this is a poor management and the political responsibility here is crushing. Unfortunately, there is no dialogue. For me, dialogue is not started in one or two days, but it is a long-term work. One does not force a dialogue. I think that's where you went wrong. The writing was always addressed to you personally. There is a great deal to be said about the events of La Boum 2, and I suspect that those who come after me will certainly highlight the different facets and perspectives. Who ignited the place, who cast the first figurative and literal stone? Was it the rioters who were among the protesters or was it the police when she was ordered to sweep the forest with horses and water guns? Because of the size of the meeting, different versions are circulating. What I do hope is that the rioters will soon be identified, because violence against the police is unacceptable. There are also videos on social media today about violent incidents with the police in the side streets of the Ter Kamerenbos, but I think we need to see them in a wider context. It's always about pieces that have to be analysed as a whole. Convictions will have to follow if necessary. I have heard from several quarters that people are already suggesting that more attention should be paid to dealing with aggression in the training of police officers. I imagine it's not always easy to keep a cool head. A full investigation will have to clarify this. What I would like is for you to come to this committee and explain once the investigation is complete, which is obviously not the case today. I'm counting on you to do this. Not only do I care about that, but also my colleagues. Meanwhile, La Boum 3 has been announced. Which way will you and the authorities go? I understand you would like to start a dialogue this time. It is understandable that such events are difficult or unachievable in the context of public health today, but we still need to hear the clear message of the demonstrators. We have a month to look at what is possible and what is not. Converse with the organizers and the peaceful masses they seek to represent and first of all condemn the rioters who want to ruin the spirit of the manifestation. I recommend that you look for plausible alternatives, whereby stewards and police can do effective crowd management in a good understanding with the demonstrators. I am thinking, for example, of drawing circles, placing benches, so that distance can be kept and perhaps allowing the manifestans to enter the park drop by drop in order not to have to experience any more overwhelm. Those are all ideas, but I don't know if they're feasible. After all, I'm not an expert on the subject. Finally, I believe that a number of alternatives should be and can be available and that their feasibility should be examined for another event. We need to be able to control the manifestation. I hope there's a better way to do that. More repression and a continuation of the manu militari does not seem to me to be an appropriate answer today. Proactive action is the solution and must remain the working method. Hence my questions. Are you willing to engage in dialogue with the collective in the run-up to this new announced edition? Will you contact the collective yourself or have you been contacted? Can you give me the latest state of play on the new event? What margin of negotiation do you see compared to previous editions? Are you thinking of alternatives? What does your action plan look like and match that of Mayor Close and Prime Minister Vervoort, following this new call? How do you see your responsibility in this? After all, I have heard that Prime Minister Vervoort put these in the Brussels Parliament completely in your cleanliness?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u4	Madam Minister, I have also tabled a question on the events on 1 May, but most of it has already been said. So I will try not to repeat myself. The context has already been outlined by the two previous speakers. On Saturday, these festivities lured a few thousand people to the Ter Kamerenbos, including many families with children. It was a heterogeneous audience. The atmosphere was tense according to participants. Around 6:00 p.m., the police would have started evacuating the park. At 21 o'clock the rest would have returned more or less. About 25 people would have been injured, 15 on the contestant side, 10 on the police side. There would have been 132 arrests. On social media there has been some stir over some circulating movies in which the police have acted rather disproportionately towards participants who at first glance were not doing much wrong. The floor is, of course, yours. How do you evaluate the facts and in particular the actions of the police? Do you find the police action disproportionate to some participants? The next question may not be asked by many colleagues. More and more people get the impression that there are two sizes and two weights. Why doesn't the police intervene heavily on a New Year's Eve in Brussels? Why aren't there any harder gigs or large-scale evacuations to report to a police commissioner's arsonists? The population has a right to know whether there is indeed a disproportionate approach in the various Brussels police zones, depending on the audience of demonstrators.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u5	Colleagues, 28 injured, both in the police and among civilians, and 132 arrests: that is the balance after La Boum 2 last weekend. For the second time, the Ter Kamerenbos became a battlefield. According to the media, there were between 1,000 and 2,000 attendees at a, yes, forbidden protest party. Unlike the first edition, this time people with more extreme ideas came to the protest party. Although the organization called for peaceful protests, weapons, knives and fireworks were soon found among those present. In my view, anyone carrying such matters has no peaceful intentions. This was also apparent in the aftermath of La Boum, when a police officer was attacked in broad daylight by a criminal youth gang with baseball bats. Also during the police intervention images appeared on those questions. The police had to intervene when it degenerate into battles, but we also saw images of harsh action. Research should indicate in what context that happened and whether the approach of the agents was excessive or not. When people with hammers and such weapons come to La Boum, with the aim of confronting the police, it does not seem strange to me that the police are defending themselves. Conflicts must be resolved as far as possible without violence. However, I can imagine situations where, unfortunately, non-violent action is not an option. And, yes, then I fear that the gummy bat and the water cannon are essential. The majority of young people at La Boum had good intentions, let us be clear about that. I can understand them, too. I have teenagers at home and I can understand that they're looking for some freedom and some entertainment. However, it is the criminal youth gangs, the excuse me for the word 'crapul', from well-known problem areas that cause nuisance and put others at risk. With the police people who work in those neighbourhoods, the motivation falls, especially after the attack on one of their colleagues. This is a pity, because they have entered their job with conviction and passion. Did you have any contact with Mayor Close and the police forces involved about the events that took place on La Boum 2? What conclusions can you draw? Will you stand bourgeoisly before the police officers who were wounded by the violence during the protest? Have you already consulted with the Minister of Justice on the introduction of zero tolerance in the case of violence against police? Do you think that's being followed up properly? Meanwhile, a call was already launched for a third edition of La Boum. What measures do you want to take to prevent the next edition from becoming a battlefield again? Have you made any attempts to contact the organisation, or did the organizers or other parties contact you? What initiatives will you take to improve the dialogue between the police and young people so that a proper picture of the police is presented? What measures do you see possible to tackle the criminal youth gangs from the Brussels problem areas?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u6	Madam Secretary, last Saturday the police had to intervene because two thousand people gathered in the Ter Kamerenbos for the illegal event La Boum 2. This event was prohibited in the light of the current health crisis and both you and the Prime Minister and the Mayor of the city of Brussels had called for this illegal event to stay away. The people who came did this to their own say to express their displeasure against the current corona rules. The corona measures of social distancing and wearing mouth masks were therefore widely ignored by those present. In addition, the reporting showed that there was a core that wanted to deliberately seek out the confrontation with the law enforcement services. That was also apparent from the firefighters and knives the police seized. Nota bene on Labor Day, thousands of police officers had to stand ready to finally evacuate the Ter Kamerenbos. This led to a cat-and-mouse game between the police and those who disobeyed police orders. Eventually there were 132 arrests, 15 injured participants and 13 wounded officers. The collective behind La Boum 2 has since announced that it wants to meet again on 29 May at the Ter Kamerenbos in Brussels. Madam Minister, we must indeed listen to the displeasure about the corona measures. Certainly our young people are having a particularly difficult time. The cultural and event sector is also groaning under the measures. The police, who have been working in very difficult circumstances for a year, are also having a hard time. So, ladies and gentlemen, I do not understand the organisers of La Boum who have ignored all the corona measures. I am therefore surprised that Mrs Goethals says here that the organisers may have good intentions. I have a lot of questions about that. This didn't happen like the first time, spontaneously and impulsive. We've all seen how that first time ended. It wasn't peaceful. It was a provocation and that while we know that the beds are full of intensive care in the Brussels hospitals and that we should not impose additional burdens on care. In my view, La Boum shows very little respect for the care. Moreover, if we tolerate this kind of gathering, it will soon be an illegal festival on every street corner and in every café. We really can't allow that. It is also a blow in the face of the cultural sector, the music world and nightlife, the regular sectors, which have been close for more than a year. Instead of pleading to tolerate such unusual events, we must give priority to the cultural and event sector in order to be able to open, with respect for the corona rules. As a result of all this, I have the following questions, Madam Secretary. Do you have a visual on the profile of the people who were arrested? Were there any specific groups present with the intention of committing violence? How do you evaluate the police action? There was criticism of the display of power that would be out of proportion. Afterwards, images on social media of police violence also circulated in the streets around the Ter Kamenbos. What's your reaction to this? Did the Brussels hospitals have to take in wounded? If so, how many? I think it's important to know that, because the situation in hospitals is still precarious. You have announced that you want to talk to the organizers of La Boum. Have they already responded to your invitation? What was their reaction? The culture and event sector wants to be able to restart safely with respect for the corona rules. Last weekend Brussels and Walloon cultural houses, which are part of the collective Still standing for culture, also expressed their displeasure through civil disobedience, but that was organised and respected the distance rules. Do you think rebooting the cultural and event sector will stop illegal meetings like La Boum?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u7	Madam Minister, today we are taking stock of a sad event that took place a few days ago and that we were able to discuss a few weeks ago. The observation is the same as in Boum 1, or even more depressing and serious, as the images circulating on social networks are frightening. For my part, I was arrested by a few dozen people who were on the scene on May 1. Some of them sent me photos and videos they had taken. I also received emails from people who were family members at the Bois de la Cambre and who were not necessarily informed of the event, because not everyone is necessarily very active on social networks. Some information is not available to several segments of the population. I am concerned about several aspects of the case. First of all, I have the impression that we have seen a very bad remake of Boum 1, with no less than 132 arrests, as well as wounded on both sides – both at the police and at the participants. We know that on May 29, a Boum 3 is already scheduled. In my view, we cannot tolerate the repetition of such events, especially in certain places in our capital. Minister, does the police repression during Boum 2 seem to you to be well-balanced? The information in our possession indicates that some 700 police officers are present, some of whom have even been called in a neighbourhood close to my home for an estimated 1,500 participants. Can you confirm these figures? Does that not seem to you, at the very least, excessive? In Liège, some similar events took place, sometimes bringing together a few thousand people. Yet, we did not observe images of similar attacks or excessive arrests. Are these incidents not symptomatic of a certain escalation of violence in our capital? Could the police not have further differentiated violent demonstrators from peaceful demonstrators or from mere walkers and families present, like any Saturday, in the Bois de la Cambre? It seems to me that on that day the situation was not under control, at least in Brussels. Some colleagues have already mentioned this. How much do you estimate the proportion of violent demonstrators compared to peaceful demonstrators? Have you received confirmation that some extremist groups were present? If so, could they be identified? Are investigations open? At the moment, the analysis is, of course, probably still ongoing, but you have to answer several of our questions by giving us some information you have. I told you earlier, a possible Boum 3 could take place in a few days. How will you approach this event? Will you contact the people who lead this event? Will you better understand and react proactively so that you can better control what may be going on there? My colleague Rohonyi told you about his idea of the "covid safe" label. It's obviously an idea that I share. I think that today, the events that take place and happen again in the Bois de la Cambre are an affront to the event and cultural sectors. I believe that this is a means used by the population or part of it to show us how much it suffers, how much it can no longer do. We have been in this situation for more than a year. We must understand that today we must be able to regulate events and organize certain things in a legal way but above all by respecting health rules, which this type of event cannot currently allow. This kind of label and framework could solve a number of problems that we are facing. I am sure, and I hope you will be able to respond in a favourable way. However, I thank you already for all the elements that you can bring us.
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u8	Madam Secretary, La Boum is the title of a 1980 French film. Tragikomedie and quite a beautiful movie. What we have seen twice in the Ter Kamerenbos is not a comedy, but it is tragic. The situation has already been outlined by a number of colleagues. I would like to point out that the police must work in extremely difficult circumstances. It has the hard task of maintaining measures that we are all very tired of. These difficult circumstances must not result in a number of hotheads within the corps taking off their frustrations at the population. I'm the first to stand up for the police. Violence against the police, which was the case on La Boum 2, is unacceptable. If there are people there with hammers and all kinds of other weapons, it is not to celebrate, but to deliberately attack the police. There is always a group of hotheads, one or two percent, who come with different intentions, namely to attack the police. That's gotta stop. The youth gangs that interfere with the well-meaning population must be identified and severely punished. Without those gangs, the police won't be so hard on you either. I believe that there is a challenge for both the police and the justice system. My questions are as follows. What arrangements had been made with the law enforcement services for last weekend's manifestation? Were you involved in these appointments, or were you kept informed by the local government, the city of Brussels? You and the Prime Minister made an appeal not to go to the manifestation. What action has the city of Brussels taken, with or without you, to convince the people not to descend to Ter Kamenbos? Although only two editions were made of the film La Boum, a third episode is announced here. What will you do to make sure that any subsequent manifestation will not degenerate like the two before?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u9	Are colleagues still asking to speak in this topical debate?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u10	Minister, I will not recall the context in which these events took place and were held. In my view, it is neither desirable nor possible to close a wood like that of the Cambre, because this green space must be able to benefit the Brussels families who, despite the measures, are still allowed to walk there. It is one of the only places to relax in this difficult period, a real green lung of the Brussels-Capital Region. Irrespective of this, we can also see that next to these families, groups of breakers have been identified, who came with the firm will to deal with them. Dutch-speaking extreme right-wing groups and Hainaut-related Hells Angels bands have already been identified. That's a problem. In this context, police intervention must be able to be analysed in two ways: firstly, the necessary action against violent groups and, secondly, the analysis of the proportion in the use of force, since we know that we must not confuse breakers and others. In this regard, I have three questions, Madam Minister. How do you envisage the responsibility of the organizers in the way the events took place, while the local authorities try to do everything possible to guarantee, on the one hand, freedom and the fact of strolling in the Bois de la Cambre and, on the other hand, the right to demonstrate despite the health conditions? More than ten events were authorized by the mayor of the City of Brussels last Saturday. What is the attitude of the organizers in the search for solutions to enable things to go best? With a view to a new event, what steps can be taken with them to put an end to these sterile and counterproductive confrontations? What measures are being taken in terms of upstream management of violent groups and individuals? Let us recall an episode in which a former mayor of the City of Brussels had had to interrupt violent characters who also came from Flanders in order to commit acts of violence. In the wake of the events, have judicial arrests been made and what follow-up has been made? It is assumed that such event management operations are debriefed with the services concerned. What about here? What conclusions have been drawn?
ParlaMint-BE_2021-05-05-definitief-55-commissie-ic464x.u11	Mr President, I will be brief. Madam Minister, despite the many pre-existing threats, which I asked you about in plenary last Thursday, the overflows we know and fear have taken place. You told me that contacts had been made with the mayor of Brussels. It had been decided, among other things, to involve stewards in the front line, before the police. I was wondering if that would be enough in the face of the apparent determination of breakers on social networks. I do not throw the stone at you personally – let it be clear – but I regret to say it: everything was sewn with white thread. It was written that, without a different approach, Boum 2 would unfortunately resemble Boum 1, since these breakers had announced their presence on social networks. That is why I urged those responsible not to go there, but to favour other peaceful demonstrations in other places. I hear my colleague saying that this park cannot be closed because it is almost the only one. That's obviously not true. I am Brussels, I can tell you that there is Woluwe Park, Malou Park, Cinquantenaire Park, Royal Park, Rouge-Cloître, Tournay-Solvay Park, Laeken Park, Soignes Forest, Duden Park, and I'm passing by. There are many parks in Brussels, where it is possible to meet. Do you know, Madam Minister, that on TikTok is circulating a video where you see a child walking through this crowd targeted by the jet of an autopomp? Is it therefore responsible, as a parent, to throw his own in the mouth of the wolf, when the incidents were announced? Common sense is unfortunately not a universal virtue. In plenary, I urged the mayor and his police to change their strategy in relation to the events of 1 April, for example by filtering the entrances to the woods, because, as I pointed out, I did not want the citizens or police officers, already very tried, to be sent back to the pipe breaker. It wasn't, we saw it well. Same tactics and even fiasco! Minister, how can we explain that so many people have come together in the same place – in fact, without the required sanitary measures? What measures have actually been taken by the city of Brussels to avoid this situation? Do you think that the measures decided by the city were sufficient? As far as the future of events is concerned, I am not going to repeat the questions of colleagues. A new edition of the Boum is already announced. The organizers have tried to include it in the test events we have talked about, which are therefore allowed. As you said, there should be no room for organizers who act outside the legal framework. Can you provide an update on this Boum 3, on the application for authorization? What follow-up will be given to this project?
