ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u1	Question No 55017694C by Mrs Jadin is transformed into a written question.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u2	Mr President, ladies and gentlemen, I did indeed go to Verviers, among other things, to take stock of the work and the case of the Verviers courthouse. Today, a conditional permit has been granted to the Régie and phases 1 and 2 of the project are well acquired. Phases 3 and 4 remain. Phase 3 is essential in the project and has been approved by the Walloon Region. On the other hand, the Régie decided to bring an action for phase 4. In the demolition phase will remain only the front classified facade, the floor slab and several structural elements essential for the current and future stability of the building. So we are in a process that I can call "renovation-reconstruction". It should be noted that this work concerns only the Janson wing and has no impact, says the Régie des Bâtiments on the rest of the courthouse. In addition, the Régie des Bâtiments is still awaiting a strategic decision by the SPF Justice regarding the services to be hosted on Verviers. Upon receipt of the decision on the judicial services maintained on Verviers, the Régie will be able to analyse the needs of Justice and plan the study of the renovations itself.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u3	Mr Secretary of State, thank you for the answers I have been waiting for a long time. They are clear about the future of the Janson Wing. It is absolutely necessary to find the necessary agreements with the Region in order to allow the renovation of this magnificent building. It has major architectural importance and is located in the heart of the city. It is necessary to find him new assignments. I will ask your colleague from the Department of Justice to know what is the situation with regard to the programs of the needs of the judicial services that are still established in Verviers, in order to make a useful contribution to the Régie will need these data.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u4	Minister, I refer to the written version of my question.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u5	The Government of the Buildings no longer has any commitment to the part of the building previously used by the FPS Finance since the friendly settlement of the lease with the owner was terminated on 29 June 2020. The Regie and I have no further information on its future use. In the context of this termination, a flat-rate friendly termination fee was granted to the landlord as of 1 January 2020 of 809.000 euros. It shall be paid one month after the signature of the contract and by 31 July 2020 at the latest. For the other part where the peace court was housed, a notification was made on 14 December 2020. The peace court will move to the new location by 27 December 2021 at the latest. This is the state of play of the administrative centre in Tienen.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u6	That's obvious.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u7	Mr President, I refer to my written question.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u8	Mr Secretary of State, I would like to ask my question because I have asked them several times and there is no progress on the Luxembourg College in Leuven. There is relatively little vacancy in the buildings of the Directorate of Buildings in my region, but one of the persistent examples remains the Luxembourg College. In a reply last year, you said that your department Flanders Region East would check whether an extension of the Leuven Justice Palace is possible. If this extension is possible, it would be preferable to achieve it within the current Justice Palace. Contacts with the magistrates show that there is a clear need for enlargement, hence my question. How far is the study of the operational service Flanders Region East? Has there been any consultation with the FPS Justice Department? What is the situation with regard to the monitoring of capacity utilisation by the Government of the Buildings? Has it been examined whether a further renovation of the Luxembourg College is needed to refurbished the Leuven services? As I said, the services themselves indicate that there is a great need for enlargement. If enlargement is not possible or necessary according to the studies that would have happened, what strategy will you use to give a new destination to the building?
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u9	Ladies and gentlemen, two elements are important here. First of all, a validated programme of needs is required for the FPS Justice Buildings. However, that has not yet been done. Secondly, the Regie will explore the possibilities to expand the usable space that the Justice Palace at the Smoldersplein still has to offer, including the attic space that is currently empty. In concrete terms, several proposals were examined and the advice of the fire department and the Onroerend Erfgoed (Onroerend Erfgoed) was sought. Both the fire department and the Real Estate Service of the city of Leuven are in favour of the use of the attic space. Depending on the function, an extra area of 420 to 850 square meters can be created. The FPS Justice is currently analysing the re-destination of the premises in order to reach a conclusion on the additional space that needs to be created. It is not known when the results of this analysis will be available. The study was fully managed by our architects and engineers and its results are known. The Government of the Buildings today stresses that it wants to use the space in a responsible manner and that it therefore wants to optimise the space in the existing Justice Palace. So she wants to make full use of the available space before resorting to an additional building. But before a project starts, the necessity must of course be demonstrated. If it is concluded that the existing Justice Palace and the Villerscollege provide sufficient space for the current and future needs of the FPS Justice in Leuven and that there is no additional need for the National Archives or other FPS, the valorisation of the Luxembourg College will be organised. The Government of the Buildings and the City of Leuven have already had contact with the future of the Luxembourg College. Finally, the Regie stresses that in 2018 and 2019 both the Justice Palace and the Villers College were monitored for their occupation. The general conclusion was that the accommodation of the services largely exceeded the occupancy standard.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u10	Thank you, Mr Secretary of State, for your clear answer. It is also clear that there is absolutely still work to be done.
ParlaMint-BE_2021-09-21-definitief-55-commissie-ic570x.u11	Mr Secretary of State, it is clear that the Government of the Buildings has done its job. Before she has the need program, she has already started to see how much space is still available for relocalization. I hear you list a number of square meters, but that is of course the cart for the horse. After all, we need to know exactly what is needed. I regret that this has been going on for so long, and I have been asking for this for years. You can't help it. You're doing your job. Apparently, the knot is within the FPS Justice Department and in coordination with the local courts. There I hear clear sounds that there are a lot of needs and that the current number of square meters is not enough, not even with the numbers you just mentioned. So to be continued, and I will continue to question your colleague from the Justice Department.
