ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u1	Questions Nos 55014584C by Mrs Marijke Dillen and 55014812C by Mrs Sophie De Wit are postponed.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u2	Colleague, the legislator has set out in the Games of Chance Act a financial criterion to be met by licensees to ensure that they are sufficiently sound. The solvency ratio is used to verify the ability of the company to meet its financial obligations, including its ability to pay the winnings to the players. The minimum ratio to be achieved is 30 per cent for land-based gaming halls, game providers and land-based betting providers, 35 per cent for land-based casinos and 40 per cent for complementary licences. This ratio shall be calculated and verified annually on the basis of accounts deposited and published by the National Bank of Belgium. In the event of non-compliance with the criterion, a file shall be opened within the secretariat with a view to bringing the licensee into compliance with the law. Where appropriate, a sanction procedure may be initiated, which may result in the licence being withdrawn outright. The 2020-based ratio could not yet be established as the annual accounts have not yet been published. As soon as this information is available, holders who do not comply with the ratio will receive a letter requesting information about the company's situation. The situation which constitutes a case of force majeure and which calls for flexibility and tolerance will of course be taken into account. However, in order to avoid abuses, a focus will be placed on companies that do not reach the solvency ratio but have nevertheless paid dividends to shareholders. Experience shows that they are more generally foreign companies. For the accounts for the year 2021, the gambling commission will also remain vigilant in this regard, taking into account the evolution of the health crisis and the closures it entails.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u3	Minister, that's perfect. That's exactly the answer I was waiting for. It goes without saying that those who have profits to distribute cannot at the same time boast that they have reduced their own funds. I would also like to thank you for your hard work in dealing with illegal gambling operators from abroad. For we see that things are moving forward, as you promised in my previous question.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u4	Debates of the European Parliament 55014834C by Mrs Zanchetta was postponed.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u5	Madam President, Ms Bury, at the beginning of 2020, following two legislative proposals, there was indeed a legal framework for the use of the polygraph. It is true that another KB has to be taken with regard to the technical requirements to be met by the appliance. However, that appears to be said faster than done. Why have no initiatives been taken yet? An initiative has already been taken. In particular, a draft of the KB was drawn up, in cooperation with the police services concerned. Furthermore, the opinions of the relevant Finance Inspectors and the Secretary of State for the Budget have already been requested and the file has already been delivered to the Council of State. However, the opinion of the Council of State contains a number of important technical observations which require amendment of the text. A solution to this is currently being sought. For example, a solution must be found for the formulation of the technical requirements. Initial reference would be made to the ASTM standards, as determined by the American Society for Testing and Materials, but that is not possible. In fact, there are no European legal safeguards when buying a polygraph equipment which refers to American standards. The technical requirements have to comply with European law standards, hence the need to adapt the KB in this respect. As regards your third question, as has just been pointed out, every effort is being made to do so as quickly as possible. As for your fourth question, because of the pandemic, the test was difficult to carry out with respect for health measures. Taking this into account, some tests could only be carried out in August and September. No further tests were carried out after 1 January 2021. This situation cannot therefore arise at the moment, but that does not prevent me from doing everything I can to finalise and publish this royal decree as soon as possible.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u6	Thank you, Minister, for your reply. You said that some tests were carried out in August and September when the measures were relaxed. Or did I misunderstand you? If that was indeed the case, then that nullity can be invoked.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u7	Taking this into account, some tests could only be carried out in August and September. That is indeed what my answer says.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u8	Minister, I understand that you are working on it and that the ASTM standards need an equivalent and that they can be regulated at European level, but it is urgent. The pandemic won't last, either. As far as August and September are concerned, I would advise you to consider what will happen in practice with nullity.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u9	Debates of the European Parliament 55014850C by Mrs Dierick will be converted into a written question.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u10	Minister, the health situation in Namur prison is worrying. Almost 50% of inmates have been contaminated with covid-19 and are confined to their cells. On the staff side, at the time of writing this question, 57 officers were contaminated. The bulk of the contamination forced the management to quarantine the prison in its entirety. If access to showers will be able to resume after extensive disinfection work, visits are always suspended. In addition, as a result of a demonstration, acts of rebellion took place and damage was found in the prison. After a general test within the prison, the extent of the contamination is intractable. What measures are being implemented to stem this proliferation of covid-19? How could this cluster appear in this prison? Have the basic recommendations for covid-19 been met? What measures will be taken with regard to staff? Following the demonstration of the prisoners' relatives, rebellion took place and the prison suffered damage. Can you specify the extent of this damage? Thank you for your answers.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic407x.u11	Dear colleague, the extent of contamination in Namur prison was indeed significant, as 61 cases of covid-19 were detected among prisoners between 16 and 24 February. Similarly, 40 officers were also affected. This situation required a full lockdown of the prison as early as 19 February. Over the past few days, the situation has been improving. There are now only 23 positive prisoners left. On 9 March, a cleaning company intervened to enable the prison to restart its activities in good conditions because, with the gradual return of the officers and the number of sick prisoners decreasing, the whole prison gradually regains a normal rhythm and activities. The origin of this cluster is difficult to determine. It could be linked to prisoners who, through their work, have generated contacts between separate bubbles of prisoners. Another explanation may be linked to the work currently under way in the prison. This work requires cell changes that may have triggered the situation. The usual basic recommendations for covid-19 had been met. With regard to staff, all staff were invited to be tested and, for contacts with infected detainees, the wearing of conventional protections in such cases (chasuble, charlotte, gloves and FFP2 mask) had even been reinforced by visors. With regard to your second question on incidents, I confirm that there have been a lot of destruction of objects and furniture in the cell. The balance sheet remains to be drawn up. External platforms also caught fire as a result of jetting through the windows of various inflamed objects. The officers reacted quickly enough to extinguish these emerging fires and the situation calmed down at the end of the evening. There were two placements in a prison cell for inmates who, in addition to these incidents, threw glass bottles at the officers through the windows during their intervention. That said, these isolated incidents are not representative, on the contrary. Rather, I would like to emphasize the calmness of the inmates and their reasonable attitude. It has been a shared element in all institutions for a year now. In the face of the restrictions faced by the pandemic, the inmates had an attitude that must be emphasized as resilient and reasonable. Everyone seems to have understood that it is responsible and prudent behaviour that is the best chance of reducing the risks present in confined environments at risk that all prisons are.
