Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	GoethalsSigrid	Goethals, Sigrid	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	DepoortereOrtwin	Depoortere, Ortwin	M	1970	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	LanjriNahima	Lanjri, Nahima	F	1968	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	Minister	-	-	-	-	DeSutterPetra	De Sutter, Petra	U	-	
ParlaMint-BE-en_2021-07-06-definitief-55-commissie-ic541x	ParlaMint-BE_2021-07-06-definitief-55-commissie-ic541x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 06-07-2021	2021-07-06	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PVDA-PTB	Partij van de Arbeid van België - Parti du Travail de Belgique	Opposition	Left to far-left	VindevoghelMaria	Vindevoghel, Maria	F	1957	
