ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u1	Mr President, I withdrew this question because it was discussed last time.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u2	Maybe Mrs. Van Camp has new elements. I certainly don't want to deprive her of the right to ask her question.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u3	Mr President, I would like to keep my question. Mr Secretary of State, there has also been a meeting of the nuclear cabinet today and I would have liked to have had a state of affairs. For the rest, I refer to the question tabled.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u4	Colleagues, as Mrs Daems said, we have dealt with this recently. I would like to give you some information that some people may have missed at the meeting on 18 June. The note I submitted to the government proposed a set of legislative measures to further develop the policy of return in the area of legislation. That whole of measures must be discussed within the government before I can propose it here in the Chamber. If I were to discuss this openly first, I might end up frustrated in another legislature and ventilate it. I will conduct the negotiations where that should be done, within the government, with the utmost respect for my partners in the government. That is not going to happen in the media. Mrs Van Camp, you must not put words in my mouth that I have never spoken, I have never spoken for or against a mandatory test. I have always presented the facts in an objective manner and have never been tempted to add my opinion to them. After all, I am not in opposition, I have a policy in a delicate and sensitive department, where there are no results by sharing views with the band in the lead. I'm sure your party knows that by now. The reality is that a mandatory corona test is currently not legally possible. Whether I want to change this, you have already been able to understand what you have read in the media. We in the government are working very hard on this, in the right way, and hope to achieve results.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u5	Mr Secretary of State, I certainly heard your reply on 18 June, but as I said, I would have liked an update. I take it from your reply that you have still not been able to put your draft legislation on, among other things, entry into residence and the compulsory corona test on expulsion on the table of the government. That's obvious to me. That is the answer I wanted, but that does not make me happy with the answer. You have submitted a first package of measures. The European directive on student migration has already been transposed, but besides that you have been working for almost a year and we have not yet been able to see any legislative initiative from you. You had made a lot of plans and made promises when presenting your policy paper. Today we hear that you have put the work around the residence in the fridge again because several of your coalition partners do not support it. When we made the proposal to introduce the mandatory corona test in an expulsion, because it is important in that exclusive expulsion policy, you said that you did not want to do anything about it. If it's on the government table now, it'll certainly please us. As with the entry into residence, or the right of visitation, as you baptized it, we regret to note that your attempt has been stranded, even before this came on the table, by your coalition partners who do not want to know about it. Hopefully you will be able to work on it in the next few weeks or months. We will certainly continue to follow that up.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u6	Mr Secretary of State, on 15 June Ghent University published a study on sexual violence in Belgium, including against applicants for international protection. Turns out what? As many as 61 percent of respondents experienced sexual violence in the last 12 months. Eight percent of this is an attempted rape. Remarkable is the share men have in statistics. Unlike general investigations, male refugees are more often victims of sexual violence, especially minor offences. Female refugees are more often victims of the most serious sexual offences, which is similar to the general findings. The figures on the processing of such traumatic events are equally bad, if not worse. As many as 62 percent never spoke of the sexual violence they experienced. Only two people sought formal help and no one reported any facts to the police. These findings put our noses on the fact that refugees are very vulnerable. Do you recognize the problem? What have you done since your appointment to protect that vulnerable group? Do you consider their protection in Belgium sufficient when lodging a complaint? Why do you think applicants for international protection don't report this to the police?
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u7	The figures from the study of Ghent University are indeed problematic and we must make sure that they are reduced. The applicants for international protection are in no way at risk if they lodge a complaint with the police. Of course, many of them have little confidence in public services and agencies such as the police. That is not illogical, given what many of them have experienced in their home country or on their route to Belgium. It is therefore important to continue to raise awareness of asylum seekers about equality between men and women, police as a reliable body and victims' rights. The reception centres work on this through individual guidance, projects such as R-sense with formations for residents, the publication of information in fourteen languages on the fedasilinfo.be website and sanctions for residents who violate the rules in force at the reception centre. The safety of women in reception centres must be guaranteed at all times. For example, a buddy or access to a psychologist can also help create openness to talk about a particular event. You can count on me to continue working on this with my services. Everyone deserves protection from sexual violence, whatever the status of residence.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u8	Thank you, Mr Secretary of State, for your reply. I am pleased that awareness campaigns have been launched. I will continue to follow the theme. The figures are problematic and it remains to be seen whether awareness campaigns will do their job.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u9	As Mrs Gilson is not present, her question No. 55019094C.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u10	Mr President, Mr Secretary of State, I have not yet been hit by an accident on the motorway and I am currently at a gas station. That is why I would like to refer to my written question.
ParlaMint-BE_2021-07-02-definitief-55-commissie-ic535x.u11	I too wish to refer to my written question, Mr President. I'm not at a gas station (happiness).
