ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u1	Mrs Reuter asked to postpone her question No 55015201C.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u2	Minister, this question was tabled some time ago, but it is therefore no less important. When the relaxations in the catering industry were announced, there was a great deal of dissatisfaction and discontent among the catering operators who had taken certain measures, such as investments in plexi screens. What was on the website of the FPS Economy turned out to be completely different from what your colleagues Van Quickenborne and Verlinden communicated and then what was eventually included in the ministerial decision. It caused consternation all over the place. I found the communication from the government very strange, and I wonder how you feel about it. After all, you have had regular consultations with the various federations of the catering industry. What exactly was discussed during the preparation of the re-opening protocols? What lessons have you learned from this for the future? What will you do to ensure that such blunders are no longer made?
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u3	Ladies and gentlemen, your questions relate to the reopening of the terraces on 8 May. Since 9 June, the catering industry has been able to reopen the indoor spaces. In addition, new facilitations will enter into force on 27 June. These were decided by the Consultative Committee on 18 June. The protocols are drawn up with the support of the Coronac Commissioner and are validated by the relevant ministers, the Minister for Economic Affairs and myself. There has also been intense consultation with the Joint Committee 302, which brings together representatives of employers and employees in the catering sector. As regards the use of plexi screens, preparatory meetings were held with the Commissariat and the Committee 302 with a view to the reopening of 8 May. At these meetings, the use of plexi screens when the distance of one and a half meters between the tables could not be respected was never questioned. The height of the screens was specified in the draft protocol, in particular 1.80 metres. During the consultations within the Consultative Committee, the protocols on the strengthening of ventilation were discussed in particular. This was also the case for the reopening on 9 June, with the mandatory CO2 meters. Managers must respect a ventilation plan so that the air quality standard of 1,200 ppm within is not exceeded. Before the reopening of 8 May, the political debate focused on this aspect of ventilation, as well as on the dates of opening and opening hours. It also dealt with the separate reopening of the terraces and the interiors of the cases, the number of people at a table and so on. However, there has been no real debate on the plexi screens. That is why we have not asked the sector not to use it. It is true, however, that the report of the Consultative Committee did not explicitly mention the possibility of providing plexi screens, nor did it exclude them. Afterwards, for reasons of public health and to reduce customer concentration, new consultations took place and it was decided not to allow the use of plexi screens at that time. We know that the hospitality operators invested in this in 2020. It was therefore decided at the meeting of 18 June that the plexi screens should be allowed outside again as from 27 June. With regard to the other measures, on 4 June, the Consultative Committee agreed to hear the questions raised by the sector on certain additional points: harmonization of opening and closing hours with other businesses, both outside and inside, the possibility of serving at the bar for sole proprietorships and the possibility of buffets. These new conditions were incorporated into the Protocol. On 18 June it was decided to allow 8 people per table, without counting the children under 13. In addition, opening hours now run from 5 a.m. to 1 a.m. The ventilation rules were also specified. The use of an air quality measuring device is mandatory in the indoor area, except for an open terrace. This device must be installed in a way visible to visitors in each individual room of the store where something can be eaten or drunk. The guidance standard of 900 ppm CO2 shall apply. Between 900 and 1,200 ppm, the operator shall have an action plan to air, ventilate or purify the air. Above 1,200 ppm, the case has to be closed. As far as the deadlines for the publication of the protocols are concerned, I understand, of course, that the sectors want to know all the conditions for reopening early enough to prepare themselves. That's a legitimate question. I am personally in direct contact with all the professional federations involved, often even directly with restaurant or café owners. We provide this information as it is stabilised, in other words when there is certainty about it. It should be known that the last amendments to the Ministerial Decision were submitted to the Council of State for its opinion. However, this passage, which is absolutely necessary for a rule of law, will lead to a longer set-up period. The protocols cannot impose more flexible conditions than the minimum sanitary conditions laid down in the Ministerial Decision. Before the reopening of 9 June, the protocol for the catering industry was published on Monday 7 June. The information on the amendment before 27 June was already clear in the notification of the Consultation Committee of 18 June. The Ministerial Decision will be published shortly and the Protocols can be amended by 27 June.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u4	Thank you, Minister, for your reply. You say that this 8 May 2021 was mainly about the fact that the terraces were allowed to open, about the number of people at a table and so on. But the debate on the plexi screens has not been conducted so much. Then I wonder if the focus wasn't there. Was that an oblivion or not? What is certain is that it was actually mentioned on the website of the FPS Economy until one day before the reopening of the terraces. That's a very weird thing to say. You have often been in consultation with the various catering federations. Exactly at such an important moment, when the terraces are allowed to open again, all these protocols are not discussed in detail with those people. In the meantime, they have made the investments, and we know that this sector is already having a very difficult time. It has also adapted its staff to the situation, to be told a few hours before the opening that what is on the website of the FPS Economy is not correct. If these people get angry, then who can ultimately blame them? Minister, I can only hope for two things. Firstly, I hope that every time you relax, you will check everything in detail with the various federations, so that they can also communicate it properly to their members. Secondly, I hope you will think carefully about all the new protocols that will be put into use in the future.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u5	Mr President, I can only join my colleague. It's actually unbelievable how this all worked out. It wasn't supposed to happen from today to tomorrow either. Restaurants have been closed for months. So all this should have been perfectly prepared in detail. Nothing should have been left to chance. It wasn't the first time we've faced this situation. One would think that one learns by doing so, but apparently that was not the case. It is incredibly unfortunate, especially for the sector that has already had such a difficult time. Hopefully, lessons have been learned for the future.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u6	Debates of the European Parliament 55017614C by Mrs Matz will be converted into a written question. Question No 55017825C by Mrs Kattrin Jadin is transformed into a written question.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u7	Mr President, Mrs Creemers, the very recent reform of the Code of Economic Law on Abuse of Economic Dependence, Unlawful Terms and Unfair Market Practices between Enterprises is a legislative instrument that will be able to use the agricultural sector to better defend its interests in its B2B relations. In addition, the future law transposing the UTP Directive should be an instrument that will allow for even safer relationships between suppliers and customers. Within the FPS Economy, the Price Observatory plays a very important role in analysing the evolution of consumer prices, price levels, market forces and margins. The Price Observatory will analyse the margins in the agri-food sectors in order to assess the impact of the health crisis on these sectors. The analysis will be carried out next year, when the annual data for 2020 will be available. In addition, the Price Observatory will also carry out an analysis of the functioning of the market in the pigmeat sector. With regard to points two and three, I have committed myself to giving our farmers the means to enjoy a safe income. In this respect, my cabinet is currently in contact with the FPS Economy to lay the foundations for a law on the protection of agricultural prices. The first meetings dealt with the analysis of the French projects in this field and the concrete effects of the French legislation, which was developed mainly by the ECLIM Act. The benchmarking should be continued and extended to other models. With regard to controls and sanctions, the Economic Inspectorate is competent to take criminal action in case of sale with loss of goods, including food, in accordance with Book VI of the Code of Economic Law. Reports of potential losses are initially analysed and then subject to criminal investigations. Criminal fines may range from EUR 208 to EUR 200,000, provided that bad faith can be established. Your last question falls within the competence of the Department of Health and must be addressed to the Minister responsible.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u8	Thank you, Minister, for your answers. I look forward to the law on the protection of farm prices. Last time it was my colleague and chairman, Mr Van Hecke, who asked you a number of questions about the sale of meat products and, above all, the promotion of meat products. I had now seized the example of France to ask my question. In France, promotions on meat containing more than 33% of the consumer price are prohibited. A first step towards introducing the law on the protection of agricultural prices, by looking at this French example and acting proactively, would reassure me. After all, that would be a very good example to roll out in Belgium as well. I have, as you know, discussed very thoroughly your policy statement on agriculture and food safety with you. I welcome the fact that you want to do all kinds of things to give our farmers a fair price for their goods. So I'm looking forward to seeing that law transposed. You refer to the Minister of Health for my last question. I already asked him that question. However, there are also a number of possibilities in your competence package to intervene on prices through price strategies together with the Minister of Health, so that a healthy choice for consumers is also the most logical choice. However, I propose that, as soon as Minister Vandenbroucke comes out with his plan on healthy nutrition, I refer the matter to you again.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u9	Mrs Houtmeyers, as provided for in the summer plan, can indeed take place again since 9 June, provided that the minimum conditions laid down in the Ministerial Decision of 28 October 2020 are respected. The terms and conditions are also explained in the guide to the opening of the trade published by the FPS Economy on its website. There is no specific protcol for the bridles. Like the markets, the brocante markets and the fairgrounds, the bridles are subject to the same regime as laid down in Article 14 of the Ministerial Decree I have just mentioned. Until 26 June, now Saturday, this implies indeed checking the access to the site and limiting the number of persons to one person per one and a half meter stall. These conditions were deleted after the Consultation Committee of 18 June. Because I am aware of the great organisational difficulties that these conditions cause, I have argued for relaxations that I have also obtained. From 27 June onwards, the maximum number of visitors per one and a half meter of stalls on each side of the stall or attraction will be removed, as will the obligation to organise a system of access control. On the other hand, the wearing of a mask for customers and the outpatient trader is compulsory. Finally, when a market, an annual market, a bridle, a brocante market, a flea market or a carnival receives more than 5,000 visitors at the same time, a one-way circulation plan must be developed with a separate entry and exit into the market or fairground. The complete arrangement of these events is set out in Article 10 of the Ministerial Decree which should be published in the Belgian Official Journal during the week.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u10	Thank you, Minister. I think it is absolutely a good thing that the one-and-a-half metres were removed. This offers a lot of new opportunities for bridles and markets. People will therefore be very satisfied, and this can only benefit our trade. The fact that the duty of masking is maintained does not seem to me to be abnormal at all, as does the one-way traffic.
ParlaMint-BE_2021-06-23-definitief-55-commissie-ic528x.u11	Mr President, I would like to make a general comment. I was pretty confused when I was just looking at the agenda of the questions. Until last night, there were two questions on my agenda about poultry. This morning I received an e-mail from the secretariat that those questions had been referred to the Committee on Health. I find that very strange, because those questions were put on 22 March and I looked forward to getting an answer after three months. Now it seems that I have to wait again for a meeting of the Health Committee, as my questions were not there for the round of questions that took place there on 7 June. So I regret having to wait again. I can expect the services to refer a question directly to the appropriate committee as soon as she comes in, so that someone does not have to wait three months for an answer. So I hope to get an answer soon. As far as my written questions are concerned, I had to say on several occasions that the deadlines for replying had expired. We can do better in the future.
