ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u1	Mrs Farih is sorry. Mrs Depoorter has the floor.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u2	Mr President, what is the state of the art with regard to CFTR modulators? We had a debate on this a few weeks ago. You indicated that there were conversations with the Vertex company. Meanwhile, articles have appeared in the press in which patients testify that there is a need for a refund for those modulators. I also asked you two weeks ago to review the reimbursement of the clusters. I would like to come back to that, because at the moment there are conversations with Orkambi and Symkevi, but as we heard yesterday, Kaftrio is in the pipeline and that is a combination of the different CFTR modulators. What's the status? Are there any evolutions towards cluster refund for 1,300 muco patients pulling the alarm bell?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u3	Minister, about EUR 170,000 for a treatment, that is the very high price Vertex is asking for. We do not know what the production price is. We do know that Vertex's turnover and profit figure by the CFTR modulator have risen enormously in recent years on the stock market. We see that it is available in Belgium for certain patients. Apparently it's very efficient, because it really changes their lives. Of course, it only makes it more scandalous that people dare to ask such a high price for it, because it is about life and death in this case. Minister, what progress has been made on the possible reimbursement? In the meantime, these medicines will be refunded abroad and not in Belgium. Where's the shoe wringing? How come there is still no refund in Belgium?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u4	Ladies and gentlemen, since this is a topical debate, the other groups can ask to speak now or during the reply, but I do not see any candidates immediately.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u5	Madam President, Mrs Merckx, there is indeed a compassionate use programme for Kaftrio for patients aged 12 years and older. In order to know whether a patient can switch from Orkambi to Kaftrio, it should be checked that the patient meets the eligibility criteria, as is the case for each compassionate use program. That's being looked at on an individual basis. You will notice that there are many similarities between the eligibility criteria for the Kaftrio programme and the Orkambi programme. However, their analysis must be carried out by the competent doctors and evaluators. So I cannot comment on that. The duration of a compassionate use or medical emergency program shall be determined in each programme separately. For the compassionate-use programme for Kaftrio, it is stipulated that it runs until the decision on reimbursement is taken, regardless of what the decision will be, reimbursement or not. The latest review of the current Orkambi programme reported that on 13 March 2020 five patients were on treatment. For the compassionate-use programs with Kaftrio we have no data, as they have not been evaluated in the meantime. The FAGG does not have access to the names of the patients included in both programmes. It cannot therefore make the link between both programs as long as they are running. The FAGG cannot assess the situation after the end of the programmes. As regards your question on the so-called negotiations for Kaftrio, I can answer you that I checked with the RIZIV. The Vertex company has not yet submitted a fee file. There are therefore no pending dossiers and certainly no negotiations. We have no idea when the company will submit its dossier for Kaftrio to the Committee on Medication Medicines (CTG), despite the fact that this is already possible for a long time and my administration has already urged the company to do so. For each medicinal product, an application may be submitted as soon as the company has received the approval of the European Medicines Agency (EMA). On 26 June 2020, Kaftrio received a favourable opinion from the Committee for Medicinal Products for Human Use and the adoption of the EEA on 21 August 2020. According to our Belgian procedure, the company could have applied several months ago. So I cannot tell you why Vertex has not yet applied in Belgium. The reimbursement for the medicines Orkambi, Symkevi and Kalydeco are ongoing and are in the final phase. As a result, I will be able to decide on the refund in the near future. Once the procedure has been completed, you will be able to review the CTG reports and read its evaluation, both on the therapeutic added value and on the other criteria, such as the budgetary impact and the importance of the speciality in medical practice. So we are talking about price negotiations. Agreements for medicinal products are used to address scientific and/or budgetary uncertainties and/or problems of some new treatment options at the time they request reimbursement. Large therapeutic uncertainty is often reported by the CTG. Files often contain promising, but immature data by early submission to the EVA, with, for example, only phase 2 study results. Refund may be accompanied by significant budgetary uncertainties, for example by a very high patient-to-patient treatment cost, or a high overall impact due to the fact that the target population is very broad and difficult to define. In order not to deny patients access to these new, sometimes promising treatments, and to give the pharmaceutical company the opportunity to demonstrate the value of the medicine in a reallife setting, these treatments can be temporarily reimbursed under certain conditions by agreement. These conditions are usually twofold. On the one hand, the company is asked to collect additional information and evidence on specific uncertainties during the temporary reimbursement. On the other hand, the company takes responsibility for the uncertainties and risks associated with the reimbursement during the temporary reimbursement. In practice, this means that a budgetary compensation scheme is included in the agreement. As a result, the risks are shared by health insurance and the company. The company collects all the data requested and processes them into an evaluation report, which is thoroughly evaluated at the end of the agreement. Taking into account the data provided and the probative value of that data, it will be evaluated whether an extension of the agreement or a re-evaluation by the CTG is appropriate. The CTG and I strive for a definitive and transparent inclusion on the list of refundable proprietary medicinal products. That's the preferred scenario that we're aiming for in every file. But often following a negotiation process is the only way to make medicines accessible to the patient and control the budget. You know that we want to reform this procedure within the framework of the government agreement. Of course, it is my wish, and from your questions I conclude that it is also yours, to make good therapies with real added value as accessible as possible to everyone. You rightly say that the cost of Orkambi is very expensive, like many other therapies on the market. We want to go to the limit of our ability to make these medicines available to patients, but we want to do so for a proper fee. This also applies to all medicinal products for which a fee is claimed. That must therefore be done in a sustainable way. This means that we must use the budget carefully. There is certainly a huge challenge in this area at Belgian and European level.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u6	Thank you, Minister, for your reply. Actually, it's a mess. It is true that the system of compassionate use exists, but it does not reach a large number of patients, or at least in a sustainable way, which is your goal, as you yourself indicate. Especially in the case of muco-drugs, we must bear in mind that it is very often young adults who can still have an active life ahead of them. We must therefore take this into account in the pharmacodynamic analysis we are carrying out. The fact that our country remains a black spot for Orkambi in Europe raises questions. We are lagging behind in this respect in relation to other countries. It is not the first time that this problem has been raised in this committee. You are also talking about the fact that no application has been made for Kaftrio. I drew your attention to the clusters in a previous meeting on this issue, and I do so again. We do the same for cancer treatments. We make appointments with a company and see if we can give a refund for a number of patients with a CAB for a particular treatment. Since these are the same molecules that are administered in other combinations, I think this is appropriate. We can draw on the expertise that the doctors of the Muco association have built up. They have even indicated to the CTG that they are willing to work out a pay for performance and to then lay down very clear scientific criteria for the reimbursement of those medicines. You refer to the early temporary retirement period that can be followed, but you also know that this application was made for very few medicines because it does not appear to be optimal. It has existed for a long time, yet there are few companies that go along with it. Perhaps you could look into this thoroughly and see if we can work in a more efficient way in the future and treat more patients in this way. As you yourself have said, it cannot be the intention of the State to be left behind in these matters. I think we can add a tooth to that.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u7	Minister, sometimes secret negotiations take place effectively. I do not agree with you when you say that this keeps the budget under control. Mrs. De Block is here. I think that the budget has just been derailed, among other things, by these negotiations and, above all, because it certainly cannot be applied to many products which have already proved their worth and on which there is no longer any therapeutic uncertainty. After your explanation I still do not understand why, for example, Orkambi and Symkevi are still not accessible to patients in Belgium, except in the special programs of compassionate use. In 2016, a dossier was submitted for Orkambi for children up to 12 years of age and in 2018 for Symkevi for patients over 6 years of age. Of course, for a child born with cystic fibrosis, there are few......................................................................................................................................................................................... I did not actually receive an answer to my question today on 23 February, except that something might soon come out of the bus, as you said on 5 January. Why does it take four or five years to make an appointment and conclude an article 81 contract? That is still not clear to me.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u8	Do other groups wish to add something in the context of this topical and urgent debate?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u9	Madam President, Minister, the Medical Accidents Fund was established in 2010 to propose a simpler administrative procedure than a judicial procedure for patients seeking compensation following a medical accident. According to a report sent to Parliament last year by the Court of Auditors, the Medical Accident Fund has not yet achieved its objective of making procedures simpler, faster and cost-effective for patients suffering damage as a result of the provision of health care. According to the Court of Auditors, currently 8 % of the cases processed are considered to be well-founded and potentially compensable by the Fund. The number of applications is also relatively low (one in ten victims) and the use of the Fund has declined in recent years. Minister, have you read this report? What is your opinion on this? How do you intend to make procedures for patients more efficient and faster?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u10	Minister, the Medical Accidents Fund is not new in our debates either. Let me give you an example from my mailbox. This is someone who was operated on in 2016, suffered a serious medical injury, filed a complaint and was first heard by the experts after four years. Three months later, he would have been informed that the serious medical injury is being recognised and that compensation is being provided for. But there's still no way to determine that. The victim will therefore have to wait at least five years before an amount is granted. By the way, it has still not been paid out. Minister, what progress have you made with the reform of the FMO? After all, you said at the beginning of November that you consider this reform to be very important. Secondly, will you impose a maximum time limit on the FMO to deal with such problems, including the payout?
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u11	Madam President, Mr Prévot, I have taken note of the Court of Auditors' report on the functioning of the Medical Accidents Fund. It is true that this Fund has accumulated a significant backlog in the processing of cases. This situation is not acceptable. Currently, the procedure with the Fund is free of charge for the patient and relatively simple. But, as you rightly pointed out, it is far from fast. The Court of Auditors has found that only a minority of applicants receive compensation at the end of the procedure from the Fund. The law of 31 March 2010 does not create any obstacle to the submission of an application since registered mail is sufficient, but it is very strict when it comes to paying compensation. In general terms, the Fund can only compensate if the level of seriousness prescribed by law is reached and if it is a liability or a medical accident without liability. A medical accident without liability is an accident linked to a health care provision which does not involve the liability of a healthcare provider, which does not result from the patient's condition and which causes abnormal damage to the patient. According to the law, this damage is abnormal when it should not have occurred, given the current state of science, the patient's condition and its objectively foreseeable evolution. Therapeutic failure and error of diagnosis without fault do not constitute a medical accident without responsibility. It cannot therefore be said that the Medical Accidents Fund can compensate for any damage resulting from health care. Nevertheless, the current situation of the Fund raises many questions. Mrs Depoorter, that brings me to your more precise question. I'll be in touch with the administration about that. At the beginning of December I met on this subject, including in January and February, and there will be a number of meetings. I hope to have a full plan of action for the Fund in March. My collaborators and the Fund's management committee are finely coordinating this so that we, the minister responsible and the management of the Fund, understand each other well, and we can be sure that what I present can be found credible and serious in view of the existing problems. You also ask a question about the payout. If it turns out that applicants are entitled to compensation, it must of course be paid as soon as possible. This is a time-consuming process, because the calculation of compensation requires the collection and analysis of evidence. The law provides for compensation to be paid in concrete terms, as in common law. After the collection and analysis of the documents, the Fund makes an initial proposal. Following comments from those concerned, the Fund shall make a final proposal. If the Fund reimburses in the event of a medical accident in which the fund held a liability and the degree of severity was achieved, then there is a further three months in which the liable person is given the opportunity to compensate for the damage. Only after refusal of compensation by the liable and/or its insurers will the Fund provide for compensation. I'll give you that as a reminder. I agree that every effort must be made to help the victims as quickly as possible. Now, of course, the Fund is not the only one involved. Except internally with the Fund, there is a lot of time between requesting and receiving documents, planning and the development of an expertise. Speed is therefore also a criterion of quality for me. The plan of action I have in mind must be able to bring about a real acceleration, which will also enable the delay to be eliminated sufficiently quickly, of course with respect for the position of all parties. You have asked questions about this several times. I hope that in March I will not only have a final action plan, which is fully coordinated, but that I will also be able to communicate it. It is an action plan to improve the current situation. This is certainly not the end of the debate on how such a fund should operate in principle and what kind of legislation is needed. I think it is important that I can create a short-term perspective for dealing with the pending dossiers. That seems essential to me. So this is a matter of great concern to me, Mr. Prévot. I hope to be able to present to you in March an action plan on the Fund, because this situation cannot really last any longer.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u12	Minister, thank you for your response, which provided us with a snapshot of the procedures. As you said, the procedure is free and relatively simple, but its application is unfortunately neither quick nor effective. However, I note your encouraging willingness to improve the system. I hear that you, your staff and the Fund's officials are discussing this. I am also looking forward to the month of March for the tabling and submission of a final action plan to improve the situation. The debate is continuing. I hope that it will succeed very soon, so that you can come and present the plan to us. In any case, I understood that your will was present and I thank you for it.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u13	It's a good thing there's a plan coming up in March. I am absolutely pleased about that. Hopefully, therefore, we will be able to discuss the content in depth. There are cases that are lagging behind. Files dealt with have a lead time of five years, after which payments have yet to be made. That cannot be the intention of the Medical Accidents Fund. It was intended to be available to patients more quickly, efficiently and at a lower cost. A lead time of five years is far too long for a victim of such a medical accident. Please bear that in mind. I look forward to the debates in March.
ParlaMint-BE_2021-02-23-definitief-55-commissie-ic381x.u14	Minister, VIDIS is an important digitization project as it allows for the sharing of patient drug treatment data. It aims to promote the exchange of data on medicines taken by patients between pharmacists and other care providers in order to improve the patient's accountability or follow-up of treatment. Yet today, some doctors are concerned, according to the Belgian Association of Medical Trade Unions (ABSyM). ABSyM denounces the fact that the indications for which drugs are prescribed will appear in VIDIS, which will centralize all health data: diagnosis and therapies. According to the ABSyM, this could create risks of intrusion and this sensitive information could one day be sold to commercial firms. Minister, where is VIDIS today? How will this database be managed? When do you think it will be operational? What beacons will be put in place to avoid any drifts in the use of data? What is your opinion on the criticisms made by ABSyM?
