ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u1	Minister, I refer to the written version of my question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u2	Mr Geens, first of all, Paragraph 3 of Article 3.67 of the new Civil Code on the actual acceptance by the owner of an unclosed immovable property is to be applied restrictively as an exception. Unfinished stands next to unbuilt. In French it says non cultive. This means that the provision applies if the plot is not used in any way. Parcels used in any way for agriculture shall not be entered by hikers. Secondly, set-aside land and horticultural land are land in use, as this constitutes a normal allocation of land under a three-stroke or four-stroke system. These are therefore processed grounds to which Article 3.67, § 3 does not apply and whose entry is therefore not permitted. As far as your third question is concerned, the same applies to mowing fields, grasslands or parcels on which grass is grown for the purpose of burrowing animal feed or hay. That is normal use of land for agriculture or livestock farming. Such grounds therefore do not fall within the scope of Article 3.67, § 3. As far as your fourth question is concerned, Article 3.67, § 3, does not apply to agricultural parcels leased. Legally, such plots are mainly used by the tenant in the farm. A use by a third party would be irreconcilable with the rights of the tenant. As far as your fifth question is concerned, according to Article 3.67, § 3, four conditions must be met in order to be allowed to go on a ground. First of all, the soil must be uncultivated and unprocessed. Secondly, the ground must not be closed. Thirdly, the entry of the land must not cause damage or inconvenience to the owner. Fourthly, the owner has not indicated that it is prohibited for third parties to enter the land without his or her consent. As for your last question, Article 3.67, § 3 of the new Civil Code expressly states that the entry of a land is prohibited in any event if the owner has indicated that it is prohibited for third parties to enter the land without his or her consent. Therefore, even if the first three conditions mentioned above are met, it remains possible to prohibit the entry of a land.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u3	I would like to thank the Minister for his clear and clear answer, which I shall be happy to reread.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u4	Madam President, Minister, I have taken an interest in the latest State Security report. I was attracted by interesting information which, to my knowledge, did not give rise to many comments, and which would merit clarification as to its significance in terms of threat. Thus, on page 27 of this report, we can read that, in addition to the categories of persons that may threaten our security contained in the database of the Coordinating Body for Threat Analysis (OCAM), terrorists of the Islamic State of Syrian or Iraqi nationality who have committed crimes in Syria and Iraq would now be on our territory. It also appears that, among the refugees, there are people who did not commit a crime in Syria or Iraq but who allegedly committed a crime in Belgium. These people do not fall into the five categories of people (terrorists or extremists) considered to be a threat to our country. Minister, could you tell me how many people this is about? According to the report, they are "on radar", a rather general expression of which I do not know the exact meaning. What kind of threat do they pose to our people? Have these persons been charged, knowing that they include individuals who have committed crimes? What is the threat and justice situation?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u5	Madam President, Mr Dallemagne, the information in question, which has been relayed by the press, is correct. A limited number of recognized asylum-seekers or refugees present in our country are actually charged or even convicted of crimes committed in their country of origin in connection with their membership in a terrorist organization such as the Islamic State, Al-Qaeda or other affiliated organizations. As often in this kind of case, I can talk about A, but not B because the investigations are ongoing. However, I can reassure you that in the area of terrorism, the Prosecutor's Office will leave nothing to chance to conduct the necessary investigations and, if necessary, to prosecute the accused. The current danger that these individuals may represent is closely monitored by our services. If we remain alert to this problem, there is no reason to panic either. The difficulty in this type of case is the collection and collection of evidence of acts committed in war zones. One of the challenges of this type of investigation is to obtain objective elements to open or feed a judicial investigation; indeed, it can be a question of acts committed far from our territory. These include membership of a terrorist organization, provision of military training, participation in armed struggles, participation in bomb attacks and executions. It is not possible to give a precise figure. What I can say is that, among the known cases, some have been convicted abroad, others have been charged for certain acts but have not yet been convicted or are still under investigation by the intelligence services or judicial investigation. The threat emanating from such persons must be determined on an individual basis. No general statement could be made in that regard. As I said, this is closely monitored by our services.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u6	Minister, I hear your answer. I wish I had an order of magnitude. You tell us that this is a limited number of people and that they fall into two categories. On the one hand, there are those who committed a crime there. Since they are identified, we still need to know how many people are involved. On the other hand, some of the refugees have committed terrorist crimes, according to what I read, after their arrival in our country. Here too, we should know the number. It's not about panicking, it's about how many people we're talking about. Is the inability to answer this question linked to the secrecy or lack of knowledge of this figure?
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u7	Mr. Dallemagne, I'll check with the prosecutor's office.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u8	Thank you. I will then perhaps ask you again about this, minister.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u9	Thank you for your questions, Mr Metsu. Madam President, I am sure you will not blame me for saying that these are all statistical questions. You have already asked written questions from the same nature, Nos. 509 and 819, and I have always replied in good time. According to Article 123 of the Rules of Procedure, statistical questions, all of which are statistical questions, can be asked in writing. Then I will answer them in writing without hesitation.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u10	Mr Metsu, you can certainly submit your question in writing.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u11	If that is more convenient for the Minister, I will turn my oral question into a written question, Madam President.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u12	It is not a question of better outcome; it is simply a question of respect for the Rules of Procedure.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u13	Debates of the European Parliament 55022987C is thus converted into a written question.
ParlaMint-BE_2021-12-20-definitief-55-commissie-ic645x.u14	Minister, I have listened with great pleasure to the colloquium 'Access to justice'. Something's going on in the dark, as far as the middle class is concerned. Several lawyers and other speakers, listed in my question, report that they see a lot of pro-Deo lawyers in family courts. On the other side of the spectrum there are building files or luxury goods like swimming pools and so on. But it is not clear to them whether the middle class will find their way to court. They proposed to organise a survey on this subject. I think that's a very good idea. What do you think of that proposal? Will you take action in this respect?
