ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u2	Madam President, Prime Minister, Minister, ladies and gentlemen, hundreds of police officers and soldiers are now in Limburg, at risk of their own lives, chasing an extreme right-wing military threat. That's sad, first of all. The threat itself is not new. It has been known for a long time that there is a small group of military extreme right-wing ideas in the Defense Department. Worst of all, they learn how to handle heavy weapons and train to kill people. Madam Secretary, when I questioned you in committee about 30 potential risks on the list of security services, you stated in general terms that there is not much that can be done about them. That's insane. It is insane that a member of reprehensible organisations who want to undermine our country, who has already received disciplinary sanctions and who is on the list of security services, can train recruits and have access to heavy weapons. That is, of course, incomprehensible. Of course, this is not about ordinary civil servants. This is about people who learn to fight on life and death. I really wonder what would have happened if that man's first stop had been the market square of Leopoldsburg. The fact that no deaths have occurred today is not due to the fact that the man has not yet been shot. I find that really problematic. Mr Prime Minister, Madam Minister, I realise that it was only at the moment when he came up with heavy weapons that there was grounds for dismissal. That's a risk our society can't take. What legislation do we need in order to act more quickly and to ensure that such extremists do not have access to heavy weapons? Better yet, what do we need to get them out of the army before they become a threat to our society?
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u3	Madam President, Prime Minister, Minister, this is an implausible story! At the moment, there is a manhunt around an armed man suspected of attempting to attack a virologist and the structures of the state. Thus in 2021, it is possible in Belgium to be military, to be classified as an extremist on the OCAM list and to have access to weapons. We may turn it around the way we want it, it's the bottom of the problem. This fugitive is on a list of some 30 military personnel followed by the intelligence services, due to their alleged links with supremistic movements. Madam Minister, you have already had the opportunity to address this matter before this Parliament. You then indicated that this information should be interpreted carefully, in that it includes persons for whom the investigation might conclude that there was no form of extremism. Yeah, that's right. Being on a list as such is not reprehensible in itself. But I guess, I hope no military is on the OCAM list just for liking three Facebook photos or stealing dessert from the canteen. The main question is the following. What the hell! What may be the facts justifying that someone is on the OCAM list but does not justify that same person being suspended or excluded from the army? Honestly, that's my biggest and most important question. Moreover, do you confirm that some 30 people are still being monitored, classified, registered by the State Security in the army? Can you tell us how these potentially dangerous people are being monitored? Have they had access to weapons they can take to their homes or not? In the light of these events, do you not consider, as some have pointed out, that there is now a real problem in the exchange of intelligence between State Security and military services? If so, how do you intend to remedy it?
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u4	Limburg and by enlargement our entire country have been in turmoil for a few days. Meanwhile, a motorway is closed, a lot of worried parents keep their children away from school and all kinds of reinforcements have been brought in. The situation frightens the people of Limburg. At the same time, the military are being put in a bad light, while they are risking their own lives for all of us. It is therefore only logical that we should ask a few questions. Firstly, how is it possible that a professional military who has been on the OCAD list since June 2020 could still be carrying heavy weapons? Secondly, how is it possible that a military as a disciplinary measure, as it were, will receive the keys to the weapons depot? It's like letting a pyromaniac guard be a gas depot. Finally, how is it possible that no action can be taken against a military with an extreme right-wing mindset, which must be followed up? First of all, we at CD&V ask for a quick and in-depth investigation. It is sad that the army suffers unnecessary image damage in this way. Secondly, we call for clear measures to be taken on the basis of the results of this study. Finally, we would also like to call on everyone, including in the hemisphere here, to condemn extremism in every form. After all, words matter. Words on social media are the ammunition of individual loosened cases such as the fugitive military. Prime Minister and Minister, what steps will you take or have you already taken to initiate an investigation? What measures can we take to avoid such facts in the future?
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u5	Prime Minister, Minister, since yesterday we have been looking for a highly-armed professional military who stole four anti-tank missiles and other heavy weapons from the Leopoldsburg barracks the day before yesterday. We have very strong reasons to believe that the man in question intends to commit an attack in our country. That is quite striking, because the man is known to the military intelligence services and is catalogued on the list of the OCAD as a potentially dangerous extremist because of extreme right-wing beliefs and views and because of his contacts. The man was already subject to disciplinary sanctions for the spread of hateful messages and the expression of death threats on social media, including to Marc Van Ranst. That's why he was transferred, as it were, demoted from a military police officer's position to the logistics manager of weapons depots. So he had access to ammo. That's how the cat is put by the milk. The VRT described it strikingly: it is as if someone with an alcohol problem is being transferred to the cafeteria to be employed as a bartender. Prime Minister, Minister, how did that happen? Does this have to do with a lack of flow of information with the intelligence services or with laxity? Or do we minimize the influence of and the infiltration by the far right in the army? Whatever they may be, we are still in danger of being the victim of an attack by an extreme right-wing terrorist. Mr Prime Minister, Madam Minister, will you examine the military police, specifically with regard to screening of its candidates? (...)
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u6	Your time is up, Mr De Vuyst.
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u7	Prime Minister, Minister, the details of this manhunt have just been recalled by colleagues, with this potentially dangerous and heavily armed soldier. I am not going to go back to its history, but rather to focus on the very many questions posed by the situation that is happening today, which, let us say, must be particularly difficult to live for all those who are at risk. I am thinking in particular of Marc Van Ranst and his family. Minister, the situation was known, since the man's dangerous pedigree was well known not only to the security and intelligence services, but also to the Defence. He was in the sights of the Coordinating Body for Threat Analysis (OCAM) and was in the sights of the Military Intelligence Service, not for a month, but since last summer. According to several newspapers, he had been transferred from the barracks in Puisie to the barracks in Evere, in logistical assistance, while at the same time being responsible for the supply of weapons and ammunition. According to the newspaper Het Nieuwsblad, he had also been subjected to a new disciplinary penalty, which had led to the withdrawal of his security clearance at the end of 2020, for threats against Marc Van Ranst. Minister, what information did you have about this individual and his follow-up? How do you justify that a person registered by the OCAM and several times sanctioned by the army can still have access to weapons? What measures have been taken? I am thinking in particular of this potential role of influence with young recruits, since he was in charge, in particular, of shooting training. What initiatives have you taken to strengthen measures that were clearly insufficient? For the sole answer, you propose an internal investigation, but what do you really expect from an internal investigation, except that it does not break open doors, since the individual was already registered by the OCAM and had been sanctioned by the army? Madam Minister, we must take action. Screening is one thing, neutralizing is indispensable.
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u8	Madam President, Prime Minister, Minister, at this very moment, a heavily armed extreme right-wing radical, trained in combat and shooting by our National Defence, is on the run! We have no idea at the moment how this story will end and we can only hope that everyone will get away with it safely. The far-right terrorist threat within the Defence is not new. We know that some 30 radicalized people are present and active. My group regularly calls on the government to do so. The head of the intelligence services, in the media, and you, the minister, in committee, again assured us last month that the procedures existed to restrict the threat and that the danger was ultimately not so high. Today, however, we can only note that these procedures have not prevented a person registered by the OCAM from taking arms from a military base and leaving armed with those weapons. And be careful, it is not a question of small arms, but of rocket launchers, machine guns and handguns, of what to lead a true guerrilla! It's very challenging. Prime Minister, more broadly, we are wondering about the retention of these people in the Defence, but also of any potentially dangerous person in the public services, involving access to weapons and sensitive places. It is obvious that a person cannot be punished for his or her ideas from the moment when their expression remains within the framework of the law. In this case, this man was arrested in June 2020 for making death threats against Marc Van Ranst, the virologist. In addition, the Defence had itself filed a complaint against him for racism. Prime Minister, Minister, how is it possible that he was not left out? What procedures have been put in place to follow this person? What procedures are in place for other potentially dangerous individuals in other sensitive services? How is it that a radicalized person can remain a member of the Defence and have such easy access to weapons? How has coordination been achieved between, and within, the intelligence services and Defence?
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u9	Madam President, Prime Minister, Minister, the events taking place in Limburg pose a multitude of questions, first of all with regard to the political orientations of this individual. Were they issued within the military corps? Have they been propagated within the military corps? Then comes the question of the weapons that this ex-military was able to obtain. Minister, Prime Minister, how is it possible that he has had access to weapons as heavy as rocket launchers? How could they have been taken away? How could this process not be better controlled? Finally, what will happen with those 30 soldiers who have been under the supervision of the General Intelligence and Security Service (SGRS) for some time now? For me and my group, it is obvious that they do not have their place in the army and that they will never have their place in it again. The internal inquiry that you have launched, Madam Minister, must be quite clear and transparent about the information we are waiting for and that the entire Belgian population is entitled to wait.
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u10	Madam President, Prime Minister, Minister, I do not know whether to laugh or cry because we have a soldier who is so well trained that the rest of the army does not even find him. It's embarrassing. Madam Secretary, I do not know whether to laugh or cry, because someone who has been punished twice for extremist ideas, who has already lost his job with the military police, who has been arrested by the police and interrogated by the police and who is on the list of State Security, is given a runner to enter the arsenal. Madam Secretary, can you explain to me how someone could take four antitank missiles, a P90 automatic rifle, a handful of grenades, two thousand bullets, a handgun and a bulletproof vest unseen and uncontrolled? Can you tell me why the camcorder didn't work and that man wasn't filmed in our army? Madam Secretary, can you tell me why our State Security has not worked? However, we have two intelligence services and also the OCAD, which are responsible for monitoring the extremists, including some 38 extreme right-wing people, some 13 extreme left-wing people and others the jihadists. Madam Secretary, can you explain to me why that didn't work? Can you tell me why the ADIV, the General Intelligence and Security Service, which is there specifically for the army and for which 600 people work, is not able to monitor a military service there is only one military on the far-right list of State Security? Madam Minister, I really wonder whether the ADIV is an institution for the deaf and the blind or a security institution.
ParlaMint-BE_2021-05-20-definitief-55-plenair-ip105x.u11	Madam President, unlike the previous speaker, I would like to begin by expressing my thanks to our security services, who are looking hard for that military. I hope they're really successful. Colleagues, let this be a wake-up call. For those who haven't noticed, the extreme right is a threat to our society and to our security. Didn't we underestimate that threat? Actually, I do. Since 2016, our security services and our State Security have been focusing on the fight against jihadism, which is entirely justified, but we have already warned at that time not to lose sight of the other threat. Madam Secretary, the questions have to be answered. This is a right-wing extremist, ended by the OCAD, with a history of death threats. How on earth is it possible that such a person with an entire arsenal walks out under his arm? Four rocket launchers and a P90 machine gun, you can't explain that, can you? There have been mistakes and we want the necessary explanation. There are other questions. Were the army and its military unit even aware of its OCAD signaling? It should be. Is the story true that the person concerned was demoted to arms carrier because of previous racist statements on the Internet, so he simply had direct access to the weapons warehouses? That's putting the cat by the milk, isn't it? I can't reach that in my head. How strict is the control within the Defense Department, within our army, if someone, a military, wants access to weapons? In our opinion, it makes sense for that person to be able to submit a security clearance. I assume that a person who has been terminated by the OCAD or who is on a black list because of extreme right-wing sympathies will not receive security clearance. In that case, we weren't in the misery we know today. Madam Secretary, I look forward to your answers with great interest.
