ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u1	I would like to wish you all the best for 2021.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u2	Mr President, I would like to make a small point. We have only one question-and-answer session per month. About 30 questions a month, so that's not a lot. On the other hand, I would like to draw your attention to the fact that on Friday I was asked only six questions. On Monday, between 9 and 11 a.m., 16 questions were tabled, the last at 10:59 a.m. I would like to draw your attention to the work of the collaborators, whether in the offices or in the administration. My reflection is not on the number of questions, but on when they are introduced. We do not always have time to prepare complete answers. I wanted to report it. A session is little, but it leaves time to introduce the questions within a time frame sufficiently respectful of the work of the employees and the administration. I therefore ask colleagues to introduce their questions before the previous or last minute.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u3	The Minister expressed her concern about the quality of the answers. Of course, we're from a receperiod, which may be related to it.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u4	Mr President, Minister, ladies and gentlemen, I too would like to convey my best wishes to you. My question, which dates from 8 December, is about hydrogen, which has the wind in the sails. The European Commission's Green Deal is also strongly committed to this. Your colleague, Mr Van der Straeten, also has high hopes for the development of a 'hydrogen backbone'. It must help industry to turn to a carbon-free economy. The industry is already using hydrogen today. Today, however, this hydrogen is almost completely grey. This means that it is produced from fossil fuels. In addition, a lot of CO2 is released, as is the case with large gas plants. In 2018, it was a total of 830 million tonnes worldwide. Therefore, green hydrogen, made from water and produced from renewable electricity, although a lot of renewable electricity, should be expected. The Federal Planning Bureau calculated that the Belgian production of hydrogen would triple the demand for electricity in our country by 2050. There is also a serious cost involved. Between the two types of hydrogen is the so-called blue hydrogen. It is made of natural gas and therefore also leads to CO2 emissions. However, the industry has plans to collect and store CO2, but that process is not free of charge and it is not yet complete technically. That is why I have a number of specific questions for you. What is your view on the use of blue hydrogen in achieving European climate objectives? Do you think there is room for blue hydrogen despite the significant CO2 emissions? Secondly, the hydrogen hype is reminiscent of the excessive enthusiasm surrounding biomass and biodiesel with palm oil from a few years ago. These matters were first raised on the shield and then completely fell out of grace. Do you agree with me that we should be careful of over-shouting? Do you agree with me that it is important that all environmentally friendly technologies are given equal opportunities? Finally, producing green hydrogen costs a lot of renewable energy. How do you intend to respond to this? Isn't it better to use local green electricity directly as electricity?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u5	Mr President, Minister, ladies and gentlemen, my very best wishes. I did not submit my question until yesterday, but it is not new. Last month, in the context of the Green Deal and the EU's relaunch plan, I asked you what your position was with regard to the principle of technology neutrality in the EU Member States' investment policies in order to achieve their climate objectives. You gave me a clear answer on the use of nuclear energy and generic fossil fuels. What is the position of this government on the use of derived fossil technologies, such as grey and blue hydrogen, and what is its position on this at international level, is not entirely clear to me. We are deeply concerned that the EU's hydrogen strategy reserves a place for grey and blue hydrogen. As a result, we risk remaining dependent on fossil gas for decades to come. Both grey and blue hydrogen are produced on the basis of fossil fuel, gas. Happy blue hydrogen does in theory capture the CO2 produced. I say, however, in theory. The technology for Carbon Capture and Storage is a very risky and expensive technology, which has not yet proven its effectiveness. According to the report by Corporate Europe Observatory (CEO), the EU hydrogen strategy has been written under the strong influence of the gas lobby to justify investments in the fossil gas sector for decades to come, e.g. the controversial gas pipelines, and also to continue subsidising taxpayers' money with EU money. Can you therefore explain your vision and position on the use of EU climate money for investments in grey and blue hydrogen and that of the government in this respect? This gives us a better understanding of the role Belgium plays in these discussions at EU level.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u6	Mr President, Mr Raskin, Mrs Daems, hydrogen is a molecule that can be used as a raw material, as a fuel and as an energy vector. It doesn't emit CO2 when used and doesn't pollute the air. Moreover, it can play an important role in energy storage, in particular in the development of renewable electricity production that is not constant. That is why the European Union sees hydrogen as part of the solution to become climate neutral by 2050. You are right to point out the different forms of production of hydrogen. We have to recognise that production is currently based almost exclusively on fossil fuels, by steam reforming natural gas. Then we are talking about the so-called grey hydrogen, with CO2 emissions. That's not a sustainable story. For this reason, the European hydrogen strategy focuses primarily on renewable hydrogen and hopes that this approach will be mature by 2030 in order to be widely used, particularly in sectors that are difficult to decarbonise, where alternatives are not possible or exuberantly expensive. In addition, this strategy also recognises the role of other low carbon hydrogen technologies in transition and as a start-up of the logistics chain, including blue hydrogen. This is necessary in order to change existing hydrogen production, reduce emissions and improve the functioning of the market. My view on this is that I can support the European Commission's approach, but that we do have to work in a sensible way. I believe that priority should be given to energy efficiency and the further direct electrification of the various sectors. It is essential that hydrogen is used in the sectors for which there are no alternatives. After all, hydrogen production does not involve physics. For the same amount of power from windmills or PV panels, a battery-powered passenger car will drive almost three times as far as a car with a fuel cell. This is due to the low efficiency of hydrogen-powered vehicles and the electrolysis process to produce hydrogen compared to a battery. Also for heating the home, technology is difficult to compete with a heat pump on power supply. Where should hydrogen be used? As a raw material and in applications at high temperature in industry, as well as directly for the production of synthetic fuels for heavy goods traffic, shipping and aviation. When using blue hydrogen, it is also important to consider where CO2 capture plants make the most sense, where it is most cost-effective and where it can also be used in the longer term in sectors that are very difficult to decarbonise. In this context, I would like to draw your attention to the fact that there is also green-blue or turquoise hydrogen. It's obtained by not extracting CO2 but carbon from gas with pyrolysis, which is heating without oxygen. Although the technique is still in the demonstration phase, it has the advantage of producing a useful raw material alongside hydrogen, namely carbon, which is used in batteries, for example. In addition, pyrolysis on sustainably obtained biogas could lead to negative emissions in a further future. This is how we actively extract CO2 from the atmosphere. This is needed to stay well below 2°C warming. In addition, we are also looking at the possibilities of importing green molecules from countries with greater potential for the generation of electricity from renewable energy sources, which can thus produce green hydrogen at a lower cost. In short, hydrogen is a molecule with strengths and weaknesses, which can be produced in various ways. The aim will be to use these technologies intelligently and as cost-effectively as possible. For the policy choices to be made in this respect, we must inform ourselves as best as possible about system studies. It goes without saying that the Energy Minister is also in the process of doing so. Indeed, it remains important to look through the hype where hydrogen can make the greatest contribution to the transition to a carbon-neutral economy and to give the right incentives in a cost-effective way, so that hydrogen.........................................................................................................................................................................................................................................
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u7	Mr President, Minister, thank you for your comprehensive reply. I'm just trying to sum it up. I understand that you support the European approach, but you prefer to focus on direct electrification as a priority and that you only see hydrogen as a second solution where there are no alternatives. In your opinion, the blue hydrogen should be used very carefully, possibly temporarily, as there is still CO2 emissions. I understand that from your comprehensive answer. We'll follow up on the file together.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u8	Mr President, Minister, it is quite clear to us that only green hydrogen produced from renewable energy can have a place in the energy mix of the future. In your explanation, I have heard very little about the scaling up of green hydrogen that does not have the disadvantages of blue hydrogen. However, that seems logical, also from your point of view on cost efficiency. I am therefore disappointed in your answer, because you support the EU's approach to using blue hydrogen.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u9	Madam Secretary, my best wishes for 2021. It was originally two questions. There's been a referral to you. They are the same questions on the same subject. The European Council reached agreement on an increased climate target for the European Union during the early hours of Friday 11 December 2020. It was agreed that by 2030 the EU will reduce greenhouse gas emissions on its territory by at least 55% compared to 1990. This is in line with the European Commission's proposal. Madam Secretary, you were insane. You were very pleased with the climate agreement reached. However, the Flemish minister of Environment and Energy reacted quite negatively to the social media. I quote: 'The demand for a fair distribution of efforts was not followed up. Flanders remains behind without any clear guarantees about the further development of the European increase in ambition. Not a good thing." Mrs Demir, of course, refers to the commitments made at the meeting with DG European Affairs on Monday 7 December 2020, where the European Council was prepared. The Flemish Government had only given a conditional agreement there. The Flemish government set conditions for cost-efficiency and international flexibility. The whole discussion focused on the issue of cost-efficiency, whether or not included in the conclusions of the European Council. In conclusion 14 we read: "The objective will be collectively achieved by the EU in the most cost-effective way possible. All Member States will participate, taking into account considerations of fairness and solidarity; no one will be left behind. The new 2030 target should be achieved in a way that preserves the EU's competitiveness and takes into account the different starting positions, specific national circumstances and emission reduction potential." In conclusion 17, we read: "The European Council invites the European Commission to examine how all economic sectors can best contribute to the 2030 target and make the necessary proposals, together with a thorough analysis of the environmental, economic and social impacts at Member State level, taking into account national energy and climate plans and considering existing possibilities for flexibility." These are the texts on which the exegetes must bow and have bowed, according to Mrs Demir and her party. This has already been demonstrated by the Prime Minister's debriefing on 16 December. For the Federal Advisory Committee on European Affairs, the phrase "as cost-effective as possible" and the phrase "in a way that takes account of emission reduction potential" seem to be insufficient. It is not enough as a guarantee and therefore not a correct translation of the Flemish conditions. According to the Prime Minister's debriefing report, Mrs Demir's party, the largest party in the Flemish government, wanted the emission reduction potential to be more closely linked to cost efficiency. This means that efforts must be made in particular there, particularly by those Member States that can reduce their harmful emissions most cheaply and quickly. They must make the greatest effort. That was the condition of the Flemish government for a fairer distribution of efforts. It is unclear to me whether the Flemish Government is satisfied with the text on flexibility. For her, this was mainly about the possibility for unsuccessful Member States to buy off their deficits, including through investments outside the EU. This is also important for promoting the innovation that Flemish companies are achieving in terms of emission reduction. I am somewhat adamant as the lawyer of the Flemish government, but the Flemish interest certainly supports the concerns of the Flemish government. In his debriefing, the Prime Minister stated more than likely that you will repeat here later that there was still contact with the Flemish Government during the discussions and that it has been possible to avoid excessive concessions to the Eastern European Member States, including financial compensation. According to the Prime Minister, the texts are clear and the concerns of Flanders have been met. Mrs. Khattabi, are you strong at exegesis? I was pretty strong at that in my education. However, there is also, of course, the future. That might be even more important. After all, then the monkey will come out of the sleeve. In May, the European Commission's spreadsheets and analyses would be passed on to the Member States. Then there must be an intra-Belgian conversation. Of course, the announced reform of the ETS will also play a role. A number of sectors from the current non-ETS may also be introduced into the system. This will have an impact on the ultimate objective for Belgium in the light of the joint European achievement of the objectives. I would add that Flanders was not alone in its concerns about cost efficiency. Nine Member States shared this concern. Moreover, if the target is to be distributed cost-effectively among the European countries, the Benelux countries should do a little less than the average in Europe, not unimportant. We are talking about the current method of calculation, with Mrs Demir's request for a reduction in emissions going up to about 43 %. The Flemish target is, as you know, at the moment about 35% by 2030. We will see the final figures in the coming months. Madam Secretary, how do you read the conclusions? Did you think that the concerns and conditions of the Flemish government were effectively met? What can be the next steps, in the coming months, both at European and Belgian level? Mr President, it would obviously be a good thing if we in this committee were to be kept proactively informed by means of reports and exchanges of views. With the system of questions and interplays we follow the facts quite frequently anyway. That also proves today's arrangement. Of course, it took place, but asking questions once a month is not always the most suitable formula to play briefly on the ball and watch claims evolve proactively.
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u10	Mr President, Minister, the question that is now being raised is indeed somewhat dated, because it has been held in between, but this is also the fault of Mr Ravyts, who would like to have an interplay on this subject, so that the subject could not be discussed earlier, for example in plenary. Of course, Mr Ravyts has been granted it, and I say this with all due respect. The question may be a bit dated, but the subject is not at all. I also refer to your happy tweet, 'habemus pactum', the words you used to announce that the federal government had endorsed the European climate ambition. I apologise for making the same story as Mr Ravyts in a way, but you did not mention that Flanders would only agree if the European Council, strictly speaking, did not take into account two important conditions, namely cost efficiency and international flexibility. That was the agreement within the intra-Belgian consultation shortly before that summit. We must at the very least state that the Flemish condition in the conclusion is open to interpretation. In my question, I have also taken up one of the conclusions verbatim. Mr Ravyts also read them a few moments ago. So I won't do that again. The point, however, is that this is not guaranteed, as Mrs Demir has also stated. I have a simple question. Madam Minister, can you assure me that the above passage, which is also one of the passages to which Mr Ravyts referred, actually meets the two strict Flemish demands of flexibility and cost-efficiency, as formulated in the intra-Belgian consultation?
ParlaMint-BE_2021-01-12-definitief-55-commissie-ic326x.u11	Mr President, the European Council reached a historic agreement on the new European 2030 targets on the night of 10 to 11 December 2020. With the agreement, the European Union will assume its responsibilities and align the 2030 targets with the path towards a climate-neutral European Union by 2050. The European Union plays its leadership role at international level. I am pleased that many of our international partners take up the gauntlet and commit themselves to ambitious goals. That is absolutely necessary, because all reports indicate that warming is increasing. There are, for example, recent communications from the RMI that 2020 has been the hottest year ever since the start of Belgium and that ambitious action is urgently needed. As you know, the federal government, the Walloon Region and the Brussels-Capital Region have long supported the European Commission's proposal to reduce greenhouse gas emissions by at least 55% at European level by 2030. In the course of the Belgian consultations on 7 December 2020, a compromise was finally found between all governments to enable Belgium to support the newly proposed European target of 59%. Indeed, there was agreement on two points which needed to be better reflected in the conclusions of the European Council, so that everyone in Belgium can subscribe to the new objective. The first point is that the distribution of objectives between Member States must also take into account cost-effectiveness and not just fairness and solidarity. The second point was that additional flexibility should be considered by the European Commission to support Member States in achieving their objectives. It is important to know that during the consultation on 7 December the Flemish Region proposed to ask for additional flexibility, without explicitly referring to international flexibility mechanisms, as this would exceed a red line of other governments in Belgium and would therefore not be part of a shared Belgian position. Moreover, the discussion at European level concerned a domestic objective to be achieved within the borders of the Union, thus excluding the use of international flexibility by definition. Prime Minister De Croo defended these two elements very strongly at the European Council and ensured that both points were better anchored in the final conclusions. Conclusion 14 explicitly states that Member States' reduction potential will be taken into account in achieving the objective. The cost-effective distribution to which reference is always made is the distribution that the economic models of the European Commission obtain on the basis of the respective reduction potential of the different Member States. In conclusion 17, it is further specifically stated that the European Commission should take into account concerns regarding the sharing of efforts, fairness and cost-effectiveness. With regard to strengthening flexibility, it was added that the Commission is invited to review the existing flexibility mechanisms. This is very important and opens the door to both strengthening the existing mechanisms, in particular trade between Member States within the non-ETS, which I believe can still be greatly improved, and introducing additional flexibility mechanisms that do not undermine climate ambition. The final text thus reflects Belgian concerns. It is important to look ahead now and defend our achievements. In conclusion 19, it is stated that the European Council will continue to discuss this issue and provide additional guidance. The Flemish Region has already called for coalitions with other Member States which also attach importance to cost-effectiveness and flexibility. A few years ago, in the initial negotiations, we worked well with countries like Denmark and the Netherlands to defend our interests. However, I think it is extremely important to realise that these countries are the pioneers within the Union and have been defending an ambitious 2030 target for a very long time, while Belgium hesitated and stayed behind and moved on from the European leading group. We must stop blowing cold and hot at the same time and once again become a reliable partner in order to fully defend our interests together with our allies, to make European climate policy a social and economic success while at the same time significantly improving the quality of the environment.
