ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u1	The meeting was opened. The meeting is open.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u2	The next item is the discussion of the Government's statement. Mr President, I should like to speak on behalf of From Roover to the N-VA, who will have a 40-minute speaking time.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u3	Parliament's misconception as the core of democratic decision-making by the government usually remains within the bubble of that body. The outside world is not interested in that at first. I think it was rightly charged that the degradation of respect for our institution, which your government has shown over the past year, had a low point yesterday. When people at home have not only a CO2 meter but also an irony meter, it certainly began to beat in the red when you used the word respect yesterday. The fact that you even hated running away yesterday, while we just mentioned that we weren't allowed to come, is bizarre about the story. We had to respect a foot and a half away, when we all saw yesterday that it was respected from the moment the President uttered the words 'the sitting has been opened'. Everyone's gonna be at a meter and a half. Before that everyone in the halls is lofting together, but here it is suddenly put forward as a sacred principle. Let's face it, that's hypocritical. Point on the line. Anyway, passons. In the meantime, we're a day later, and that's an eternity in politics. We hope that the next year will be marked by a proper way of debating it. I don't know if I missed much yesterday by not listening to your State of the Union. We had already heard the press conference, where a great deal of information was given. More importantly, you were unable to communicate yesterday the long-awaited start-up of the government, I say not even restart. Your government statement in 2020, in the European Parliament, was an accumulation of words, words, words, perhaps run by an office by a positivo generator. Behind those words, however, were very few appointments. You paid the price for that. The government negotiations did not take place before this government was formed, but they were usually conducted in the social media and in the press, especially from the moment Corona was fortunately - somewhat out of the picture. The question was, what are we going to do together? After all, the coalition agreement that was presented last year was too hollow to provide jobs, too hollow to base a policy. That is why after that Corona year, which was rightly the priority for months, everyone was expecting the government to present itself now. However, anyone who was hoping for the big launch of the De Croo project was deceived. Those who were perhaps pleasantly surprised yesterday, and that will not have been a small part of public opinion, were those who watched the skirmishes that preceded your State of the Union, because expectations were so low; the quarrels, the clattering statements and the conflicting views were so manifest that everyone even thought that your government's engine would stop and that you wouldn't get anywhere. When the expectation pattern is laid so low, you may have pleasantly surprised a number of people, people who had expected nothing to happen, while just a little more than nothing has rolled off the bus. For those people, you may have already brought some nice news. Anyone who is waiting for a policy of activation, a policy that pays attention to the money, a policy of respect for the people who run our society in general and our economy in particular, who had hoped for a project, has been deceived. Besides, Prime Minister, the reason is not that you have no ambition. One feels between the lines that you have ambition to accomplish things. In fact, I think you have a desire to use your party's slogan. You have ambition and desire, but no force. This undoubtedly leads to the necessary frustrations. You can't do what you know should actually be done. After all, you have blocks on your leg on all sides. If we compare your government to, for example, a car, then yesterday you made it clear that it is still running, as it is popularly called, in ralenti. You drove him out of the garage and put him out front. The question of where that car is going and at what speed is absolutely not answered. After all, your dashboard has seven different route planners, all indicating a different path. Since you also have to respect those seven a little bit, it will be very difficult to get the car moving. If he moves, it's zigzag and sputtering. We have been able to follow in the press how this government statement of State of the Union was a kind of making or was. There's a lot of pastries, but I also heard you ate pancakes. They were served on ice. Apparently, you broke the ice too. It was the first time the ministers saw each other in person again, and I have the impression that, in order to improve the atmosphere, you have played a company game in the formatting of your text. That company game was "Ready your Empire"! Of course, that game was necessary, because the budgetary effort of EUR 3 billion, according to the IMF, brings us to the last place in Europe in terms of deficit. You yourself quoted the IMF yesterday, so you think this is a credible institution. They'll know where the bar is. EUR 3 billion is the absolutely minimum effort compared to our neighbouring countries and other relevant countries. However, you have lingered under the amount of EUR 2 billion. You mentioned it yesterday. Somewhere, the figure is 2.4 billion. But of this EUR 2.4 billion effort, half a billion is already being absorbed by new policies. It is not that this new policy is by definition open to discussion, for the sake of clarity. Let there be no misunderstanding about that. But that means that the net effort for state finances is obviously less than EUR 2 billion. How did you get that minimal effort? How did you get this amount? Of course, it's full of fried air. Some examples illustrate that. I shall begin with the evergreen, namely the fight against fraud. The tables say that somewhere in the middle, but when the budget is drawn up, this is the leftover box in the Excel file, which you say: "How much are we short? Call that anti-fraud." Last year it was an additional EUR 200 million and for 2022 it would be EUR 400 million. We have no idea at all whether the EUR 200 million, which was in the tables last year, has ever been achieved. Although some sort of anti-fraud plan has been presented, new taxes have been translated as anti-fraud, which is strange. Whether something really happened to that, we have guessed about that. In the meantime, this amount has risen to EUR 400 million and you want to go to EUR 1 billion during this reign. You want to get this amount out of the fight against fraud. Do you believe this? These are tricks to name a number you're hoping for. You'll probably say that's not true. There is already some compassion about the payback effects, but they must be part of a good policy. They are rightly included, but the question is how these effects are assessed. The extra jobs that would be created would be good for a return of 30,000 euros per job. However, the Federal Planning Office itself said in drawing up the electoral programmes that it would not be possible to estimate more than EUR 22 000 for this purpose. After all, it's often not about the best-paid jobs. However, you have raised the payback effect of 22,000 euros per job to 30,000 euros. With that fictitious figure, you have been able to spend your budget again with EUR 100 million. But what is behind this promise and raising that figure? I do not know whether we have received incorrect notifications, but it is strange that there are ten thousand additional jobs in these, whereas the tables contain 13,500 additional jobs. So you want to create 35% more jobs. I do not know what measures have been taken that have allowed you to suddenly increase your ambitions between the notifications and the final tables by a third. Why is that? What happened there? What I do know is that raising the ambitions in notifications to 13,500 additional jobs will bring EUR 100 million again in your table. Count your empire. This brings you EUR 100 million closer to the EUR 2 billion already limited in itself. Then there's the job creation. I was talking about 30,000 euros per job, but it's just a question of whether you have any chance at all of getting that number of jobs. Last year the Court of Auditors considered an estimate of EUR 400 million unbelievable. You are now moving towards EUR 1.2 billion by the end of the legislative term, without taking serious measures to create jobs. In that respect, I believe that this has been registered at the height of the game of mathematics. You will recall the discussion at the start of your government on tax fraud, in particular whether the amount was cumulative. You stumbled somewhat over your own numbers. Turns out you didn't control the table 100%. However, I remain cautious. Do I miss the fact that excise duties on tobacco are seen on the one hand as a burden in the table of additional income, but on the other hand they are used at the same time to reduce labour costs? I see these EUR 120 million appearing twice in the tables. If that's true, that's the game again, "Receive your Empire." You can make us wiser on that level. What has also helped to make the figures right was to make sure that they are obsolete today. After all, you once again do not take into account increased inflation and its impact on the index. Of course, this has a budgetary impact. We're not gonna find any of that. Can you explain that or is that also an element in the game 'Receive Your Empire'? To complete this minimum exercise, we must of course also ask who pays for the game. You do remember that somewhat crazy coalition agreement of yours, probably written by several ghostwriters. One wrote that there would be no tax increases and the other wrote that this could only be done in the context of budgetary negotiations. You have not missed the opportunity to introduce new taxes. I can see in the communication that you are bringing the peanuts, the tax cuts, very much to the attention of you, while of course forgetting to say what is going on. Let's stick to a dry number, Prime Minister. The taxes, by which I mean that what is being taken away from the citizen in order to harden the state's cash, increase by EUR 1.2 billion. This will give people back 225 million euros through the reduction of charges. Those are big numbers, but I'll make it very simple. If the citizen gives a 5 euro note to the government, then he gets a 1 euro voucher back, to be spent in various parts of the government store. That's the affair. You must buy that 1 euro receipt with a 5 euro note. That is the relationship between tax increases and tax reductions today. Our country is a record holder of grab sprayers because we are already at the top in the area of tax evasion, as your party does not fail to notice in uninhibited moments.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u4	Mr De Roover, I listen to you very carefully. I believe that our parties on the economic agenda share different views. Over the years, we've been proclaiming that, together, too. More specifically, if there are more people at work, the government will receive more revenue and have to spend less. The government is introducing a package today, which you cannot ignore. You have just said that we count ourselves rich and that we do not have any measure against the number of jobs that would be added. That's not serious, is it? I refer to the efforts made by Minister Vandenbroucke in the field of incapacity for work. A large group of people, especially in Flanders, is that a large reserve is disabled. Those who are really ill will not be harassed, but sometimes disabled people can still be led to another job. We'll find out what else people can do and guide them to a job. For the first time, that logic, which you defend with us on many levels, will really be implemented in practice. It will also be subject to sanctions if those who have to cooperate do not do so. We worked together in the previous government, but that was not possible in that government. When you left the Michel administration, there was a work deal on the table, which could not be carried out in its entirety by the fall of that government. Today, in terms of disability, there is a package for activation with a much more humane and clearer approach in the supervision of many currently inactive people. This includes a menu of more than 30 labour market measures, which allow regions, among other things, to work differentiatedly. This measure also comes at the request of the Flemish Government, in which we manage together. Another measure is that, in conjunction with the social partners, we offer flexibility, allowing people to organize their day autonomously. We'll escort people faster. The dismissal allowance is activated, so that people will be escorted to another job in a longer period of dismissal. Anyone who threatens to lose his job will be offered a path to a new job. All this is contained in a very concrete package of more than 30 measures. I would like to hear you say that we count ourselves rich and that there are no measures. Under the previous government, however, I did not see a package such as the one we are now proposing, which makes activation tough and offers a real perspective for the whole country towards increased labour market participation.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u5	You are a perfect illustration of what I have just said: you have ambition and desire, but you have no power of action. We share all your statements that you are defending here. Your colleagues at the Flemish level will manage to follow that path. They do not have to deal with a certain obstacle to which you are familiar. If you had made other choices with the formation of the government, you could have gained not only appetite, but also strength. You refer to the Summer Agreement, which has never been implemented. At that time too, we in the opposition offered to vote in favour of it. You rejected that. We had the majority then and we really do not need to be part of a government to pass laws. We have always offered to carry out that summer chord, but we found no answer. You probably didn't have any energy back then, but you didn't have any power back then either.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u6	I know, of course, the story your colleagues and other parties in the hemisphere tell, namely that if in our country certain factors in the south of the country were not to be included, not to mention the French-speaking parties, we would not have a problem and the labour market would be reformed, as you wish. In the previous government there was a Flemish dominance with three parties and there was one French-speaking party. Everything that's on the table here, you've never been able to do in that government and never been implemented. That was not possible because you dropped the government at the time. We are now doing what was left behind, in a humane and feasible way, with a view to increasing labour market participation. Under your previous government, that dream scenario wasn't possible at all.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u7	Mr Lachaert, I can only repeat that I would have liked to have heard you say that here after the fall, when we had the majority to do so. You did not give them at home at the time, you said you were no longer playing with the N-VA, even when we offered our votes from the opposition. So you could have carried out that summer chord. You refused to do that. Now you don't have to put that ball in our camp. We were available, you were deaf to our offer.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u8	Madam President, Mr De Roover, Open Vld says here to the N-VA that this government is pursuing a more right-wing policy than the Swedish Government. The Swedish Government has never dared to sanction long-term sick people. Mr Lachaert asks you here how you dare to lecture Open Vld, because this Vivaldi government is finally daring to impose sanctions on long-term sick people. What do you say to that? It is true that today's policy on long-term sick people is going to be more right-wing than that of the Swedish Government. Why don't you agree with him? Just admit that your Swedish government has not dared to apply a sanction and explain why Vivaldi dares today. Explain it, Mr. De Roover.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u9	Mr De Roover, Mr Hedebouw has made a point, but I think you should agree that a model in which we only push people towards benefits, as the PVDA wants, is a model of poverty. No other party with social concerns wants to go there. Mr Hedebouw, there is nothing more social than helping people with benefits, who are also walking the walls today because they are not active, to reintegrate into society. That's nothing more than a warm social story that fits me perfectly as a liberal.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u10	Madam President, I'm in a little bit of trouble. Mr Hedebouw asks me a question, but it is actually addressed to Mr Laaouej and Mr Lachaert asks me a question addressed to Mr Hedebouw. If we come to Parliament, can you not ask us questions instead of those who are not in the Chamber? Then perhaps the debate would be a little more orderly.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u11	Madam President, on this subject, it seems to me that in the Conference of Presidents we had agreed that the questions should be addressed to the speaker, not that debates should take place between the members of the Assembly or that we should not get out of it and see what we have experienced last year again: endless debates in which, after 40 minutes in the rostrum, the speaker spent two hours responding to the other parliamentarians and, above all, attending the debates between them. If we want to avoid this situation, we must return to the agreement reached at the Conference of Presidents and the consensus reached, and that the questions are addressed to the speaker, otherwise we will not get away with it.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u12	Madam President, I can reassure Mr Laaouej that I will not reply on his behalf. That's a part that doesn't fit me. We were talking about the pancakes and the "Receive your Empire" exercise. Meanwhile, the question has been asked who will pay. Mr Lachaert, one pays 5 euros and in return one gets a voucher of 1 euros. That is the fiscal exercise in this budget. Where is the third rule of the coalition agreement? That rule is: a third savings, a third taxes and a third'rest'. The latter are, of course, also taxes, but with a different name. If we look at the numbers, 50% of the effort is taxes. A third is not equal to 50%, but 33,33333%. You do not make bad choices with certain tax decisions, there are good, right choices. Our tax system is absolutely reshapeable. I hope that the Minister of Finance will make us happy in the future. Certain taxes have a logic that is no longer justifiable today. The big question is, of course, whether you see this tax reform as a way of filling up the state's cash, which is happening now, or as a way of shifting taxes from those who are paying too much today to those who are paying too little today. For that second choice, we are your ally. However, you make the other choice. You are increasing the attack that word is well-chosen on the citizen by another EUR 1 billion more than that 50% we already pay in taxes today. One example is the fight against fraud. I wish you every success, because anyone who cheats is breaking the law. There can only be zero tolerance policies for this purpose. If you finally catch the naughty people who evade taxes, shouldn't the revenues serve to lower the tax bill of the good people who have paid too much taxes for years because of the less income due to fraud? In that exercise we are absolutely your ally, but it is not that exercise you make: you throw everything on a pile, as an extra income. The energy bill, which you unpack with, does not decrease but shifts from one category to another. It is the middle class that comes out and will have to pay an extra EUR 600 million in its own pocket to ensure that 20% of the population can make use of it. This while you want to give the impression that you're doing something for everyone.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u13	Mr De Roover, I listened carefully to your speech and heard some slogans that would undoubtedly do well on Twitter. The reality is, however, that we are here in Parliament and after 23 minutes we have only heard criticism, but no proposal at all. What would the N-VA do about the energy bill? I'd like to hear that from you. Would you reduce the VAT you raised yourself a few years ago? Would you hand out cheques and go beyond what the PS had proposed? I think we know the answer to those questions. Two weeks ago, in the September declaration of the Flemish Government, it appeared that the N-VA would do nothing. Well, we choose to lower that bill for 2 million Belgians and to extend the social rate for that large group of people and to better protect all families from price increases, to improve consumer protection and to ensure that every family is ultimately better protected. I repeat: I would like to hear from you what the N-VA would propose to reduce the energy bill.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u14	It is very bizarre that the Flemish Government is being placed on the dock, while, for example, it has reduced 7% of the charges contained in the invoice while your federal government increased them by 15% before we talked about increasing the energy bill. The Flemish Government, which continues its efforts, but which is divided among the broad population, has therefore taken action at a time when Mrs Van der Straeten was still increasing the invoice. Mrs. Depraetere, you remember Deborah. She's falling out of the boat, you know that. Deborah is a cashier at Aldi's, and if her husband is a mailman, they're out of 20 percent. Then they are the ones who will somehow have to cough up 600 million and will not benefit from your measure. You give the impression that this is a measure enjoyed by a broad group of Flemings or Belgians. But reality is different, Deborah falls out of your energy boat, Mrs Depraetere.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u15	Mr De Roover, I would like to correct a factual error. You say that this government first raised the invoice by 15%. That is wrong, this government has not taken any measure to increase the invoice. No doubt you refer to the cost of offshore wind energy, which has happened here before. However, that is the policy of the previous government. This was not only the case with the previous government, it was a firm practice in energy policy to automatically charge increased costs to the invoice one by one. We have just put a stop to this by introducing the energy standard. This means that costs are neutralized and exemptions are applied. The invoice is therefore no longer a second tax charge, it is being reformed for the first time. As a result, it also sets up a dam against the price increases you have just set an example of.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u16	Madam Secretary, those are fine intentions.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u17	Mr De Roover, you spoke to me about Deborah and I would like to respond. If you knew her a little bit, you would know that she has just been ill for a long time and that the choices made here will allow her to return to her job more quickly, that she will be more quickly integrated into the labour market, that she will be able to get a net higher wage, that her health care, her mental care and her dental care will be better reimbursed and that if she retires her minimum pension will be higher. Those are the choices this government makes.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u18	Actually, I'd advise Deborah not to look for work, because she'd lose her energy bonus. That is what is happening today, and that is the illustration of the inactivity policy you are pursuing.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u19	Mr De Roover, that too is factually wrong. The broad social tariff target group concerns those who are entitled to increased benefits, and in most cases they are those with modest incomes, such as cleaning women. I'll be there in a minute. What you're saying is actually wrong.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u20	Mrs Van der Straeten, you can stretch that 20% as much as you like, but you keep ignoring 80% of people. You know what I think, Mr. Van Quickenborne? I don't think you're interested in the working, active Flemings anymore. You leave them in the cold, you do not think it is necessary as a liberal to protect and defend the engine of our economy.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u21	Madam President, Mr De Roover, this government makes very clear choices. Take energy now. People face an energy bill that can rise by up to 700 euros annually. This means that energy poverty in our country is increasing. This government feels it is normal to provide an answer to that. That is 2 million Belgians, and it costs a lot, but this government does. The social energy tariff is being strengthened and extended. Besides, we're moving on. In addition, we introduce an energy standard whereby the federal government fully accepts its responsibility with regard to the federal part of the invoice and ensures that price increases are blocked by converting taxes into excise duties, as a buffer against further increases in energy prices. That's for the benefit of the families. This will benefit the companies. We have been praised for this. Do you know whose? From TestAchats, from the VOKA and from the poverty organisations. Mr De Roover, that proves that this government's energy policy is tailored to everyone and meets the diverse needs and needs of our society. And we're proud of that. That is an ambition and realization that can be seen. The following may have been a little bit under the radar, but I'd still like to present it to you. Debora is also faced with energy bills that are not really transparent, with energy companies that sometimes allow abuse, which sometimes raise advances when they really don't have to and aren't necessary. This government, under the radar but still, has taken the decision to make the energy bill more transparent for everyone, to prevent abuse and thus protect the consumer. Mr De Roover, that too is a measure that can be seen. That goes together with something you have not actually mentioned, namely a reduction in charges, wide and for everyone. After all, we are going to reduce the crisis contribution to social security. It's about 300 million, and it meets, again, all the people who work. This government has therefore taken a wide range of measures.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u22	Mr De Vriendt, you have not listened carefully. If you give a 5 euro note to the government, you get a 1 euro coin back. That's the coin I was talking about. You can now sell it a thousand times as a giant exercise, but you pay five times more for it. People are actually looking at their invoices. The government is making efforts to keep the advances on the energy account in check, but beware, the final statement will remain the final statement. There too, people are in danger of being turned in front of their eyes. We'll see how this is done. If you carry out the exercise of the shift to excise duties, you may be able to influence the energy bill, but that means that it will end up in the general budget. This means once again that it is the taxpayers who sooner or later take the fall for it. You're not wiping out the bill. There's no sugar nut coming over for a treat. The pit from which you will get the money to carry out the change remains the well filled by the taxpayer.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u23	Mr De Roover, of course I share the criticism that 80% of the population will not be helped. That's a real social problem. After all, what is called the middle class is the working class in the broad sense. When you talk about cleaning women who can get the social rate, that says a lot about wages paid today in Belgium to a large part of the working class. But I don't understand something. If the N-VA wants to stand up for the middle class, can you tell us today that the party regrets the VAT increase it made from 6% to 21% under the previous legislature? Dear N-VAs, you may think that was a mistake today. If there is a measure that has affected the entire population, including the Flemish middle class, then it is the VAT increase. That is why my question is very clear. Mr De Roover, do you think that today we should reduce VAT from 21% to 6%? I have heard that Mrs Demir might not be against it. But she didn't remember it so well. That is why I am now officially asking the group chairman of the N-VA: are you in favour or against the VAT reduction from 21% to 6% on gas and electricity?
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u24	Mrs Demir referred to the suggestions made in the majority, but a reduction in VAT is not at all our proposal. We have reduced it, because the VAT reduction actually meant that an index jump was avoided. At least that was the intention of then Minister Vande Lanotte and of the Di Rupo Government. A seemingly social measure was introduced which resulted in wages not rising. We do not lend ourselves to such an exercise. That is the official answer to your official question.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u25	Mr De Roover, that's bullshit, of course. The right-wing parties want us to believe that we are best placed to argue for a general VAT increase, so that all our wages increase. C'est n'importe quoi. I thought the index overrun was only followed afterwards. Your reasoning is not correct. The right-wing parties just want the whole middle class to keep paying. 21 % VAT is levied on a vital asset, namely gas and electricity. From a social point of view, that is unseen. You agreed to that with me. Today, you're trying to make us think you support the middle class. When your party supplied the Minister of Finance, you simply let the people pay. Your credibility as right-wing party to propose socially just measures today, c'est zéro pointé, a fat zero.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u26	As long as the criticism of Minister Van Overtveldt's policy comes from communists, I am quite confident that his policy was a success.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u27	Bravo! (..)
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u28	Mr De Roover, allow me to comment on the last point you have just made. First of all, I think you are making some miscalculations in the calculation of EUR 5 and EUR 1. In particular, you also include things that have already been introduced in a previous legislature. I'm naming the securities tax. You calculate the securities tax, which actually existed in the previous legislature and for which we simply restored the legal text after the judgment of the Constitutional Court. That's why I think your math is wrong. Secondly, I come back to the energy prices that are swinging out of the pan, a point which you are quite right to raise and about which people are addressing us on the streets. We have taken measures for the most vulnerable, as they are the most affected. I hope that the N-VA will support those measures for the most vulnerable. By the way, and with this, I repeat to your last remark that we are not doing anything for the middle class - the measures which the Minister has cited are of benefit to everyone and therefore to the middle class. Of course, you can get one fragment from the budget that is going to be presented here. However, it is the whole that counts. The whole thing is that we are reducing costs, which for the first time is also very directed towards the middle class. Of course we have done so for the low wages. We shall now do so through the special social contributions. We are doing this in stages in order to be able, of course, to bear the cost of the measure. This measure is aimed specifically at the middle class. I will not give you a history of politics here, but what previous governments did also does today's government. It caters to the middle class by ensuring that people can get to work, including people who are struggling to get to work, people who are partly ill, people who need additional training. That is what we do with very targeted measures, which will result in thousands of additional jobs. A job provides a higher income, which also benefits the middle class.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u29	Mr De Roover, you claim that we are not wiping out the accounts, and Mr Hedebouw talks about it as if 80% of families are not doing anything. I think you did not understand Mr De Vriendt's point. For example, in relation to consumer protection, we have all jointly adopted a bill that will eliminate dormant energy contracts from 1 January 2022. This will mean that consumers who had an old and expensive contract will now have to pay less than EUR 700 per year on average, according to the CREG calculations. That money does not come from the government's pot, but from the profits of the energy companies. Consumers must be properly protected. Today, the major problem in the market is the lack of transparency. Indeed, many consumers can't live up to their energy bill today. That is why the government is working to disseminate energy bills on a single A4 and the present agreement contains all kinds of measures that are of interest to consumers. Who are the 80% users who have problems understanding their invoice. That's like the consumers. We are taking steps forward in addressing this problem. You're talking about the fact that we don't turn away accounts. But our measures will make a positive difference for many citizens, given the rise in gas prices.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u30	In fact, this was also a question for Mr Hedebouw, but he will not intervene until later. I hope, Mr Verherstraeten, that I will get to that point. I do appreciate that, unlike the declaration of government, you are having a debate now and that there is an exchange of thoughts now. Of course, that bothers me when I finish my speech, but that does give me the opportunity to react. But you continue to stress the EUR 1 that we get in exchange for our EUR 5 note. And you keep your mouth shut about the 5 euros. That's the point. You say you're pulling out one fragment. No, you're taking out one euro. You take out the good news, and you don't tell me what the cost of it is. So you're the one who looks at the tables very blindly and very nearsightedly. It has always been said that the tax shift of the previous government was not financed. What does that mean? This means that we have returned more to society than the government has taken them away. That's the bottom line. And here's where the opposite happens. Your tax shift has been overfunded. You pay double and heavy for it so that in the long term people will get a little back. Colleagues, I want to talk about the reforms.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u31	Mr De Roover, I do not wish to disturb the construction of your speech. I would be happy to move on to your next point, but could it be that I have not received an answer to my question as to what the N-VA would do about increasing energy costs?
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u32	We are discussing the State of the Union, not an alternative government statement, but you know that Mrs Demir is taking 200 million euros of measures, which are spread widely across the Flemish middle class. Moreover, as has already been said by Mr Wollants, and I believe that it will also be discussed in the debate on the subject, we have said that the government should not benefit from the additional revenue from a tax increase. The government can't enjoy that.
ParlaMint-BE_2021-10-13-voorlopig-55-plenair-ip129x.u33	That was our point, too. We said that right away. The government must not make a profit on the increase in the energy bill. That is exactly what we are doing now.
