Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	Ecolo	Ecologistes Confédérés pour l'Organisation de Luttes Originales	Coalition	Centre-left to left	MoutquinSimon	Moutquin, Simon	M	1987	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	VanLangenhoveDries	Van Langenhove, Dries	M	1993	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	BriersJan	Briers, Jan	M	1953	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u12	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u13	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u14	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u15	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	FranckenTheo	Francken, Theo	M	1978	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u16	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Chairperson	MP	notMinister	Open Vld	Open Vlaamse Liberalen en Democraten	Coalition	Centre-right	VandenputTim	Vandenput, Tim	M	1971	
ParlaMint-BE-en_2021-08-26-definitief-55-commissie-ic564x	ParlaMint-BE_2021-08-26-definitief-55-commissie-ic564x.u17	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 26-08-2021	2021-08-26	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	CD&V	Christen-Democratisch en Vlaams	Coalition	Centre to centre-right	BriersJan	Briers, Jan	M	1953	
