ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u1	Mrs. Depoorter cannot be present.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u2	The launch of the new cooperation programmes for governmental cooperation is extremely important. In recent years, new portfolios have been launched with Benin, Senegal, Guinea, Rwanda and Burkina-Faso. For various reasons, this was not the case with the nine other partner countries and we now need to make an effective catch-up. I can inform you that I have already started preparations for a new cooperation book with Palestine and Niger. In addition, I also launched a new type of thematic portfolios that will include projects in different partner countries. This is a thematic portfolio on environment and climate in the Sahel region and a second on social protection in the Great Lakes region. In all these processes, the first preparatory steps have been taken and I expect to be able to send an instruction letter to Enabel in the short term. Enabel can then start with the further, concrete elaboration. When re-launching the programming, I give priority to the partner countries where the implementation of the current programmes is advanced and where the political context and dialogue allow for a new cooperation programme. The latter is not yet the case in Burundi, despite the cautious signs of greater openness on the part of the Burundian Government. In order to ensure the continuity of our support for the people, my services are studying the possibilities of extending the ongoing programmes of governmental cooperation in Burundi. These were previously reoriented towards direct support from the population. During the dialogue with the Burundian partners, together with the other European donors, we will continue to press for concrete progress in the areas of human rights and political space. In Mali, we have to take into account the fact that there is a temporary transition government in power. We will check whether a short bridging program is possible. With the DRC and Uganda, extensive transition programmes were drawn up under the impetus of my predecessor, the implementation of which was recently launched. The launch of a new multiannual programme will be reviewed later in the year. Finally, in Morocco, Mozambique and Tanzania, the implementation rate of the current programmes is still too low to start with the new programming cycle. During the various stages of the preparation process of a new cooperation programme, the analysis of the fragility of the partner country concerned is given careful consideration in the selection of priorities and modalities of implementation. I will also always ask Enabel to identify the appropriate operational partners for implementation, who can assist the Agency. Achieving the stated development goals is a priority here. The list of partner countries for governmental development cooperation will be reviewed in the course of the legislative period, but I now give priority, in the short term, to restarting programme cycles in the current partner countries. In any case, when reviewing the list of partner countries, I would like to continue to focus on the least developed countries and fragile states.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u3	Madam Minister, it is useful to have regular updates here in Parliament of our bilateral cooperation programmes, from government to government. The choice of fragile countries is not evident. This indeed means that parts of programmes sometimes have to be put on hold or stopped. That is a pity, of course, because the resources are there. That is why I am rather charmed by an approach that you mentioned at the beginning, namely to work thematically, across regions, which makes it easier to switch from one country to another. In the long term, we cannot maintain the current practice. The resources are available, but the flexibility to move from one programme to another is too limited. It could perhaps be considered in the evaluation of partner countries to work with regions. If it is true that certain programmes cannot be implemented as a result of conflicts, human rights, corruption, then we do not have to leave the money behind, but we can switch to another country, with another partner. I will therefore ask you regularly what the updated state of affairs is, how far the evaluation is going and in what direction we could work. In any case, we can certainly support a thematic approach with regions.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u4	Debates of the European Parliament Mrs Depoter's 55013558C is converted into a written question.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u5	Madam President, ladies and gentlemen, at the fifth session of the United Nations Committee on the Status of Women, the conclusions will be negotiated on the following priority themes: the full and effective participation of women in decision-making in the public sphere, the elimination of violence, the achievement of gender equality and the empowerment of all women and girls. The adoption of these conclusions is by consensus of all members of the United Nations. The European Union shall conduct the negotiations on behalf of the Member States. This means that a pre-established European Union position serves as a basis for EU negotiators in New York. In the past year, opposition to the gender equality agenda has come from conservative countries that question the acquis of gender equality. This was also the case in the EU where Poland and Hungary have been defending this conservative position for years. In coordination with countries that share the same views on the issue, Belgium is still actively involved in the EU negotiations and advocates for the most progressive final outcome possible, in particular with regard to gender equality, the Council of Europe Convention on the Prevention and Combating of Violence against Women and Domestic Violence. Our country is also actively contributing to the global negotiations within the framework of the European Union. Belgium advocates, inter alia, for an inclusive and holistic approach to women's participation in all areas. The other important aspects highlighted by Belgium are the fight against gender-based violence and structural inequalities, the agenda "Women, peace and security", the important role of civil society, recognition of the existence of different forms of families, social protection and the role of girls and young women. With regard to the strategy to be adopted, following the election of Joe Biden as President of the United States and the revocation of the Mexico City Policy, Belgium will continue to defend, in all international forums, a progressive mink and a strong language in favour of gender equality and health and sexual and reproductive rights. Belgium opposes the attacks orchestrated by the conservative countries and has coordinated with its like-minded partners, in particular through the Nexus network, to defend the acquis and promote its concepts in the actions of the various multilateral organisations it finances and with which it works actively. In addition, Belgium continues to implement its third National Action Plan "Women, Peace and Security" 2017-2021, which is applicable to the partner countries of the Belgian Development Cooperation and whose priority is to combat all forms of violence against women and girls, and more specifically sexual violence.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u6	Minister, thank you very much for your answer. Although I doubt it, it is still useful to hear that Belgium remains at the forefront of a progressive position in the European debate. We know that there are many attacks in the European Union. Belgium must therefore remain as mobilized as possible. Since the issue of sexual and reproductive rights was not strictly sensu on the agenda, I imagine that negotiations were all the more difficult. We look forward to seeing what this will give us in the coming days. I think your firm was represented. With SENSOA, we were able to consult the IPPF, which reminded us that macho politicians now covered almost 50% of the world's population and that there was a major challenge to defend Belgium's position internationally. I thank you, therefore, for reassuring us in this regard. We will present this theme on the occasion of other questions relating to the operationalisation of the Belgian programme. In any case, I thank you for the work done upstream.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u7	Madam President, Madam Minister, I have not yet questioned you about this legislature, so this is a nice reunion. I did send you a letter to wish you good luck, and you know I mean it. I have a question about Yemen's story. It is clear that humanitarian aid is being given to the Yemeni people, especially in view of the fire in a refugee camp this week. The previous governments have always done the same. How exactly will the 5 million euros of aid be provided? We are all looking very closely at the situation there, with this terrible civil war, yet another in the Middle East, and we feel a great deal of solidarity for the people. However, I have commented on social media when reporting on this because I personally am disturbed by the hypocrisy that exists. It doesn't exist on the Flemish side, so you certainly don't have to feel attracted to it. Flanders has been ahead for years when it comes to supply attestations and weapons permits, but this is not the case in Wallonia. I always look with great eyes at how money is being given to Yemen, knowing that the Walloon government is supplying weapons to FN Herstal through weapons permits to the Royal Guard of Saudi Arabia. Those weapons are still popping up in Yemen. We shouldn't be getting silly about that. This is proven in many international reports. That makes it very difficult for me to bear the fact that we are giving EUR 5 million of tax money to Yemen and, on the other hand, we are financing and even supplying arms to carry it forward. This is done through the Walloon government and through parties that are also part of the federal government, such as Ecolo. Ecolo, who is always ready to give moral lessons to the whole world, and the PS, also a champion in moral lessons, and the MR. They give weapons to the Saudis used in the civil war in Yemen, causing more deaths and injuries. Then we spend taxpayers' money to help the victims. I find that to be an improbable cynicism. I'd like to discuss this with you, Madam Secretary. I would have liked to have heard your views on that.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u8	Mr Francken, first of all thank you for the congratulations. I haven't had a chance to speak to you personally, because the corona measures do not make it clear that our normal meetings will continue. We all miss the physical visit. Let me outline the situation in Yemen. More than 20 million people depend on humanitarian aid. According to the UN, at least 5 million people would be on the verge of famine. Furthermore, 16 million people do not know when their next meal will come. We must not look away from that and that is why I took part in the donor conference for Yemen on 1 March. As usual, the donor conference was organised by the UN, in cooperation with Switzerland and Sweden. Additional funding for the humanitarian crisis in Yemen is necessary because there is a large shortage of resources and because there is a threat of acute famine. That was also the case last year. This year, the UN indicated that it needed around EUR 4 billion to meet the needs of the Yemeni people. In the end, EUR 1.7 billion was raised. Belgium released €5 million for the humanitarian crisis in Yemen. I have chosen to provide this support through the humanitarian fund in Yemen coordinated by the UN. Through this fund, funds can be released quickly and effectively and redistributed to the humanitarian organisations active in the field, including local organisations. Of course, humanitarian aid will not resolve the conflict at the root of this crisis. A political solution is therefore necessary. International humanitarian law must be respected and a ceasefire throughout the country is therefore necessary. I also took part in the donor conference earlier this month to show that we have not forgotten the people of Yemen after six years of conflict, that we do not want this crisis to be forgotten and that we will never tolerate hunger being used as a weapon. Belgium has repeatedly argued in the UN Security Council for unrestricted access to humanitarian aid, respect for international humanitarian law, protection of children and a ceasefire throughout the country. Belgium is no longer a member of the Security Council but will continue to make this plea. More than humanitarian aid, the Yemeni people need the silence of weapons. It is therefore my view that we must do everything we can to ensure that Belgian weapons, both of Flemish and Walloon, do not end up in the conflict in Yemen. In the run-up to the donor conference, I had an inspiring conversation with Muna Luqman, a very strong Yemeni woman. They are women like those who inspire me and make the difference, they create hope in this very dramatic situation. She said that our children deserve a better future and I am convinced that we can contribute to that future. The people of Yemen must not be forgotten. Mr Francken, you know that approving licences is a matter for the regions. I have given you my position and I will use every opportunity to make that clear. I am in favour of policy coherence, because we cannot provide aid on the one hand and maintain the conflict on the other. That is why I call on the regions to take this into account as much as possible.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u9	Madam Secretary, your honesty and your answer grace you. I have never had a real discussion with you about development cooperation and how it is best organised. I hope you might be able to meet my sister briefly, or maybe that's already happened. She'll tell me if she does. I think it is important to continue to give our humanitarian aid to areas in war situations, especially when those areas are close by. The Middle East is close. We have often made a mistake, and certainly with the Syrian civil conflict, which has led, among other things, to a very serious asylum crisis and to attacks by returned IS fighters. We must realise that. I therefore support the support given to Yemen in its own right. However, I think it is important to have the courage to sue for a piece of hypocrisy. It is completely inappropriate that those who always teach great moral lessons here, through the Walloon government, only shareholder of the weapons factories FN Herstal, indirectly supply weapons to the war in Yemen. On the one hand, federal tax money is being distributed for aid to the victims, on the other hand, the Walloon Government makes a lot of money in selling arms to the Saudi Guard. I think that's an unlikely hypocrisy. I will therefore continue to raise this issue, even though I understand that those concerned do not like to hear it. Madam Minister, I understand that you will do the same, even though, of course, you respect the institutional reality of this country. This is not at federal level, but there are consultation committees and other meetings. It's about your coalition partners, by the way. Since we live in a participation, the presidents are the real bosses. So you know perfectly where to bring that up. You have made that commitment today, and I will continue to question you about it. In my eyes and in the eyes of my party, that must stop immediately. Let's make that very clear.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u10	Minister, I am asking you this question as part of the World Day to Combat Female Genital Mutilation (FGM). During that day, civil society again focused on this fundamental violation of women's rights and integrity. This February 6 reminds us that there are still too many victims of this practice in the world. WHO estimates that more than 200 million young girls and women, still alive, have been subjected to sexual mutilation in 30 African countries, the Middle East and Asia, where such practices are concentrated.
ParlaMint-BE_2021-03-10-definitief-55-commissie-ic404x.u11	Madam President, Madam de Laveleye, today, female genital mutilation is unfortunately still common in some 30 countries in Africa, Asia and the Middle East. They violate the human rights of girls and women and violate their physical integrity. They reflect gender inequalities and violence against girls and women. Gender equality and the rights of children and women are among the priority dimensions of Belgian development cooperation. I am committed to making gender equality a key priority and to considering reproductive sexual rights as a cross-cutting priority. In order to ensure sustainable change, it is essential to involve public authorities at the national and local levels as well as communities to prohibit the practice of female genital mutilation. Real teamwork is needed: communities, schools, local governments, international agencies, religious leaders, women and men, NGOs and bilateral agencies. Belgium is a contributor and member of several United Nations bodies, institutions and conventions for which the fight against female genital mutilation is a central issue. These include UNICEF, the United Nations Population Fund (UNFPA), the World Health Organization (WHO), the Convention on the Elimination of All Forms of Discrimination against Women, the Convention on the Rights of the Child and the United Nations Commission on the Status of Women. Belgian Cooperation supports the overall mandate of UNFPA and UNICEF through an annual contribution to the general funds with €9 million and €15 million respectively. To this end, UNFPA and UNICEF have led the largest international programme to accelerate the abandonment of female genital mutilation. With regard to the budget allocated between 2017 and 2019, almost 30 million euros have been specifically committed to sexual and reproductive health and rights for ongoing interventions. Belgium finances bilateral programmes on sexual and reproductive health and rights via Enabel. We are also contributing to the financing of UNFPA Supplies, which affects 17.9 million women annually in 46 countries, including 12 of Belgium's partner countries. In addition, Belgium funds interventions specifically to combat female genital mutilation through non-governmental cooperation with partners such as GAMS and the NGO Le Monde, according to women. These specialised Belgian organisations are subsidized through non-governmental cooperation. Since its last management contract, Enabel has had autonomy in determining which partners are best placed to implement bilateral cooperation programmes. The same applies to multilateral cooperation and specialized agencies such as UNFPA and UNICEF, but also to non-governmental organizations. My administration is proud to encourage the exchange of expertise and practices, particularly within Because Health and its working group on sexual and reproductive health and rights. In addition, exchanges of experience at the level of the Gender and Development Advisory Council also allow the various Belgian actors to have access to information on topics related to gender inequalities.
