Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u1	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u2	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBleekerEva	De Bleeker, Eva	U	-	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u3	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u4	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u5	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBleekerEva	De Bleeker, Eva	U	-	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u6	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u7	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u8	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBleekerEva	De Bleeker, Eva	U	-	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u9	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	PS	Parti Socialiste	Coalition	Centre-left to left	RigotHervé	Rigot, Hervé	M	1974	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u10	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	LoonesSander	Loones, Sander	M	1979	
ParlaMint-BE-en_2021-02-10-definitief-55-commissie-ic373x	ParlaMint-BE_2021-02-10-definitief-55-commissie-ic373x.u11	Belgian parliamentary corpus ParlaMint-BE-en, committee meeting of 10-02-2021	2021-02-10	Committee	Zittingperiode 55	-	-	-	-	COVID	English	Regular	notMP	notMinister	-	-	-	-	DeBleekerEva	De Bleeker, Eva	U	-	
