Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U1	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U2	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U3	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U4	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	p_sibul_19771231	Sibul, Priit	M	1977	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U5	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U6	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_jufereva_skuratovski_19791011	Jufereva-Skuratovski, Maria	F	1979	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U7	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	p_sibul_19771231	Sibul, Priit	M	1977	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U8	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U9	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	i_sooäär_19690313	Sooäär, Imre	M	1969	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U10	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	p_sibul_19771231	Sibul, Priit	M	1977	
ParlaMint-EE-en_2021-05-13	ParlaMint-EE_2021-05-13_U11	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Thursday, 13.05.2021, 10:00	2021-05-13	Unicameralism	XIV Riigikogu	V regular session	-	2021-05-13	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	m_helme_19760424	Helme, Martin	M	1976	
