Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U1	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U2	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	-	Centre-right to right	u_reinsalu_19750622	Reinsalu, Urmas	M	1975	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U3	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U4	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U5	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U6	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U7	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	o_kask_00000000	Kask, O	U	-	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U8	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U9	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	o_kask_00000000	Kask, O	U	-	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U10	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U11	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U12	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	a_mikli_00000000	Mikli, A	U	-	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U13	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U14	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	o_kask_00000000	Kask, O	U	-	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U15	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U16	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U17	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	o_kask_00000000	Kask, O	U	-	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U18	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U19	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	o_kask_00000000	Kask, O	U	-	
ParlaMint-EE-en_2021-08-30	ParlaMint-EE_2021-08-30_U20	XIV Parliament term, erakorraline istungjärk Monday, 30.08.2021, 13:00	2021-08-30	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-30	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
