Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U1	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U2	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U3	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U4	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U5	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U6	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U7	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U8	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U9	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U10	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U11	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	p_ernits_19530611	Ernits, Peeter	M	1953	
ParlaMint-EE-en_2021-11-15	ParlaMint-EE_2021-11-15_U12	XIV Parliament term, VI istungjärk, Plenary Assembly meeting on Monday, 15.11.2021, 15:00	2021-11-15	Unicameralism	XIV Riigikogu	VI regular session	-	2021-11-15	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
