Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U1	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U2	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	l_läänemets_19830131	Läänemets, Lauri	M	1983	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U3	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U4	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_savisaar_19780616	Savisaar, Erki	M	1978	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U5	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U6	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U7	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U8	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U9	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	p_sibul_19771231	Sibul, Priit	M	1977	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U10	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U11	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U12	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U13	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U14	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	k_grünthal_19600224	Grünthal, Kalle	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U15	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	Coalition	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2021-01-18	ParlaMint-EE_2021-01-18_U16	XIV Parliament term, V istungjärk, Plenary Assembly meeting on Monday, 18.01.2021, 15:00	2021-01-18	Unicameralism	XIV Riigikogu	V regular session	-	2021-01-18	-	COVID	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	t_kivimägi_19630216	Kivimägi, Toomas	M	1963	
