Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U1	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U3	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U4	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U5	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U6	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	k_kaljulaid_00000000	Kaljulaid, K	U	-	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U7	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U8	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	a_veetõusme_00000000	Veetõusme, A	U	-	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U9	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U10	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	m_ehasoo_00000000	Ehasoo, M	U	-	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U12	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U13	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	v_čebotarenoka_00000000	Čebotarenoka, V	U	-	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U14	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U15	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	b_valionytė_00000000	Valionytė, B	U	-	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U16	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U17	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Guest	notMP	notMinister	-	-	-	-	d_sassoli_00000000	Sassoli, D	U	-	
ParlaMint-EE-en_2021-08-20	ParlaMint-EE_2021-08-20_U19	Eesti iseseisvuse taastamise 30. aastapäevale pühendatud XIV Parliament term ja 20. Augusti Klubi pidulik istung Friday, 20.08.2021, 12:00	2021-08-20	Unicameralism	XIV Riigikogu	extraordinary session	-	2021-08-20	-	COVID	English	Chairperson	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
