Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U1	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U2	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U3	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U4	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U5	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U6	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U7	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U8	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_lauri_19660101	Lauri, Maris	F	1966	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U9	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U10	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	m_sults_19610324	Sults, Märt	M	1961	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U11	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_lauri_19660101	Lauri, Maris	F	1966	
ParlaMint-EE-en_2017-10-26	ParlaMint-EE_2017-10-26_U12	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Thursday, 26.10.2017, 10:00	2017-10-26	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-26	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
