Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U1	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U2	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U3	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U4	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U5	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_herkel_19620814	Herkel, Andres	M	1962	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U6	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U7	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	k_sarapuu_19540505	Sarapuu, Kersti	F	1954	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U8	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U9	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	a_talvik_19640613	Talvik, Artur	M	1964	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U10	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U11	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	m_lauri_19660101	Lauri, Maris	F	1966	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U12	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U13	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	e_eesmaa_19460607	Eesmaa, Enn	M	1946	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U14	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U15	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Regular	MP	notMinister	VABA	Vabaerakond	-	Centre-right	k_aru_19580801	Aru, Krista	F	1958	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U16	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U17	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	h_pevkur_19770402	Pevkur, Hanno	M	1977	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U18	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
ParlaMint-EE-en_2017-10-23	ParlaMint-EE_2017-10-23_U19	XIII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 23.10.2017, 15:00	2017-10-23	Unicameralism	XIII Riigikogu	VI regular session	-	2017-10-23	-	Reference	English	Chairperson	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	Coalition	Centre-left	e_nestor_19530905	Nestor, Eiki	M	1953	
