ParlaMint-HR_2009-10-21-0.u40622	Well, in front of the IDS Club, I'd like a 10-minute break.
ParlaMint-HR_2009-10-21-0.u40623	So what for?
ParlaMint-HR_2009-10-21-0.u40624	So because of these "recent" events related to the occasion in "3. Mayu" or in Croatian Smugglings. On Monday, Mr. Vice President, his cartel in Rijeka did not whine 1172 workers, and 1518 third parties were trying to do anything about it. Today there are workers on the streets, and the question is whether they'll be at the Employment Service tomorrow, so much I'm asking you to give me that 10 minutes to bring out what I think at this point is a first-class national topic. Not Mr. Kerum's divorce, it may be the next day when it comes to his 1500 employees, throughout the Republic of Croatia, but at this point I think that the first-class national topic of fate that I associate with the business of nearly 3000 workers, 1500 co-operatives, is in "3. Mayu’.
ParlaMint-HR_2009-10-21-0.u40625	Thank you very much. For these reasons I cannot grant you a break, it is actually a proposal to supplement the agenda. I can't give you a break. That's why we're moving on.
ParlaMint-HR_2009-10-21-0.u40626	We're not going any further, because...
ParlaMint-HR_2009-10-21-0.u40627	Let's move on. We're moving on to the draft law on the judicial academy. The legislator is the Government of the Republic of Croatia, first reading. The debate was conducted by the Committee on Justice and the Committee on Law, you received reports at the session. Justice Minister Ivan Shimonovic. Here is an additional explanation of the proposal. Please sit down, Mr. Cain. Please don't take a break. Here you go, Minister. No breaks, I told you, over.
ParlaMint-HR_2009-10-21-0.u40628	Dear Mr. Chairman, honourable MPs and MPs. I'm here today to ask for support for the Law of the Judicial Academy. I didn't say I was looking for support for no reason. In fact, it is an extremely far-reaching law, a law that in some ways introduces a quiet revolution in the Croatian judiciary according to its scope, which should mark the next decade of our judiciary. What are these great newspapers that bring this Law? I'd say two are crucial. One objective and transparent criteria for entering the profession of judges or state lawyers and other their more systematic and quality education. While the issue of better education will take some time, I will later speak about the deadlines, the issue of objective and transparent criteria of choice for judges will be resolved immediately when at the end of this month or the beginning of next month, a set of laws that includes this law, which is before you today, the Law on Courts, the Law on State Attorneys, the Law on the State Judicial Council, or appropriate amendments and additions. As far as the judicial academy itself is concerned, it is not about the new institution, the Judicial Academy is already acting within the Justice Department as a Institute, but this is a major step because the Judicial Academy is becoming an independent institution, it is detached from the Ministry of Justice. The main bodies to manage the Judicial Academy are the Management Board, the Programme Council and the Director with two deputies. The majority of the Board of Directors and the Programme Council shall be represented by representatives who are elected by judges or state lawyers themselves. State lawyers and judges are the ones who manage in the professional and administrative view of the judicial academy. The Judicial Academy also has an independent budget of 30 million 596 thousand 323 kuna, a large amount in these times of crisis and recession, but that amount is necessary for the quality of the jobs of the Academy. The academy as a structural unit consists of three departments. One of them is a department that enables additional education for trainees, i.e. counselors, I would mention that, in fact, already now, following these recent amendments to the Law on trainees, the trainees have far more education than they had before have a mandatory number of hours to listen to, through this transformation, likely their scope of compulsory teaching will increase further. The second department, probably the most important newspaper, is the State School for Judicial Officials. In the future, anyone who wishes to become a judge, or a state lawyer, will have to finish after passing the judicial school. Simple trend in both Croatia and international education in general, including legal education is such that higher and higher educational requirements for individual professions are being placed, historically there were times when there could have been a judge and without a law school, and then a law school was being sought, and then law schools and judicial schools were being sought, and now a state school for judicial officials would be added. This is not a particular Croatian newspaper and specifics, but in the 94th year, the Council of Ministers of the Council of Europe concluded that education should be extended and extended for judges or state lawyers and different Member States, with their dynamics and reactions, therefore, we already have more countries that have appropriate institutions. And finally, the third structural unit refers to lifelong education. The Judicial Academy has already been working on the lifelong education of judges or state lawyers, and over 3,000 candidates have passed through this year alone. With the introduction of this Judicial Academy as an ambitious and independent institution, there will be even more. Of course, the biggest newspaper is the State School for Judicial Officials. How do you get into that school? It enters that school on a competitive principle, and only the best candidates can enter it according to objective criteria. How do you determine the best candidates by objective criteria? We have already introduced an earlier Law that was before you, a judicial exam, which has no longer passed or failed but a judicial exam that is being filed. A candidate on an anonymous written exam where one who assesses does not know whose writing work estimates a certain number of points, then draws cards, answers questions all together. Therefore, the candidate in the judicial exam is collecting according to the results of a certain number of points. Candidates who have a high number of points, and who are interested in enrolment in the Judicial Academy, then approach psychological testing. Psychological testing is the same novelty required that as for a whole series of other professions, where it is particularly important that stable personalities and judicial professions are entered by persons who have passed, also of course anonymous psychological testimonials. After that, a structured interview follows. Who's doing a structured interview? For those interested in the profession of judges, the registration committee shall consist of 3 representatives designated by the State Judicial Council and the State Attorney's Office designated by the State Attorney's Council. The result, therefore, of the judicial exam plus the structured interview is the number of points won by a single candidate according to the winning number of points, interested candidates are filling in for that year's available seats at the judicial academy. The Judicial Academy has been going on for two years. These 2 years are mainly not theoretical teaching, but practical teaching within the framework of the state's attorney's offices, within courts, but also within other institutions. There were questions when we were working on this bill of law coming from our colleagues from the State's Attorney's Office, or the judiciary, why this extra 2-year-old education? It was simply because so far there was a huge difference in some people who were preparing for judicial duties while some had quality mentors and no judicial academy needed them because they were in good courts and had good mentors. Some others were less fortunate and had no organised programmes for further expansion of education, only doing routine jobs as an auxiliary workforce and would eventually welcome their appointment as judges, i.e. deputy state attorneys, under-professionally prepared. What's also a big difference? There is a big difference that so far those who wanted to enter the profession of judges, i.e. the state's attorneys, were in a rather vague advisory status indefinitely and their way of choosing was not objective. So you did not know that during a certain period of time after you passed the judicial exam, after you were a court counselor, or at the State’s attorney’s office, you would really reach your professional goal and become a judge. We had a counselor waiting five, seven, ten years to become judges. Here it is known that the best candidates finish the Judicial Academy and immediately thereafter follow their appointment. This has far-reaching implications as it also guarantees security for people of weaker property that if they respond to their professional obligations during schooling at the Judicial Academy they will come after its completion and will be deployed at the office of judges, or state lawyers. At the time of attending the Judicial Academy, they already have the status of senior advisors in courts, or advisers in the state's attorneys. During the Judicial Academy, mentors evaluate their work and finally join the final exam. Their final assessment is the sum of the grades they won in the judicial exam, the sum of their mentors' assessments and the end of their final exam. So the total sum ultimately reflects them and their quality as candidates. As a result of the Justice Academy, we have a list of candidates every year. Of the highest points scored against the lower ones and we have a list of seats available in our courts, or state's attorneys. Those who are more on the candidate list have the advantage of selecting available positions in the system. Of course, this change is very far-reaching and we will need to have a transitional period. So the state school is due to begin its work 01.10.2010. The first candidates to finish the Judicial Academy can therefore be expected by the end of 2012, i.e. early 2013. By 01 January 2013, a judicial academy will not be required to enter a judicial or state-level law firm. However, by changing other laws, we will guarantee that although they will not have the education that these candidates will have to complete the Judicial Academy, we have already introduced objective and transparent criteria of choice, so those who go by 2013 will be, who are now advisers or someone else with a judicial exam, selected for a judicial, or state-level lawyer's call through competitive written tests, which will also be written anonymously, with the assessors assessing the tests without knowing whose test they are assessing. And finally one question that plagued those candidates who passed so-called. The old jurisprudence exam, the ones who passed a judicial exam that was just passed or failed and didn't get a chance to score points. Are these people then excluded from the possibility of entering the State School for Judicial Officials? No, they'll just have to write a test of practical knowledge and they'll also be able to compete for places at the Judicial Academy. I'd like to point out one more time before I finish that this is a very big procedure. That this is a procedure that changes the architecture of our judiciary for a long period of time, that it is extremely important that a consensus be reached in the Parliament on this issue, because the consequences of the application of this system will cross the mandate of one and more governments. And I would also like to stress that we are open to all suggestions about the promotion of this text of the law, he, his current draft, was drawn up in cooperation with the President of the Supreme Court of Croatia and the State Attorney Bajic but after the first reading, a further public debate will be organised that will include a wider circle of judges and state lawyers. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40629	Thank you. Legislative Committee, Justice Committee. I'm opening a debate. HDZ Representatives' Club, Ms. Ana Lovrin. Here you go.
ParlaMint-HR_2009-10-21-0.u40630	Thank you very much. Mr. Vice President, Mr. Secretary of State with his associates. As part of the negotiating chapter 23. - The judiciary and fundamental rights, according to the evaluations and recommendations of the European Commission, and according to the commitments made by the Republic of Croatia, the Republic of Croatia has undertaken to introduce objective and transparent criteria for entering the judicial profession, as well as redefining the way of elections and roles of the State Judicial Council and the State Attorney's Council. In relation to the State Judicial Council and the State Attorney's Council and its release from its influence by the legislative authority, we discussed the draft constitutional changes, and I think we will also discuss this in the debate on constitutional changes. In the matter of the appointment of judges and state lawyers, as an introduction to a judicial career, the candidate's obligation to complete a state-level school for judicial officials, which, in accordance with the negotiating position for Chapter 23, should begin working during 2010. To achieve this, it is necessary to provide for a legislative framework. We have already introduced the State School as a condition for the appointment of judges by the Proposal for a Law on Amendments and Supplements to the Law on Courts which has passed the first reading in this House. And as we heard from the minister, it should be in a package with a final proposal, so in the Law on Amendments and Supplements to the Law on Courts, the Law on the State Judicial Council, the Law on the State Attorney's Office and the final proposal of this law. The second step in forming a legislative framework is the law, a proposal that is before us today in the first reading, so the Proposal of the Law on the Judicial Academy under which the State School for Judicial Officials will act. The Croatian Democratic Community Club supports the adoption of this law, as an evolution in the further implementation of the draft objectives of judicial reforms that began in 2005 and the Strategic Study for the creation of unique, objective and transparent criteria for entering the judicial and state-level law profession and the establishment of a State School for Judicial Officials, which the Government of the Republic of Croatia adopted in December last year, because it meets the negotiating standard, but above all for the reason for which we are conducting judicial reforms, which is to achieve an impartial, effective professionalized judiciary, which is the basis of the rule of law of every democratic state. Only a well-educated judge, a judge with a firm legitimacy of transparent and objective elections, can be independent in political terms, can be authority in the courtroom and outside the courtroom, can be independent of the influence of political, media or large capital. The Government of the Republic of Croatia has decided by this legislative proposal to adopt the recommendations of independent experts of the European Union, and to establish a judicial school within the framework of the existing Judicial Academy, which systematically strengthens human and financial capacity, improves the quality and quantity of its activities in the continued professional training of the already appointed judges and state lawyers, as we have recently heard from the Minister and the implementation of the training programme. This law briefly proposes to separate the Judicial Academy from the Ministry of Justice and to establish it as an independent institution that will carry out the professional education of trainees, initial education and training of candidates for independent, responsible, independent and impartial conduct of judicial duties and continuous training of already appointed judicial officials. The founder of the Judicial Academy would be under this law the Government of the Republic of Croatia, and the rights and duties of the founders will be carried out by the Ministry of Justice. So also as a special department within the Academy, the State School for Judicial Officials would be established. Within the management system and programming, the Judicial Academy provides for administrative councils, directors and programme councils. So, in the board of directors, it is proposed that it be made by the President of the Supreme Court, the President, the Attorney General, the President of the State Judicial Council, the President of the State's Attorney-General and four elected members for four years, one of which would be the Supreme Court judge, one of the state's attorneys, the Deputy Attorney General and two representatives of the university teachers of legal science. I believe this composition of the Governing Council is good, because it represents, because in it, the very top of the judiciary is strengthened by legal science. I'm opening a doubt here today and I'm giving it some thought, whether in this body you keep as so far as there have been representatives of the Parliamentary Committee on Justice. So far, has the representative of the Parliamentary Committee on Justice been a member of the Advisory Council of the Academy, as well as advice on monitoring the implementation of the Justice Reform Strategy? Is this other body still there? I don't know, but I can say that my experience as a minister was, I kept it important then for Parliament to be informed and in some way oversees the implementation of important strategic documents and decisions it has made, and that it has insight into the need for possible enlargement of the legislative framework. But I don't keep it necessary, but I suggest that we consider it. The programme council is also composed of judges and state lawyers and university teachers and it is a good combination of experienced practitioners and representatives of science. So, we welcome the good intentions and support the adoption of the proposed law with several notes and doubts that we are suggesting here as the minister has urged us to improve this legal text. So, first of all, in Article 2 I believe that paragraphs 2 and 3 are unnecessary. It is unnecessary to highlight special cooperation with the Faculty of Law, because it will happen through the administrative and programme council, and if this remains then it should be specifically pointed out and specified in the context of this and cooperation with courts and state attorneys, perhaps in the same way. This appropriation is intended to cover expenditure relating to officials and temporary staff in the ‘Communication’ policy area of the ‘Communication’ policy area of the ‘Communication’ policy area. I find it particularly important to arrange the activities of the academy. If this law is the founding act of the Academy, then this law should define the activities and not leave them to be determined by the statutes as broadly as possible, so I suggest that the exact activity of the law be determined and added to it that it can engage in publishing activities or organise other educational activities, so what is stated at the end of Article 43. In Article 12(2) and (3), therefore, these are details on how to work within the academy and I hold that they could be left to the statute of office while connecting Articles 11 and 13. Article 14 and 21 which are related to expenses should be linked to one article or shall be timed in the light of the same costs in the case of the Programme Council and the Administrative Council. What I also hold important is in Articles 15 and 20 that it is illogical for the administrative board to confirm the annual programme of the Academy's work as a higher body and the programme council as a lower body to bring the general training programme on its own. If I understand clearly the distinction between these two programmes for me, it would be more logical for the administrative board to confirm the general training programme and that the annual programme is self-administered by the programming council or that both programmes are confirmed by the administrative council. Furthermore, I would like to draw attention to the provision of Article 25, which says that the tender is being opened on the basis of the plan of the necessary judges in one year. This should be considered for the reason that education in the state school takes two years and the first candidates leave after two years of education and maybe the plan should be based on two years and also more clearly determine whether the competition is being called for entry into the state school for a specific judicial post or for a collection of the necessary judges in the area of one or more counties. So that should be more precise and clearer. In particular, I point to the collapsing of Articles 26 and 28. Therefore, Article 26 states that any person who is a Croatian citizen and has passed a judicial exam can apply to this contest. However, this is simply not true because Article 28 says that a person who scored 70 points on a judicial exam or on an additional exam of those candidates who passed a judicial exam per so-called. The old criteria. So, the condition for the competition is Croatian citizenship, the judicial exam and 70 points on the judicial exam, and there are direct collages of these two articles. In addition, it should be clarified and better formulated in Article 28. And one more thing, use exams because they use exams or conversations. This can't be a conversation, so it's a test which the conditions, questions, the scope of this examination brings to the programming council and confirms the administrative council. So it's a classic exam, you don't have to point out that he's written because he's the only one, no writing or oral. Therefore, it is necessary to say the exam. And there is another point to point out, that a psychological test which is an elimination test and a test which is an elimination test must be carried out in accordance with the Content and Methods Regulation established by the Administrative Board. Therefore, this should be highlighted in the provisions on the laying down of the psychological text and on the taking of this examination. Article 42 should also lay down framework criteria for the selection of candidates for a permanent training programme. In this law, if we are to achieve transparency, then we should try to objectively objectively at least some more of these criteria. Here, and just one more thing. The question remains whether this law should address at least the minimum conditions for the Director of the Judicial Academy because, in accordance with the Law on Institutions, it is determined that the conditions are laid down by law or by a founding act and what would be this law. And finally, because I see time coming out of the bill that today is here before us is a good basis for realising the strategic government's decision and commitments to join the European Union. It remains somewhat questionable where, in the selection of judicial officials, the State Judicial Council and the State Attorney's Council are lost, i.e. there are no provisions in this law on how to act after the evaluation has been completed, so that they are referred to by the State Judicial Council or the State Attorney's Council for further appointing procedure. Otherwise, if it remains this way, then it remains that the choice for judges is actually made by the State Judicial Council or by the State Attorney's Council, or by its three members who have been elected by unknown criteria, and therefore this should be resolved between this law and the Law on the State Judicial Council. And in the end, there remains a question of whether this proposed way, whether we have fully achieved the introduction of the desired objectivity and transparency because we are not at least indicative criteria of elimination tests and psychological tests introduced. I leave this as one doubt. And there is also a question of what with all the candidates who have passed the judicial exam so far, they have general conditions, but something the minister has been talking about is the time limit because we have introduced a mandatory state school for all judges in this country except for judges of the Supreme Court, which I doubted and in the debate on the Law on Courts, and then only judges of the Supreme Court will be able to be respected lawyers of whatever it means without a state school. Thank you very much.
ParlaMint-HR_2009-10-21-0.u40631	Thank you. SDP advocates' club Mrs. Ingrid Anticevic-Marinovic. Here you go.
ParlaMint-HR_2009-10-21-0.u40632	Thank you. Your Honor, Mr. Vice President, Mr. Secretary of State with an associate, colleague and colleague. The SDP Club supports the adoption of the Law on the Judicial Academy fully convinced that only education and education in general, and in their own hands those who decide on our fates, our most valuable goods, honor, property, freedom require the highest possible and permanent education as the only dam and the only rights of the dam each one opposes politics against this third branch of government. This is the opportunity, therefore, and the best way to finally, as politicians without any party colors here, take a unique stance towards the third branch of power towards the judiciary, because we are responsible for raising this profession rather than lowering it. The truth is, it should also be critical of the judicial authority itself because of the trouble that this or that policy still carries on every profession and every individual is responsible for it from time to time. Being a judge doesn't mean being a civil servant who has a specific time. Being a judge is a way of life. How do we reach an independent and effective judiciary? We see that if it has been burdening Croatia for decades, it is burdening it to get closer and finally enter the European Union. How do such judges come to be priests of justice? First of all, politics needs to lift its paws from the judiciary itself. The way it's been done recently, I think it's finally over, and we welcome it, that orders were issued, and that's public judicial authority. And even in some of the impotences of state policy to end the most cruel and dangerous crime. That's what the public demanded. But even in those moments, you can't issue orders to the judicial authority no matter how much the public wants to get to the perpetrator immediately. There are people responsible for that. So how do you make a qualitative shift? Let's just remember that back 10 and over years, judges have refused every thought and judicial officials to be further educated. We've passed justice, so we've already had experience. Why should they be educated? Thus, such a delusion, including an initial resistance, has long been overcome. And the beginnings, therefore, with the education of judges and other judicial officials, have experienced that especially younger judges, and even more experienced ones, are also very happy to attend scientific gatherings where they exchange experiences, opinions that are very much leading to a unique legal practice and which are a guarantee of the legal certainty of citizens. So this is exactly the best way to get to that kind of judge and generally a judicial official. That that old Roman principle is pushing the new girl, that the court knows the law is not only a conjecture but a real reality. Because even as those old sayings teach us there is no greater trouble for the party than there is an ignorant judge. Because in such a situation, one who is guilty and unfounded is seeking that hope, he believes that he can even succeed. And those who are innocent, who justifiably seek in front of a civilian court some claim, the fulfillment of some demand or the request of another species when they are right, he is in fear that perhaps his, after all, that his cause will not end well, or that he will not experience an adequate judicial epilogue. And on this occasion, I want to say that we are responsible here for what laws we pass. He's still crawling. He's running laws with contradictions. I'm just going to point out one example now because it degrades the judicial profession. Is it possible, then, in the Family Law, that you have an inconclusive assumption that a mother is always the one who gave birth to a child. And when you shoot down there, that is to say, you give the possibility of a woman whose egg cell has been taken from her against the law so that she can challenge the motherhood of the woman who gave birth to that child. So here's an example. We haven't, the court practice hasn't met with that kind of problem yet. But it's very certain that it can be found. Thus, when it points out opposition to some indifference, no matter what attitude is taken, we must take care of it. And then there's a lot of legal uncertainty in different interpretations. So we are responsible for what tools we give to the judicial profession, i.e. the judiciary in general. I would like to say immediately that the assessment of the funds necessary for the implementation of this law at first will certainly be sufficient. As the minister said, in this time of recession, it was not easy to allocate this amount, but these were not wasteful. Every education means less to the state budget, to segregate for all those repetitive proceedings because, as far as I am concerned, the court procedure is costing me in a way that reduces costs or fees he is always too expensive for the party and is hoarded with a great waste of time. So this is one of the best ways to get to an independent judge. Let us remember those first beginnings which history had had, in essence, this Judicial Academy which is now being placed on a new foundation, but it has as it is here in its reasoning, and states its beginnings in the recommendation of the Council of Europe and of the Council of Ministers of the Member States right now to empower, i.e. institutions, bodies that will deal with the education of judicial officials. And then what happened in the 1990s? We can never do that. Yes, because of this recommendation, the decision was established by the Centre for the Education of Judges and Other Judicial Officers. The decision itself was no means whatsoever, and no one heard of it anymore. So, in 2001, 2002, we secured that decision based primarily on space, there was no space in which the academy now operates. These beginnings, therefore, were the beginnings very modest with little means, with insufficient numbers of people. After two years, three he pompously got the name of the academy and he was pretentious to what he really is even though it has been many years. So precisely with this bill of law, we expect that this is exactly the kind of academy that justifies that name and in that sense. It seems to me, speaking here in the name of the club, that the composition of how the board of directors is good and guarantees just preventing any way, and also in some way just and mutually internal control, which is always good for these bodies. Both the jurisdiction and the board of directors, but later when we see the academy’s own activity, which not only carries out the professional training of trainees and advisers, it organizes and conducts continuous professional training of judicial officials. We are witnessing that often individual seminars can't be attended by all those judges, all those judicial officials who would want to. Of course, it must always and at all times be ensured and uninterrupted management of court cases that are daily in front of our courts, but here is one way and this is the opportunity to talk and that there were not enough resources there either, because the response and the desire for such an education is much greater than the material possibilities allow. There may be only one problem, or one that is concerned that in the best wishes and all these transparent conditions which have now been presented by the minister, I do not want to repeat at all, because there is really nothing to add and really guarantee transparent entry, or later promotion, promotion within the judicial or generally judicial professions. However, if each profession is closed in some way, it passes into the casino itself, there is not one fresh new wind, a new way of thinking that is needed at the end whenever changes are made, and to a greater extent, system system laws. In order for this to happen, it is necessary here, although these express norms do not justify such fear, but later when only judicial advisers are mentioned, only lawyers, state attorneys, only court practitioners, when we see little and the practice of the State's Attorney's Council, and even the State Judiciary Council, then we see who once entered it simply sooner or later progresses, and opens or closes, the area for those who were not initially turned to judicial officials, but let's say they have a great experience in the economy, because this is something concerning the sanctioning and processing and economic crime and financial professions themselves is a deficient judiciary as far as it is concerned. Therefore, these are valuable experiences that some lawyers acquire in companies. Once upon a time, it was viewed with disrespect to lawyers who came from the economy, as they were spoken. Today it is a great knowledge that judges, who meet on a daily basis, as well as in civilians, and even more importantly, in criminal matters, lack education. Therefore, such persons are valuable to the judiciary and should be provided, regardless of their age, with the possibility that even such persons, regardless of who will bear these costs, should bear the costs themselves, but should be allowed to be introduced into this system of education, which is then the only prerequisite for first entry and later progress within the profession itself. This may need to be explicitly highlighted by the second reading, perhaps in a single norm, so that this bill itself will be called to such persons who are deficited in the judicial profession, who have no doubt the consequences of the party itself. And not only in trade, it may be even less in commercial courts, but I certainly repeat here in civil and criminal matters. Thank you very much.
