ParlaMint-HR_2009-06-30-0.u34361	To what point of the agenda could we do tonight?
ParlaMint-HR_2009-06-30-0.u34362	Who can predict, who can be so inventive that they can predict how much will occur per item of the agenda, how much will be the replica, how much will be the correction of incorrect allegations, and it is very difficult. But we certainly think as many of these agenda points as possible today so that this agenda could be consummated at all. There are 55 points here and we're going to expand it. So I can't say exactly. We are passing as announced on - Report on the work of the Research Commission for the Determination of Facts on the Purchase of 39 Military Trucks by the Ministry of Defence of the Republic of Croatia in December 2004 The Commission for the Determination of Facts on the Purchase of 39 Military Trucks by the Ministry of Defence of the Republic of Croatia in December 2004 submitted a report on the basis of Article 12 of the Treaty on the Functioning of the European Union. The law on investigative committees. You received the proposal by mail. The hearing was conducted by the Defence Committee. You received the reports at the session. Does the proposaler's representative want to further explain the report? Yeah. Nenad Stazic, chairman of the commission. Here you go.
ParlaMint-HR_2009-06-30-0.u34363	Dear President, colleagues and colleagues. This report will introduce myself as the chairman of the commission and vice-president of the commission, each for 15 minutes. So I'm asking you to measure the time then. Dear colleagues, you have received three materials with this report. Only the report, then the witness and the color tables that were divided into benches last week, which compare the offers given in this competition. These tables are otherwise found in the report itself at the end. However, they were printed there in black white technology, so they show nothing. That's why I asked the secretariat, and the secretariat pleased to print them in color. And they are available to you in materials. They are very useful, because they can be seen very plastically as offerings of individual bidders, how much they amounted to and how much was paid at the end, and how much could be paid for the use of offers of individual bidders. The report on the work of the Research Commission, this is this smaller material, could also be divided into two parts. In the section signed by most members of the commission, the members of the parliamentary majority and the opinion given on the basis of these conclusions by members of the parliamentary minority commission. Let's first consider the first part. In the first part you have an introduction, so you have a decision to set up a commission and then a list of documents the commission received at the request of the competent authorities and which it analysed in its work. The witness statements here are just listed, and you have a detailed report with their testimony in this other material. But let's cut to the chase. Therefore, after these documents, the conclusions under point 6 of that part of the commission coming from the parliamentary majority line shall be converted. I note that these conclusions were made on the sequel I mean our 7th session on Monday 11 May 2009. The Honorable President of the 7th session, I concluded Friday before that Monday. But members of the parliamentary majority committee held a continuation of the already closed session and reached these conclusions. It would be as if you who are in charge of this House had concluded one of our sessions, and the MPs stayed in the assembly and continued to discuss the laws and to adopt those laws. It is clear that such adopted laws could not enter into legal force. That's exactly what happened in this commission's work. The session was concluded, it is visible from the phonogram of the session, and yet a continuation of the already concluded session was held and only by members of the parliamentary majority and at such a phantom session were adopted these conclusions. Of all these conclusions, I believe that they will be presented in more detail by the Vice-President of the Commission in their 15 minutes, so I will only single out the last, conclusion number 11. It says Mr. Berislav Roncevic as defence minister has contracted to obtain these trucks with which he has not damaged the state budget, but has obtained quality military performance vehicles to resolve the partnership goals. It is only part of his merits in the timely completion of NATO's adaptation to the standards and entry of the Republic of Croatia into this organisation. I, when I saw these conclusions, tried to call another session of the commission, failed because it was not answered by members of the parliamentary majority. I tried calling her because I wanted to upgrade this conclusion. And suggest to the commission that if this is true what it says here, and apparently that members of the commission and parliamentary majority think it is true, we should suggest to the President of the Republic that Mr Berislav Rončević is decorated. Because the state has to thank and repay those who put her in charge. So if it's true that Berislav Roncevic, that it's only one part of his merit, then he deserves a medal for that part. I have no doubt that the President of the Republic would accept this commission's position and I only don't know which one would assign to Mr Roncevic. Secondly, I wanted to suggest that we use the fact that Mr. Berislav Roncevic made such a good purchase in the opinion of the majority in the commission. Namely, Croatia is a NATO member and has all the rights and rights of all other NATO members in the alliance, so if it is true and it is obvious that part of the commission believes that it is true that Mr. Berislav Roncevic has done a great job, then it is a pity that his talent is failing in this yet slightly poor, cramped and provincial opportunities, so he should propose that Mr. Roncevic as assistant secretary-general of the NATO Alliance be his assistant to be his assistant for procurement. Well, since he's done such a wonderful job here in Croatia, it's a shame that he doesn't do the same work for all NATO countries. And the third thing I was going to suggest is that this part of the parliamentary majority committee came to the conclusion that these trucks were purchased precisely because their only producer had NATO certificate. Now, that's one discovery very significant, perhaps most significant in the work of this committee. I'd dare compare him to the discovery of antibiotics in medicine. Because if it's true and it's obvious that part of the parliamentary majority commission thinks it's true that other producers, means neither Mercedes nor "MAN" nor "Renault" have a NATO certificate for the production of military vehicles and NATO countries still use their military vehicles, then we, as a responsible country, must warn them. We must warn NATO members that vehicles are used by manufacturers who, according to members of the parliamentary majority commission, do not have NATO certificates and that such jobs and the use of such vehicles are discontinued. So, we recommend that they only use the Iveco vehicles in the future and that if they get them through Eurocamion, because that's the only thing that's right. That's what the majority in this commission thinks. These conclusions were not possible because the session was not held, as it was not responded by members of the parliamentary majority. Now something about the second part of the report, so a separate opinion. This is where one chronology of events is observed. It is established that certain funds for the purchase of military equipment have been provided for in the budget, that an invitation to tender has been opened by the Ministry of Defence, the procurement service has opened an invitation to tender. So she went to the very producers she knew were making military equipment the kind of army she needed. The companies reported, the commission met, and it did not consider the price level at all, but first all of these offers gave to the technical section of the commission which had to be examined whether all the vehicles offered corresponded to the request of the MORH or the request of the main headquarters. That technical part of the commission met and established. It concluded all offered vehicles by all manufacturers meet the technical requirements. When it was established, it only changed to a price review. In the price study, one table was made, and it was seen that even if it was going to be bought from the most favourable bidder, there was approximately 3 million kuna missing. The whole invitation to tender has started with Articles 6(5) and 7. Public procurement law which says that the Public Procurement Act does not apply if military equipment is supplied. Therefore, the procurement process could be continued by moving to guessing with the two most favourable bidders and choosing the most favourable. This was also advised by the first procurement committee. That's exactly what they advised. However, such a follow-up did not take place, but the commission was disbanded by the decision of Assistant Minister Bačić, and Minister Roncevic then drawn up another one that made the purchase of a direct contract with the Eurocamion, because in the very decision to establish the second commission headed by the same Bacic, it was only to be negotiated with the Eurocamion. So Minister Roncevic made a decision in advance on who to buy from, and that decision says because he is the most favourable bidder. Nowhere is explained why Minister Roncevic considers "Eurocamion" the most favourable bidder, nor can it be said because Eurocampion was simply not the most favourable bidder. The fact that he did not explain his decision to you was also the State Audit in that report which you as representatives of citizens in the Republic of Croatia in this House because the State Audit didn't even send him to you, because that report was only found out from the newspapers and this Investigation Commission when it asked the State Audit to find out the State Audit and to the Investigative Commission did not send such a report, but only the one shorted in which nothing was said and in which statements that Minister Roncevic explained to nothing why he asked for a contract to be concluded with the company "Eurocamion". That's what you could get as representatives on the bench. A contract was made, trucks were bought. They were to be bought 76, and for these 76, 3 million kunas were missing, and in the end, only 39 were purchased for the same amount. The military inspectorate carried out military inspections, examined all documents and carried out inspection of this purchase and concluded that the state budget was damaged by more than 14 million kuna. The Commission analysed the document and established that the document was credible and accurate. General Milicevic was also invited to testify, but still part of the parliamentary majority commission closed the testimony to the public although General Milicevic had but a complete copy of the same permit as General Lucic to testify. General Lucic was allowed to testify publicly but General Milicevic's testimony was closed to the public. Part of the commission wanted to face Milicevic's statement and Roncevic's statement, which he also testified because they do not match in significant terms. In fact, General Milicevic claimed that Minister Roncevic had then ordered him to change part of the commission and the minister said such a meeting was never there. We asked for their face-to-face with the commission, but of course, the majority of the commission and that confrontation refused. What can we conclude as members of the parliamentary minority committee? We can only conclude that in the work of this Research Commission, it was not intended to be true, that the truth was constantly covered up and closed by witnessing and holding a session beyond the Rules of Procedure of the Commission and finally by adopting these conclusions. The only thing we can conclude is that the public should be aware of this because here the public can be the only arbitration officer in conditions where both the state bodies and the parliamentary majority try to conceal the truth about the purchase of these military trucks. The public will continue to monitor this session today and the public may be familiar with this report and the public will draw their conclusions. Thank you.
ParlaMint-HR_2009-06-30-0.u34364	Thank you. Because according to the Rules of Procedure, I have to give explanations, etc., only briefly. On co-operation and content, the form of co-operation with NATO is not the relevant Commission of Investigation. But you can, as a representative of the appropriate initiative, take forms of co-operation with NATO. And also for selecting a possible assistant secretary-general, it must also be in content. Otherwise, the proposal goes to the President of the Republic of Croatia according to a certain procedure, and so there is that possibility. But not as an investigative committee, but you know how it works, by what rules, right?- I'm sorry. We have one correction to an incorrect quote. Mr. Andrija Hebrang. Here you go.
ParlaMint-HR_2009-06-30-0.u34365	Thank you very much. Well, I'd have a lot of corrections, but time is short. According to counterpart Stazic, the minority continued the interrupted session. Not a minority has continued but most of them have, I guess, been confused. The sitting was not interrupted because he refused, therefore, it is an incorrect assumption, because he refused to include our proposal, so the majority proposal in the agenda. He refused what he owed according to the Rules of Procedure. That's why he left the session. And because he didn't put our agenda proposal, period, we continued that session, which is legitimate. And secondly, it's incorrect that the tables show that trucks that are more expensive are purchased, a memo from the headquarters that we're going to quote today, I hope 20 times since 25 November only gives consent to two manufacturers that have all technical characteristics and... Mercedes, the memo got all the MPs in the attachment. [[The speaker doesn't understand.]] So the selection and constraint from 6 suppliers to 2 took place, of which the two ministers then chose a cheaper one. Thank you.
ParlaMint-HR_2009-06-30-0.u34366	Now Mr Emil Tomljanovic, vice president of the Commission of Investigation. Here you go.
ParlaMint-HR_2009-06-30-0.u34367	Thank you very much, esteemed colleagues and colleagues, here is the introduction, and I think it is most important to stress that the investigation committee has reached its next conclusion following the analysis of all relevant documents, I repeat, all relevant documents and witness hearings. The Commission concluded that there were no illegal actions, procedures and events in the procurement in question, nor was the State budget damaged. In the process of a direct contract, the defence minister respected the choice of suppliers according to the criteria of the Chief Staff of the Armed Forces and adapted the choice and number of vehicles to the requirements, the partnership objectives which dictated the period of final preparations for the entry of the Republic of Croatia into full NATO membership. All supplied vehicles were required and according to the main headquarters’s statement in full use and function. This conclusion was reached by the Commission of Investigation, therefore, working on the case itself and doing so in the following way. 1. Following the declassification process, the commission reviewed the entire documentation, both procurement procedures and the witnesses were heard by the chief state auditor, Mrs. Šima Krasic, chief police director Vladimir Faber, head of the Chief Staff of Armed Forces Josip Lucic and former defence minister, now parliamentary representative Berislav Roncevic. It is unquestionably established that the procurement was carried out by the basis of two tendering procedures of which the first one was annulled. I repeat, the first one has been cancelled. The first competition was an invitation to tender under the Public Procurement Act and the usual military equipment that was the subject of the procurement. In this contest, a wider circle of military vehicles was sought while the second procedure, due to the need for partner objectives, made a direct contract only for the category of military motor vehicles, therefore, of military performance trucks. The first invitation to tender shall be invalidated and the basis of Article 64(1). The public procurement law and the Decision of the Agency for Material Resources of 15 December 2004 as the lowest price offered was higher than the financial resources in the budget item for the purchase of the vehicle. It is important here to stress that the implementation of the first tender, as well as the decision to cancel it, did not have any objections or state audits, or the authorities of the police, which were later checked in the follow-up procedures. Thus, the tender itself was carried out, or annulled entirely in accordance with the law. Prior to the analysis of the second tender, it is very important to highlight, i.e. to underline the content of the decision of the Agency for Material Resources since 15 December 2004. That decision states that the Development, Equipment and Modernisation Service is required to carry out an audit of the requirements. Therefore, I repeat the revision of the procurement requirements in terms of reducing the quantity or giving up on the purchase of a particular type of vehicle in order to align the value of the purchase with the really provided means. In this connection, the second tender was held, on the principle of direct contracting, again based on the Public Procurement Act. Neither the application of this tender procedure was made nor the State audit nor the police. And the choice of these vehicles was influenced by two facts. First, the course of negotiations to bring the partnership objectives into line with the accession of the Republic of Croatia to NATO. The second, therefore, is a letter from the Chief Staff designated by suppliers who do not meet these new conditions contained in the Partnership Goals. Only a second group of military construction vehicles has been selected and the number of individual vehicles has been changed in accordance with the requirements of the partner objectives. I point out that individual prices for the same vehicles in the first competition have been taken into account in terms of final prices. The choice of bidders to negotiate with has been identified by the Chief Staff of the Armed Forces as the expert body for the assessment of the technical characteristics of the vehicles offered. And not only that, by letter, the Chief Staff of the Armed Forces requested the exclusion of suppliers who did not meet the new technical requirements, which were suppliers who offered the lowest prices along with vehicles of incomplete characteristics. This document is the key document for the choice of suppliers. Therefore, according to the request of the Chief Staff for the second vehicle group, only two suppliers whose vehicles are offered meet the technical characteristics. All other offers are excluded by the above document, as technically insufficient and therefore an inappropriate comparison of the final prices reached with the cheapest prices of suppliers excluded by the main headquarters due to unsatisfactory technical characteristics. Only a comparison of the prices of the purchased vehicles with the individual prices of the same vehicles in the first invitation to tender is possible and logical and acceptable. The final contract concluded with the company Eurokamion because these vehicles were 16% cheaper than the other company’s offer, and the individual price of the vehicle of such a selected supplier in the first invitation contest was reduced by 3% of the advance payment, and at such an agreed price was added VAT. Furthermore, all the charges found in the report of the MORH Chief Inspector-General have been dismissed by the Commission for two basic reasons. First, its supervision compared the prices of the cheapest bids from the first invitation to tender rejected by the document of the Chief Staff of the Armed Forces since 25 November 2004 as technically inappropriate. And secondly, more importantly, that document I assume you all have in front of you, in the report, the chief inspector's office says, quotes: "We haven't had all the documents available, and if they were the conclusion could be different." Therefore, inspection surveillance was carried out without having made an insight into all relevant documents. The inspector admits that not all relevant documents were available to him, so it's surprising to find out about the overpayment of the vehicle, even for 14.8 million kuna. In addition, the MORH Chief Inspector, it should also be stressed, does not have a legal foothold to monitor public procurement in the ministry, because it is an obligation of the State Audit Office, and, among other things, confirmed in the work of the Research Commission, and not only by the basis of legal provisions, but also by hearing witnesses. Also, witness statements and chief state auditors and police directors directly indicate that no illegal activities have been made in the procurement process. These statements are so clear that they need to be quoted literally in this place, and they are also in this part of the report. The first is a statement to ask if there were any irregular actions. The chief state auditor says, "No, we have found irregularities, but that have affected the giving of opinions, but we have not found illegal actions." The second statement is even clearer and even more precise. So, the Chief Director of the Police on the express question whether any form of suspicion of committing a crime was established in this case answers: "No, if we had come to the level of reasonable doubt that any person committed a crime, we would have opted for a form of criminal application rather than a general report to the State's Attorney's office." My colleagues and colleagues, as outlined in this report in this sense and on the basis of, I repeat, an analysis of all relevant data and hearings of witnesses, therefore the most important conclusion is exactly the one that I quoted at the beginning of my presentation. The Commission thus concluded that there were no illegal activities in the procurement in question, no illegal practices and events, and no damage to the State budget. Thank you very much.
ParlaMint-HR_2009-06-30-0.u34368	Thank you. We have a correction. Mr. Representative Boris Sprem. Here you go.
ParlaMint-HR_2009-06-30-0.u34369	Thank you very much, Mr. President. So, Mr. Tomljanovic said that the chief inspector's behavioural officer, General Milicevic, quoted about in his report: not all the documents were available to us, because if they were, the finding would have been different. That's what we discussed on the Bureau of Investigation. Yeah, yeah, yeah. So I say, I didn't say anything that... Can I do it, Mr. President? [[You can't hear the intruder.]] Thank you. So it's a matter of interpretation, that's what we said. Based on what the service, i.e. General Milicevic, had documents that formed conclusions ahead of us regarding the chief inspector's reports. But now that it needs to be interpreted so that he couldn't get some documents yet. Because if he could have come up with some documents, and we saw that in the debate on the Investigative Commission then he would have formed, I called it, an even worse conclusion. Thank you.
ParlaMint-HR_2009-06-30-0.u34370	Thank you. I would like to inform you that the chairman of the Committee on Economy, Mr Dragan Kovacevic, has scheduled a meeting of the Committee at 13.30 today at the Chamber of Janko Draskovic, 202/II. Does the workbody reporter want to take the floor? No, I don't. I'm opening a debate. The first is on behalf of the HNS Club, Mr. Representative Goran Beus Richembergh. Here you go.
ParlaMint-HR_2009-06-30-0.u34371	Dear Mr. Vice President, colleagues and colleagues. This case and the work of the Investigative Commission have shown that there is a space for possible abuse, as well as manipulation of the regulations governing the work of investigative committees. First of all, it has been shown that members of the Investigative Commission understand their role as completely contrary to the spirit of the Law on the work of investigative committees. Namely, the investigative committee is a body appointed by the Croatian Assembly with the task of establishing all relevant facts about a particular case and informing the Croatian Parliament. Unfortunately, part of the members of this investigation committee understood his role so that at all costs he had to defend or attack something. That's not the role of the commission. The role of the commission and all members of the commission is that in a more critical way, so with a higher dose of skepticism, they approach the identification of all facts in a way that examines the documentation and examines possible witnesses and exploits the other instruments that the law gives them in disposition. That didn't happen. Most of the members of this investigation committee at all costs tried to stop the work and turn it in a different direction. Similarly, to prevent the use of some mechanisms that were on the committee’s disposition, which is the hearing of witnesses and the confrontation of witnesses. For the first time in the history of the Croatian Parliament, it happened that a body appointed by the Croatian Parliament could not function normally. I guess from the Roman triumvirate to this day, it hasn't happened that the president of a body can't convene sessions, but that it must have the consent of the vice president and the secretary. It's funny, and it's also mocking democratic practices. Similarly, if it is clearly defined by the Rules of Procedure of the Committee in which the meetings are convened, after the session is concluded, the session cannot continue or call for a new session without an equal procedure when it has already been established that it can be done by the President, the Vice-President and the Registrar in agreement, then it cannot be otherwise, and this has happened here. Here they mock one parliamentary practice. So, in principle, the report of this Committee shows all the inability of this Committee to do its job to the end in accordance with the law and according to the Rules of Procedure. At the beginning of the commission's work, there was an agreement that all members of the commission would have the right to propose a way of working and hearing witnesses we consider relevant and until a certain date held water, and then, suddenly, 5 votes were withdrawn and 5 votes prevented from calling key persons from the public procurement system of the Ministry of Defence of the Republic of Croatia. Similarly, to prevent the confrontation of witnesses who are unquestionably found to be not telling the truth, or to give their contradictory statements the impression that someone is lying in an orderly manner. This is not at all different from facing witnesses, and even then it is doubtful whether an attitude would finally arise or should be reported in such a way that this House of the High concluded who was not telling the truth. It is obvious from the Commission's work that abuses in the public procurement system have occurred before and that it has turned into a kind of normal practice, that the State's audit every year has established irregularities, and that the ministry has been completely deafening its recommendations and opinions, doing what it wants. For 2004, the State audit made 9 key remarks requiring 9 procedures, i.e. the principle of urgent changes in procedures. In the 2005 report, the State audit found that as many as 8 out of 9 findings, i.e. the recommendation did not respect anyone. And that's probably how it went years ago and it's a disgrace to all the ministers so far. It is not only the shame of Minister Roncevic, but also his predecessors. I'm sure he continued the practice of his predecessors. To what extent it was implemented is another question and it was not the subject of the work of this Research Commission. But it was obvious that in the public procurement system, the Ministry of Defence was doing what was wanted and that the minister's discretionary right to defend certain acquisitions was declared special, of particular importance and to avoid the regular public procurement system being misused on all kinds of nonsense. That's how food was obtained, that's how underwear was obtained, that's how officers' uniforms and soldier's uniforms were obtained, that's how other supplies were obtained. To explicitly my question at the Committee's meeting when Mr Roncevic testified, he replied that it was so designed to please domestic producers. Will we be surprised tomorrow when the European Union calls on us why we are violating the rules, principles and regulations that we ourselves have brought about public procurement? These are not military trucks, these are not trucks that have sophisticated military equipment, these are not trucks that should be specially ordered and entered that area we call military secret. These are trucks that can be delivered by at least 8 large manufacturers present on the Croatian market and one and the other procedure has been established. The fact is, the Department of Defense is carrying out what the Chief Staff ordered him to do. The fact is, the main headquarters has defined the needs of getting a truck. The fact is, at the end of the day, trucks were bought that didn't come looking for headquarters. Explicite was Chief of Staff, General Josip Lucic said he was not aware that there has ever been a change in the technical specifications of the vehicle compared to those originally ordered. Therefore, no document could be obtained by the Commission which would definitely determine that the technical and tactical characteristics of the truck to be purchased are changing. It calls for a letter from the Chief Staff that actually speeds up the process and practically bestows and prays that this 2-year strip is finally resolved, in which on the one hand, the Chief Staff is looking for supplies, and on the other hand, the ministry is making it difficult all the time. It was quite clear from the documentation that was in our disposition that it was clearly deliberately entered into the so-called. Zeitnot, in a timeline that the minister later even explained by the need to spend the budget. The second thing, the chief defence inspector for years, has regularly carried out inspection of all procedures related to the operations of the Croatian military institutions and units, and every time these procedures were related to the procedures of the defence ministry, surveillance was carried out, i.e. inspection and what was done there. For 2004, it was perfectly normal for equipment to be supplied to the Croatian Army's technical equipment lists to check that all documentation is complete. It is clear from General Milicevic's statement that the inspection, i.e. that only those cases which had not been completed were processed by the defence inspectors, or whose documentation had not been properly archived. In this case, it was found that key documents were missing and that is why the inspectors caught up with the case looking for where these documents were, asking them to be delivered so that they could complete the entire file and write a final report. The report, i.e. General Milicevic's statement, made it clear that the documents were denied, i.e. that the people who were legally responsible for keeping the buildings did not respect the law because the documents, and above all the purchase contracts, i.e. the contract was not where it was located and held for months elsewhere. It is clear from the statement made by General Milicevic, General Lucic and Mr Roncevic that contradictory statements have been made, that someone is not telling the truth. We were not able to verify who it was, since we were not allowed to face it, but we were able to find that General Lucic in his statement to the Committee made a conflicting statement in relation to the statements he made to the President of the Republic in his letter of 10 January 2005. He referred to some of his statements as statements in an effect before the Investigative Commission. After four years, keeping the President of the Republic in error for four years, the question arises whether General Lucic could be Chief of Staff one minute more? He's lost his moral credibility. Furthermore, the way in which four members of this commission were prevented could be seen precisely in the fact that we were not allowed to face the main witnesses who apparently made contradictory statements. But what we could conclude from Mrs. Šima Krasic's testimony is that the State Audit was not at all reviewing the documentation which was the subject of the so-called so-called State Audit. the first procurement and that it was not at all able to establish in parallel whether, in the first and second parts of the procurement, such procedures have occurred in the first and second parts of the public which bear witness to the breakthrough of the intended appropriations, i.e. possible damage to the state budget in such a way that something is paid more than possible to be used on the market. This concerns because it is obvious that the State Audit on 2 occasions had two different approaches. The information in the 2004 report, the information in the 2005 report, does not match. The 2005 report says that the programme was managed to implement, on the basis of which Minister Roncevic, then, practically excluded this procedure from the regular system, which is one programme that allows the direct conclusion of a deal with that client which guarantees that a certain percentage of the value of the goods or services will be executed, i.e. to be delivered by domestic producers. None of us were able to see a single document in the Committee to document it. Never did the manufacturer who delivered these trucks sign a contract with the Ministry of Economy, and it was never agreed that everything should be transparent. We do not know whether these 5 million kuna values were actually done in Croatian factories or not. The audit took it for granted that she didn't see a single note. This commission was thrown out mockery in a way that it was not allowed to reach all relevant facts and present them to the Croatian Parliament. It has been tried to disable, most votes have reached conclusions that have no basis for testimony, no witnesses, no documents themselves, but are more impressive. It was not the commission's task to show the majority of the majority over the minority or vice versa, but to establish all the facts, to subsidise this House, and to decide whether the House has any elements that would indicate abuse, or to damage that could possibly be done to the state budget. Unfortunately, we have not adopted such a report. It was adopted in the informal part of the session that followed after the President of the Commission concluded the work of the Commission and this already proves in itself that the work of the Committee was understood as a possible fig leaf on the nakedness of HDZ practice in public procurement in Croatia. Thank you.
