ParlaMint-NL_2014-12-17-tweedekamer-4.u1	I would like to welcome Minister Blok.
ParlaMint-NL_2014-12-17-tweedekamer-4.u2	Mr. Chairman. We had an AO a while back. It's been moved a few times. And now we're talking about the VAO's longer independent living at home. I'll start with the blower. We've had a discussion about that in the AA. I asked what that man deserves and what he actually does. Because I have not been able to find out what his mission is at all and how it would be evaluated, and because I also think that we should know what investments will yield, I submit the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a "hunting team" has been appointed to achieve practical solutions, but also to overcome generic bottlenecks;]] [[noting that the chairman of the hunting team earns €129 per hour, which means that in the first year at least €100,000 will be spent on the chairman;]] [[considers that there should be a proper understanding of the costs and benefits of the "hunting team";]] [[calls on the government to define the work and objectives of the recruitment team and to evaluate the commitment for the summer in order to decide whether the investment will yield what it is intended to achieve;]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-134]]
ParlaMint-NL_2014-12-17-tweedekamer-4.u3	Yes, Mr. Chairman. I can see that. Thank you for pointing that out to me. We also want homes to be built in such a way that you can grow old in them. We want adjustments to be made without costing an enormous amount of money. If we agree on that now for all the homes, it's best arranged. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas major changes in care and in the field of longer self-employment are taking place at home;]] [[noting that the Cabinet strengthens the rules on access to public buildings, but does not do so for housing;]] [[noting that Rigo has examined the justification for introducing more stringent accessibility requirements for new homes;]] [[calls on the Government to strengthen accessibility requirements for new housing units in the Building Decision and to submit them to the House of Representatives,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-135]]
ParlaMint-NL_2014-12-17-tweedekamer-4.u4	Mr. Chairman. In general, we discussed a comprehensive package of measures to enable people to stay in their own homes more often and for longer. That's important. Self-employment means being independent, dividing your day, doing your daily things without interference from others. On 6 November we discussed how the government can help. This cabinet has used the sensible course to deliver tailor-made work close to the people, mostly at municipal level. At this level, the budgets must be released, what people really need can be looked at and then whether they work in practice. As far as we are concerned, this also applies to the requirements for new buildings. National proposals from the CG-Council for the adaptation of the Building Decision are dramatically expensive with €9,000 per apartment, and then we don't know if a wheelchairer has really been helped. We will therefore not support the SP motion. Let's put our trust in the municipalities. Last week we adopted a novella, which gives municipalities an important task in making performance agreements with corporations. This is an ideal place to deliver customization in existing homes and in new apartments, so that people, with here and there a little support from the government, can enjoy their own home for as long as possible.
ParlaMint-NL_2014-12-17-tweedekamer-4.u5	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the approximately 1,300 nursing homes in the Netherlands will hardly receive new clients because the starting point is that people with a "light" care gravity pack (zzp 1 to 3) are considered to live extramurally;]] [[calls on the Government to allow an extension of 10% to 25% for care institutions for what is not financed as a maximum within the scheme solely for the purpose of the above-mentioned transformation of the health care institutions;]] [[requests corporations wishing to make use of this possibility to notify the relevant property within one year of the entry into force of the Novelle on the Revised Housing Act and associated AMvBs, after which there is still four years for the realization of the transformation (total of five years),]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Monasch and Mr Van der Linde. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-136]]
ParlaMint-NL_2014-12-17-tweedekamer-4.u6	The considerations you did not mention are part of the motion.
ParlaMint-NL_2014-12-17-tweedekamer-4.u7	Yes.
ParlaMint-NL_2014-12-17-tweedekamer-4.u8	Perhaps you can read the full motion from now on. I think that's good.
ParlaMint-NL_2014-12-17-tweedekamer-4.u9	I will, Mr. Chairman. I learned all that from seniors. My second motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that it is desirable for people to stay at home for as long as possible, even if the demand for care increases;]] [[noting that there is an unprecedented transition challenge to achieve adequate adapted living facilities for the increasing number of people with a concern that wants to stay at home;]] [[Considering that the government should also play an active role in this transition as a result of its policy;]] [[predominantly that this will not happen on its own;]] [[Whereas the Action Plan on Student Housing, in which the government has a leading and directing role, is a major success;]] [[calls on the government, by analogy with the Student Housing Action Plan, to set up an integrated agenda transition for longer independent living and report to the Chamber in mid-2015,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Monasch and Mr Otwin van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-137]]
ParlaMint-NL_2014-12-17-tweedekamer-4.u10	Mr. Chairman. People want to stay home as long as they can. That is what the healthcare policy has been adapted to. Unfortunately, this is not yet the case for real estate policy and land-use planning policy. The Environment and Infrastructure Council has shown that we are failing thousands of care homes in the coming years. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas care institutions are affected by changing policies in the value of the property;]] [[Whereas there is no picture of the necessary and desirable nature and extent of care premises for the target groups which are currently streaming out of the care institutions;]] [[calls on the government to include reforms in health care systems in the real estate positions of health care institutions and calls for them to be taken into account;]] [[calls on the Government to urgently propose concrete measures on the basis of the ActiZ Transition Agenda report so that bottlenecks in healthcare real estate are addressed and informed the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Keijzer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32847-138]]
ParlaMint-NL_2014-12-17-tweedekamer-4.u11	In particular, the last request is a little sad, because that was already in a motion tabled by Mr Knops and myself, which was adopted at the end of last year. So far, the government has not really shown anything at this point. Hence the call for some real changes to be made now. I have another question on the motion by Mr Van der Linde and Mr Monasch on 4 November (34000-XVIII, No. 19). Is it true that for the next five years the corporations will be converting care real estate, so say the nursing homes, into social housing, not having to pay a landlord's tax on that? If so, when does the scheme enter and corporations know this? Because we hear from the field that a lot of questions are being asked.
