ParlaMint-NL_2014-12-11-tweedekamer-5.u1	I declare that pursuant to Rule 69 (2) of the Rules of Procedure, the following motions have been withdrawn: 34000-20; 30545-127; 29984-469; 33037-94; 32043-208; 33891-110; 33792-4; 33792-5; 28286-765; 34000-40; 29689-549; 27925-491; 31135-39 and 31135-45. I propose to add to the agenda: the VAO Situation around the hospitals in Dokkum, Den Helder and Terneuzen, following a general consultation held on 10 December, with Mrs Leijten of the SP as the first speaker.
ParlaMint-NL_2014-12-11-tweedekamer-5.u2	I now give the floor to Mrs Van Ark of the VVD.
ParlaMint-NL_2014-12-11-tweedekamer-5.u3	Mr. Chairman. We support the Minister of OCW in its fight against quotas. Quotas are there for fish and not for women. Now, however, the Minister seizes a means in which the VVD raises her eyebrows. She wants a record for top women. I put my high heels in the sand. Are we getting a government headhunter's office now? Are we going to decide who top women are now as a government? What happens when you're on that list? And what happens if you're not on that list? The VVD doesn't need such a checklist, or maybe I should say "chicklist." So I would like a debate.
ParlaMint-NL_2014-12-11-tweedekamer-5.u4	A request for support for holding a debate.
ParlaMint-NL_2014-12-11-tweedekamer-5.u5	Of course, we're not gonna let the government decide who the top women are. However, we are not going to allow ourselves to be taken away from these top positions either. I am therefore curious to see what measures the Minister intends to take. I support the request for a debate.
ParlaMint-NL_2014-12-11-tweedekamer-5.u6	We also support that request.
ParlaMint-NL_2014-12-11-tweedekamer-5.u7	I have recently requested a debate on the top positions and slow progress. I propose that Mrs Van Ark's request be added to that debate. It will make this debate a majority debate. I hope that we will be able to do so in the short term.
ParlaMint-NL_2014-12-11-tweedekamer-5.u8	So there is no support for this debate.
ParlaMint-NL_2014-12-11-tweedekamer-5.u9	I actually liked the PvdA's suggestion. I would therefore ask you to look at that. Otherwise we will not support this debate.
ParlaMint-NL_2014-12-11-tweedekamer-5.u10	That's a completely different request, isn't it? I can't reconcile this. The request was to hold a separate debate on a register for top women. I note that there is no majority in the Chamber in favour of this request.
ParlaMint-NL_2014-12-11-tweedekamer-5.u11	The VVD is also always for a smaller government and less administrative burden. I think that Mrs Yücel's suggestion to bring these debates together and then make it a majority debate is fine. This subject fits in perfectly with that.
ParlaMint-NL_2014-12-11-tweedekamer-5.u12	I'll just take a look. We're just gonna take care of that. The subject goes from one list to another and you get four minutes instead of three minutes. I call Mr De Love of the VVD.
ParlaMint-NL_2014-12-11-tweedekamer-5.u13	Mr. Chairman. I would like to use this arrangement to pre-announce a possible VAO Environment Council. We are awaiting a letter from the cabinet on the national cultivation competence of GMOs. I won't tire you of the contents. That VAO must then be held on Tuesday, possibly including votes.
ParlaMint-NL_2014-12-11-tweedekamer-5.u14	I'll put it on the list for the time being and see if it's final or not. This has put an end to the regulation of work.
