ParlaMint-NL_2014-12-16-eerstekamer-11.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2014-12-16-eerstekamer-11.u2	Mr. Chairman. First of all, I should like to mention what we should be thinking about, namely the Tax Plan 2015. However, questions have also been asked about the system and the operation that is under way on that point. Sustainability has been discussed generously and should therefore not be missed in my answers. International taxation came along. There are also some remaining questions that I will deal with at the end of my reply. So I'll start with the Tax Plan. I would like to thank the various speakers yesterday for their comments. They have studied all kinds of tough matter in addition to all the other work they do and are also prepared to discuss it in the evening hours. Of some spokesmen, it may be the hobby, but I'm sure it's not everyone's. There have been critical comments, for which I would also like to thank the spokesmen. Compliments have also been given. The real, ultimate compliment came from Mr. Ester yesterday. He called the whole thing "boring." With regard to the Tax Plan, boredom is my ultimate policy objective. A greater compliment was not conceivable. I would like to sigh: if only every tax plan had been so boring in the last eight years, because then the Tax Administration would have had a more positive life and would probably have stood here even another State Secretary. In the first term, I have heard a large number of spokesmen on a number of points with even greater pleasure than usual. In fact, as we are now in this Chamber, we appear to be allies: allies in the fight against fiscal instrumentalism. Some spokesmen have spoken heart-warmingly about this. I would like to add the following. Fiscal instrumentalism is currently the major culprit in the execution. It is an important cause of the high burden on labour in the Netherlands. It often aims to achieve very noble goals, but often does not achieve them fully or not efficiently. It also introduces tax incentives that you can only get out of the system with great difficulty. We're all in on it. After all, the cabinet has proposed to the Chamber to introduce a waste tax that was not there, and I am responsible for that. In terms of fiscal instrumentalism, that measure does not deserve a beauty prize. The House of Representatives also did not sit still and added an export tax. I have then heard in the First Chamber warm pleas for further greening. For the interested listener, the First Chamber gave the impression that they only wanted to rely on fiscal instruments. We all contribute to instrumentalism and must therefore find our way back together. I will come back to that in the context of the discussion on the system. In the framework of the 2015 Tax Plan, a few questions have been asked about the working costs regime. This regulation deserves to be mentioned first, because it contains the only real simplification this year. Until recently, we had two working-cost arrangements: one we called a transitional arrangement; the other we called the working-cost scheme. There are a few new elements in that. Mr Ester asked whether there would be a grey area and whether the new criterion of necessity would create problems with regard to enforcement. That's a good question. We do not think so, but precisely for that reason we begin very modestly. In other words, we're going to see it. The new necessity criterion is limited to tools, computers and telephones. In fact, it's about the hammer and the iPad. We'll start small and test it to see if it works. I understand from business people that they would have wanted to roll it out widely. We're not doing that yet. Let's see how it works first. We are going to gain experience in a clear area. An evaluation clause has been included in the scheme. We're gonna see if it works. In my view, therefore, Mr Ester has asked the right question. Mrs Sent asked about the utility criterion. How do we fill that out? There are, of course, signs that the cost of working is likely to be used to designate wages in cash and thus to moderate the rate of the fourth disc. It's not supposed to be like that. The utility criterion is the means to ensure that it does not happen. The utility criterion should then be clarified. It is not the intention to limit employers' freedom of choice, but rather to make it possible, for example, to give money instead of a Christmas package. However, the tightening of the utility criterion should be aimed at countering what I call 'tariff arbitrage'. The character of the free space must be maintained. I hope to be able to present the tightening-up in the Tax Collection Act which will be sent to the Chamber in spring 2015. We have the waste tax. I just mentioned her. Mr Bröcker spoke frankly and asked whether this is an example of fiscal instrumentalism. I say to him: Mr Bröcker, at your service; that is correct. I have had to turn my back on the disappointments about this waste tax by taking alternate baths and hitting myself with a twig. I'm over it now. We tried to keep her as simple as possible. Mr Ester asked whether the waste tax was also budgetaryally and environmentally sound. This was done by the Planning Office for the Environment, which also made this recommendation. The PBL has made calculations. The starting point was that the waste tax would retain a certain yield, but it was also assessed on an environmental basis. It was considered that it would lead to more recycling. This then led Mr Van Boxtel to the question of whether the shift to recycling would not go faster if we increased the rate. I say to Mr Van Boxtel that this is universally true. With each amount determined, the incentive to recycling is likely to increase if you choose an even higher amount. In this case, we have focused on a target yield. Let's see how it goes. A higher amount would also impose higher burdens on this business chain. We didn't choose that. Of course, his lawfulness is that if you push harder, you always get on with it. Mrs Sent has asked me whether I think the export tax is necessary and desirable. Of course, I didn't think so originally, because otherwise I would have proposed it. My opinion was that transport costs alone would be prohibitive for large and significant exports. I therefore considered that this was not necessary. The House of Representatives has ruled that it was necessary. I am therefore here on behalf of the House of Representatives, in the sense that I am now defending the proposal in which this element is included. If Mrs Sent asks me if I think that is necessary, I think that is a parliamentary matter. I have just said something about the substance of the matter. Moreover, the export tax must be implemented by aligning it with the existing export licence, the European Waste Shipment Regulation, the so-called EVOA system. If connected, this is feasible for the Tax Administration. Please note: it's executable, but it's not very accurate. We have to live with that. Mr Ester called for more stability and less uncertainty about the rules governing the addition of cars. Mr Van Strien also asks how we see the fleet of cars of the future. Without wanting to be visionary, I would like to say that the second car letter should be published in spring or at least before the summer of 2015. That letter should take steps to explain how all these cars will be treated fiscally for the next four years, the four years after 2016. That, as we know, also follows the size and composition of the fleet, because we Dutch people pay very close attention to the percentages. Let me not dwell on that at this stage, just because I do not have a lot of lyrics on it. Let us discuss this when the car letter reaches the Chamber. Mr Essers asked whether the residual debt facility should also be applied to old residual debts. I think the answer has been given earlier and may disappoint him. The objective was to promote flow. Passage is not promoted by providing tax facilities to people who have already moved. Mr Essers says that the OECD is encouraging us to do something about the debt position of people with residual debt. I think that in "houses under water" he means the capital position rather than the debt position, because the second of course has not really changed. However, that was not the objective of this scheme. The objective is to initiate relocations. If you would like to extend that to the past, so with retroactive effect beyond the date of 29 October 2012, every year you push the border costs 150 million. That's money from now on to promote behavior that's already taken place. I don't think that's a good balance. Mr Ester is also in favour of the owner of his own house. After all, he wants me to harden my efforts to further extend the reduced VAT rate in construction. That hardening eventually resulted in six months. As far as I'm concerned, there's nothing more than that. Every six months it costs 130 million here. At some point, we're out of cake. That's actually the answer. I see that Mr Ester wishes to respond immediately to this.
ParlaMint-NL_2014-12-16-eerstekamer-11.u3	It costs 130 million. Has there ever been a cost-benefit analysis of this measure? My observation, also based on discussions with the sector, is that this measure has led to an enormous amount of economic activity and has thus generated tax revenue. So has there ever been a good cost-benefit analysis?
ParlaMint-NL_2014-12-16-eerstekamer-11.u4	Efforts have certainly been made to this end, but they have not led to a very clear picture. The researchers have not been able to confirm or deny Mr Ester's firm impressions with their research. There is a suspicion that this should work. However, it has not been established that the social cost-benefit ratio is favourable, so the benefit-cost ratio is above 1, I should say. Mr Nagel is actually asking me about parliamentary history. He asks whether it is true that the elderly discount, the tax rebate in income tax (ib), was intended to compensate for the freezing of the AOW in 1994. Mr Nagel asked whether the elderly allowance, the additional tax-free capacity for older people in box 3, was intended to compensate for low-income elderly people when they introduced box 3. I cannot fully construct parliamentary history here, but it could be. It may be that something has ever been meant to compensate for the freezing of the AOW, but we must note that at least the AOW has not been frozen at the moment. In fact, it will increase more than assistance in the coming years. They are both purchasing power instruments. In the IBO report on older people, I believe that it was established in 2013 that the income position of older people has improved significantly since 1994 compared to other groups. So it now appears to be justified that is quite a victory in our society.. to treat older people more equally with other taxpayers by 2016.
ParlaMint-NL_2014-12-16-eerstekamer-11.u5	If the AOW is frozen, if it is delayed and then a compensatory measure is introduced, I do not think you can say that the AOW was not frozen in 2014. No, that AOW wasn't frozen, but there was a delay at the time. That is why there was compensation. If you remove that compensation now, you're gonna fall behind again. That's the reasoning. The Secretary of State says he can't control this completely, but I urge him to do so. If it turns out there are injustices, I'm asking him to make sure there aren't. We've got another year to go.
ParlaMint-NL_2014-12-16-eerstekamer-11.u6	I would like to believe from Mr Nagel that there were delays, but on the basis of the IBO report on the elderly, it can be established that they are no longer there. In a democracy, decisions are sometimes taken other than those deemed useful 20 years ago. They may have been very useful back then. However, times have changed. Sometimes a democracy decides to take a different path. In this case, this is not a strange road either. The proposal is to treat older people in the same way as other taxpayers, given that they have not been among the poorest groups in the Netherlands for some time. In fact, the purchasing power and disposable income of people of working age, who still have to set up a house and raise children, is under more pressure than the purchasing power and disposable income of the average elderly. By the way, I do not want to say that every older person always enjoys it, but so does Mr Nagel. Mrs Sent asked me an economic question. She asked why we encourage the supply of knowledge workers through labour costs. In her argument, she argues that those who make the greatest contribution also earn the highest income. They can therefore also be taxed at the highest rate. In our tax system, this can be the case in general. However, it is not strange to take this measure. It is also economically justifiable. The footless labour force, which can therefore work in the Netherlands but also in other countries and do their research and which at the same time have the greatest positive external effects for this society, should be the least burdened. Otherwise, you will be the first to chase them out of the country, while the damage is greatest. That is why economists are tempted to use these instruments. However, Mrs Sent is not immediately victorious. She asks why we do not do this at TNO and the universities. Why are they excluded from this benefit? It has been found that the universities and TNO and the other research institutions did not pass on most of the benefit to their clients. In this sense, they left unused the sucking effect on the client's side. As a result, this instrument was less effective on that side. This does not undermine the general economic theory that I have just explained. In this case, this has been chosen. That money needs to be used differently. Mr Essers has asked me if I am prepared to make an exception to the concept of a partner. I sent a letter this morning to this Chamber and to the House of Representatives. I promised to talk about this. We've been looking into practical solutions. Practically speaking, there were no practical solutions, but I am prepared to think about some kind of exception. In the course of next year, I will make a proposal to this effect so that, in Mr Essers' opinion, this case can be properly designed. Mr Reuten asked detailed questions about income policies and purchasing power effects and the methods behind them. I'm somewhat uncomfortable with that. These questions lie primarily in the area of my colleague, the Minister of SZW. He has the method and the results in his portfolio. However, I am here on behalf of the cabinet, so I would like to comment briefly on a few things. If it gets deeper, we can try to deepen it in a technical session, but if Mr Reuten has any policy questions, I invite him to ask my colleague from SZW.
ParlaMint-NL_2014-12-16-eerstekamer-11.u7	The Secretary of State will return it to Mr Reuten. I think this is a very strange reasoning. These questions have been put to the Secretary of State. He's had an afternoon, a night and a whole morning to think about it. Then he comes up with the story that it is actually in the field of Social Affairs and that it can be discussed in a technical session. I think that's a bit of a weird argument.
ParlaMint-NL_2014-12-16-eerstekamer-11.u8	The methodical differences discussed yesterday by Mr Reuten do not lend themselves very well to a plenary debate in the First Chamber. It's complicated matter. I am trying to serve Mr Reuten by providing the opportunity to deepen this. Any other interested party from this Chamber is of course welcome. I see Mr Van Boxtel shaking no.
ParlaMint-NL_2014-12-16-eerstekamer-11.u9	I'm not asking the question to be invited to a technical conversation beyond the screens. That's not my point at all. Any senator here can ask what he wants and can expect an answer. I find it a little strange when it is said: that will come through in a technical consultation.
ParlaMint-NL_2014-12-16-eerstekamer-11.u10	I don't think it's a strange method of having a technical consultation. I have said that I would like to reply to Mr Reuten's questions in general, and I am going to do so now. His main point was that the lowest incomes were omitted from the CPB statistics. They're not in the MIMOSI model. Mr Reuten said yesterday that he was stunned. I'm not surprised. In fact, I think it makes a lot of sense. At the bottom the household data have the characteristics of a point cloud. There's all kinds of household bills in there as income. It could include households with, for example, "I'm starting the logic from the bottom up" of an amount of €100 per month. That kind of thing's in there. That is almost certainly not a credible household income. We're pretty sure. No one can live on that. Those lowest data points are the least likely, but most distorting for statistics. So it's unwise to leave such a data point in there. Then you may ask yourself whether €200 or €300 is likely. There's a cut-off point somewhere. It's unwise to leave all those data points in there. Statistically, that's inexplicable. It's arbitrary where the cut-off point is. So we've only relied on the CPB's choice. The good news, of course, is that this database is getting better every year. This year, for example, the self-employed have also been added. Gradually, a better database grows out. The CPB is thinking about how these data points get there and what they propose. For the time being, this statistical correction is being applied. I fully support that. It seems to me that this can be defended.
ParlaMint-NL_2014-12-16-eerstekamer-11.u11	If you look at the point clouds of the CPB, you'll see those outliers everywhere. I don't think that's the point. The point is whether those outliers are random or permanent. If a group of 450 000 households is permanently below 63% of the statutory minimum wage, that group is included. I didn't hear you say 'I also read the underlying piece from September last year 'that's a coincidence. That's not said. It seems to be structural. It seems to be something permanent, something non-coincidence. I don't see much reason not to bring a group like that.
