ParlaMint-NL_2014-12-18-tweedekamer-10.u1	It has been some time since the AO was held on road safety. I call Mr De Rouwe.
ParlaMint-NL_2014-12-18-tweedekamer-10.u2	Mr. Chairman. You won't lose until you give up. The file on the moustache bike on the road in Amsterdam and the question of whether or not a local experiment is allowed has been going on for a long time. A new step has been taken today, and that is why the CDA is submitting the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, by way of derogation from the national agreed rules, the municipality of Amsterdam wants to allow the moustache bike on the (main) road.]] [[Whereas the speed of moustaches and the rest of the traffic are too different, causing unsafe situations to arise when such traffic is mixed;]] [[Whereas banning the moustache to the main road is not a solution to the overall traffic problem;]] [[calls on the Government to refrain from taking measures to allow the moustache on the (main) road, possibly in conjunction with a local helmet duty,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Rouwe. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-434]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u3	I ask my CDA colleague why it is necessary for the national government to interfere with something that a municipality wants to regulate at local level.
ParlaMint-NL_2014-12-18-tweedekamer-10.u4	I totally agree with that. I also believe that the national authorities should not interfere in this. That is why we call on the Minister not to interfere with the problems in Amsterdam and not to allow any legislative change.
ParlaMint-NL_2014-12-18-tweedekamer-10.u5	Thank you. Follow-up questions are not allowed.
ParlaMint-NL_2014-12-18-tweedekamer-10.u6	Oh sorry, I don't want to disturb your order...
ParlaMint-NL_2014-12-18-tweedekamer-10.u7	Yes, you may challenge, but it just doesn't happen.
ParlaMint-NL_2014-12-18-tweedekamer-10.u8	Of course, you've been busy for a while and I'm coming in fresh, so I'm not going to discuss this with you.
ParlaMint-NL_2014-12-18-tweedekamer-10.u9	Please continue.
ParlaMint-NL_2014-12-18-tweedekamer-10.u10	The second of the three motions reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the instruments for maintaining the maximum speed of mopeds have recently been extended, including measures in the case of light driving behaviour, driving disqualification from speeding, action in the case of alcohol relapse, vehicle seizure, vehicle crime and tightening up of measurement margins;]] [[Whereas the effects of these measures are not yet in sight;]] [[calls on the Government to review the measures against nuisance and insecurity of mopeds in 2015 and to consider the extent to which municipalities have made use of the enforcement tools provided,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Rouwe. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-435]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u11	You don't really have time for a third motion anymore.
ParlaMint-NL_2014-12-18-tweedekamer-10.u12	I've got 20 seconds left, I see. I'm gonna read the motion quickly. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in some municipalities there is such pressure on the cycle path that unsafe situations arise, or are experienced by cyclists;]] [[Whereas moving the mustache cyclist to the lane creates a new problem for road safety;]] [[calls on the government to urge the municipalities to ensure more effective enforcement of violations on the cycle path;]] [[In addition, in consultation with, among others, VNG, ANWB and VVN, the government calls on the municipality to find solutions in the spatial design with special attention to cyclists,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Rouwe. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-436]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u13	Mrs Van Tongeren, you want to interrupt, but you may ask one question in the first term.
ParlaMint-NL_2014-12-18-tweedekamer-10.u14	Mr. Chairman. In general consultation we talked about bicycle helmets. Of course, the SP fraction is for stimulating the wearing of a bicycle helmet. But she doesn't want to make it compulsory. If your children in education and learning to ride a bike already point a bit at wearing the bicycle helmet, you have a chance that they will later do the same. To stimulate the use of the bicycle helmet, I submit the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are relatively many road accidents among cyclists;]] [[noting that cyclists often drive faster than with a traditional bicycle due to the rise of the electric bicycle;]] [[Whereas when a cyclist has an accident, there is in many cases head injury and the wearing of a helmet can reduce the severity of the accident;]] [[expresses no support for a cyclist's helmet duty, and that wearing a helmet is a trade-off that the cyclist himself has to make;]] [[calls on the Government, in consultation with BOVAG, the ANWB and the Fietsersbond, to draw up a plan to bring the benefits of wearing a bicycle helmet to the attention of cyclists,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Bashir. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29398-437]]
ParlaMint-NL_2014-12-18-tweedekamer-10.u15	Do you have another motion? No. Mr De Rouwe has a question.
ParlaMint-NL_2014-12-18-tweedekamer-10.u16	I had the same question, but you've already asked him. That's gonna be okay. My only question to Mr Bashir is then the following. He doesn't want to force cyclists to wear a helmet. Does he want that for the mustache bikers in local initiatives, as in Amsterdam?
