ParlaMint-NL_2014-12-11-tweedekamer-6.u1	In this VSO, I am the first to give the floor to Mrs Ouwehand of the Party for Animals.
ParlaMint-NL_2014-12-11-tweedekamer-6.u2	Mr. Chairman. With regard to the question of whether or not we should proceed to shale gas extraction and whether we should carry out research into it, much has changed in recent times. In the meantime, the Chamber has said: a moratorium on these investigations as long as this cabinet is in place. Then it is also obvious that the search permits issued should not be hung in the air and should also give clarity to the companies concerned. I had tabled a motion on this earlier. I understand that the permits have already expired, at least in one case, and that the Minister himself is also wondering: should I extend that or what is it called; is this now a tolerant construction? I would like to be the first to re-examine the motion tabled by the Minister and then held. I'm going to hand it over to the minister so that he knows what motion it's about. We have here a VSO on the planner and the structural vision that might ensue from it. I have a new motion on that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government intends to draw up a structural vision immediately after the completion of the Schaliegas Plan;]] [[Whereas a structural vision is no longer research but a policy idea;]] [[calls on the Government, following the completion of the Schaliegas Plan, to build a new decision and not to immediately draw up a structural vision,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-14]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u3	Then the second and final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the consultation round of the Note Scope and level of detail for the Schaliegas Plan has produced thousands of views, and the Commission for the S.E.R. draw up an opinion on the subject;]] [[Considering that, in the absence of a revised version of the NRD, and the draft NRD and the Minister's response note are jointly regarded as new NRD, it is unclear to what extent the Commission's opinion on the M.E.R. and the various views are taken into account and not taken into account in drawing up the plan;]] [[having regard to the importance of carefully conducting shale gas extraction research;]] [[calls on the Government to create a new Note scope and level of detail for the Schaliegas Plan,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-15]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u4	Mr. Chairman. The CDA would like to know from the cabinet how the adopted motion of Samsom and Van Ojik is carried out. Are test drilling also subject to the moratorium according to the Cabinet? The CDA has serious doubts about the extraction of shale gas and wonders whether this can be done clean, safe and with support. Our drinking water supply must under no circumstances be compromised. In addition, Shale Gas should not hinder the transition to a sustainable energy supply. The CDA does not rule out any future innovations, which could lead to safe and clean extraction of shale gas in the long term. But even if it is, it is important for the CDA that there is sufficient support for the population. We must avoid any problems arising years after the extraction of coal, as is the case in Limburg, for example. In the planMER Schaliegas, the CDA group asked questions about what happens to the waste water. During our visit to the US, too, it appeared that this is one of the main concerns and that this is being investigated further. The results in the US will only follow in 2016. For Twente, the care around wastewater is now very topical. Prof. Reijnders of the University of Amsterdam claims that by transporting the waste water to and storing it in empty gas fields in Twente earthquakes, soil degradation and soil contamination could occur. Does the Minister share these conclusions? What is the risk of leakage during transport according to the Minister? Are there sufficient conditions for the granting of the authorisation to ensure safety? Are the possible adverse effects of the added substances on the water used in the short- and long-term extraction of oil well in sight? To what extent is the injected wastewater monitored? Are there any risks that water from the deep subsurface will get into our surface and groundwater? Can the Minister give an overview of the differences between the granting of licences in the United States and the Netherlands in this area? To what extent are the inhabitants of Twente at risk?
ParlaMint-NL_2014-12-11-tweedekamer-6.u5	Mrs Van Tongeren, I do not want to have a whole debate. I'm fine with you asking one question, but we're not going to have a big debate.
ParlaMint-NL_2014-12-11-tweedekamer-6.u6	The CDA was at the consultations in which the Minister made commitments to the questions of GroenLinks on this dossier. So we're already getting a lot of information about it. Does the CDA, together with GroenLinks, want to wait for this, or should there already be an answer to these questions, in anticipation of that answer?
ParlaMint-NL_2014-12-11-tweedekamer-6.u7	As indicated during that debate, we have previously submitted written questions on the Schaliegas plan, and in particular on waste water in the House of Representatives. The concern of GroenLinks therefore fully shares with the CDA, as a result of our joint visit to the United States. A commitment has indeed been made on waste water, but I would like to stress here that its handling is very crucial in the context of the possible future use of shale gas in this country.
ParlaMint-NL_2014-12-11-tweedekamer-6.u8	Mr. Chairman. The Christian Union was, is and remains against shale gas. Since the Chamber has adopted a new motion, I shall table the next motion. In my view, research on shale gas and the drawing up of a structural vision is no longer a matter for discussion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is no need for shale gas drilling and extraction in the Netherlands;]] [[calls on the Government to end preparations for the Shale Gas Structure Vision and shale gas extraction research and to invest the saved budget in research into innovative, renewable energy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber, Mr Van Tongeren and Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-16]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u9	My next motion is a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas drilling-free zones are designated by the province to protect inhabited areas, nature reserves and wetlands;]] [[Whereas strategic groundwater resources for drinking water supply are designated in the Structure Vision Substrate (STRONG);]] [[calls on the Government to ex-antely exempt drilling-free zones designated by provinces and strategic groundwater resources from shale gas extraction over full depth,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber, Mr Van Tongeren and Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-17]]
ParlaMint-NL_2014-12-11-tweedekamer-6.u10	It is clear that I very much hope that my group's first motion will be adopted, because then the second motion will be superfluous. I am not entirely reassured, which is why I have tabled both motions. Finally, I would like to say that I am in a major debate on the reform of care. There's an employee in the back of the room. I'm leaving this meeting to go back to the care debate.
ParlaMint-NL_2014-12-11-tweedekamer-6.u11	Mr. Chairman. I'll file the next motion immediately. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas earthquakes can cause damage to both active and abandoned wells for oil and gas extraction and could cause environmental damage;]] [[calls on the Government to require licence holders to inspect all wells near the earthquake epicentre for integrity after an earthquake,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that not all the information of State surveillance on the Mines is public and that transparency is good for citizens' confidence in government;]] [[calls on the Government to disclose all non-business sensitive information from the SodM and to access it within four weeks through the website,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that waste water from mining activities is being pumped deep underground in the Netherlands because it is too dirty to discharge on surface water and too expensive to purify;]] [[Whereas there is a risk of groundwater pollution and earthquakes;]] [[Whereas, in the framework of the Shale Gas Structure Vision, the Minister states that the reuse of "return water" is not possible, it must be purified to a quality on which it may be discharged;]] [[calls on the Government, when issuing new permits under the Mining Act, to make the condition that waste water must be treated to a quality on which it may be discharged,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-18]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-19]] [[This motion has been proposed by Members Van Tongeren and Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33952-20]]
