ParlaMint-NL_2014-12-15-eerstekamer-4.u1	I would like to welcome the Secretary of State for Finance to the First Chamber.
ParlaMint-NL_2014-12-15-eerstekamer-4.u2	Mr. Chairman. The members of the CDA Group appreciate the government's concern, now more than in the past, about the feasibility of the tax system and the possibilities, but above all limitations, of the Tax Administration. Apparently, recent experiences with the inadequate payment system and the automatic data processing by the Tax Administration have been an important reason for this change in the government's attitude. Year after year, the Tax Administration was saddled with new measures in the past, without serious consideration being given to whether these measures were also feasible in the often short implementation period envisaged by the legislator. In addition to the Tax Administration, of course, citizens also have an interest in a system that is as simple as possible and in clear, transparent legislation. The Communist Group also believes that the current tax burden on labour in particular is too high and that it would be very good for the economy and the approach to unemployment if this pressure, also referred to as the "wig" would go down. In this area, however, the Tax Plan makes little or no contribution. There is a lot of reference to an uncertain future. The members of the CDA Group are therefore disappointed by the lack of ambition, vision and decisiveness that this Tax Plan emits. The tax increases we denounced in the previous Tax Plan and the related tax plans, such as the tax increases with very adverse consequences in the border region and the landlord tax with very serious consequences for the housing market, are not mitigated, let alone reversed. On the contrary, this Tax Plan will add new burdens. The first share of income tax goes up, although it is slightly less than initially foreseen, the tax reductions go down faster for middle income, the energy tax for businesses increases, the waste tax increases, and director-large shareholders will have to pay themselves a higher wage, while from 2016 onwards the elderly discount is reduced and the elderly allowance in box 3. The reflex of this cabinet is still to give priority to expenditure restrictions. There are no necessary reform proposals for our tax system; they are being postponed and made dependent on the availability of sufficient lubricating oil in the form of billions of euros to finance or make the reforms bearable. This will make the tax reform dependent on the economic recovery of the Netherlands, while the tax reform must help to achieve and drive this economic recovery. Let us not forget that the current forecast growth rates for 2015 are largely driven by factors on which the Netherlands has no influence, such as the oil price and the price of the euro. A reduction in the wedge through tax reform would be an important contribution of the Netherlands to improving growth and reducing unemployment. The Secretary of State points to an uncertain future for many of our proposals in the report for improvements to the current system. Provided that lubricating oil is found in the range between EUR 3 billion and EUR 5 billion, he says he will gradually come forward with proposals to reform our tax system: quietly, wait, everything will be new, heaven and earth, including our tax system. It is significant that the government notes in the reply that it is not the intention of this cabinet to find the room for tax relief by cutting back. This means that this space must be found by shifting burdens and by the hopeful growth of the economy. The main question, however, is whether we can afford to keep all this going for so long. In our opinion, this cabinet can already be expected to be more effective in this area. I'd like to hear the Secretary of State's response. This Friday it is exactly 100 years since the Income Tax Act 1914 saw life. The spiritual father of this law, Minister of Finance Willem Treub, knew that the crisis in which the Netherlands had just broken out of the First World War, even though we had been spared from war violence, posed major budgetary challenges for our country. Treub didn't have time to wait for lubricating oil to introduce the new system. The need of time forced him to move on. After the split income tax introduced by Pierson at the end of the nineteenth century, the tax on corporate and other income from 1893 and the property tax from 1892, a general and progressive income tax was introduced in 1914. This marked the turn of a state which drew its taxes mainly from expenditure in the form of consumption taxes such as import duties and excise duties, to a state which wanted to base its taxes on a tax which wanted to tax income according to carrying capacity. It was not just expenditure, also the part of income saved, that had to be taxed. On the basis of the law of the declining bordernut, a moderate progression had to be taken into account: as income increased, the tax burden gradually increased. The highest rate was 5% for incomes above 20,000 guilders. Contrary to Pierson's capital tax, which, when taxing capital income, was based on a legally established fictitious return of 4%, the Real Capital Income was taxed in the IB 1914 Act. The income from labour and the income from capital were more or less fixed in the same way; the rate was applied to the whole income. Thus there was a synthetic income tax. The fact that the IB 1914 Act cannot be fully characterised as a tax on real income was due to the source fiction system, but it found its cause in the technical impossibility at that time to work with provisional attacks and precharges. The starting point was the levy based on real income from capital and labour. That was then seen as progress. How wretched is it, then, that in box 3 in 2014 we do not tax real income from capital, but just like in 1892, we assume a fictitious return of 4%, which is currently taxed at a rate of 30%. Therefore, with box 3, we actually have a capital tax and there is no actual income tax on actual income from capital. Although box 3 has undeniable advantages from the point of view of simplicity, this box also has disadvantages. The fictitious return of 4% is mainly felt by risk-avoiding savers as an injustice. They are expected to achieve a capital return of 4%, while their actual return has been well below that for years. The existence of a tax-free capital is not always a solution for this category of savers. They have only been helped by taxing their actually realised return on their savings accounts. I know that the Secretary of State does not want to anticipate the system discussion, but would he at least confirm that this is technically easy to achieve, as the financial institutions can provide this data? For the more complicated situations where capital gains and losses are also shown, more time is needed to find a just solution that is consistent with the principle of carrying capacity without losing the simplicity of box 3. We would like to know what plans the Secretary of State has for this.
ParlaMint-NL_2014-12-15-eerstekamer-4.u3	Mr Essers cites Treub and mentions tax according to carrying capacity. Is the CDA group also for wealth income tax according to carrying capacity, like Treub?
ParlaMint-NL_2014-12-15-eerstekamer-4.u4	You ask how you see the ideal system in the long term. We must all have this discussion. I don't want to throw away the simplicity that box 3 brought. I believe that we should strive for an intermediate form between the very rough but simple box 3 system and the extremely complicated capital gains tax system. I do want us to deal with the risk-avoiding savers now. This can simply be done by looking at their actual income on the savings accounts.
ParlaMint-NL_2014-12-15-eerstekamer-4.u5	I understand Senator Essers, but he's not answering my question. The question is whether the CDA Group is also in favour of a load on capital income. He answers that he likes to keep it simple, but you can keep everything simple.
ParlaMint-NL_2014-12-15-eerstekamer-4.u6	The counter-question is: what exactly does Mr Reuten have in mind? You might as well defend that box 3 is already trying to tax capital revenue. We agree that this is not yet being done in the right way. In order to introduce a heavier capital tax or a capital gain tax immediately, I go too far.
ParlaMint-NL_2014-12-15-eerstekamer-4.u7	So I asked if the CDA Group is for progression. Mr Essers does not answer and then asks what I think. My answer is yes.
ParlaMint-NL_2014-12-15-eerstekamer-4.u8	Progression is another question. I understand that Mr Reuten is in favour of this. The CDA is for a flat tax, although there is room for a slightly higher rate for the highest incomes. We clearly want to remain moderate in the progress.
ParlaMint-NL_2014-12-15-eerstekamer-4.u9	It is a good thing that Mr Essers calls the flat tax. However, he does not describe flat tax but a tax system with two rates. I would like to come back to the previous point. Mr Essers rightly raises the problem of the present rate of return in box 3. My group recognises the problem. On the other hand, he appoints the feasibility and the execution of the tax administration. Can he indicate in concrete terms how assets can be treated differently in box 3, with as little disruption as possible to the current implementation capacity of the Tax Administration? That goes beyond the savings, doesn't it? Power is more than just savings.
ParlaMint-NL_2014-12-15-eerstekamer-4.u10	Yeah, that's exactly what I said. For the complicated situations we will have to deal with the current system of box 3 for the time being, until the Secretary of State comes up with his plan. However, my question to the Secretary of State is whether it would not be a huge concession for the large category of risk-averse savers to tax the actual income on profit savings accounts. I ask this because banks can supply this data very easily.
ParlaMint-NL_2014-12-15-eerstekamer-4.u11	So you ask the Secretary of State to consider creating a special rate of return on cash savings? Is that what you're saying, or is it going wider?
ParlaMint-NL_2014-12-15-eerstekamer-4.u12	That's exactly how it is. This is a special category of investment items held by risk-averse savers. You should be making a contribution to this by now, because of the fact that a far too high rate of return has been taken into account for years.
ParlaMint-NL_2014-12-15-eerstekamer-4.u13	I recognise the bottleneck, but Mr Essers is already shifting from savings to risk-free investment products. In my view, this is where the problem of implementation begins.
