Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-18-tweedekamer-18	ParlaMint-NL_2014-12-18-tweedekamer-18.u11	Report of the meeting of the Dutch Lower House, Meeting 39, Session 18 (2014-12-18)	2014-12-18	Lower house	Meeting of the 28th Tweede Kamer	Session 18	Meeting 39	Sitting 2014-12-18	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	EdithSchippers	Schippers, Edith	F	1964	
