ParlaMint-NL_2014-12-16-tweedekamer-8.u1	Mr. Chairman. There is a deadline of January 15th,...
ParlaMint-NL_2014-12-16-tweedekamer-8.u2	One moment. I'm gonna have to hammer it anyway. Mrs Van Veldhoven is standing next to me and has a microphone, and I still don't understand her. I would therefore ask Members to be silent during this short but important debate. Go ahead, Mrs. Van Veldhoven.
ParlaMint-NL_2014-12-16-tweedekamer-8.u3	There is a deadline of 15 January, which requires us to table and vote on these motions today. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas, under Regulation 528/2012, the European Commission should establish rules on the authorisation of hormone disrupting substances, but the Commission is already one year late;]] [[whereas Sweden has therefore brought an action against the Commission in order to force the Commission to comply with its own rules;]] [[Calls on the Government to act in favour of joining Sweden in the decision-making process of 15 January 2015;]] [[invites the Government, if the Council does not decide to do so, to join the Swedish procedure as a Member State of the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-539]]
ParlaMint-NL_2014-12-16-tweedekamer-8.u4	It's about hormone disruptors. They're very serious. That is why agreements at European level are of great importance. I also have two motions for resolutions on the Commission's forthcoming work programme, on which negotiations between the Council and the Commission are expected to start soon. That is why it is important to give the following signals. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Netherlands is a leader in the circular economy and therefore benefits from European agreements that remove barriers to raw material flows and ensure a European level playing field, as this offers opportunities for Dutch business;]] [[calls on the Government to urge the European Commission to maintain the proposal, with some adjustments to be proposed, to maximise the opportunities it offers to European industry and to minimise administrative burdens,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the Netherlands is heavily dependent on emissions from neighbouring countries for clean air and health, and therefore directly benefits the Netherlands from European agreements;]] [[whereas the European Commission intends to reconsider the proposal for European air quality agreements;]] [[calls on the Government to urge the Commission to maintain the proposal and, if adjusted, to ensure that this proposal is more effective but not less ambitious,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Veldhoven and Cegerek. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-540]] [[This motion has been proposed by Members Van Veldhoven and Cegerek. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-541]]
ParlaMint-NL_2014-12-16-tweedekamer-8.u5	Mr. Chairman. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the European Commission is considering withdrawing the proposal for air quality;]] [[Whereas the proposal provides for a reduction of the national emission ceiling for the six main pollutants which will make it easier for large cities to avoid local exceedances of standards;]] [[Considering that implementing this proposal could prevent EU-wide €40 billion to €140 billion of health damage, 58.000 premature deaths and large-scale pollution of natural areas;]] [[whereas the Netherlands has supported the request made by eleven other European Member States to the European Commission to further examine the proposal;]] [[calls on the Government to prepare national legislation to bring the rules on air quality to the level of the original air quality proposal and the WTO air quality directives in case the European Commission withdraws this proposal,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-08-542]]
ParlaMint-NL_2014-12-16-tweedekamer-8.u6	Mr. Chairman. We have had a good general discussion in the Environment Council. We also discussed the work programme of Commissioner Timmermans. The nice thing is that he has a press conference this afternoon at 4.30 p.m. in which he announces his package. I see that motions are now being tabled. I ask Mrs Van Veldhoven and Mrs Van Tongeren to hold their motions, at least until Thursday, because it is relevant to know what Europe thinks about them before we all do things ourselves. The Secretary of State and I had an exchange of views on Bisphenol A, a chemical product that we export for 400 million and which is now a problem for the French. I ask her to inform the Chamber of what progress has been made and what are the chances of France failing, because it is distorting the internal market. I have been promised that the Secretary of State will inform us in writing about carbon leakage, the leakage of activity outside Europe. I have another substantive, more technical question on this, which I will email to the Secretary of State, so that she can comment on in the relevant letter.
ParlaMint-NL_2014-12-16-tweedekamer-8.u7	You should do that; you can do that. I now give the floor to Mrs Ouwehand of the Party for Animals.
ParlaMint-NL_2014-12-16-tweedekamer-8.u8	Mr President, I had signed up for zero minutes so that I could interrupt. So this will save us another two minutes in our meeting schedule.
ParlaMint-NL_2014-12-16-tweedekamer-8.u9	You were on my list for two minutes. So thank you for your announcement. Since Mrs Cegerek of the PvdA and Mrs Mulder of the CDA have registered for zero minutes, this means that we have come to the end of the parliamentary term. I note that the Secretary of State needs a very brief suspension to review the motions.
ParlaMint-NL_2014-12-16-tweedekamer-8.u10	Mr. Chairman. In response to Mrs van Veldhoven's first motion, I can say that I support the intention to establish criteria for hormone-distorting substances. I have looked at the proposal globally. I'm gonna take a good look at it. In principle, I am prepared to join, unless there are serious objections. If that is the case, I will let the Chamber know in writing before the end of the recess. As far as I am concerned, therefore, the motion is Chamber of Appeal. Then I come to Mrs Van Veldhoven's second and third motions. Mr Timmermans has just given a press conference on the packages. I understand that he has indicated that he will come forward with a new package before the end of 2015 and that he intends to withdraw packages. The new package should contain more ambition and fewer rules. That's exactly what I advocated in the AA. As far as I am concerned, there must be more ambition and fewer rules. The program is called "Make it work." I can therefore agree with what this European Commissioner is planning, because it is his area. For me, it is important that there be more ambition and fewer rules. Maintaining the package seems like a rear-guard fight. I am concerned about the new package, which needs to be more ambitious. I leave the two motions with this description to the Court's judgment. The motion in part No. 242 is basically about the same thing. However, Mrs Van Tongeren says that if it is withdrawn, she would like to see rules prepared. It has been withdrawn, but there will be a new package before the end of 2015. I'd like to wait and see. It indicates ambition. Creating your own rules and legislation seems to me to be an unwise task. It would also mean that we are derogating from European legislation. In that sense, I advise against the motion.
ParlaMint-NL_2014-12-16-tweedekamer-8.u11	Mrs Van Tongeren has a question on this point.
ParlaMint-NL_2014-12-16-tweedekamer-8.u12	No, Mrs Van Tongeren is holding this motion until it is clear whether the European Commission is actually adjusting the proposal in our direction. If that is not the case, I shall put the motion to the vote.
ParlaMint-NL_2014-12-16-tweedekamer-8.u13	At the request of Mrs Van Tongeren, I propose her motion (21501-08, No. 542). That is what is decided.
ParlaMint-NL_2014-12-16-tweedekamer-8.u14	I would like to do the same quality check on the content of the other two proposals, so I will keep my motions on pieces Nos. 540 and 541 on. The motion in part No. 539 will be put to the vote today, but the motions on items Nos. 540 and 541 are under arrest.
ParlaMint-NL_2014-12-16-tweedekamer-8.u15	At the request of Mrs Van Veldhoven, I propose her motions (21501-08), Nos. 540 and 541). That is what is decided.
ParlaMint-NL_2014-12-16-tweedekamer-8.u16	Mr. Chairman. I have a question from Mr Dijkstra about Bisphenol A. Yes, I want to inform him about the progress. He asked whether and how Europe will respond to France's action. Unfortunately, I am not a psychic, but as soon as that becomes clearer, I will also inform Mr Dijkstra.
ParlaMint-NL_2014-12-16-tweedekamer-8.u17	Thank you for your response to the motions and thank you for your answers. I shall suspend the sitting for a few moments so that we can call for the votes and actually vote in a few minutes.
