ParlaMint-NL_2014-12-17-tweedekamer-3.u1	I welcome Secretary of State Bitches.
ParlaMint-NL_2014-12-17-tweedekamer-3.u2	Mr. Chairman. We had a general discussion on copyright a few weeks ago. We discussed a number of issues. The Secretary of State had a satisfactory answer to most of the questions or at least an answer to which the Chamber could proceed. At the end of the AO we discussed the role of the Internet service providers, with whom the Secretary of State will shortly be discussing a number of issues, including their role in countering illegal downloading. Then the Secretary of State said a number of good things, but also a number of things that scared my group a little. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Secretary of State for Security and Justice will consult with copyright holders and internet service providers (ISPs) in early 2015 in the context of combating illegal downloading;]] [[Whereas increasing the legal digital offer is the best way to prevent illegal downloading;]] [[Whereas, for reasons of privacy, net neutrality and effectiveness, it is not desirable to force isps to play an active enforcement role in combating illegal download by monitoring or prioritising internet traffic or blocking websites;]] [[calls on the Government to ensure that internet service providers, in the context of combating illegal downloading, are not forced outside judicial review to play an active, enforcing role, for example by monitoring or prioritising internet traffic or blocking websites,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29838-76]]
ParlaMint-NL_2014-12-17-tweedekamer-3.u3	I have a supplementary question. I understand from the motion that, even before there is a conversation with the Internet service providers, the door is already closed. Am I hearing that right? I have not quite read the motion.
ParlaMint-NL_2014-12-17-tweedekamer-3.u4	Yes, that's what Mrs. Oosenbrug hears. I made it very clear in the debate that I believe that the role of Internet service providers should be limited to a certain level. My group strongly states that it is not intended that Internet service providers should be given an active role by politics in order to increase digital supply and/or prevent illegal downloading. Internet service providers don't have that role. The industry does have that role. That is why I would like the Secretary of State's conversation with these parties to be limited to the issues that these parties are about, and therefore not about the role of Internet service providers in, for example, blocking websites to prevent illegal download.
ParlaMint-NL_2014-12-17-tweedekamer-3.u5	Mr Verhoeven says: Internet service providers do not force them outside the courts. We have asked the Secretary of State to agree to sit down with the Internet service providers and see what they are willing to do voluntarily. Then we must note that the motion does not relate to what we have asked the Secretary of State.
ParlaMint-NL_2014-12-17-tweedekamer-3.u6	If we have seen something in recent years in the debates and in the course of things around all kinds of Internet matters, it is the so-called sliding scale: the always a little stretching of things, the not quite concrete delineation of certain areas of work, which allowed it to do so, ensuring that a grey area was stretched up again and that a particular party was forced back into a certain role and so on, and so on. My group has always seen itself as a sort of guard, because we believe that the roles of the various parties in and on the Internet should also remain clear and clear. That's why I'm filing this motion. If the VVD thinks this group is superfluous, then my reaction is that I would normally never make an unnecessary motion, but that this motion is meant to close down the grey area to ensure that Internet service providers are not forced into an improper role. We really need to avoid that.
ParlaMint-NL_2014-12-17-tweedekamer-3.u7	I am glad that Mr Verhoeven himself has indicated that his motion is superfluous.
ParlaMint-NL_2014-12-17-tweedekamer-3.u8	I am pleased that the VVD has indicated, in order to take over Mr Van Wijngaarden's use of words, that his own commitment in general was not clear enough to ensure that I could have swallowed this motion. My party is not in favour of tabling unnecessary motions, but if this motion was not necessary, Mr Van Wijngaarden should have thought of that at the time he spoke to the Secretary of State about the role of Internet service providers. At that time, however, the VVD was a lot less clear.
ParlaMint-NL_2014-12-17-tweedekamer-3.u9	Mr. Chairman. I'm not gonna do anything about it. I'm not gonna do anything about it.
ParlaMint-NL_2014-12-17-tweedekamer-3.u10	Then we'll write that down.
ParlaMint-NL_2014-12-17-tweedekamer-3.u11	Mr. Chairman. The PvdA Group has already indicated in an earlier debate that it agrees with the home-copy levy. However, given the rapid developments on the internet and the use of the so-called sound carriers, we want to keep our finger on the pulse. The home copy charge has now been fixed for three years. In the digital world, three years is a very long period, in which much can also change. That is why I, also on behalf of the VVD, will table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the new AMvB applies to home copy charges for a period of three years until 1 January 2018;]] [[Considers that home copy charges could decrease if new media use leads to fewer home copies;]] [[noting that consumer media use is currently undergoing significant change, in particular due to increasing use of streaming media and Video on Demand;]] [[Whereas a period of three years in the dynamic media landscape is very long;]] [[Considers that during this period an active monitor of changing media usage is necessary in order to assess in the interim whether the home copy charge is still in line with this;]] [[calls on the Government, with the Foundation for Negotiations, to provide home copy fees with the task of monitoring the changing media use annually and to propose an interim adjustment of the home copy charge if the monitor gives rise to this and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Oosenbrug and Mr Van Wijngaarden. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29838-77]]
