ParlaMint-NL_2014-12-16-eerstekamer-7.u1	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2014-12-16-eerstekamer-7.u2	Mr. Chairman. First of all, I would like to thank the Chamber, especially after I have just heard the debate, because it is prepared to deal with this proposal before the end of the year. This is also important for implementation should the proposal be adopted. I congratulate Mr Meijer on his impressive maiden speech. I shall deal with the questions raised in such detail. I will build up my answer as follows. First of all, I would like to say a few words about the main issue, the very broad part of the legislative proposal, which is the abolition of the compulsory WGR-plus regions in the country and the justification for it. Secondly, I will deal with the setting up of the transport regions and all the questions that have been asked about them. Thirdly, I will deal with the transitional procedure that will apply to the transport regions in the near future. Fourthly, I will deal with the progress of the General Measure of Governance. This subject has been discussed here before. Several Members have said something about this. Finally, there are some questions that are not grouped together. The main subject of this bill is the lifting of the WGR-plus regions. With the legislative proposal we aim to strengthen the main administrative structure of the Netherlands. If adopted, the plusregions Amsterdam, Rotterdam, Haaglanden, Utrecht, Arnhem-Nijmegen, Eindhoven and Twente will be abolished. The former plus region of Parkstad Limburg was already closed in June on its own request. The remaining tasks of the plus regions flow in principle to the provinces. The idea behind it is that the provinces are perfectly capable of carrying out these tasks, which often relate to the spatial, economic and nature aspects. They are also part of the core task of the central administration, the provincial administration. So that's the idea behind the bill before us. Mrs De Boer asked what the citizens noticed. The honest answer is that I think and also hope that the citizens do not notice so much about it. It's about how the board is organized. If it's okay, as a citizen, you don't notice much of it. You only notice that nature is in good shape and that spatial planning is in order, but you don't know exactly what is happening under the hood. Nevertheless, the consideration has been for a number of years that it is not desirable for such tasks to lie elsewhere than with the main administrative structure. As a result, a number of questions have been asked, which I would like to address immediately. Mrs Van Bijsterveld's question is actually one of the key questions. She says it's two-and-a-half. If the principle is that everything has to go to the main structure, then you must also stick to it in all areas. However, you can also pragmatize what is possible and what is useful and necessary and then you can see it. The government attaches importance to the principle that everything must go to the main structure. All WGR-plus regions will also be abolished. These regions have a large range of legal tasks, which are mandatory from above. However, the law leaves the possibility to invest transport tasks specifically with a public body that has no other tasks than those of the Amsterdam and Rotterdam-The Hague Metropolitan Regions where it is regulated by AMvB, as shown by the AMvB. This is a pragmatic choice which results from the idea that the citizen who lives and works in different places is served by it. He has to take the bus, the light rail, the tram or the metro back and forth. All connoisseurs of public transport in the Netherlands stress that in those two metropolitan regions it is by far the best to organise it together in such a context. This is how the municipalities have agreed. It concerns 16 municipalities around Amsterdam and 24 municipalities in the Rotterdam-Den Haag metropolis.
ParlaMint-NL_2014-12-16-eerstekamer-7.u3	It is not my custom to interrupt immediately after the Minister's first few sentences in the first period of his reaction, but in this case I think it is necessary. I did say it's two-and-a-half. I did not say that the choice is either fundamental or pragmatic. I've said that if you choose principle, you also have to do something with everything that doesn't fit in. However, you can also use the principle of the main structure as a basic model, but specifically look at whether certain exceptions are needed, as happened with the transport regions. This would then have led to a more substantive consideration in this legislative proposal as to why it is necessary to abolish the WGR-plus regions. We have noticed that the Minister is very radical in his principle that the WGR-plus regions should be removed, but that he is pragmatic, by the way, I do not mean pragmatic in the bad sense of the word "for example" in relation to transport regions and that he comes up with special arguments for this. Then say that it is not a basic choice of everything or nothing, but choose it as a starting point and more motivating than the particular circumstances. However, this should have been done for the WGR-plus regions. So it is not a matter of principle against pragmaticism, but of a starting point with particular reasonings versus a rigid principle.
ParlaMint-NL_2014-12-16-eerstekamer-7.u4	With this explanation by Mrs Van Bijsterveld I would certainly opt for the second variant. It is a pragmatic approach. The basic rule is that everything goes to the main structure, unless there are serious reasons to do it differently. Mrs. Van Bijsterveld is right. In fact, in every WGR-plus region that is closed down, you have to see if there are special circumstances that make it necessary to make an exception. We have made that assessment implicitly and explicitly. I don't think that's the case. Of course, some of the regions we eliminate fall within the Randstad. We'll make an exception for that. In the regions of Arnhem-Nijmegen, Eindhoven and Twente the moving boxes are already ready. I'll be right back to the timing. That is what is expected to happen. The county wants to do it, too. I'm not saying everyone's happy with it. Organizations, of course, always tend to say: we're doing well, why doesn't it stay that way? When I look at it through my eye hairs, I can see that there is a reasonable consensus about letting the province do it in those regions. I can therefore confirm to Mrs Van Bijsterveld that this is her second variant. The principle is the starting point, but you must always keep an eye on the pragmatism. So do we in this case. I'm going to go on about the WGR-plus regions. I'll be right back in the transport regions. Mr Koole, Mrs De Boer and others asked about the timing and said that it was not intended that the Chamber should be presented with a fulfilled fact. They're right. I said the moving boxes are ready. It is, of course, anticipating the possible decision on this matter. It was already in a previous coalition agreement between CDA and VVD. It is now also in the coalition agreement. From the provinces it has been called for. The House of Representatives has adopted the proposal, so perhaps it is anticipated. If you do that, you do it at your own risk. In the end, it's up to the First Chamber and if she doesn't want it, the law won't go through. It's no different.
ParlaMint-NL_2014-12-16-eerstekamer-7.u5	That is what one does at one's own risk. However, the members of the First Chamber do hear this. We cannot ignore the fact that this is happening in practice. That is why I asked the Minister what the government can do in this particular case, but it is more common, to prevent this from happening in the future. If legislation can have enormous human consequences for a particular organisation, is it an idea not to let the legislation enter into force before, for example, a year after the adoption by parliament? Then you'll have the space and reduce your chances of achieving facts.
ParlaMint-NL_2014-12-16-eerstekamer-7.u6	I understand that reasoning. This will have to be weighed against the fact that, of course, this will also have disadvantages in the future. If you have already decided to do something, but continue with the old situation for another year, it also has disadvantages, for example for personnel policy. However, I understand what Mr Koole is saying. Mrs De Boer asked what would happen if we didn't? In practice, this would be awkward for the WGR-plus regions. Then there will be a somewhat difficult situation. However, she is absolutely right: it is up to the Chamber. It's just a bill, so it's up to the Court to see if she's convinced by the arguments. Mr Koole and others asked: how is it that these regions were set up with so much freshness at the time? This was due, among other things, to the abolition of the framework legislation areas, which had existed since 1994. The then cabinet, which was in 2006.............................................................................................................................................................. That's when this structure was introduced. In the end, the government's view is that, as a structural solution, it removes too many tasks from the main administrative structure. That is why it is desirable to put an end to this now. I would add that I believe that the provinces will be perfectly capable of taking over these tasks. Mr Koole asked me also to answer the questions of other questioners; I am using the order of the speaker whether I believe that the citizen's influence in the common rules is sufficiently guaranteed. The common arrangements are indirectly legitimised. This means that the directly elected parliament, the municipal councils, and the colleges that result from them together determine how they carry out these tasks. They must provide guidance and control. That's an indirect road. I shall come back to this later, however, when replying to Mr Engels' questions, a legally and even constitutionally anchored road. You can try to improve the practice of that. We have also done so with a bill adopted by the Lower House and the Upper House; it will enter into force on 1 January 2015. This legislative proposal will make the deadlines for, for example, the budgetary cycle so that the city council can take decisions on them in good time and therefore not for facts. Furthermore, this is not so much on the legislative side as we are busy working with the UNG and the Councillor.Now council members to provide sufficient information and training and training where necessary, so that they know where the room is to exercise as much influence as possible in common regulations. So I am not negative or cynical about the democratic nature of a common arrangement in itself, but I say that it is a step away from the directly elected city council. I once experienced this as a member of the common energy company Rhineland. It's a step more complex, but it's possible. Mr Koole asked if the municipal councils were sufficiently equipped. I have just said a few things about this, so I answered that question. Mrs Van Bijsterveld also asked about the extended local government and the municipality's vision on it. The aim of the WGR is precisely to regulate extended local government properly. It is the form of cooperation that the cabinet prefers. Every now and then there will be a need for a center municipality construction, where one municipality offers a product and in fact all surrounding municipalities buy that product without having a direct control over it. This has the disadvantage that the surrounding municipalities depend on what the city council determines in the city centre. That is why, in general, this is not preferable. In fact, this situation is likely to occur from time to time. I believe that, for example, Leeuwarden does this at some point with the surrounding municipalities, where there are good reasons to choose. In general, however, it is not preferable. The common system has a legal basis. It is a voluntary partnership between governments. It can often be very rational. If we want to organise the waste collection services jointly, I think that is completely logical and understandable. Moreover, it has a democratic direction, albeit with one additional step in the interim. I think that fits in with the image I have of the autonomy of local government, including the freedom to engage in partnerships on my own initiative. I also see that in practice it works well in many places. Mrs Van Bijsterveld and Mr Meijer asked: how can we be sure that the interests of the municipality will not get in the way of the transfer of tasks from the joint WGR-plus structures to the province? Mrs Van Bijsterveld referred to a letter from the VNG, who expressed her concern about this. In principle, I assume that the provinces behave in the same way that they behave in the regions where there was no WGR-plus and that they do business in good consultation with the municipality. I have no reason to doubt in advance that they will do that right. I have great faith in the democratic process. If a province were to behave unfairly in this respect, I think that the members of the State who are coming from somewhere in that province will call the bell and say, "God, you're acting strangely. I'd like to make the following commitment. Should this fear, which is evidently felt in VNG circles, become real, I do not expect that to happen, then this can be addressed in the consultation on the financial relations between the Empire, provinces and municipalities and I will work for a good balance between the provinces and the municipalities. That is also an answer to Mr Meijer's question. My numbering was Mr Meijer's question 7. Mr Kuiper asked how the abolition of the WGR-plus relates to the plans in the coalition agreement for the scaling up of the central administration, the provincial administration. The implication of that is the following. The plans for the North Wing Province are not being implemented at the moment. If those two things are connected, how are you supposed to see that? My answer is they're not connected. I think that there are very good reasons why we may disagree on this in order to achieve a reclassification of the county administration, but these are not the reasons that force or result from the abolition of the WGR-plus regions. For that, the reasoning I have just given, which is to return those tasks to the main administrative structure, is decisive. That is the case with or without Northwing Province or other merger of provinces. First of all, I would like to thank Mr Engels for supporting the main part of the legislative proposal, which is the abolition of the WGR-plus regions. I hope to be able to convince him of the importance of the law opening up the possibility of setting up transport regions in AMvB where this is useful and necessary. I'll start with the legal side. I know the hesitations about the Common Regulations Act in the circles of D66. I also have a debate on this on the other side. You can weigh it differently, but in itself it is constitutionally founded. Article 135 of the Constitution states: "The law lays down rules for the provision of services in cases involving two or more public bodies. In doing so, a new public body may be provided for in the establishment..." That is the constitutional basis. It was then worked out in the law. For the transport regions, the present law, which we are discussing today, explicitly states that there is the possibility of allocating transport funds to public bodies at AMvB. In that AMvB a number of things have been laid down. I will come back to that later, but this concerns the WGR-plus regions. I will return to the transport regions later. Mr Meijer has asked whether I leave open the possibility of a city province. The answer is negative, because the intention of the bill is to return as much as possible to the main structure of the municipality, province and empire. Having heard Mr Meijer's speech, I would like to have an opportunity to talk to him about how you could do it all. I remember De Hoop Scheffer's proposal to make the Netherlands 24 regions. I hear Mr Meijer saying it was De Gaay Fortman. I stand corrected.
ParlaMint-NL_2014-12-16-eerstekamer-7.u7	There were 25 of them.
ParlaMint-NL_2014-12-16-eerstekamer-7.u8	There were 25 of them. I am quite right to be corrected on two points, although I do not know whether that second point is justified. But if you say there were 25, Mr. Chairman, I'll take it immediately. I believe that his successor, Mr Wiegel, did not know how quickly that proposal had to disappear into the drawer. This would make the big cities provincial-free. They would be directly covered by the Empire as one of the regions. They're interesting variants in themselves, but I don't think they're realistic. In any case, it is not the choice of the cabinet to go that way. Mr Meijer asked whether the government believes that the metropolitan region or the transport region we are talking about should therefore be subject to an additional administrative layer. That is not the intention of the government. The reason why the AMvB has been added is to make that very clear. That transport region really needs to be limited to transport. Mrs De Boer asked an important question: why did the Minister provoke this conflict of competence between the province and the municipality? I would like to contradict the assumption contained in the question. On the contrary, I have the impression that we are now cutting a number of buttons and that we are actually happy with them in many regions. The debate on the WG-plus has been going on for a long time. In many places it has been said to me: no matter what happens, just cut the knot and we will know where we stand. We have chosen that these tasks should be returned to the provinces. Gelderland, Utrecht, Noord-Brabant and Overijssel have the traffic and transport tasks for the regions of Arnhem-Nijmegen, Utrecht, Eindhoven and Twente. So we're just cutting those buttons. In the Randstad, there is no doubt that there are still some heated discussions between the provincial government and the leaders of the big cities. Mr Koole also referred to this in one of his questions. I think that we are now setting out the frameworks. We recognise that in the metropolitan regions it is wise, from the pragmatisms, to invest the transport tasks in the partnerships that the municipalities have voluntarily entered into, i.e. with such a public body. But we do say that the public body should not become a pseudoprovince. For this reason, it should not have any other tasks in the long run. We have a brief transition situation. I'm gonna talk about that in a minute. I think that by setting frameworks, we will resolve the conflict of competence between the municipalities and the province instead of fueling it. I hope that this can be put to an end in the coming period.
ParlaMint-NL_2014-12-16-eerstekamer-7.u9	For the second time we see the metropolis region passing. That's an interesting development. The Minister says two things about that. The metropolis region will become the vehicle for the transport region on the south side, but the Minister makes it very clear that it should not become a real administrative body. I understand that, by the way, because we will immediately have an additional administrative layer in the main administrative structure. However, if I see it correctly, there are all kinds of developments going on in the metropolitan area that are being made wider than just traffic and transport. From the perspective of the main structure and of concrete administrative developments in that region, the question is interesting as to how we should see the developments and, above all, the future of the metropolitan region, in line with what is now at risk. The road to an independent administrative layer, whether provincial or non-provincial, remains out of the picture for the time being. In between there is still anything possible. The metropolitan region is developing, but not purely and simply to focus on traffic and transport tasks.
ParlaMint-NL_2014-12-16-eerstekamer-7.u10	I hear what Mr Engels says. I think this observation is correct in itself, but I think that we as legislators should be purely in it and will have to record it. That is in any case the proposal that there are good reasons to say: let the cities and the surrounding municipalities that have found each other in a cooperation for transport do it together; please do not say that from the province house in Haarlem will be arranged how the buses between Amsterdam and surrounding municipalities drive. Those sixteen congregations have found each other. Be happy about that, but let us indeed invest the task with a public body that has no other task. In doing so, we prevent, for our part, as legislators, from contributing to the setting up of such an intermediate layer.
ParlaMint-NL_2014-12-16-eerstekamer-7.u11	I ask the following question in order to avoid any misunderstandings and uncertainties. That is what I would like to add to what Mr Engels said. I understand that the territory of the metropolis region, which is a voluntary grouping, is the same territory for which the common transport system should be established.
