ParlaMint-NL_2014-12-18-tweedekamer-9.u1	I shall be the first to give the floor to Mr Van Helvert of the CDA.
ParlaMint-NL_2014-12-18-tweedekamer-9.u2	Mr. Chairman. In general consultation we discussed, among other things, the report on derailment at Borne. The Inspection Environment and Transport investigated this and concluded what went wrong and who might be responsible for it. The ILT itself has also concluded that at least it is not to be blamed. Then you get the idea of a butcher who approves his own meat or of "we of toilet duck advise toilet duck." In Borne it was a wagon with sand and gravel in a meadow with cows. Before we start driving more dangerous substances through, for example, Brabant, Limburg and Overijssel, it is good that we first have an objective and independent investigation of what went wrong. That is why we are tabling the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the ILT should assess its own functioning in the investigation of derailment at Borne;]] [[noting that in the coming years the government intends to have much more freight trains run on rail built for passenger transport and that runs through densely built cores, for example in the provinces of Gelderland Overijssel, North Brabant and Limburg;]] [[noting that the charges may therefore be dangerous substances;]] [[noting that the transport of dangerous substances through residential areas presents a potential danger;]] [[calls on the Government, the Borne case, and specifically the role of the LLT, to submit to an independent institution in order to learn lessons and to avoid future errors,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van Helvert, Van Veldhoven, Van Tongeren, Öztürk and Van Vliet.]] [[She's getting No. kst-29893-179]]
ParlaMint-NL_2014-12-18-tweedekamer-9.u3	In the introduction I hear Mr Van Helvert actually say that the structure is wrong: the butcher approves his own meat. He then wants to investigate the investigation. Does Mr Van Helvert think that the research is wrong or does he think that the structure is wrong? I think it's a bit of a hunch on two thoughts. What does he think is the problem?
ParlaMint-NL_2014-12-18-tweedekamer-9.u4	We have already discussed this a great deal, Mrs De Boer and I. It's not about this investigation failing. The issue is that the role of the ILT is also considered independently. The ILT has a number of responsibilities, such as the equipment, track and maintenance of the equipment and who should do so. The ILT's own responsibilities should therefore also be highlighted. My group, like the signatories, says that it is only a question of whether the ILT is the appropriate body to examine its own actions in this case. We do not think so. That is not good to name because the accident in Borne had terrible consequences, because, once again, those were wagons with sand and gravel in a meadow with cows, but because in the long term we are going to have more transport of dangerous goods going through residential areas. Besides, we don't want to make mistakes.
ParlaMint-NL_2014-12-18-tweedekamer-9.u5	Thank you for your contribution. I wanted to give the floor to Mrs Van Veldhoven, but she is not here. Then I give the floor to Mrs De Boer of the VVD.
ParlaMint-NL_2014-12-18-tweedekamer-9.u6	Mr. Chairman. The final report of the ICT Committee has recently seen the light of day. The Court has yet to adopt the final conclusions, but given the status of a major project, the complexity of a whole new railway safety system, which is ERTMS, the international coordination needed, and the huge amount of money reserved for ERTMS, I think it would be wise to use ERTMS as a pilot project at least for the results of the Parliamentary debate on the ICT report. ERTMS is ideally suited for this purpose. The Secretary of State has also responded positively to this, but I think it is good to have it confirmed again in plenary. We shall not table any further motion on this matter. I have one more question. The final report on the derailment at Borne was also discussed in the AO. Can the Secretary of State indicate how many warnings there are to carriers when it comes to this case? Depending on the speed of the fourth rail package, an independent European body will be set up to monitor the safety of wagons on the track. What deadlines are we talking about? I think it is good that we continue to raise this issue, also for another AO on the railroad.
ParlaMint-NL_2014-12-18-tweedekamer-9.u7	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in the Netherlands 89 public and 325 non-public non-actively secure schemes are still in place;]] [[Whereas it is not desirable that in the future there should be any unprotected consideration;]] [[noting that the budget for the Improving Safety Programme was virtually exhausted, but that the remaining restricted consideration could also have an important recreational function;]] [[Whereas 200 million is available to make already secured consideration safer, inter alia through the construction of uneven floor passages, but this money is not available for the inactive secure consideration;]] [[Considering that in spring 2015 the government informs the Chamber of a new impetus for addressing non-actively secure consideration;]] [[Calls on the Government to consider sending an annual overview of closing in the following year, including the proposed compensatory measures and the advice of interest groups such as Wandelnet and Cyclists' Association;]] [[In addition, within the 200 million available for the programme, the Government invites the Government to consider reserving budget for the protection of non-actively secure consideration and to inform the Chamber of how much consideration might be given to the placement of security,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29893-180]]
ParlaMint-NL_2014-12-18-tweedekamer-9.u8	My second motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the rail sector has been working for a long time on a proposal to increase the overhead voltage from 1.5 to 3 kV with a view to energy saving, travel time limitation, capacity increase and improved rail interoperability with Belgium and that this appears to provide a positive business case;]] [[Whereas the introduction of 3 kV on parts of the rail network, as well as the conversion of both infrastructure and equipment, is necessary;]] [[Whereas it is necessary to avoid unnecessary complexity of the introduction of ERTMS, but also to ensure that both projects cannot be seen in isolation and that potential can also be saved by combining infrastructure and/or equipment for the deployment of ERTMS and 3 kV;]] [[Whereas, in the short term, many decisions are taken on the purchase of new equipment and the conversion of existing equipment for which clarity on the future overhead contact line voltage is desirable;]] [[calls on the Government to send to the Chamber by spring 2015 at the latest the preparation of the proposals for the adjustment of the overhead contact line voltage and to consider whether the conversion of equipment and/or infrastructure to 3 kV is desirable at the same time as the introduction of ERTMS,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29893-81]]
ParlaMint-NL_2014-12-18-tweedekamer-9.u9	The Secretary of State is going to take a look at the motions. I'm not suspending.
ParlaMint-NL_2014-12-18-tweedekamer-9.u10	Mr. Chairman. Three motions have been tabled and three questions put. In view of the wording, I shall respond a little more comprehensively to the first motion, the Helmut motion in part No. 179. I would be prepared to leave the verdict on the motion to the Chamber if it were to call on me to inform the Chamber how the ILT has ensured that the various roles are filled in sufficiently independently of each other. With the Chamber, I believe that they should always be able to pass the test of criticism. I can include the follow-up actions following Horvat's audit, on which I informed the Chamber on 30 January this year. That report already looked at the way in which the ILT authorisation process was organised. The European Railway Agency also carried out an extensive audit of ILT licensing, certification and enforcement in 2013. I can also include the follow-up of this in the information given to the Chamber, because I find another audit unnecessary. Furthermore, with the coming entry into force of the technical pillar of the fourth rail package, the ERA will be responsible instead of the ILT for the licensing of internationally operating companies and equipment. If I see it as formulated, I would advise against accepting this motion. Having said that, if I may read the motion with these frameworks, I could leave it to the Chamber.
ParlaMint-NL_2014-12-18-tweedekamer-9.u11	I hear the Secretary of State say that she does not want to look back on what actually happened, but rather to explain how the role of the ILT is well secured, or whether the various roles in this matter are well secured. No matter how well it is secured, it remains for the ILT to judge how it has acted in this regard. Since we know that we are going to send more dangerous substances through residential areas, it is very important that we look carefully at what has gone wrong here. We have seen another report on another derailment coming in today. It is therefore particularly good to look back at what went wrong in Borne, also at the role of the ILT itself.
