ParlaMint-NL_2014-04-16-tweedekamer-6.u1	The next item is the reply by the Secretary of State in the first term.
ParlaMint-NL_2014-04-16-tweedekamer-6.u2	Mr. Chairman. It is indeed very special that in your midst on my birthday I may defend the pass bill. Of course, I do not want to anticipate what birthdays could get at the end of the day, but I do know something that would make the Chamber very happy. I hope she not only makes me happy, but above all also the nature and the entrepreneurs in this country. I'll be happy to say something about that later. I have divided my speech into a number of blocks. First of all, I would like to make an introduction. Then I am talking about border and threshold values. The third block concerns the development area, the fourth block deals with the operation of the PAS and I have another block. I am doing my best to incorporate the government's opinions on the amendments in the blocks themselves. I do have a handy overview at the end, so if it is necessary and there are uncertainties, I can repeat them all once. Last Friday, I presented the government's vision. It focuses on ecology and economics. The point is that nature is at the heart of society and that together we take advantage of the opportunities to strengthen nature and economy hand in hand. The PAS is a necessary step for improving nature and enabling economic developments. The PAS is an investment in more robust and resilient nature. We're also pulling a lot of extra money out of it. Without the PAS, the current impasse will remain. A number of Members have also noted this. We then lack the necessary additional measures to reduce the nitrogen deposition. The granting of licences remains virtually locked. A breakthrough is therefore necessary. Mrs Ouwehand asked whether my commitment was courageous or reprehensible. I think that is a fair question. The moment I issue a bill in the Chamber, you always have to ask yourself what kind of problem it is for. I hope that I have just outlined that it is very important that we achieve a breakthrough and that there is now a problem, both in terms of nitrogen deposition and in terms of licensing and development space. I don't know if it's brave to start this bill. In any case, it is difficult, even in legal terms. I will not hide that, but I will always do my best to organize as much support as possible for what we are doing now. From the outset, we have invested in support for the PAS, with provinces, with industry but also with nature organisations. I have concluded the Nature Pact with the provinces and have concluded an agreement with the farming community on agricultural measures. There is also support from nature organisations for this duplication. The cabinet has invested in the PAS. Compared to the previous period, the cabinet invests 1 billion extra in nature in this period. In addition, we do some things on a number of other topics. The Chamber is familiar with the use of manure policy. It is also aware of our views on the greening of the CAP. We'll talk to the Chamber about that, too. She also knows that the cabinet announced last year that for the first time in history there will also be opportunities at local level for provinces and municipalities to take action on public health issues. In that context, let us also make it clear from the cabinet that we are serious. We want space for nature and we also want space for the people in this country. We're just looking for those situations where we can make a profit. I am glad that we are talking today about the legislative proposal that provides for changes to the legislative regime of the Programmatic Approach Nitrogen. Those changes are necessary to improve and adapt the legislation in force to the programme as developed together with all relevant authorities. In the letter I sent to the Chamber on 1 April, I also called for the legislative proposal to be dealt with at an early stage. Why did I do that? We see that drivers and entrepreneurs are waiting for clarity. This has also been indicated by several first-term speakers. But the programme can of course only be completed when a legal framework is also established. On 10 December last year, we discussed this bill for the first time. As Mrs Jacobi said today, a great deal has happened since then. I have provided the Chamber with additional information, also on the basis of written questions. In the letter of 1 April, I hope I have provided clarity. I will go into the main points of the letter in a moment, because they are very much in the Chamber. I will answer the first-term questions as much as possible on the basis of the current state of affairs. As I indicated in my letter, care is important when completing the PAS. It is important for economic development to break the current deadlock in licensing. It is also important to reduce the nitrogen deposition that we are taking action in this area. The PAS must provide a solid basis for this. On the basis of a number of points of interest, which I mentioned in the letter, we are going to examine the programme carefully once more and, if necessary, improve it further. Following the opinion of the Advocate General in the A2 case, we are also looking at the extent to which the field analyses provide for a set-off of natural effects at field level, related to the issue of the development area. Where that is the case, it shall also, for the sake of certainty, be examined whether the frameworks in force according to the Advocate General have been applied. The provinces, the minister of I and M and I are fully committed to getting the PAS started this year. Today, the bill is ahead of us. That's technical in nature. It does not contain any major changes to the applicable law, but it is essential to be able to continue with the PAS. The current Nature Protection Act provides the framework for the programme. This concerns the following matters. Who's gonna determine the PAS? What procedure will be followed? What elements should in any case come back to the PAS? It also concerns the duration of the PAS period, the general requirements for supporting the PAS, both environmental and socio-economic, the obligation to implement the PAS measures, the implementation of the management plan and the obligation to leave at least 10% of the development space for the second half of the PAS period. The legislative proposal adds a number of aspects to this, such as a basis for setting a limit value for licensing. And there are a number of procedural improvements to it. The contents of the PAS are mainly outside the law. The priority projects, for which development space is reserved, and the limit value according to this proposal are included in a ministerial scheme. Of course, in the PAS itself, there is the real content: the development area by area, the breakdown by segment 1, these are the priority projects of the Empire and Provinces, segment 2, the other projects, the distribution of the development area over the programme period, the description of the generic source-oriented measures to be taken, and also the rehabilitation measures by area. Then we have the ecological basis, the socio-economic impact, the policy of granting permits to interim workers, and I shall go into this further on the basis of questions and the policy of latent space. As far as I am concerned, there is not only enough room, but I also see the need, in view of the support in the Chamber, to discuss the content with the Chamber after the adoption of the bill. The concept of PAS and the draft Ministerial Arrangement can be shared with the Chamber before the PAS and the Arrangement are established. Amendments have also been tabled on this point which call for not everything to be laid down in ministerial rules but possibly in the case of AMvB. It seems to me that it would be a good idea to go into this in more detail when we deal with the amendments. Bottom line basically means that I understand very well, also from my past as a member of this house, that of course the Chamber does not sign at the cross. I'm just saying it the way it is. The Chamber wants to influence the system in the vein of: what goes in and what comes out? There are amendments that allow for this and can contribute to the process. There are also a few amendments which may make it a little more difficult, but I would like to do that here today. I also think it is very important for the House to have an exchange of views on the content of the PAS. At the end of 2009, when dealing with the Crisis and Recovery Act, there was broad support for the amendment of the then member Koopmans and the member Samsom, with which the PAS was governed by the Nature Protection Act. That's memorized from a certain sound color, I'll say. During the first period, a large part of the Chamber said that we should now continue on this track, even though critical questions were asked and the necessary amendments were tabled. As has been said, the PAS is in favour of strengthening ecology and economy, facilitating authorisation and providing clarity to citizens, entrepreneurs and public authorities in and around Natura 2000 sites. If the PAS achieves that, I say to Mrs Lodders, the PAS has succeeded. The PAS therefore fits seamlessly into the broader nature policy that is in my mind and that is aimed at investing in a strong nature that can take a hit, which is also good for the economy, and at connecting those two interests. Mrs Dik, Mr Klaver, Mrs Van Veldhoven and also Mrs Jacobi stressed the importance of this strong nature. The same applies to Mrs Ouwehand. I think this is indeed true and would like to endorse it. It is therefore a question of greenery and growth. Or, in Mr Smaling's words, it's about getting ecology, economics and the administrative judge back through one door. This requires an integrated approach such as the PAS that offers. Several amendments have been tabled. As I have said, I would like to deal with them in the various blocks that I would now like to deal with.
ParlaMint-NL_2014-04-16-tweedekamer-6.u3	The Secretary of State says that the PAS will only succeed if it fits into the investment opportunities and is appropriate for more investment. That's a lot of fitting. The concern of the Chamber is, of course, broad in scope. I fully understand the Secretary of State that, if necessary, she will arrange the work through AMvBs and that she will submit those AMvBs to the Chamber, so that we will remain involved in the elaboration.
ParlaMint-NL_2014-04-16-tweedekamer-6.u4	I am prepared to do so, and I actually want to show where it can and where it is complicated by the amendments. I would then like to look with the Chamber at whether there is a route that gives the Chamber sufficient opportunity to influence the programme as such. I understand that, and we agree on that. I have the feeling that we should not abuse the flexibility of the law, but should as much organise Parliament's sphere of influence as possible. Several amendments have been tabled on this subject. On that basis, I would like to show you my thoughts. If necessary, we can discuss this further in the second term.
ParlaMint-NL_2014-04-16-tweedekamer-6.u5	I think that is a constructive proposal. Soon we will be talking about the different parts. It is now about the general line. Does the Secretary of State intend to do so in such a way that it does not cause all kinds of delays? That could, of course, be the result, namely that we have bumps every time and do not get any further. Is there an elegant route along which we can do this?
ParlaMint-NL_2014-04-16-tweedekamer-6.u6	Yeah, I think so. It also helps if we meet each other in the time we take for some of the procedures and in the question of what matters we want to discuss here and what questions are so technical, and indeed not really part of the major political issues, that you can leave them to enter into force through ministerial regulation. I think we should find a mode in that. I hope that this debate can also contribute to this.
ParlaMint-NL_2014-04-16-tweedekamer-6.u7	The introduction, but also the thought behind and the justification of the bill, are a bit difficult to follow. I'd like to ask the Secretary of State an enlightening question before we proceed. I find it difficult to follow the Secretary of State saying: we want to combine it together. We want to speed up the stalled licensing process, we want economic growth and we want to restore nature. Nature didn't go well in the Netherlands. The previous cabinet cut 70%. This has been reduced to 50%, but with 50% less money you do not seem to be able to restore nature properly, and yet the granting of permits must get back on track. I think it is important that we know together what we define as a restoration of nature. Otherwise, the Secretary of State may pretend that this construction benefits nature, whereas in fact it may be quite different, and that would be annoying.
ParlaMint-NL_2014-04-16-tweedekamer-6.u8	In that sense, I think it is quite clear that it is about reducing the nitrogen deposition. That's an autonomous fact. So it is not said that there would be no good line at all on this point. On the contrary, we can speed up this good line with this legislative proposal, for example, by reducing nitrogen emissions by means of a source policy with certain sectors. That is the point, and that is what we are investing in. That is why Mrs Ouwehand's position is that this bill would be bad for nature.
ParlaMint-NL_2014-04-16-tweedekamer-6.u9	Yeah, but reducing the nitrogen deposition, it had to be. We don't need a programmatic approach to nitrogen. That was already an obligation. You can only think of how to give hands and feet to that. I would like to conclude in summary that the Secretary of State defines nature restoration as "something less polluting." Is that what we have to conclude here today? Is that the purpose of her approach? It defines nature restoration as "something less polluting."
ParlaMint-NL_2014-04-16-tweedekamer-6.u10	No, Mr President, I do not think that is right either, even in response to some of Mrs Ouwehand's pressing questions. It will undoubtedly never be enough for her and her hair, but she will be given action on all the subjects on which she has asked for action in the area of manure, the greening of the agricultural movement of this cabinet. Let us not pretend that Mrs Ouwehand's agenda is a very pure one, when all the other people in this country are bad for nature. I don't think that's fair. It doesn't add up either, judging by what's going on here. And yes, the nitrogen deposition must be reduced. The special thing about this bill is that we are going to speed it up. So I would say to Mrs Ouwehand: count your blessings!
ParlaMint-NL_2014-04-16-tweedekamer-6.u11	To join the latter, I share that very much with the Secretary of State. After all, before we can spend money on nature development, that money will have to be earned first. The Secretary of State makes a constructive proposal and wants the Chamber to take part in the discussion on the content of the PAS and the measures. I'll summarize it very briefly. My group is also concerned with what we anchor in the law. That's why we're sitting together today. A number of principles have already been established, for example the duration of the PAS period. Is there still a possibility of coming back to this after this debate, when the PAS is anchored in the law?
