Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	EstherOuwehand	Ouwehand, Esther	F	1976	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JanVos	Vos, Jan	M	1972	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2014-12-10-tweedekamer-5	ParlaMint-NL_2014-12-10-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 35, Session 5 (2014-12-10)	2014-12-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 35	Sitting 2014-12-10	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
