Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ЯрославМихайловичСухий.1951	Suchyj, Jaroslav Mychajlovyč	M	1951	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ОлександрМиколайовичСтоян.1943	Stojan, Oleksandr Mykolajovyč	M	1943	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	СергійОлександровичАндрос.1962	Andros, Serhij Oleksandrovyč	M	1962	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ЯрославМихайловичСухий.1951	Suchyj, Jaroslav Mychajlovyč	M	1951	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	-	Big tent	ОлегГригоровичБілорус.1939	Bilorus, Oleh Hryhorovyč	M	1939	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u12	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Regular	MP	notMinister	frNU06	Our Ukraine Bloc 2006 Faction	-	Centre-right	ЄвгенОлексійовичГірник.1954	Hirnyk, Jevhen Oleksijovyč	M	1954	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u13	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u14	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ГеннадійГригоровичСамофалов.1945	Samofalov, Hennadij Hryhorovyč	M	1945	
ParlaMint-UA-en_2006-06-20-m1	ParlaMint-UA_2006-06-20-m1.u15	Ukrainian parliamentary corpus ParlaMint-UA-en, term 5, session 1, sitting day 2006-06-20, n1	2006-06-20	Unicameralism	5	1	-	2006-06-20	-	Reference	English	Chairperson	MP	notMinister	PR	Party of Regions	-	Centre	РаїсаВасилівнаБогатирьова.1953	Bohatyr'ova, Raïsa Vasylivna	F	1953	
