ParlaMint-NL_2015-03-24-eerstekamer-7.u1	I give the floor to the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2015-03-24-eerstekamer-7.u2	Mr. Chairman. I would like to thank you and the members of your Chamber very much for the first-term contribution. If one thing has become clear, it is that in fact all the Members of your Chamber who have spoken agree that the target group we are talking about today really needs extra support. I don't think there's any difference of opinion about that either. It is a very good thing that all Members have put this forward. Similarly, all Members have stressed that the agreements contained in the Social Agreement of 11 April 2013 matter. I'm gonna sit a little bit forward, because I don't think I can be understood otherwise.
ParlaMint-NL_2015-03-24-eerstekamer-7.u3	You're very clear. It sounds like hell.
ParlaMint-NL_2015-03-24-eerstekamer-7.u4	I'm glad. It is important to stress that the social agreement has brought about beautiful things, especially for the people we are dealing with this afternoon. Through the social agreement, employers have promised very equestrianly that they will create 100,000 new places for these people. The government employers added another 25,000 places. This bill regulates important issues for the job appointment, such as the target group, the target group register and monitoring. This legislative proposal already clarifies to employers what happens if I cannot say this firmly enough, and if this is not achieved, it will not be done properly. In fact, this law is a special law, because I assume that we will not need any part of this law. At least I hope so very sincerely. I'm underlining that again. If the employers comply with their agreements, we can simply leave the quota in the drawer. The cabinet is confident that employers will do everything in their power to get the people who are involved to work. We also see good examples of this. The drivers Aart van der Gaag for the market sector and Hans Spigt for the public sector are increasingly raising the awareness that the job deal is important to give and give people with disabilities a job opportunity and to shape the inclusive labour market. Mr President, with your permission I would like to build up my speech from seven parts. I will try to respond as fully as possible but as fully as possible. These seven elements include: the target group, the justification for this law, the job appointment system and the quota levy, the target group register, zero measurement and monitoring, the loan associations, the support of employers and two other topics. I'll start with the target group. All members of your Chamber have responded to this. The spokesmen of the Christian Union and the PVV have asked what the considerations were to define precisely this group. The definition of the target group is the result of a careful process, which has been completed together with the social partners and the municipalities. For this target group, given that these people cannot earn the legal minimum wage (wml) themselves, an additional investment should be made on top of the regular tools and facilities for people with disabilities. Widening the target group would make it difficult for the group that cannot earn a wml, even within the wider target group, while this group deserves support. The social agreement also agreed to make an additional effort for the WGA/WIA group. This appointment comes on top of the job deal. Thanks to the Lower House, the target group for the quota scheme is something else. This is actually the same group as the target group for the job appointment, so people who are covered by the Participation Act and cannot earn the statutory minimum wage independently, people with a WSW indication, Wajongers with work capacity and people with a WIW job or an id job. The additional target group for the quota levy consists of people with a medical disability created for their 18th birthday or during their studies, who cannot earn a wml without a provision and with a provision. The quota rate takes account of these additional people. There's a monitoring in the law. Mr Elzinga of the SP asks what we can do if the monitoring shows that displacement is taking place. The phenomenon of displacement has also been discussed more widely. The definition of the current target group is about earning or not earning the wml; I just said it. For other groups, which are not among the target groups of this bill, municipalities and UWV have tools and facilities to continue to guide these people to work. So these people can go to the municipality or the UWV for attributes to be guided to work. The people in the target group are ideally placed in the guarantee jobs, because we think it is important to treat these people with priority. They need the most help.
ParlaMint-NL_2015-03-24-eerstekamer-7.u5	Can I ask the Secretary of State whether she not only wants to closely monitor these agreements, but whether she also wants to include in the monitoring the resources left from the municipal funds for all the other groups outside this area? Will a large proportion of these resources not go hand in hand with these agreements? Because of this, the people who are just outside are empty-handed. That could be a signal to us to increase the resources for this purpose for the municipalities when the next budget is adopted.
ParlaMint-NL_2015-03-24-eerstekamer-7.u6	We are of course very keen to monitor. We will also monitor the Participation Act widely. Then we will not only zoom in on this target group, but also on the rest of the world, if I may put it that way. So the answer to the question is yes. The spokesperson of the VVD asked a question about the target register and the privacy data. Can everyone just look in there? The target group register is not a public register that anyone can access. That is not desirable or necessary. The Personal Data Protection Act does not allow this either. Of course, it's about the UWV checking who ends up in the register. The data from the target group register are used by employers. They can check whether the person on their payroll really belongs to the target group. A confirmation of inclusion in the target group register shall be given to an employer only if he himself has the bsn (citizen service number) of the person concerned and identifies himself with his own tax number. So it's very, very straightforward. The spokesman of the Labour Party asks what the cabinet is doing to combat exclusion and discrimination against groups in the labour market. Do I actively consult with employers on the necessary mentality changes and draw their attention to their social role? I think this is the most important motivation for this bill. You could also say that perhaps I put it on a bit firm, but then it is immediately clear that it is a cultural shock for all of us: for employers, for the trade union movement, for the UWV, for the municipalities and not least for the people who are involved. Employers now provide insight into the inclusive labour market for the first time. So the 125,000 extra places are not "vacatures old style," if you don't mind my saying so. It is really about tailor-made work in the workplace, where employers are very careful and I already see some very nice examples of this with the help of the UWV, municipalities and social workers looking at which parts can be carried out by this target group. What jobs can be done by people from this target group? That is different for each company, but I think that employers are already doing this very well and that they are getting that more and more on their retina. That is, of course, because this Chamber and the House of Representatives have already talked about this target group on many occasions. This is also due to the fact that the social agreement, which honours those who deserve it, has ensured that employers and workers have taken up the gauntlet and they have said: we are going to break a lance for this in our own backs.
ParlaMint-NL_2015-03-24-eerstekamer-7.u7	Perhaps the Secretary of State will be able to discuss it, but I wonder how customisation relates to equal treatment legislation.
ParlaMint-NL_2015-03-24-eerstekamer-7.u8	That's what I'm going to talk about on the next block. Mrs Sent also asked whether you should speak of stigmatisation. I think that the extra jobs are making it increasingly normal for people with disabilities to work in companies and institutions. Stigmatisation is combated, hopefully up to such a level that the majority of employers appreciate people with disabilities for their performance. At that time we can speak of a social anchoring of the whole. I'm ready for the second block now.
ParlaMint-NL_2015-03-24-eerstekamer-7.u9	The Secretary of State was just talking about the target population register. I asked a question about the number of people who are now on the register. Will she come back to that later?
ParlaMint-NL_2015-03-24-eerstekamer-7.u10	Sure, but I can answer it already. The target group register is already filled by the people who are in the Wajong and who can work, and also by people who are on the waiting list of SW companies. The target group register must now be filled successfully by new people knocking on the door of municipalities. I don't think this is going to be fast enough, so I had a consultation with the VNG and the UWV last week to see exactly where any bottlenecks might be. This week, officials will be talking about it. It is also stressed very strongly from the Chamber of Commerce, because we need to ensure that new people are properly entered in the register so that they too can enter into guarantee jobs.
ParlaMint-NL_2015-03-24-eerstekamer-7.u11	So there's still no idea why this hasn't gotten off the ground yet? I understand that only 70 additional people have been added so far. So the reason for that is not yet clear?
