Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AhmedMarcouch	Marcouch, Ahmed	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-10-13-tweedekamer-2	ParlaMint-NL_2015-10-13-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 13, Session 2 (2015-10-13)	2015-10-13	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 13	Sitting 2015-10-13	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
