Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JacquesMonasch	Monasch, Jacques	M	1962	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-4	ParlaMint-NL_2015-11-17-tweedekamer-4.u13	Report of the meeting of the Dutch Lower House, Meeting 25, Session 4 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 4	Meeting 25	Sitting 2015-11-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
