ParlaMint-NL_2015-03-12-tweedekamer-6.u1	I declare that, pursuant to Rule 69 (2) of the Rules of Procedure, the following motions have been withdrawn: 34000-VIII-66; 34000-J-15; 34000-V-32; 34000-XVI-81; 34000-VI-35; 34000-VI-52; 32563-46; 34000-XIII-100; 34000-XIII-103; 34000-XIII-113; 34000-XIII-121; 34000-XIII-123; 34000-XIII-134; 34000-A-26; 34000-A-27; 29452-178; 28286-684; 31793-103; 30545-144; 30545-145; 30872-169.
ParlaMint-NL_2015-03-12-tweedekamer-6.u2	I propose to add to the agenda: the VAO Accredited institutions housing and Authority housing corporations, following a general consultation held on 11 March, with Mr Van Vliet as the first speaker; the VAO (Informal) RBZ Trade Council, following a general consultation held on 11 March, with Mr Jasper Van Dijk of the SP as the first speaker; the VSO Draft Decision amending the Environmental Management Act (efficiency requirements for coal plants) (29383, No. 234), with Mr Smaling as the first speaker; the VAO Environment Council, following a general consultation held on 4 March, with the Member of the Old Hand of the Party for Animals as the first speaker.
ParlaMint-NL_2015-03-12-tweedekamer-6.u3	I give the floor to Mr Van Weyenberg, D66.
ParlaMint-NL_2015-03-12-tweedekamer-6.u4	Mr. Chairman. As early as mid-December, I asked Chamber questions. I got a delay note in the middle of January, but the answers are still waiting for me. So I'm gonna do a rappel.
ParlaMint-NL_2015-03-12-tweedekamer-6.u5	I will pass on the stenogram of this part of the meeting to the cabinet. Please continue.
ParlaMint-NL_2015-03-12-tweedekamer-6.u6	Mr. Chairman. Yesterday we read that €150,000 was spent at the FORUM institute wrongly. It was just passed on by the institute to a foundation led by Job Cohen, without even being clear what had to be done with it. I would like to have a debate with the Minister for Social Affairs, to see if this money is simply being recovered, to see what this says about the Ministry's supervision and to see if it is true that the Supervisory Board, through its chairman, Mr Joustra, has described the report on the integrity of an independent committee as 'ridiculous'. Is that right? Finally, I would like to know whether the cabinet agrees with me that these are very special words at all from someone who is the chairman of another research council.
ParlaMint-NL_2015-03-12-tweedekamer-6.u7	It is indeed a very remarkable article, but, as far as I am concerned, we must first receive a letter in which the cabinet responds to the questions raised here. Then we can decide whether we will come back to this in a debate or an AO.
ParlaMint-NL_2015-03-12-tweedekamer-6.u8	So you do not support the request for a debate, but you do want a letter.
ParlaMint-NL_2015-03-12-tweedekamer-6.u9	We also like to receive a letter. This is another body coming out of the closet. In that letter I would also like to read the involvement of board members and former board members in this whole matter. We also support the request for a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u10	You therefore support the request for debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u11	Every euro is, of course, being spent wrongly there. I have already tabled a motion on this subject and I am pleased with Mr Van Weyenberg's initial understanding that at least this money has been spent wrongly. I'm just gonna file that motion again next time. That is why I support the request for debate; all the money away from it.
ParlaMint-NL_2015-03-12-tweedekamer-6.u12	You therefore support the request for a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u13	We support the request for a letter. The follow-up depends on the content of the letter, but it is indeed a very striking article.
ParlaMint-NL_2015-03-12-tweedekamer-6.u14	As far as we are concerned, we also receive a letter. We do not yet support the request for a debate.
ParlaMint-NL_2015-03-12-tweedekamer-6.u15	I agree with Mr Marcouch.
ParlaMint-NL_2015-03-12-tweedekamer-6.u16	Support for a letter.
