ParlaMint-NL_2015-11-03-eerstekamer-5.u1	I welcome the Minister of Finance to the First Chamber and give the floor to Mr Van Apeldoorn.
ParlaMint-NL_2015-11-03-eerstekamer-5.u2	We're running a little ahead of schedule now, so maybe I'll have a little more time. Mr. Chairman. This is the second time in a short time that I have had the opportunity to discuss with colleagues and the Minister about the banking union, which started in the first phase exactly a year ago. Last time we discussed the agreement on the payment to the Single Resolution Fund. Now we are talking about the so-called implementing law European framework for the recovery and resolution of banks and investment firms. That is quite a mouthful, although it is in fact an abbreviation of the full names of the present legislative changes. I am pleased that you, Madam President, have spoken so well before. The Single Resolution Fund is again part of this. So we are still talking about the same banking union. So our objections are still the same. The European Banking Union offers a false solution to the problems created by a fully-fledged European financial sector. This is not sufficiently addressed, and risks are not sufficiently reduced and partly increased, while taxpayers simply continue to co-pay and stand as guarantor. We are pleased that the Minister acknowledged last time, although he initially referred to it as a theoretical calculation that the Dutch taxpayer contributes almost EUR 1 billion over a period of eight years. This is contrary to, for example, the French and German taxpayers, who remain free of it. Of course, it would be even better if this failure could be repaired one more time. According to the Minister, the Banking Union is well on the way to a stable European financial sector. However, as I have previously argued on behalf of my group, the 'too big to fail' problem remains above the banking union as a sword of Damocles. On 16 June 1933, President Roosevelt signed the Banking Act, better known as the Glass-Steagall Act. It radically split the American banks into a utility and a business segment. This has worked well for decades and contributed to keeping the banking sector serviceable to the real economy. But under great pressure from Wall Street, the Glass-Steagall Act was reversed in 1999 and nothing more stood in the way of mega-fusions. This created megabanks, which then had to be maintained nine years later with a lot of tax money. During the debate in the US Congress in 1999, Deputy John Dingell, whose father, alongside Senators Glass and Steagall, had also been involved in the establishment of the Banking Act, warned against the consequences of lifting the separation of utility and business banks. He declared in Congress, and I quote: "What we are creating now is a group of institutions that are too big to fail." He continued that "taxpayers will be asked to solve the problems that we are creating today, with the reversal of Glass-Steagall, and that will cost a lot of money." So this was in 1999. These prophetic words by the longest-sitting Member of the US Congress...... he has been there for 59 years............................................................................................................................................................................................................. The question arises: have we still not learned the lessons of history? In any case, in the opinion of the SP Group, these lessons have not yet been sufficiently incorporated into the banking union under discussion. In any case, the Minister acknowledges this in part. He also said in this Chamber that the building is not yet fully completed and that there is still a building block missing, which is related to the 'too big to fail' problem, namely the Liikanen report. In this context, given the scale and the fundamental nature of the problem of banks being too big to fail, I would prefer to speak of a'missing pillar' rather than a 'building stone'. In this light, the SP Group welcomes the amended Omtzigt/Merkies motion, which was adopted in the House of Representatives two months ago. As stated in the motion, the absence of measures to prevent new banking mergers within the current Banking Union means that governments remain implicitly guarantors of falling megabanks. The Minister is called upon to do everything possible to prevent the creation of new "too big to fail" banks. As far as we are concerned, this is a step in the right direction. On the positive side, the motion also calls for explicit inclusion of the criterion of balance size in the test. The motion asks the Minister to inform the House of Representatives of further steps within six months. I would ask the Minister to inform this Chamber directly. And can the Minister briefly describe how he intends to implement this motion over the next few months, or whether he may have already implemented it? In this context, we are curious to see what the Minister thinks about the balance sheet size criterion and whether an upper limit should be set. We would like to hear his views on this. I know that the Minister thinks that the instruments should be broader and that the discussion of preventing too big to fail should not be reduced to a fixed maximum percentage of the total market, but could he imagine such a quantitative standard, alongside other instruments? Does he intend to give effect to that motion in that regard? It goes beyond extending the merger test in the context of the evaluation of the Antonveneta Directive to which the Minister always refers. Does the Minister agree with me that the aforementioned motion goes further, that it calls on the Minister to make greater efforts than the one he has previously committed himself to? In the reply, the Minister refers in reply to questions put by my colleagues on 'too big to fail' to his letter of 1 June, but not to the aforementioned subsequent motion. I assume that the Minister has taken good note of this motion, so perhaps he can go into it again in this Chamber. In the meantime, therefore, the banking union is without this important pillar. Does the Minister not agree with the SP Group that, with the absence of this pillar, the construction now being built is still quite shaky? Can it really go through a hell of a financial storm? Or can the banks, which are too big to fail, only be held up by massive use of public funds, with all the social consequences? The Banking Union does nothing to prevent unwanted banking mergers. I think the Minister agrees with us on that. However, the Group of the Party of European Socialists fears that the banking union in its present form may even be an incentive for the formation of even larger banks and "too big to fail" at European level. In this respect, we also see the problem that the bail-in, due to all the exceptions that have been made possible, may not be sufficiently credible and can therefore encourage the risky behaviour of banks precisely because of the continued existence of an actual funding subsidy for banks. I am aware that the Minister does not like politically questioning the operation of the bail-in. In addition, he would like to point out to us the rest of the building such as increased capital requirements MREL et cetera. Let us not repeat that debate today. That's why I have a simple question for the Minister. Does the Minister agree with us that until further steps have been taken to prevent bank mergers and counter the "too big to fail" problem, there is a risk that the banking union will lead to further scaling up, to even larger banks? I have a few more questions about the deposit guarantee scheme that is also covered in the present law. Under the new 2014 European directive, an ex ante pool of only 1% and 2% of total guaranteed deposits is to be financed. A larger target size belongs to the national discretion, but the cabinet wants to reduce this small pot even further to a minuscule 0.5%. A request for this is, we understand, still before the European Commission at the moment. The Minister's argument is that the Netherlands has a very concentrated banking sector. Can the Minister explain this again? Does he actually mean that because all Dutch banks are "too big to fail" and they will still be saved, the deposits are actually already guaranteed? But is the Minister sure that we can go with such a small pot? Or does he prefer not to ask the Dutch banks over? Will he continue to insist on only 0.5% and will he therefore continue to press the Commission to allow this exception to the minimum standard of 0.8%? And does the Chamber have anything to say about this? Or does only the Minister, within the framework of the directive, decide what the size of the Dutch fund should be? And what exactly is the situation with regard to the implementation of this directive, which should have taken place before July? Can the Minister tell us what is going on with the Dutch banks filling the guarantee fund? Does this also apply, as for the resolution fund, to banks being allowed to deduct their contributions as costs and thus indirectly to the taxpayer? Finally, I wondered whether the Minister also read the Financial Daily this morning and, if so, whether he was shocked by the report on the front page that the Banking Union has made the work more complex for the national supervisor because the Netherlands Bank has difficulty in obtaining the information it needs to carry out its task in relation to the entire Dutch banking sector. Did that news come up unexpectedly for the Minister? And what does he think he can do about this? I'm closing up. The SP Group is not happy with this banking union, which offers mainly false certainty, but we continue to encourage the Minister to take a more far-reaching and effective approach to the financial sector at European level. More than any other sector, the banking sector needs the fundamental reforms that this cabinet has always been so committed to. In the meantime, we look forward to answering our questions.
ParlaMint-NL_2015-11-03-eerstekamer-5.u3	It is clear that the SP is not enthusiastic about the way the banking union is set up, but what I do not actually see in Mr Van Apeldoorn's speech is the fact that banks are not national players in this world. The whole international interlinkage, regardless of the scale of the banks, he goes all the way by. How does he think he's gonna solve that?
ParlaMint-NL_2015-11-03-eerstekamer-5.u4	I thank Mr Postema for his question. I believe that the SP Group does not ignore this fact. The issue of the scale of European banks is precisely the problem in the eyes of the SP Group. Banks are not only "too big to fail" but are also increasingly "too interconnected to fail." Banks are intertwined, and the financial sector is incredibly intertwined, and that is at the heart of the problem. You will indeed have to tackle this, for example by what is called "structural banking reform" at European level. An initiative has now been taken to that effect. The European Council has recently defined its position on a proposal from the European Commission on this issue. As far as the SP Group is concerned, that is a small step in the right direction, but it is far from far enough because it will not achieve a real structural division between the utility and business sectors of banks. That is something we would like to argue for and I have also argued for earlier in this House.
ParlaMint-NL_2015-11-03-eerstekamer-5.u5	I've always learned from my mother that everything you put "too" for is bad. That is also the case with "too big" and "too interconnected." I am actually asking more about the substance of the argument. Knowing that in the world in which we live it is unthinkable that companies do not function and act across borders, you cannot therefore put a fence around it. Surely you can never limit the Dutch banking sector to, for example, purely activities in our own country?
ParlaMint-NL_2015-11-03-eerstekamer-5.u6	I don't think I said we should put a fence around the Netherlands. The SP Group is in favour of enhanced European supervision and is also in favour of a number of European rules, but the problem of "too big to fail" and "too interconnected to fail" is a problem that has been made possible by regulation, or rather the lack of regulation. So that is indeed the result of certain policy choices that have been made. It is not a natural fact that banks are so intertwined. It is not something we should assume as belonging to the globalising world. This has been the result of certain policy choices, of the deregulation of the financial sector, of the financialisation of the European economy. If the political will were to exist, it would be possible to do something about it, to let these banks be less intertwined with each other and to make them smaller and more national. There are also plenty of economists and other experts who are in favour of this, as I think Mr Postema is well aware. I would add that I would expect the PvdA to be an ally in this and that that party is also very concerned about too big to fail banks and about the intertwinedness of the European banking sector, which has taken a huge flight over the past two decades.
ParlaMint-NL_2015-11-03-eerstekamer-5.u7	Mr. Postema, finally.
ParlaMint-NL_2015-11-03-eerstekamer-5.u8	I can wholeheartedly support here that you have to act on everything that you have too strongly that is in the banking system so.................................................................................................................................................................................................................................................. What surprises me is that that leads you to reject the Banking Union. In doing so, you suggest that solutions to this problem on a European scale should not be relevant and should in fact be a wrong direction. In our view, you are putting a lot of Dutch people who have savings, who have confidence in a bank, simply in the cold because you are not giving our minister and the cabinet the opportunity to bail in to ensure that the account reaches where it belongs, namely the risk financers of our banking system.
ParlaMint-NL_2015-11-03-eerstekamer-5.u9	I think this is a repeat of moves. Last time, in reply to Mr Postema's questions, I said that we were in favour of bail-in. The SP Group has even argued for this much earlier in the Lower House than other groups. We are in favour of bail-in and effective protection of the Dutch taxpayer, but in our opinion this banking union does not offer that. This banking union creates false security and is, in a sense, a paper tiger. This means that the Dutch taxpayer will eventually have to guarantee Dutch and other banks. Moreover, the Dutch taxpayer pays directly to fill the so-called resolution fund. For all these reasons, we are opposed to this banking union, but that does not mean that we are opposed to any form of European regulation in this area. I therefore think that with this banking union we leave the Dutch taxpayer and the Dutch consumer too much in the cold.
ParlaMint-NL_2015-11-03-eerstekamer-5.u10	Mr. Chairman. This bill combines elements agreed at EU level - a directive to be implemented - with proposals on which the Netherlands can decide, whether within framework conditions or not. My group is not happy to have proposals put forward in this way. After all, such a bundling can put this Chamber in a difficult position if, on the one hand, it does not want to block and even welcome the timely implementation of a European directive, but on the other hand it has difficulties with parts of the proposal. My first question to the Minister is therefore whether he is prepared to be extremely reluctant in future to submit proposals in this way. Then the contents. My group asked questions in the written round about a part of the bill for which the Netherlands has a certain freedom, namely the establishment of the national deposit guarantee scheme. The Minister's answers to our questions and those of the CDA and PvdA groups give us reason to ask the Minister for further clarification. A deposit guarantee scheme has two functions: protecting the account holder and reducing the risk of financial instability. Deposit guarantee contributes to the protection of account holders by paying their balance to account holders up to an agreed maximum in the event of bankruptcy. To promote financial stability, deposit guarantees contribute by reducing the risk that account holders withdraw their money from a bank as a precautionary measure because they take into account the possibility of the bank falling over. Such a run leads to a healthy bank being first in liquidity problems and then in solvency problems. After all, in order to be able to pay out the unexpected mass of funds requested, the bank must proceed to a "firesal": the mass removal of assets at a low price. When American sociologist Robert K. Merton, father of the Nobel Prizewinner economy Robert C. Merton, invented and introduced the concept of self-fullfilling prophecy, he called such a run on a healthy bank as an illustration par excellence. The prophecy, the rumor that the bank is falling over, leads to behavior that makes that prophecy come true. The achievement of these objectives, customer protection and stability requires the establishment of a deposit guarantee scheme. Internationally accepted principles apply, also accepted by, inter alia, the Bank for International Payments, the IMF and the International Association of Deposit Guarantee Insurance Institutions. The good news is that this proposal brings the Netherlands closer to these principles. And it's about time. As early as 2004 for the time of this minister, the IMF criticised the FSAP, the country analysis of financial stability, the Dutch deposit guarantee scheme. In particular, the absence of an insurance fund and risk-related contributions were a thorn in the eye. Researchers of DNB then added a shovel to that. They warned that the insured amounts were too low at a time when €20,000 was needed to ensure that customers were insufficiently protected and would run to the bank in the event of a rumor that due to the lack of a risk-weighted fund, foreign unsafe banks in the Netherlands could get a foothold, that the market share of excessive risk-seeking banks would increase and that the good banks would suffer from the evil. Neither did the governance, as the fund was not independent but part of DNB. Finally, there was netting, which did not protect customers and therefore did not help financial stability. I shall come back to that later, because that is an important point for my group. Despite this not malicious criticism, the Netherlands left the deposit guarantee scheme for what it was. The idea was that with us a bank would never go bankrupt and certainly not a large bank, and that a fund was therefore superfluous. We actually only had the system because the EU had to. Furthermore, the supervisory authority and the government had too large an eye for the competitive position of individual banks. Bank interest central: an example par excellence of regulatory capture, see the subsequent parliamentary survey results. The rest is history: Icesave entered the Dutch market, DSB collapsed, the excessive risk-taking of the large banks came to light. Only then did the Netherlands dampen the well, or rather, one of the wells: the guarantee was increased under pressure from the circumstances and to avoid even worse, first from €20,000 to €40,000 and later to €100,000, the amount on which it now stands. The rest remained as it was, and so to this day the Netherlands does not meet a number of good practices. As has been said, my group is pleased that, with this legislative proposal, we are finally moving in the right direction more than ten years after the previous warnings and more than seven years after the financial crisis broke loose. The EU directive obliges us to set up a fund with risk-weighted contributions. But my group wonders why we are not doing well at once and setting up the system in accordance with all the best practices. Surely it will not be because the Minister thinks that a bank will never get into trouble in the Netherlands? Or because he's being held hostage by the banking community? I would like to mention four points on which we have some doubts. Firstly, the risk weighting of contributions to and investments of the fund. At the beginning of September, this Chamber debated the risk weighting of contributions to the European Resolution Fund. The Minister then said in reply to the question as to why the range in the risk weighting at European level is so narrow: "The risk factor could have weighed more heavily, I agree with Mrs Prast." For the national fund, the Minister himself can determine the weighting of risks. That is why my group is curious as to why it does not opt for a heavier weighting. Then the fund's investments. In the debate on the resolution fund, I expressed concerns on behalf of my group about the fact that the directive does not explicitly exclude that the resolution fund invests in systemically relevant banks. At that time, the Minister indicated that the detailed rules were delegated to the Commission, but that he shared my concerns. He promised to keep an eye on this point. The resolution fund also applies, of course, to the deposit guarantee fund. I would add that you would not want it to invest in non-systemically relevant banks either. We in the Netherlands can decide on this independently. I ask the Minister whether he will rule out the fund being invested, directly or indirectly, in banks. In this context, I would like to point out that the large banks are heavily represented in the AEX. Moreover, my group would be in favour of the fund being held in an account with DNB. Then the size of the fund. The colleague of the SP also spoke about this. There are EU rules, but as the Netherlands we are free to opt for a larger fund. Then why choose the smallest possible fund? We would not want the banks' short-term competitive position to take precedence over the optimal design of the system. Thirdly, governance. The groups of CDA and PvdA also asked questions about this in the written round. As a requirement, I quote from the IADI: "The deposit insurer is operationally independent. It is able to use its powers independently from external parties to fulfill its mandate. There is no government, central bank, supervisory or industry interference that compromises the operational independence of the deposit insurer." In his reply, the Minister refers to the IADI, only independence of the banking sector and politics. In response to the questions of the CDA and PvdA groups, I would like to sum up in my words that DNB carries out the deposit guarantee, but that the relevant employees of DNB have different reporting lines. My group is curious whether the Minister will withdraw from internationally accepted best practices with regard to the independence of central bank and supervisor. Or does he not, but does he seriously believe that employees employed by DNB can be independent of DNB thanks to reporting lines? This Chamber is there to assess the quality of legislation. The proposal gives the impression to my group that the proposed adaptation of governance is intended to comply with the letter and not with the spirit of EU agreements, and that de facto the old governance remains in place. Our fourth and not least important point concerns the set-off. My group asked a question about this in the written round. We have understood this correctly from the statement of It appears that the Minister intends to apply the set-off. He doesn't have to do this. The relevant EU directive 2014/49 says, and I quote, "Member States may decide that in calculating the refundable amount the depositor's obligations will be taken into account." In short, it doesn't have to be and it obviously isn't the standard either, because it has to be decided separately. If the Minister wants to apply netting to the claims and debts of depositors, my group is very concerned because it undermines the effectiveness of the system. This applies both to the issue of customer protection and to that of financial stability. I would like to explain this on the basis of the example of a financially sound bank customer. He has a mortgage debt of €50,000, less than the value of the property. It also has a payment and savings account, with a total balance of €10,000. This bank customer always pays interest and redemption on time. Now his bank goes bankrupt. Of course, his balance of €10,000 is insured, thanks to the guarantee, but if the customer is settled, the amount will not be paid because it is offset by his mortgage debt. End of the song is that the customer is in liquidity problems: he now has a mortgage of €10,000 lower, but not a penny on the bank, and he can't even pay his interest and redemption on time! I ask the Minister if he thinks this is an example of "customer central." That's what we're asking the banks to do, isn't it? Doesn't the legislator have to do that? settlement is not only detrimental to the customer, but also to stability. With deposit guarantee we want to prevent the customer from getting his money from the bank at the first best rumor that it isn't right? But if he knows his credit's gonna be settled on his debt, he's gonna run. That's bad for stability. Even if the rumor is unjustified, the bank will face liquidity and ultimately solvency problems. Is it only bank savings, or all balances and debts? The importance of well-considered financial behaviour is often stressed in The Hague. When settled, will the Minister recommend to the financial consumer in the context of the set-off to place his salary account with another bank than where he has his mortgage debt? Is he going to demand banks to encourage central mortgage customers in the context of customer interest to keep their salary account with the competitor? At the moment, banks are doing the opposite. Although, unlike in the past, they no longer require mortgage and salary accounts to be transferred to the same bank. But they do give a discount of a fifth to a quarter of a percentage point on the mortgage interest rate to whoever does it. A quarter of a percentage point on a mortgage interest rate of 2.5% is a 10% discount! How's the Minister looking at this? The EU Directive also requires banks to inform the customer about the coverage of their deposits in the account statement. How does the Minister imagine this? Will there be any statement of account: the deposit guarantee scheme covers, under conditions, funds up to a maximum of €100,000? Or: "You have a loan of €10,000, but a mortgage of 50,000, so you won't get paid in the event of bankruptcy?" Furthermore, the Directive states that in the event of netting, customers must be informed before concluding a contract. If it is settled, does this mean that the set-off only applies to new mortgages and other loans, i.e. to contracts that still have to be concluded? This set-off is very important for my group. We're looking forward to the Minister's answer. A final point concerns the deductibility of the deposit guarantee premiums for the tax. The SP Group raised this point earlier in the debate on the Single Resolution Fund. Will the deposit guarantee premiums also become tax deductible? If so, is that the same as in Germany and France, or are they not deductible there? In the latter case, what does that mean for the level playing field in Europe we are pursuing? There is hope that a European system will be established in the future, with a European fund. However, it is not yet that far, and it may take some time. All the more important is that we set up our Dutch system as best we can. This can also serve as an example in the field of harmonization. This bill is a major step in the right direction, but I would ask the Minister why we would not meet all the best practices.
ParlaMint-NL_2015-11-03-eerstekamer-5.u11	Mr President, right after the summer recess, we discussed in our Chamber the Agreement on the transfer and mutualisation of the Single Resolution Fund contributions under the European Banking Union. This will create a self-financed back-up for banks that are in difficulty. In fact, this is a third dike, which, after the implementation of the Capital Requirements Directive, should provide solid bank balance sheets and the rules for recovery and settlement that are being discussed with the legislative proposal that we are discussing today. A large number of supervisors have been created and the tasks and powers of existing supervisors have been considerably extended. Together, this should prevent situations such as those that occurred during the 2008-2009 banking crisis in the future, including the possibility of contagion towards national governments. In other words, these measures are needed to minimise the chance that taxpayers will still have to step in to finance private banks and thus private risks in the future. They ensure that losses in banks are initially borne by the shareholders and creditors of the bank itself. However, this raises the question of whether these risks should not be addressed themselves. The Liikanen Commission made earlier sharp recommendations on this, in addition to those of bail-in which we are discussing today. Mr Van Apeldoorn also referred to this. Can the Minister indicate what Liikanen's recommendations have now been adopted? Which is the Minister's intention to take over and which is not? This implementation law implements the Bank Recovery and Resolution Directive and the Single Resolution Mechanism. The BRRD and the SRM together constitute the European framework for bank recovery and resolution. The BRRD applies to all EU Member States and all banks active in it, while the SRM only covers the significant banks and investment firms of the Banking Union. Despite this different scope, the national resolution provisions adopted on the basis of the Directive and the single resolution mechanism established on the basis of the Regulation should be implemented in accordance with and in conjunction with each other. To this end, the bill adds a new Part 3A to the Financial Supervision Act and Part 3 is significantly extended. With this addition and enlargement, the Wft has become particularly complex, which threatens to jeopardise the accessibility of the legislation. I have expressed it myself in different words as a memory game, where you know where the one card is, but you don't really remember where the second card was. We have already heard from the Minister in response to our written questions on this matter that he also considers a fundamental revision of the Wft to be necessary. We would like to see this confirmed again today and hear when we can look at these proposals. Mr President, where we regret the extent of the Wft's adoption, we would like to see the single rule book announced in 2012 more comprehensively. The European Central Bank has identified as many as 150 topics where it considers that greater convergence should take place before a single rule book is really in place. This concerns, among other things, the large business framework, liquidity requirements and the quality of the capital that banks have to hold. Verily, there is no thing that should be left untouched. Can the Minister indicate what the agenda is for an actual single rule book? The scope of the SRM is in line with the scope of the Capital Requirements Directive and the Banking Supervision Regulation respectively. Insurers are excluded from the scope of the SRM. Consequently, the instruments of the Directive cannot be applied to insurers and thus not to insurance parts of a financial conglomerate. For their settlement, the instruments currently in force, in particular the transfer system, are still to be used. The criteria for intervention also differ. Nevertheless, my group considers it desirable to consider to what extent a review of the scheme for insurers, in particular in order to bring it more into line with the banking regime set out in this directive, is desirable. As has been said, one of the main objectives of the directive and the regulation is to minimise the cost of resolving a failing institution for taxpayers. The bail-in instrument achieves that objective by ensuring that shareholders, holders of other core capital instruments and creditors of failing institutions suffer appropriate losses and bear an appropriate share of the costs arising from the resolution process, as would they in the event of the bankruptcy of the institutions.
