Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Houwers	Fractie Houwers	Opposition	-	JohanHouwers	Houwers, Johan	M	1957	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Houwers	Fractie Houwers	Opposition	-	JohanHouwers	Houwers, Johan	M	1957	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AngelienEijsink	Eijsink, Angelien	F	1960	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AngelienEijsink	Eijsink, Angelien	F	1960	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u13	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u14	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AngelienEijsink	Eijsink, Angelien	F	1960	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u15	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u16	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	Houwers	Fractie Houwers	Opposition	-	JohanHouwers	Houwers, Johan	M	1957	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u17	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u18	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FredTeeven	Teeven, Fred	M	1958	
ParlaMint-NL-en_2015-11-11-tweedekamer-7	ParlaMint-NL_2015-11-11-tweedekamer-7.u19	Report of the meeting of the Dutch Lower House, Meeting 23, Session 7 (2015-11-11)	2015-11-11	Lower house	Meeting of the 28th Tweede Kamer	Session 7	Meeting 23	Sitting 2015-11-11	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
