Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	BarryMadlener	Madlener, Barry	M	1969	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	BarryMadlener	Madlener, Barry	M	1969	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	BarryMadlener	Madlener, Barry	M	1969	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FarshadBashir	Bashir, Farshad	M	1988	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u12	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u13	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MartijnvanHelvert	van Helvert, Martijn	M	1978	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u14	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-04-07-tweedekamer-2	ParlaMint-NL_2015-04-07-tweedekamer-2.u15	Report of the meeting of the Dutch Lower House, Meeting 72, Session 2 (2015-04-07)	2015-04-07	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 72	Sitting 2015-04-07	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	DucoHoogland	Hoogland, Duco	M	1984	
