Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmaLodders	Lodders, Helma	F	1968	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	FatmaKoşerKaya	Koşer Kaya, Fatma	F	1968	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmaLodders	Lodders, Helma	F	1968	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HelmaLodders	Lodders, Helma	F	1968	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u14	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	MP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	ElbertDijkgraaf	Dijkgraaf, Elbert	M	1970	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u15	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	SharonDijksma	Dijksma, Sharon	F	1971	
ParlaMint-NL-en_2015-09-10-tweedekamer-8	ParlaMint-NL_2015-09-10-tweedekamer-8.u16	Report of the meeting of the Dutch Lower House, Meeting 111, Session 8 (2015-09-10)	2015-09-10	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 111	Sitting 2015-09-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
