Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RoelofvanLaar	van Laar, Roelof	M	1981	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LiliannePloumen	Ploumen, Lilianne	F	1962	
ParlaMint-NL-en_2015-11-10-tweedekamer-5	ParlaMint-NL_2015-11-10-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 22, Session 5 (2015-11-10)	2015-11-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 22	Sitting 2015-11-10	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	MartinBosma	Bosma, Martin	M	1964	
