ParlaMint-NL_2015-12-21-eerstekamer-4.u1	We have arrived at the second term of office.
ParlaMint-NL_2015-12-21-eerstekamer-4.u2	Madam President. Firstly, I congratulate Mr Köhler on his maiden speech, because I have not yet had the opportunity to do so. Last Tuesday, the Secretary of State for Finance gave a detailed answer to the questions from this Chamber in the first place. Afterwards, the House of Representatives approved the novelle on the tax package. In this second period, I would like to confine myself to four issues: the need for tax reform and the gap between one and two earners, the cabinet's box 3 plan and the emigration tax, the novelle and the elderly discount and the implementation of the Parent-Subsidiary Directive. Last week, the Secretary of State said: "Great reforms will never succeed at once. If you don't start it, it'll never work, and if you do, you just have to hang in there for a while." He also said: "My appeal to the Chamber is about the same as the call she makes to me: let us continue, if necessary step by step." Those are fine words, just before Christmas. The Scientific Institute for the CDA has clear plans for the further steps. In this context, I should like to refer to the recent publication The importance of a new tax plan, subtitled Reviews on the reform of the tax system. We welcome the statement by the Secretary of State that the limits on the use of income-dependent, targeted tax instruments have been reached. I indicated on behalf of the CDA Group in the first time that the end of the use of the targeted fiscal instruments is definitely in sight. However, I wonder how realistic it is for the Rutte II cabinet to come forward with far-reaching proposals in the limited time it has been given, i.e. up to 13 months. How does the Secretary of State see that? The praise given to Mr Schalk of the SGP by the Secretary of State last week is very positive: 'As far as I am concerned, Mr Schalk has, of course, touched on the substance of the subject'. This is about the growing gap in disposable income between one earner and two earners, whether or not with children. The Schalk motion was adopted by a majority during the General Financial Reviews in this Chamber. The CDA Group supported that motion for a resolution. Last week, too, I drew attention to this in the first period. We have done a hand-out ourselves, which the Secretary of State has not specifically addressed. Would the Secretary of State be open to accelerating the reduction of the general tax rebate for the non-earning partner less than proposed in the Dijkgraaf/Omtzigt amendment, so that the negative employment effects under the MICSIM model will also be marginal? Or does he say, "That's an impassable route for me?" If that were the case, I do not yet see how we should place his encouraging words on constructive dialogue. Can he become more concrete in how he sees this in his mind when he comes to the 2017 Tax Plan? Indeed, the members of the CDA Group are not surprised, but deeply disappointed by the response of the Secretary of State for Finance on the decoupling of the box 3 plan and the tax package advocated by the CDA Group and others 2016. We will not waste any more words on it, but it is clear that we find it incomprehensible that the government parties are holding on to each other so cramped. In Dutch we know the saying "Better half turned than completely lost." That's what the East Indian cabinet is deaf to. The cabinet's box 3 plan is, in the words of the explanatory memorandum, "undisputedly more complex." We say that it will not be embraced by any taxpayer, because it is so far removed from reality and contrary to the legal history of box 3 and the legal system of the Income Tax Act 2001. It will lead to unnecessary border effects resulting in negative budgetary consequences and, last but not least, it will not help the small saver. It will continue to interpenerate on its assets when investing carefully, i.e. in deposits and bank balances. Besides, there's something weird going on. The government itself says that the box 3 plan is a temporary plan. Eventually, real returns on capital income should also be taxed in box 3. That is what the cabinet says, but how seriously is the Secretary of State going to deal with the Bashir/Van Weyenberg motion? That's a question. In that motion, the government is asked to come forward with a proposal to tax real returns, to submit to the 2017 Tax Plan. And then the taxing system for real returns should start as early as 1 January 2018. In the explanatory statement, the government itself states that only three years after the entry into force of the Wiebestaks, i.e. not earlier than 1 January 2020, "will be considered whether, to what extent, the time limit and the conditions under which a levy on actual return is possible'. An important alternative is also referred in advance to the wastebasket. I refer to Annex 1 to the explanatory memorandum of the 2016 Tax Plan. Taxing net income from assets in combination with the introduction of a capital gain tax is not a good idea for the cabinet. It would be too complicated in terms of implementation, while dozens of countries have such a system. What does the Cabinet want? The Bashir/Van Weyenberg motion urgently, but actually wipe two alternatives off the table? Then there is only one option: to introduce a power distribution system. I look forward with interest to the Secretary of State's reply. In short, it is not excluded that the cabinet's box 3 plan will apply for a long transitional period. And then I come back to my proposal that instead of the proposed box 3 plan, the existing exemption should be increased while at the same time abolishing the exemption. The Central Planning Office passed that on for us. In a particular variant, such a gradual abolition of the exemption could soon yield a few hundred million. The cabinet's plan will, in our opinion, be at least a gap in the 2017 budget and subsequent years of between 250 million and perhaps 500 million, because taxpayers above 1 million will never agree to progressive property tax. They're not gonna pay 30% over 5.5%. That's equal to 1,65%. Then, of course, they opt for a tax in box 2, whether fully taxed or not, or in the form of an exempt investment institution, even after the Great/Bashir amendment. Simple calculations show that this is more advantageous. The Secretary of State argues by saying that it is possible to switch to box 2 now, but again, that group of millionaires, consisting of more than 37,000 taxpayers, does not now, because they can live with a material capital tax of 1,2%. However, this will not be the case at 1.65%. That is an increase of 37.5%. I repeat that this group of only 1% of the total number of taxpayers in box 3 is still accounting for EUR 1 billion, 25% of the total 4 billion collected annually with box 3.
ParlaMint-NL_2015-12-21-eerstekamer-4.u3	I am listening with great interest to Mr Van Rij. Here's what I'm wondering. How can he be so sure that 37,000 Dutch will act with that ability in the future? The certainty he expresses in this respect also gives some legitimacy to the movement that he believes they would make. Can he say a little more about that?
ParlaMint-NL_2015-12-21-eerstekamer-4.u4	I'd like to do that. Firstly, I am talking about 37,000 taxpayers with more than 1 million who account for 1 billion. My estimate is that a quarter to half, i.e. 250 to 500 million, goes from the tax revenue from box 3 to box 2. Why? I'll give you a very simple calculation. If you have 1 million, I'm gonna ignore the exemption for a moment.
ParlaMint-NL_2015-12-21-eerstekamer-4.u5	The calculation is to be made; that is not really what I am concerned about. I find the thought behind the reasoning so interesting. I do not expect Mr Van Rij to know all 37,000 of them, but he knows that this is the natural step they are going to take because they are going to make this calculation, which I understand and which we can all follow, and he also knows that they will act in this way. Should the legislator anticipate a course of action which he discusses as a definite fact here? Can he explain that to me?
ParlaMint-NL_2015-12-21-eerstekamer-4.u6	That's exactly my point. When you make a law, you also have to think about behavioral effects. That didn't happen here. It is perfectly legitimate for a taxpayer to do so, just as Mr Backer undoubtedly makes use of the mortgage interest deduction, or not. A lot of Dutch people do that anyway. If someone in box 3 pays 1.2% now, he's gonna pay 1.65%. In an alternative situation, he may pay 1% or 1.2%. Then he goes from box 3 to box 2. That's what the law allows. There's nothing weird about that. Examining behavioral effects is exactly what needs to be done, but it hasn't been done. The cabinet doesn't want to hear about that. It lives in the delusion that a brilliant plan has been made to relieve smaller savers and increase the burden of greater power.
ParlaMint-NL_2015-12-21-eerstekamer-4.u7	I actually have a question for Mr Backer on the previous point.
ParlaMint-NL_2015-12-21-eerstekamer-4.u8	Will you do that when Mr Backer is speaking? Well, that's convenient, 'cause he can't answer right now.
ParlaMint-NL_2015-12-21-eerstekamer-4.u9	I'm talking about the word "legitimity" he used. I'll get back to you on that.
ParlaMint-NL_2015-12-21-eerstekamer-4.u10	I'd love to.
ParlaMint-NL_2015-12-21-eerstekamer-4.u11	I will continue my speech. Both objectives set by the Cabinet with this temporary plan to relieve smaller savers and increase the burden on larger assets will not be achieved. We do not agree with the cabinet and call on the cabinet to come to its senses directly in the new year. In order to give that process a push in the right direction, I would like to submit the next motion. The President shall: Mr Van Rij, Mr Van Rooijen, Mr Van Strien, Mr Ten Hoeve, Mr Schalk and Mr Ester proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government is aiming in the long term for a new system to tax real capital gains in box3;]] [[noting that the government has not yet drawn up such a long-term plan;]] [[Whereas the box 3 plan, as proposed by the Government, is intended only as a temporary regime, starting from 1 January 2017;]] [[whereas small savers are not sufficiently helped by this temporary regime;]] [[Whereas simpler and fairer solutions within the existing Box 3 system are possible;]] [[calls on the Government to come forward with a new proposal to include those alternatives to a simpler and more advantageous temporary regime for small savers by the Spring Paper at the latest,]] [[and goes to the order of the day.]] [[She's getting No. kst-34302-K]]
ParlaMint-NL_2015-12-21-eerstekamer-4.u12	I have a question about the motion, so I understand it. Is the intention for the smaller savers to reduce the tax and for the larger assets the rate goes up?
ParlaMint-NL_2015-12-21-eerstekamer-4.u13	I thank Mrs Vos for this question. I explained this last week in my first term. If you increase the exemptions in the current system, it will focus on the people with small capacities up to €100,000. They will benefit directly from this, just as the exemption will increase by €3,000 in 2016. At the same time, you should abolish the exemption over a million. That's gonna cost more millionaires. They'll finance it. This also applies to the category between €100,000 and 1 million. There you could then gradually abolish the exemption. That's an idea. In the same spirit, other alternatives are conceivable. That is what this motion calls for. The members of the CDA Group are not convinced that the emigration levy is a proper measure for significant stakeholders. The proposed legislative amendment is most likely contrary to the tax treaties concluded by the Netherlands. We therefore support the proposal made by the VVD during the written procedure to extend the deadline to 20 years. Finally, members of the CDA Group also consider it disproportionate that more than 30 FTEs should be involved. The members of the CDA Group would like to respond briefly to the novelle. The novelle contains a number of minor adjustments to the 2016 Tax Plan, as on 18 November. has been accepted in the House of Representatives. As far as the childcare allowance is concerned, this would not have been necessary for the CDA group, as enough money had already gone there. The members of the CDA Group have noted with approval that 100 million has been added to the novelle for the elderly discount. Nevertheless, this is still 200 million too little to make the €222 structural even after 2017. Mr van Rooijen of 50PLUS will be tabling a motion on this subject on behalf of the CDA and 50PLUS. For the rest, the novelle contains little exciting. I would ask the Secretary of State for the Parent-Subsidiary Directive to repeat the arguments put forward by the VVD and the CDA groups on hybrid loans. The answers given so far have not been convincing or even incorrect in our opinion. Firstly, a hybrid loan is not a fiscal loan but a capital injection. Secondly, hybrid loans are not only made in an intercompany context but also between third parties. Thirdly, Germany does not implement the scheme in the same way as the Netherlands. Fourthly, the Directive expressly does not require that a situation of total or partial double taxation should be allowed. Understandably, the directive seeks to put an end to situations of double non-taxation. We therefore consider the proposed regulation in the implementing law to be contrary to the directive and will most likely not be kept under European law because of its proportionality. As far as the CDA Group is concerned, the Netherlands should not put a Dutch head on a Brussels directive. In fact, the Netherlands must defend its interests in Brussels coûte que coûte, now and later. I await with interest the Secretary of State's reply.
