ParlaMint-NL_2015-01-15-tweedekamer-5.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2015-01-15-tweedekamer-5.u2	Mr. Chairman. Today we are discussing the statements made by Minister Timmermans, the minister's predecessor. These were statements about Turkey's accession to the European Union. It is remarkable: eleven months after these statements we have a debate here. That is also something for the internal procedure, I would almost say. Much has changed since then. No one is talking about Turkey's accession to the European Union anymore. What we are talking about is how we deal with Turkey, a country that is important in the region and which we are dealing with in many ways. Minister Timmermans was clear at the time. He wanted to give the negotiations an impetus by opening additional chapters, even after the brutal repression of the demonstrations in the Flemish Park and even with a serious deterioration of human rights. Meanwhile, we are a year further and Turkey slides under President Erdogan to an Islamic dictatorship. Cartoonists were murdered in Paris. In Turkey they are arrested. The Turkish newspaper Cumhuriyet dared to publish Charliecartoons. Now there's a threat of criminal prosecution. Turkey is therefore an open-air prison for journalists. There is no freedom for them; for Hamas there is freedom. Israel has foiled attacks that may have been planned and coordinated from Turkish territory and has called on NATO to put pressure on Turkey to stop facilitating this terror. We have put many questions to the minister's predecessor. The answer was: we don't know, we don't have proof, we can't find out, so we don't do anything. Why? That is my question to the Minister. Then there are the ongoing reports of support to Al-Qaida and ISIS. Thousands of jihadists have crossed the border to Syria and Iraq. Weapons and ammunition flowing towards the battlefield through Turkish territory. What does the Cabinet do? That puts the head in the sand. This attitude of the cabinet is not the right one as far as we are concerned. In my opinion, Minister Hennis has, quite frankly, what it was on at the time, when he visited the Patriots. She spoke about democracy and the rule of law. That's what she was attacked on. Then we got the wild talk from Turkey to the Netherlands about the so-called aggression and so-called racism against minorities, the inappropriate interference with our integration policy and the allergic reaction to Minister Asscher's attempts to encourage Turkish organisations in the Netherlands to increase transparency. Minister Koenders had to smooth the folds. He travelled to Turkey and was welcomed with open arms. However, two Dutch journalists have been arrested in two days. The question is therefore whether the Minister sees it as a successful visit. The minister acted correctly when he was there: on day one, after the arrest of Frederike Geerdink, he said that it was unacceptable. It sounded tough, but yes, a day later there was another arrest, namely that of Mehmet Ülger. Didn't the minister feel put in his shirt while he was there? Does he see these arrests as a coincidence or a harassment of the Netherlands, as a tap after Minister Asscher's scoop? In a short time, four Dutch journalists got into trouble. When are we going to perform assertively? Money is still going from the EU to Turkey. How long will we continue sending hundreds of millions to Turkey if that money is used to facilitate the judiciary to put more journalists in prison? In recent days, documents have been revealed on arms supplies from Turkey to Al-Qaeda in Syria. The media in Turkey are not allowed to publish about it. The parliamentarians there have done so. Twitter and Facebook were then shut down. Those documents are now online; they are rather spectacular. These are documents that Mr Omtzigt handed over to the Minister of Justice three months ago, in front of the NCTV (National Coordinator on Counter-Terrorism and Security). What has the Cabinet done with that information since then? Meanwhile, the German newspaper Die Welt has already published about it. Is the Minister prepared, now that the documents are public, to give a response to the Chamber within a week?
ParlaMint-NL_2015-01-15-tweedekamer-5.u3	Mr. Chairman. I have taken up the statements made by the former Foreign Minister, Mr Timmermans. These statements were only optimistic about Turkey's possible and desirable future accession to the European Union. The opening of chapters 23 and 24 on the rule of law was something to be welcomed as far as he was concerned. A new round of talks on the reunification of Cyprus was also announced. None of that has happened at all. Freedom of the press and freedom of expression have been further restricted. Article 301 of the Criminal Law in Turkey on freedom of expression should be amended. We do not believe that this has happened. The question to the Foreign Minister is: is that still in the package in the negotiations with Turkey? Secondly, there is an anti-terrorist legislation in Turkey which is read in such a way that there is an extremely broad definition of terrorism. This will ensure that political opponents in Turkey are thrown into prison on a large scale. There have been literally tens of thousands of terrorist-related convictions since 11 September 2001. The question to the Dutch Government is: does it fit in with Chapter 23 and Chapter 24 on the rule of law and democracy when it comes to politically motivated convictions? There is illegal action by Turkey in the exclusive economic zone of Cyprus. Seismographic research is being carried out there that is not in accordance with the agreements made internationally. This was the case until 30 December 2014. It has recently been announced that a review will be carried out in the exclusive economic zone of Cyprus in the period from 6 January to 6 April 2015. Does the Foreign Minister agree with me that this is actually illegal action by Turkey and that this is not in line with Turkey's announced better attitude towards Cyprus? Does he agree with me that this should therefore be rejected and condemned? Finally, I come to the relationship between Turkey and Armenia. It is true that Turkey initially seemed to be opening up, but that this opening is no longer being used. The recognition of the Armenian genocide is still not negotiable in Turkey, whereas the European Union, including a motion adopted by the House of Representatives in 2004, should point this out. All talks on enlargement with Turkey should address the Armenian genocide. The question is whether this will be done in accordance with the motion. Finally, I would like to take this opportunity, 100 years after the Armenian genocide, to ask the Dutch Government to attend the commemorations which are being held in the Netherlands and possibly also in the region itself in response to this genocide.
ParlaMint-NL_2015-01-15-tweedekamer-5.u4	Mr. Chairman. This debate was requested a year ago. The fact that it is still up to date has more to do with the structural problems in the relationship between the EU and Turkey than with Mr Omtzigt's vision. That's a sad conclusion. I therefore ask the Minister how he looks at the previous Minister's statements. It was optimistic about the opening of chapters 23 and 24, which actually discuss the heart of cooperation, namely the democratic rule of law. What was that optimism based on? Is that still true? When we look back, in recent history, at what happened up to last week, there is much cause for gloom. Journalists have been arrested. No country keeps as many journalists behind bars as Turkey. We have heard President Erdogan's statements about what would have led to the attack in Paris. Islamophobia and racism in Europe would have been the causes. These are remarkable statements, which only widen the gap between Turkey and Europe. I would like to ask specifically about the elaboration of two motions previously adopted. Mr Van Bommel referred to this as well. There is a very old motion from 2004 on the recognition of the Armenian genocide and the importance of discussing it in the dialogue with Turkey. In response to the request for this debate, the cabinet says that it is very important to discuss the relationship with Armenia. That is not the point of this motion. It is really a question of recognising the genocide, so that a country with its past can come to terms with it, and from there it can also find the strength to enter into relations with Europe. That is a very complicated and difficult point, but it needs to be discussed. My question is: is that indeed being discussed? Did the Minister discuss this during his recent visit? The second motion is from colleagues Omtzigt, Verheijen, Van Bommel and from me. It states that pre-accession aid should be considered as a means of exerting pressure, in particular on the rule of law, in the area of human rights and freedom of the press, because it is a matter of very fundamental values. Is that gonna be used? What is Europe's support for its use? I agree with Mr Van Bommel's specific question about attending the commemoration of the Armenian genocide, which took place 100 years ago. If we take the motion seriously, if we take the suffering of that people seriously and if we take it seriously in relation to Turkey too, then the presence of the Dutch Government will be appropriate. Finally, I note that there is insufficient support for a stable relationship between the EU and Turkey in the form of EU membership. A continuation of the negotiations is frustrating on both sides. It is time to think about and work on a new relationship that can be inspiring and resilient. That is less than EU membership, but much more than nothing. That would have helped us all.
ParlaMint-NL_2015-01-15-tweedekamer-5.u5	Mr. Chairman. In 2001, Pim Fortuyn pointed to the danger that Turkey would slip into a fundamentalist state. Here, too, he had a visionary vision. Last week two Dutch journalists were arrested in Turkey. These scandalous arrests took place while our own Foreign Minister was visiting the country. It was a deliberate provocation by Turkey, which has now completely abolished the freedom of the press. Why didn't Minister Koenders cancel his visit immediately? Why doesn't the cabinet have any consequence of this? How long will we allow ourselves to be humiliated by Turkey? We call on the cabinet to call our ambassador back from Ankara if Dutch journalists are arrested again. In addition, put an end to the EU's accession negotiations once and for all. President Erdogan believes that not Islam but the West is guilty of the attacks in Paris. The Turkish court has already banned the cover of Charlie Hebdo depicting the prophet Muhammad. This proves once again that Turkey has nothing to do with the EU.
ParlaMint-NL_2015-01-15-tweedekamer-5.u6	Mr. Chairman. At the end of last year, we discussed in detail in this House the situation in Turkey and the situation surrounding EU candidate membership. I think that at that time we all found that this situation is very worrying. We did so on the basis of the progress report and found that it was more of a report than progress. On all fronts, in the area of the rule of law, freedom of the press, corruption, freedom of expression, the position of minorities, Turkey is currently in decline. That is why the EU accession process is virtually still. We have made our concerns known widely from left to right in this Chamber. I would like to address one of these points specifically today, and that is freedom of the press. Last night it was often said that the free word is like oxygen for democracy. It is precisely that free speech that is under serious pressure in Turkey. We are afraid that democracy will follow as well. That's not in our best interest. We should not want that as an important strategic partner of Turkey. The Turkish Prime Minister Davutoğlu took part in the procession in Paris on Sunday. That was only three days before a court in Diyarbakır banned links on the internet to these cartoons. It was only five days after two Dutch journalists were arrested and questioned in Turkey. It was only a month after a large number of journalists were arrested in Turkey, after which President Erdogan indicated that Europe should mind its own business. With about 60 journalists in prison, Turkey is one of the largest prisoners, one of the largest prisoners of journalists in the world. Neither Turkey nor Europe can be proud of place 154 for Turkey at the World Press Freedom Index. This place is a place above Gambia, but one more place under Iraq. That's not something to be proud of. It is important to continue to raise this issue from the Netherlands, to continue to express our concerns and to insist on a concrete improvement programme. Is the Minister prepared to do so? What is he prepared to do at EU level? I am thinking, together with a number of colleagues, of tabling a motion on this point in the second term.
ParlaMint-NL_2015-01-15-tweedekamer-5.u7	I hear the VVD here sketching a very black scenario about Turkey. We can only agree with that. But then I'm so surprised that suddenly an improvement program is being looked forward to. An improvement programme for a repeater like Turkey? Apparently the VVD still has a lot of hope that it will all work out through an improvement program here and there. The country is fundamentally anti-European, as Mr Verheij himself points out. Does he indeed have hope? Does he see light at the end of the tunnel?
ParlaMint-NL_2015-01-15-tweedekamer-5.u8	Do I see a lot of light? Now, the developments in recent years do not give me a positive opinion on this. They give no reason to be very optimistic. However, I am not saying that we should take our hands off it, that we should not do anything more and should not condemn anymore. I don't do that for two reasons. There are two reasons why Turkey is of strategic importance to us. The first is economic: the Netherlands and the EU do a lot of business with the country and earn a lot of sandwiches there. The second reason is geopolitics: the country is in a strategic position with very dangerous neighbouring countries, including us. I want this country to stay stable. I think that the country is an important buffer, including as a NATO member, between us and the very dangerous region with Syria and Iraq. Those are the two reasons why I am not giving up on the country, which I continue to cherish hope, and that I continue to insist on improvements in that country.
ParlaMint-NL_2015-01-15-tweedekamer-5.u9	Finally, Mr Beertema.
ParlaMint-NL_2015-01-15-tweedekamer-5.u10	I hear here more the merchant than the Reverend or the Liberal Reverend. My final question is what needs to be done now, if the VVD is to say that it really is over and that we must finally decide not to let Turkey into the European family, into the European community of values. What else needs to happen after everything that's already happened?
ParlaMint-NL_2015-01-15-tweedekamer-5.u11	I must honestly say that I cannot answer that question in concrete terms. It is not unthinkable that the moment will ever come when the country goes so far overboard that we will stop. At the moment I see no reason or, above all, no interest for ourselves to do so. I think that's gonna put Erdogan even more firmly in the saddle. He can then say: see, Europe must not have us. We shouldn't want that. Moreover, in view of the economic and geopolitical interests that have just been mentioned, I do not see any reason at this time to unilaterally end candidate membership from the Netherlands, as the accession process is virtually stalling. I don't think that's directly in our best interest. Certainly as long as the process stops, there is no need for that either.
