ParlaMint-NL_2015-11-17-eerstekamer-3.u1	I would like to welcome the Minister and the Secretary of State for Finance to the Upper House.
ParlaMint-NL_2015-11-17-eerstekamer-3.u2	Mr. Chairman. I was going to start my text by saying that anyone looking at the world in 2015 must make an effort to remain optimistic. That was before the weekend. Last Friday, another terrible, cowardly attack on innocent civilians took place in Paris. Our thoughts are with France, with our French friends and allies who have suffered unimaginable suffering. We wish them comfort. We wish them unity. We wish them perseverance. We wholeheartedly support the Prime Minister and the Cabinet in their offer to help France wherever we can. The General Financial Reviews are not trivial, but it may be a rather curious transition. Let me begin, however. I start my story far from home, because what happens far from home has such a huge impact close to home, especially when it comes to the economy, especially when it comes to the 21st century and especially when it comes to the Netherlands. Those looking at the world in 2015 must make efforts to remain optimistic. I told you just now. Whether or not this makes it difficult to remain optimistic about the global economy. Especially in recent months, the coverage has become more gloomy. See the IMF which indicated in October that the risk of what is called "a complete stagnation of the world economy" has increased considerably, while many thought before the summer, hoping that the world economy, and certainly the European economy, and certainly the Dutch economy, would finally have the leak. Fortunately, there are still many indicators that look good for the Netherlands. However, we will have to take into account at least the possibility that there will be worse economic weather than was thought before the summer. This raises the question to the Minister of Finance as to how he views the development of the world economy. Is the coverage too pessimistic, realistic or even too optimistic? And if any gloom, or at least any caution, is justified about the world economy, and if my comment on the dependence of the Netherlands on that world economy is justified, how vulnerable are we with a relatively festive budget, where there is a deficit at the end of the feast? With the developments of the past few months in mind, is there any reason to be more economical, more cautious than before the summer? I'm making the move from the world to Europe. On the eve of 2015 it seemed as if the euro had ended up in calmer waters, but those who look back on this year see an exhaustion blow with Greece where the euro has escaped large damage except for one hair. Those who look back also realise that the President of the Eurogroup has contributed to the stability of the euro in difficult circumstances. As far as we are concerned, this is a compliment. We are now a few months away. Can the Minister share with the First Chamber how the cabinet is currently assessing the vulnerability of the euro? How does it assess the relationship with Greece in particular, which, if I may say so, still resembles the conditional extension of a mutual loveless marriage? Anyone who looks at Europe will notice something else. A few months ago, Mr Draghi started buying up government bonds. Now there is a lot to say about Mr Draghi, but not that he is unnecessarily cautious. If he's talking about buying up, he means buying up. Then he doesn't think a little bit, but then he thinks a lot of things. More specifically, he thinks of EUR 60 billion per month. And he won't stop until he's well over 1 trillion euros. You must always be careful with those amounts, but that is a one with twelve zeros; roughly the value of four times the budget we are discussing here today. We are therefore talking about extreme amounts. So you might expect that when you make investments in this order of magnitude, the results are impressive. But there are two things that all concerned recognise. Firstly, there is hope, but there is no guarantee that this will help to drive the economy forward. Secondly, because of the large sums of money, there are also major risks associated with this approach. Of course, the ECB is independent. The Minister himself was quite right to point this out. It has to stay that way. But this operation has been going on for a number of months. We are a number of billions further investments. The interest rate was low, is low and, as it appears, interest rates remain low for the time being, with significant consequences for Dutch savers and with major consequences for Dutch pension funds. This raises the question of what the Minister of the Effectiveness of Draghi's policy thinks. What does he think of the risks to the euro, to the Dutch pension funds and to the Dutch taxpayer?
ParlaMint-NL_2015-11-17-eerstekamer-3.u3	I'd like to know exactly where the CDA's in pain. Is it in the quantitative extension and its impact on interest rates or in the relationship between interest rates and the valuation of pension funds?
ParlaMint-NL_2015-11-17-eerstekamer-3.u4	These are both problems, but the first problem is mainly Draghi's problem. Mr Postema will agree with me that this operation is an ultimate medium, as the ECB itself said. In the run-up to this debate, Mr Postema will also have read history. The ECB has said for a long time: we should not do that. We do not want to do what Japan is considering and we do not want to do what America is considering. However, we have gone down that road one step at a time. It is right to note that the risks are extremely high because of these billions of dollars.
ParlaMint-NL_2015-11-17-eerstekamer-3.u5	There may be those risks. There are also many positive effects, such as the cost of public debt. I would like to hear from Mr Hoekstra whether we should problem the relationship between interest rates and the valuation of pension funds or the quantitative monetary policy of the European Central Bank.
ParlaMint-NL_2015-11-17-eerstekamer-3.u6	I think it's both. I have just said something about the first subject. Our position on the second is well known to Mr Postema. We have had a wide-ranging exchange of views on this issue when dealing with the legislative proposal on the financial review framework. It was also found that we differed. Both of us recognize that it's lavering between two evils, if I may put it that way. On the one hand, you want pension funds to be able to serve pensioners and future pensioners. On the other hand, you want to be very prudent. That is more the tour on which the minister sat and also the Dutch Bank. We believe that the solution as defined in the new financial review framework is too prudent. He's too careful. That will not surprise Mr Postema, because that is what we exchanged in that debate. I would like to make a third and final comment on the budget in the light of Europe. At European level, we know the 3% standard and the 60% standard. These are sensible rules, which have also been introduced at the intercession of the Netherlands and Germany in particular, and which there is only one objection: they have been so endlessly ignored by Member States. Let's zoom in on the 3% standard. The practice is that many Member States already have the flag if they manage to reduce the deficit to 3%. However, if I understand correctly, the objective of the Stability and Growth Pact was fundamentally different, namely to ensure a surplus in high economic conditions and to ensure a balanced budget in normal economic conditions, so that the deficit can rise to a maximum of 3% if it is not economically viable. Let me put it carefully, that is not European practice and, when I look at the 2016 budget, it is not Dutch practice either. We spend about 10 billion more than is coming in, and if I have read it correctly, the structural deficit is even catching up. In that light, I have a completely wild thought and a question to the Minister: has he also considered spending less rather than more money than coming in? I talked about the vulnerabilities at global and European level. I've been talking about the fragility of the state economy in bad weather. Let me now turn to the financial and substantive choices of the cabinet. After years of burden increase, the cabinet decides to reduce the burden. In addition, it shows itself to be a generous steward, if I may put it that way. After all, the burden is reduced by 5 billion. Is this a tax issue that is also addressed in the Tax Plan? Of course, but we believe that it is the most fundamental change of direction for the cabinet in this Millions note and therefore cannot go undisputed. Mr President, it will not surprise you, we think it is in itself a point of order. Last resort has been a key element of government policy in recent years. Here too, we have repeatedly advocated cutting public spending, reducing consumer spending and reducing the burden. We are therefore positive in itself about a reduction in charges, but the question is what amount is sensible at the moment. Is that indeed 5 billion, or is that perhaps less, given the state of the economy and also the security situation in the Netherlands and elsewhere? Perhaps the Minister could give his thoughts some thought. In addition, it is good to consider the way in which the cabinet reduces the burden. His remark that as a good driver you should not miss the opportunity to link load relief to system reform has been constantly haunted by the Secretary of State. I will not rub that in again. The essence of the matter is, of course, that he is absolutely right. My question to the Minister for Finance is therefore the following. Why, after it became clear that there was little support for the so-called packages 2 and 3, was there not searched? Couldn't the VVD and the Labour Party have looked beyond just increasing VAT, and also looking for supporters? Perhaps the Minister could indicate to what extent he wants to qualify the package that is now on the table as "a real reform." That is the key criterion, not from me, not from the CDA group but from the minister himself, as he told the Upper House in May of this year. Apart from the choice of burden relief, the cabinet makes a large number of other choices in the Millions Note. We can endorse most of these choices. Let me mention four which we find striking or unwise. First of all... The budget for security and justice is once again getting out of hand. Our views on this point are well known. Ensuring the freedom and security of its citizens is the foundation of any functioning state. Let me repeat that. Ensuring the freedom and security of its citizens is the foundation of any functioning state. In order to maintain that foundation, more money has to go to justice, to the D.A., to the police, to the parole board and to the NFI. The cabinet must therefore do more, but it is doing less, and we consider that to be unwise. Second. The defence budget is also getting out of hand again. There's money coming up, and that's good, but it's not good enough. With regard to the world outside the Netherlands, we are once again a number of illusions poorer. There's a war in Ukraine. Putin is publicly considering the mobilisation of nuclear weapons. Russian fighter jets cross European airspace unannounced. And then I haven't talked about last Friday's misery. There is, of course, no objection to hoping that the present century will be more peaceful than the previous one, but at the same time there is no guarantee of that. We therefore believe that the Netherlands should invest more in defence than VVD and PvdA do. Third. It has not received much attention, but apart from the 5 billion, the cabinet still distributes a considerable amount of spread. The cut in rent is postponed and extra money goes to the childcare allowance, to sheltered workplaces, to childcare, to paternity leave, to nursing homes, etc. These expenditures are well in the papers and add up to about one and a half billion. Those are all fine subjects, that's not the point. However, there is something strange about the whole process. This particular cabinet has recently cut into many of these issues. Therefore, the choice to distribute money now does not seem consistent. Moreover, in our view, it is a clear but silent policy change, without the Minister having put forward macro-economic arguments for the need to do so. Maybe he wanted to keep those arguments for today's debate. In that case, we'd like to hear it. It seemed to us to be a break with what is in the coalition agreement. Fourth. Perhaps the most remarkable discrepancy of this Millions note concerns the following. The cabinet writes that more reforms are needed, especially in the near future. In my words in the Million Note, there is something else summarized: much done, much to be done. But at the same time, there is not the beginning of a plan that points that way. The reality is that since 2015 there has been no such thing as the Minister's call in the Millions Note. I am thinking, for example, of thezzp'ers, the pension system and unemployment. Anyone who remembers the 2013 agreement and who has heard Minister Asscher talk in recent years, gets the impression that somewhere near the Ministry there is a raging job machine. Whoever tries to add the totals then gets the impression that every Dutchman must have about as many jobs as the average senator. However, anyone who looks at the Millions Note sees that reality is something else. I see some of them moving in their seats restlessly, but this was not intended as a reproach. That is, to the senators. I would like to return once more to the reduction of charges and therefore look forward to the Tax Plan. I have noticed that many have done so this morning in other Gremia. I am sure we will be able to talk about this later. I am concerned about the procedural path the cabinet is taking. What does it do? It links the 2016 Tax Plan to another, stand-alone bill. That other bill is about box 3, and not about an adjustment in 2016 but in 2017. So I can't be clear enough about this. Nothing to do with the 2016 Tax Plan. For this course of action, the cabinet does not justify any substance. There can't be, because there is no justification. I will not go into the proposal for box 3. In that piggy Senator Van Rij will be happy to put the knife at another time. It's the clutch that matters to me. As the First Chamber, we do not have the tradition of clustering fully-fledged, independent legislative proposals. In this way, the First Chamber is deprived of the possibility of making a stand-alone judgement on two separate legislative proposals. For that reason, this is one of the first things that learned when I joined this house....................................................................................................................................................................................................... With this performance, the cabinet raises the suspicion that it wants to put the gun on the chest of the First Chamber, under the guise of "dare to adjust the Tax Plan and if you do not dare, you will receive box 3 as a gift." Again, I am not concerned about the content, but this approach is unwise and not good. It is not good for the relations, it is not good for the First Chamber and it creates a dubious precedent. I therefore strongly suggest to the Cabinet that both legislative proposals be submitted separately. As always, we look forward with great interest to the answers of the Minister and the Secretary of State.
ParlaMint-NL_2015-11-17-eerstekamer-3.u7	Madam President. First of all, on behalf of the members of the VVD Group, I would like to join with Mr Hoekstra's remarks on the horrific events in Paris on Friday. I could not say it better than him, and I fully agree with that. The Dutch economy performs well in the first half of 2015 thanks to a strong recovery in investment and consumption. The Netherlands has thus created the conditions for a further economic recovery, driven by an increase in domestic demand despite the disappointing developments in the world economy, which are also reflected in the latest quarterly report of the CPB. This conclusion is a short summary of the European Commission's autumn report on the Dutch economy. Surely that is not crazy for a country that has been set aside by many, high and less educated, as if it had been cut back. The wait is for a first "I made a little mistake" from the many critics of the cabinet, but that will be in vain. In the meantime, in a report published last week, the CPB has also shown that the so-called multiplier of additional public spending does not lead to additional economic growth. It is an interesting report to which I would like to hear the Minister's response. Compliments therefore for the cabinet and for both directors of Finance present here today: it is a good report figure for the time being. However, it is an interim report figure: the final report has yet to come. So it's not time for laurels. Moreover, there are still plenty of challenges, as the cabinet itself states in the Millions Note. Although more than a hundred thousand jobs have been created in recent years, unemployment remains too high, partly because the economic recovery also provokes labour supply. A persistent core of the older long-term unemployed in particular is at risk. As far as budgetary policy is concerned, the concerns of the VVD Group are not yet over. In its opinion, the Council of State points out in particular the risk of a loss of sense of urgency and a waning awareness that further recovery and strengthening of the economy and public finances require continued efforts and reform. That is indeed a risk, also in the eyes of my group. The Advisory Section of the Council of State as an independent budgetary authority strongly states in its assessment of the 2016 budget that the Netherlands is not yet in order. While total public debt is falling as a percentage of GDP, it remains above the agreed 60% limit. The actual deficit above 2% does not provide much room for catching setbacks. The Council of State rightly states that, in the context of the uncertain international economic and political situation, the margin in terms of both deficit and debt is still very limited. The structural deficit in 2016 continues to stain this picture. In this context, the Council of State refers to the considerable differences between the various estimates of the structural deficit. For example, the Council of State indicates that this spring the structural deficit for the Netherlands for 2015 was estimated at 1.3% of GDP and now at 0.5% of GDP. That's a major deviation in six months. The Council of State therefore concludes that these estimates of the structural deficit appear to be surrounded by many uncertainties, while at the same time statistical realization figures of the structural deficit never become available. In the opinion of the VVD Group, this is problematic. The structural deficit is a crucial assessment criterion for my group. Does the Minister of Finance recognize himself in this image of the Council of State? If so, what can we do about this? Will he undertake to use his nevertheless influential position as President of the European Council of Finance Ministers in order to achieve a better estimate of the structural deficit and to promote the availability of implementation figures in the reports of the European Commission? Back to budgetary policy. The Council of State concludes its reflections with the conclusion that the government is not making sufficiently clear what budgetary strategy has been developed, given the still existing risks to public finances. The VVD Group invites the Minister to respond to this part of the Council of State's opinion, while also expressing her own views and views. It will not be unknown to the Minister that my group attaches great importance to sound and stable public finances. Deficiencies continue to put pressure on future generations and make important collective facilities for citizens vulnerable to setbacks. As a result, we in the VVD Group have carefully considered the proposed structural reduction of EUR 5 billion. After all, Mr Hoekstra pointed out that this space could also have been used for deficit reduction, thus strengthening the structural foundation of state finances. All things considered, my group supports the cabinet in this intention. It is precisely now that international economic developments are fragile that it is crucial that the economic engine of domestic spending is given sufficient fuel. Moreover, it is reasonable that the Dutch citizens should now benefit from the economic winds after the inevitable burden increases, which were necessary as a result of the crisis. However, the VVD Group sends the following political signal to the cabinet. The burden in the Netherlands is still too high, especially on labour. Moreover, there is broad consensus that the tax system needs to be reformed. Experience has shown that responsible implementation of such reform policies requires accompanying burden relief policies. In the coming financial years, therefore, the VVD Group wants room for further burden relief. The royal path is to reserve possible further tax falls if the economy continues to attract and, as advocated by the Council of State, continue a reform programme aimed at a structural decline in public expenditure as a percentage of GDP. For example, after the United States, the Netherlands has the highest healthcare expenditure as a percentage of GDP, despite the many good and important reforms undertaken by VWS leaders. This has made the growth of healthcare expenditure more manageable, but we are not there yet. In particular, the relatively high expenditure on long-term care determines this picture, as has also been indicated by VWS leaders in the examination of their budget in the Lower House. We in the Netherlands have decided that a lot of long-term care needs to be organised collectively and that it must also be financed collectively. Here again, by the way, this is the sharp contrast between the image of a broken-down care and the facts. However, it also shows that structuralally sound public finances and sustainable burden burdens can only be achieved if we continue with reforms aimed at reducing the size of the collective sector. There should be broad political consensus on this, because it is only in this way that we can assure the citizens of the Netherlands as well as possible of sustainable public services, including those that are not. Does the Minister wish to involve these elements in our invitation to address his planned policy for the coming years? My group therefore supports the burden relief package after considering the main points. My colleague Van de Ven will discuss this in more detail in the discussion of the 2016 Tax Plan. I think that this will also be an exciting debate if the omens do not deceive. However, the VVD Group wishes to address a more procedural aspect. Consistently and for a long time, my group in the Senate has objected to the use of various cabinets to offer several, often far-reaching, tax measures to this Chamber in one legislative proposal. The fact that this Chamber, as we know, has no right of amendment means that it can only say yes or no to the whole of the proposals. My college Wobke Hoekstra has just made important comments on the same theme. Fundamental objections to parts of the Tax Plan can only be materialised by the Senate by a vote against the whole. This can put this Chamber before an almost impossible balance. It is reminiscent of the rightly infamous use in the United States of putting everything and everything into legislative proposals, which often means that the co-legislator has to approve proposals against remembrance and gratification that the majority does not feel. In the United States, this type of legislation is rightly referred to as "pork" legislation. This is not the case in the cabinet, but the fact that, among other things, the proposals on the revision of the capital efficiency levy are an integral part of the overall package means that we cannot, as a senate, make a separate assessment of the proposals on capital. From a legislative point of view, this is anything but desirable and all the more so since these proposals do not go into effect until 2017 in the same way as the rest of the Tax Plan. For the sake of clarity, the Group of the European People's Party (Christian Democrats) and European Democrats considers the proposals for the revision of box 3 to be perfectly justified. I would like to sincerely congratulate the Secretary of State for Finance on his excellent explanation and defence at this point in the House of Representatives. That may be my group's case as an example of an adequate defence. In particular, the rebuttal of the argument that the levy could be introduced in a responsible manner by now on the actual yield achieved because it is also happening in several other European countries was of special class. The VVD Group is therefore not concerned with the content of the proposals, but merely with the legislative procedure chosen. As excellent as the cabinet defended the proposals on box 3 in the Lower House, so disappointing was the argument for including these proposals as an integral part of the Tax Plan. Let us not forget: my group suspects that there is only one reason for this: a political link between the reduction of taxes and the return on capital. That's not pretty; that's anything but pretty. However, this is a fact for which my group will have to give in. The alignment of the entire Tax Plan for procedural legislative reasons, however essential, is not a real option, as it would also result in the loss of the Dutch citizens of the proposed 5 billion reduction. I have here a quote from a famous historical person, King Henry of Navarre, about the city of Paris: "Paris vaut bien une messe." In the current context, that quote is somewhat unfortunate, but I think the intention is clear. It's of all times.
ParlaMint-NL_2015-11-17-eerstekamer-3.u8	Mr De Grave indicated that he would not want to torpedo the Tax Plan for procedural reasons; those are my words. Can Mr De Grave understand that, if there are injustices or at least unfair divisions in all this burden relief, groups can come to that conclusion? I refer in particular to the motion I tabled here during the General Political Reviews on the difference between one- and two-earners. It seems that this difference in the overall burden reduction can be up to five times as much tax on single-earners as on two-earners.
ParlaMint-NL_2015-11-17-eerstekamer-3.u9	I always understand, especially for substantive considerations, and especially when they come from a colleague from whom we know he always makes extremely careful considerations. Those substantive considerations will be discussed in the examination of the legislative proposals. In the end, each group will have to put all its considerations on a scale and draw a final conclusion. In the case of proposals, especially in the field of taxation, it is almost never the case that everyone likes everything equally. In the end, you will make an integral final weighing. Such elements are also evident in this proposal, such as the procedural considerations and the consideration that you could have used this as a way of alleviating public debt. That's all on the scale. We make a clear choice: we are all in favour of it. I think it is good to have the discussion on one and two-earners in the treatment of the Tax Plan. It is an extremely interesting subject. In the 1980s, I was able to participate in the then infamous or famous two-earner legislation. That too gave a lot of emotion. That was, by the way, a proposal to strengthen the position of sole earners. That's caused a lot of trouble. In the end, as we know, the legislator has made a different choice, namely to proceed to individual taxation. I have one more comment to make on this. For the rest, this debate really has to take place in a few weeks' time. The reason, in addition to the choice of individual taxation, is, of course, to a large extent in the highly rising marginal levy. To a large extent there is therefore the often used example that someone who only earns €60,000 pays far more tax than two-earning people who both earn €30,000. The reason lies in the highly progressive rates. In addition to the choice of individual taxation, this is another very important factor. So there are many aspects to it, but I repeat that I fully understand the fact that you, too, must play an integral part in all aspects. For one group, one aspect is more important than the other.
ParlaMint-NL_2015-11-17-eerstekamer-3.u10	Indeed, I am not going to go into that further discussion, which will be discussed during the examination of the Tax Plan. I would like to thank Mr De Grave for his understanding.
ParlaMint-NL_2015-11-17-eerstekamer-3.u11	It's the least I can say. From what I have said and my group's choice of words, it will be clear that this procedural aspect weighs heavily on us. I make no secret of the fact that we are going to give in as part of this overall balance, but the VVD Group cannot send a stronger signal to the leaders and the cabinet that this may be different in any subsequent cases. After all, there is not always 5 billion reductions on the scale. We would therefore ask the Cabinet, if necessary, to give this aspect a very explicit place to avoid the risk of my group having a different consideration on subsequent occasions. I have already recalled that Mr Dijsselbloem has been re-elected President of the European Council of Finance Ministers, for which once again our congratulations, Monsieur Le Président! The Netherlands will also be President of the European Council in the first half of 2016. Then there's a lot going on. That is why my group invites the Minister to look into what he is going to do with these special positions in the next six months. What does he want to achieve in Europe in the coming year on several important dossiers? I am thinking in particular of making the banking sector more shock-resistant, tackling tax avoidance and further strengthening and clarifying the European agreements on the budgetary policies of the various Member States. Finally, my group would like to address with caution a subject that is logically linked to the core message of my speech so far, namely the importance for our welfare state of sound public finances, in conjunction with the role and position of the First Chamber. Again, I say this with caution, because I don't have ready-made solutions either, but everything starts with setting up and discussing. I am therefore also addressing myself to my colleagues, the financial spokesmen, and perhaps first of all, but the Minister and the Secretary of State are very welcome to think along these lines. The point I wish to raise on behalf of my group is the role of the First Chamber in relation to budgetary policy. The reason is of course the changing position and role of the Senate, now that political relations in the Lower House and in the Upper Chamber are so different. As former spokesperson Finance on the other side, I know that the rules of financial discipline in the House of Representatives are tight; at least for the parties supporting the coalition of government. Proposals that do not have adequate coverage are usually out of chance in advance. In the case of a motion, the cabinet itself is inclined to give these consequences a place in budgetary policy when the motion is implemented. The agreements of the government agreement also provide a solid basis for sound budgetary policies. However, the position of the First Chamber is different. First of all, there is no formal link between the coalition agreement and the political groups in this House. Apart from that: although to a greater or lesser extent politically linked to the coalition agreement, the actual situation is, as indicated, that these political groups do not form a majority in the Senate. Moreover, the First Chamber is the final part of the legislative process. It is therefore often difficult in time to give a place to budgetary consequences. The First Chamber can't amend either. Finding cover is therefore not directly possible, at most in a directional sense, but in the end the cooperation of the House of Representatives is always necessary. In short, what should be done if, as a group, you have insurmountable objections to a particular proposal but if you want to feel co-responsible for adequate coverage? As I said, this is a complex issue without easy answers; my group is well aware of that. My first question to my colleagues is whether they see this problem. If so, can we continue to consider how we can deal adequately with this as the First Chamber? I'm giving a few thoughts for consideration. Would it be an idea if the political groups in the General Financial Reviews indicated in what areas they expected problems with legislation with budgetary implications? That gives the cabinet more time to think about how to deal with it. It would be even better if these groups would also indicate how they would like to contribute to the proposals for funding. Various political groups, including the CDA Group, have done so in the General Reviews, at least in a certain way. If I have seen it correctly, they did so more in an aggressing sense than they also provided for a direct budgetary solution. I am not talking about blaming any party, any party. I am more concerned with marking this point. Again, it's not simple. Another thought is that parties in this house who intend to reject a bill, in consultation with their spirited colleague in the House of Representatives, will let the Cabinet know what coverage proposals they might want to support. That is not easy and full of complications either, but it is a line of thought. Perhaps the Minister would like to take part in this? Does he have any suggestions or ideas? It is well known that the First Chamber does not often reject legislative proposals and even less often legislative proposals with budgetary implications, but time changes. A wise co-legislator thinks about the consequences in good time and adapts accordingly. The VVD Group is curious about the reactions of colleagues and the Minister.
