Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JacquesMonasch	Monasch, Jacques	M	1962	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	MP	notMinister	DENK;GKÖ	DENK;Groep Kuzu/Öztürk	Opposition	Centre-left	SelçukÖztürk	Öztürk, Selçuk	M	1972	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u20	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-02-10-tweedekamer-5	ParlaMint-NL_2015-02-10-tweedekamer-5.u21	Report of the meeting of the Dutch Lower House, Meeting 52, Session 5 (2015-02-10)	2015-02-10	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 52	Sitting 2015-02-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
