ParlaMint-NL_2015-01-20-eerstekamer-8.u1	I call Mr Ganzevoort.
ParlaMint-NL_2015-01-20-eerstekamer-8.u2	Mr. Chairman. Today we are completing a legislative process that has taken a long time and which has already been mentioned very much. And that's exactly why it's good to go back to the core. Why would we want this change? For my group it starts with our electoral programme, because it sets the benchmarks for our political weighting. After that I have a number of questions, because it is not only about the principles but also about the practicalisation. The starting point for my group is the great importance of education. In our programme, therefore, we are making a great deal of money for this. Not just keep the zero line, but invest positively in education. This is of great importance not only for individuals but also for society as a whole. Education is the best investment for a thriving society, whether economically, culturally or socially. That is why we are unhappy with the current policy of under-investment in education. In addition, we have been unhappy with the current study funding for much longer. It's often ignored, but we already have a loan system. Only part of the loan can now be converted into a gift if you graduate on time. That's very nice, but it also costs a lot of money. Money that ends up not only with students from families where it is badly needed, but also with students from families where it may be less needed. Money that we can no longer use for the desired investment in the quality of education. In addition, the accessibility of the current system is also inadequate and the reimbursement system is far from ideal. That is why I do not understand those who are so nostalgic about the current funding of studies. In any case, we are not satisfied with expensive and moderately effective study funding. We opt for a better system in which we focus on quality improvement and support where it is needed. For this reason, however, there has been a lot of discussion in our party; everyone knows that, because we are an open book, we have finally opted for a loan system in our programme, but in a truly social way. We want the card to be retained because it is essential for accessibility, for traineeships, for wider development, and so on. We want a strong supplementary grant because we need to support students from economically weaker families. We want the money to really be invested in education because that's what it all started to be. And we want to lower the threshold of tuition fees, at least in the initial period. With this commitment last year, we made it clear that the plan at that time was not good enough. With that same commitment, we're looking at the bill today. And then I notice that the bill is very close to what we want. Not a hundred percent, of course, but to a significant extent. The OV card is retained and extended to mbo'ers. That's very important. The additional grant for home-living students will be increased. Unfortunately, the additional grant for residents goes down, at least as far as the net effect is concerned, because the basic grant falls away. This means that we need to keep a close eye on what the effect is. The money is invested entirely in improving the quality of education. I would like to talk about the precise implementation of this, but I would like to draw particular attention to the flow of vmbo-mbo-hbo-wo. In these groups too, there are major risks of dropout. We must, above all, invest in this. The tuition fees are unfortunately not reduced, except for pre-masters, but on the other hand, they can also be awarded a tuition fee at a later age with the same favourable conditions. This is how we make lifelong learning more possible. And that's not all. It is also particularly important to make the reimbursement system more flexible. Graduates may take longer to pay back, but shorter may also be allowed. In any case, the reimbursement is limited to 4% of income, compared with 12% now, and on average to 1%. We only have to pay back from the minimum wage, whereas that limit is now at welfare level. Thus, not only in the start-up phase but also in the reimbursement phase, graduates are protected with a lower income. There is therefore a legislative proposal which can be well defended in general terms. It makes it possible to invest substantially in education and thus really improve quality, without requiring additional funding.
ParlaMint-NL_2015-01-20-eerstekamer-8.u3	One question. I appreciate that Mr Ganzevoort starts with the principles of his party's party programme. He has asked more often about the principles of other parties in the past period. That is always good, because that offers the opportunity to explain. Looking at GroenLinks' party programme, I note that Mr Ganzevoort is skipping one issue. There is a need for equal opportunities across the board. This is a theme also mentioned in the GroenLinks party programme when it comes to higher education. I could mention a number of things about the start of the course if students start to make debts. Does Mr. Ganzevoort consider it to be an equal opportunity witness as one student at the end of the study, because he has wealthy parents, has no loan debt, while other students do? What does that have to do with equal opportunities?
ParlaMint-NL_2015-01-20-eerstekamer-8.u4	I see that Mr Kuiper has also read Piketty's book. We find a lot of inspiration in that. It would indeed be very good if we were to do much more about this inequality. However, this is not an isolated problem. When you come from a family with richer parents you have advantages on all fronts. That goes for here, too. We can't take that away unless we go to a system where everyone earns exactly the same amount. But I do not think Mr Kuiper will want that either.
ParlaMint-NL_2015-01-20-eerstekamer-8.u5	No, I don't have that in mind either. I ask Mr Ganzevoort about his own principles and whether he really sees them in the system. There are also points he certainly doesn't see back. I'm talking about cutting tuition fees. Higher education is expensive in the Netherlands. The first policy response following the report of the Veerman Committee was: discounts on universities, so cost increases on that side. I believe that together we have been involved in the protest around the Hofvijver against the longest study fine. What happened to Mr Ganzevoort supporting this bill?
ParlaMint-NL_2015-01-20-eerstekamer-8.u6	Something has happened to me in this regard, namely that a legislative proposal has been submitted which basically complies with the framework conditions as we have described. Then there is the issue of inequality. This inequality is embedded in the entire structure of our society. We can't take it away. We can ensure that those who come from economically vulnerable families, low-income families, receive support to study through the supplementary scholarship. We can do that. We cannot ensure that people from poorer families receive money from their parents. That's a fact. That's how society works.
ParlaMint-NL_2015-01-20-eerstekamer-8.u7	It's not just society. It's in the system of this law. When Mr Ganzevoort took office as a Member of Parliament, he mentioned in a debate the example that children from socio-economically weak environments have a greater fear of borrowing when it comes to raising tuition fees for excellent education. That fear of borrowing occurs in certain environments. You can say that this inequality is in society, but the current system offers the opportunity to overcome it. However, we are now making it more difficult for these students to access the university.
ParlaMint-NL_2015-01-20-eerstekamer-8.u8	Mr Kuiper is now making a wonderful mistake of thinking. For the lowest income groups, the least changes. For this purpose, the supplementary grant is increased. For the higher income groups the most changes. That's where the basic grant falls out. It is a mistake to say that the problem there is increasing. I'll add something to that. The limit on reimbursement to 4%, in many cases on average at 1%, is a very important point for these groups.
ParlaMint-NL_2015-01-20-eerstekamer-8.u9	Young people from socio-economically weaker environments can indeed benefit from the supplementary grant, but they also need to borrow. They too are building up a debt that can be very substantial. They have much less support in their environment in this respect. My point is that the current system, with the basic grant, gives them a much better entrance into higher education than the system currently in existence. This bill does something about equal opportunities.
ParlaMint-NL_2015-01-20-eerstekamer-8.u10	In any case, I note that students living at home in the lowest income classes are making net progress. In that sense, the story doesn't quite go on. Apparently, there is a difference of opinion between Mr Kuiper and me. That's okay, too. Again, I do not understand the nostalgia for the existing system. In that system, a lot of unfocused money goes in all directions.
ParlaMint-NL_2015-01-20-eerstekamer-8.u11	Mr Ganzevoort considers this, I think, to be a social loan system. He stressed that arrangements had been made for low incomes. Perhaps, however, Mr Ganzevoort can give some thought to the question of how social it is that you are almost becoming a calculating student. After all, you can hardly make your choice on the basis of where your talents lie, so that you can turn your hobby into a job, the best you can do. This system gives the perverse incentive to get as high a salary as possible as quickly as possible.
