Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u12	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u13	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MichelRog	Rog, Michel	M	1973	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u14	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u15	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u16	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u17	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	EricSmaling	Smaling, Eric	M	1957	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u18	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-09-01-tweedekamer-5	ParlaMint-NL_2015-09-01-tweedekamer-5.u19	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2015-09-01)	2015-09-01	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 106	Sitting 2015-09-01	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	ArieSlob	Slob, Arie	M	1961	
