ParlaMint-NL_2015-02-03-tweedekamer-25.u1	First speaker of this VAO is Mr Van Meenen. Go ahead, you have two minutes to speak.
ParlaMint-NL_2015-02-03-tweedekamer-25.u2	Mr. Chairman. I have five motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas good computational education is in the interests of each pupil;]] [[Whereas the intended design of the calculation test and its inclusion in the pocket/low-level scheme do not promote good computational education;]] [[Whereas it is precisely the most vulnerable pupils in vo and mbo who will be the victims;]] [[calls on the Government to refrain from introducing the calculation test in this form and as part of the bag/lowing scheme,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[In accordance with the Jadnansing/Straus motion (3332), No. 33) inform the Chamber before 1 June 2015 about the implementation of the opinions of the Bosker Commission and not to take irreversible decisions previously regarding the introduction of the calculation test,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[invites the Government, with the Dutch Association of Mathematics Teachers, to examine the alternative proposed by them and to report its results to the Chamber before 1 June 2015,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to continue to strengthen the mathematics education in the MBO and, in consultation with the MBO Council, the JOB and teachers, to examine the possibility of differentiated and occupationally relevant assessment per training and to inform the Chamber thereof before 1 June 2015,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the debate on education2032 is a good reason to consider the level of computational education in an integrated way;]] [[calls on the Government, in consultation with all stakeholders in the field of computational education, to adopt a plan of approach to structural improvement of computational education in the context of the review of the curriculum and to inform the Court of Justice of this in autumn 2015,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-38]] [[This motion has been proposed by Members Van Meenen and Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-39]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-40]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-41]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-42]]
ParlaMint-NL_2015-02-03-tweedekamer-25.u3	Mr. Chairman. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government intends to link the calculation test in secondary education and vocational education to the allowance/salary scheme next year;]] [[noting that the sectoral councils refer to additional requirements regarding the calculation level for admission to further training;]] [[Considers that secondary vocational education and higher education should be accessible and that it is necessary to deal with selective and conservatively with the issue of additional diploma requirements for further education;]] [[calls on the Government not to agree to additional admission requirements in order to make secondary vocational education and higher education accessible,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klaver. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-43]]
ParlaMint-NL_2015-02-03-tweedekamer-25.u4	I would like to add a few words. This, of course, does not concern the demands we make on the pabo. We've talked about that before. This is about the additional requirements that industry councils are referring to. The Minister has indicated that she did not think that this was obvious, but I want us, as a Chamber, to now state clearly where we stand and that we do not think it is a good idea for additional demands to be made.
ParlaMint-NL_2015-02-03-tweedekamer-25.u5	Mr. Chairman. Disbelief and bewilderment call for priority when I think back to last week's debate on the calculation test. The recommendations of the Dijsselbloem Commission and also recently of the Education Council are totally ignored by the Labour Party, the VVD and this cabinet. Disbelief and bewilderment also about the fact that good suggestions from relevant experts and organisations, such as the Dutch Association of Mathematics Teachers, are totally ignored. I also feel disbelief and bewilderment because the Labour Party has finally turned its back on the field of education. I have one motion, which is based on the very real option, namely that the calculation test is going to be carried out. I am from a co-signatory of the ultimate motion tabled by Mr Bishop, who will argue that the whole calculation test should not be carried out. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that with the introduction of the calculation test, the government accepts that up to 5% more pupils will fail their examinations;]] [[Whereas the Secretary of State states that the education of mathematics is not at present in order and that pupils should not suffer from it;]] [[also considering the massive resistance of educational organisations to the weighting of the calculation test in the pocket/layer scheme;]] [[Calls on the Government to set the maximum percentage of fees due to the calculation test at 0 in the examination years 2015-2016 and 2016-2017,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Rog, Mr Bishop, Mr Van Meenen and Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-44]]
ParlaMint-NL_2015-02-03-tweedekamer-25.u6	Finally, I would ask the Minister to respond to what the JOB has said. The Minister cited the JOB as one of the few organisations that would still support the mathematics test in the MBO, but the JOB has clearly and forcefully distanced itself from it and even says that the Minister is lying about it. I would be pleased if she could give a short response to that.
ParlaMint-NL_2015-02-03-tweedekamer-25.u7	Mr. Chairman. I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Government intends to include the outcome of the central calculation test in the pocket/slow scheme in secondary education and vocational education as from the 2015/2016 school year;]] [[Whereas:]] [[• the support for the central calculation test in the intended form is under strong pressure from educational professionals and, in line with the conclusions of the Dijsselbloem Commission, a wider support base is desirable;]] [[• the teaching of mathematics should be longitudinally anchored in the curriculum of the po and vo;]] [[• schools should be considered to be perfectly capable of organising both arithmetical education and the accompanying test package;]] [[• the education inspection has sufficient tools to address and encourage schools which are inadequate;]] [[calls on the Government to refrain from the planned implementation path for the central calculation test and to seek, in consultation with the field, a widely supported solution, focusing on the proper implementation of the reference levels,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Bosker Committee recommended that the use of a calculator in the calculation test should only be permitted where necessary in daily life;]] [[noting that the government intends to accept the recommendations of the Bosker Commission and that the use of a calculator in the central calculation test is not originally intended;]] [[calls on the Government to allow the use of a calculator only in the case of official calculation tests for tasks which control the use of a calculator and in the case of calculation tests to exclude the use of a calculator in the vast majority of the tasks;]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Bishop, Mr Jasper van Dijk, Mr Rog, Mr Voordewind, Mr Van Meenen and Mr Klaver. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-45]] [[This motion has been proposed by Mr Bishop and Mr Rog. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-46]]
ParlaMint-NL_2015-02-03-tweedekamer-25.u8	I would like to make it clear that the last motion concerns the situation in which the central calculation test will not proceed. Even so, we want formal tests to minimise the use of a calculator.
ParlaMint-NL_2015-02-03-tweedekamer-25.u9	Mr. Chairman. I'm filing one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that since 2007 there has been a legitimate complaint that the basic skills are language and arithmetical;]] [[having noted that the reference levels of Dutch language and arithmetic were adopted with broad support in 2010 (SP, PvdA, GroenLinks, D66, PvdD, VVD, ChristenUnion, CDA and PVV);]] [[noting that most of the critical points in the education sector have meanwhile been met, except for the criticism that the calculation test would still be too linguistic;]] [[calls on the Government to split the calculation test into four equal parts, namely: numbers/main calculations, fractions, percentages and contexts, and to apply the average figure as a result,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beertema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-47]]
ParlaMint-NL_2015-02-03-tweedekamer-25.u10	Mr. Chairman. In education, the basis for the calculation test is minimal. In the Lower House too, under the direction of Mr Bishop, a broad front has formed against the calculation test. He has tabled a motion, supported by the SGP, the SP, the CDA, the Christian Union, GroenLinks and D66. We have united ourselves for nothing in our repulsion against this calculation test. Furthermore, I very much agree with Mr Rog's question: answer the fact that the JOB said that the young people of the MBO said that her letter, her comment was being abused and that she was not as enthusiastic about the calculation test as was suggested. That's serious. I'd like to get a reaction to this. I'm filing one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the calculation test is still being developed for different levels and sectors;]] [[considers that there should be sufficient support for the calculation test, in particular for specialist lecturers;]] [[considers that the quality of the test requires the use of knowledge and experience of teachers in the classroom on a daily basis;]] [[invites the government, in consultation with the Dutch Association of Mathematics Teachers, to reach agreement on the progress of the calculation test,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jasper van Dijk and Mr Rog. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31332-48]]
ParlaMint-NL_2015-02-03-tweedekamer-25.u11	Mr. Chairman. Last Wednesday we talked about the introduction of the calculation test in secondary education and in MBO. A lot has happened in the past year. I think it is important to point out here too that the test is not an end in itself, but it is seen as the final piece of an important approach to improving computational education in the Netherlands. In this respect, a lot is already happening and we are going to do a lot in the coming period. Despite the fact that there has now been a considerable political debate and several schools and sectors have been involved in the discussion, it is good to repeat here what we are going to do in the coming period. We're expanding support. The activities of the support points language and calculation will be expanded. We are going to involve parents and students, even in complaints, if, for example, they do not get an answer at their school. I have been in contact with the LAKS and the Dutch Parents' Council. We will be at the table on that very soon. We have made a commitment to engage additional teachers to think about the challenges. This can increase the level of support while at the same time ensuring that the task bench is filled more quickly. Of course, we will also continue to talk to different schools and the sectoral councils in the coming period. This is what we are doing in order to respond to all the questions that have been asked about further increasing the level of support in the coming period. A lot of motions have been tabled. I just wanted to walk them off, with your permission. The Van Meenen motion in part No. 38 I don't recommend. In fact, the motion states that the calculation test should not count for failing or failing, and that is actually contrary to the idea that every pupil should reach a certain level, including the vulnerable pupils mentioned in this motion. In the letter we just made a number of proposals to introduce the 2A test for the students in the lower steps of the vmbo and the mbo. For the children with dyscalculie there is now the ER test. The Van Meenen/Van Dijk motion in part No. 39 is, in my view, completely superfluous, since it calls on the government to carry out a motion that has already been adopted by the Chamber. It was tabled at the time by Mrs Jadnansing and Mrs Straus. For another part, the motion contradicts what we have just promised the Chamber, namely to introduce the recommendations of the Bosker Committee. I don't think we should wait for that. In other words, I would advise against this motion.
ParlaMint-NL_2015-02-03-tweedekamer-25.u12	Can I take that as the promise that what is in the motion is going to happen? So will the Chamber first be able to take note of the results of the implementation of all the recommendations of the Bosker Committee, which, moreover, the College for Keys and Examinations has indicated that it is going to be an extremely complex task before a final decision is taken on the form and content of the test which we are now apparently going to decide to take?
ParlaMint-NL_2015-02-03-tweedekamer-25.u13	In the letter we sent to the Chamber, we set out exactly what is going on in order to implement and follow up the recommendations of the Bosker Committee. We were able to follow up on some of these recommendations immediately, as can be seen in the letter. A number of recommendations require a little more time, for example doing research. However, we have indicated that we want to introduce and implement these recommendations. Then I think it would be unwise to hold everything up until June, then to discuss it with the Chamber first. What needs to be done must be done. Which can happen soon, too. And what needs more time, needs more time.
ParlaMint-NL_2015-02-03-tweedekamer-25.u14	Finally, Mr Van Meenen.
ParlaMint-NL_2015-02-03-tweedekamer-25.u15	It is certainly not excluded that some of the recommendations made by the Bosker Committee are not feasible at all. What's that?
ParlaMint-NL_2015-02-03-tweedekamer-25.u16	We'll have to see about that first. And if something can't be done, I'll come back to the Chamber with that, of course. That seems clear to me. I also advise against the motion in part No. 40 by Mr Van Meenen. I think that we now need to clarify the process of introducing the calculation test and the way we want it to go. At the moment, mathematics education can also include mathematics. That's a choice that schools stand for. They don't need that kind of consultation. However, the Dutch Association of Mathematics Teachers goes a lot further. It also says that the test should not count for all students and that is very similar to the motion in part No. 38, which I've just advised against.
