ParlaMint-NL_2015-10-28-tweedekamer-7.u1	I call Mr Pechtold.
ParlaMint-NL_2015-10-28-tweedekamer-7.u2	Mr. Chairman. At the beginning of the afternoon, the report of the Fyra survey was presented and shortly after, Secretary of State Mansveld offered her resignation to the King. She did that at her ministry. However, the Chamber would like to have a debate with the Prime Minister on the situation that has arisen. I would like to stress that we are not going to have the debate on the Fyra report now, because it needs to be dealt with in peace. However, we do want to debate the political situation that has arisen. I'm just saying, as usual. It seems useful to us to suspend the debate on the budget for infrastructure and the environment, which is scheduled for this afternoon and this evening. I would like to make this request on behalf of the groups of the CDA, the PVV, GroenLinks, the Christian Union, the SGP and Klein.
ParlaMint-NL_2015-10-28-tweedekamer-7.u3	So you want to suspend the budgetary procedure.
ParlaMint-NL_2015-10-28-tweedekamer-7.u4	Yes.
ParlaMint-NL_2015-10-28-tweedekamer-7.u5	Would you like to start that treatment a little later today?
ParlaMint-NL_2015-10-28-tweedekamer-7.u6	Well, I'm asking for a debate with the Prime Minister. Only short speaking time is needed, but this requires some preparation. It seems to me that we could therefore have that debate with the Prime Minister right after dinner break. I do not know whether it is justified to start discussing the budget afterwards. Luckily, I don't have to do that myself. However, this treatment is somewhat delayed.
ParlaMint-NL_2015-10-28-tweedekamer-7.u7	We don't have dinner break here at a fixed time. I'm just looking for a solution. Is it an idea to start the debate with the Prime Minister at 5.30 p.m., for example?
ParlaMint-NL_2015-10-28-tweedekamer-7.u8	I should also like to look at those Members who have to speak during that debate.
ParlaMint-NL_2015-10-28-tweedekamer-7.u9	We need to come up with a proposal in which Members have as much information as possible. That's convenient, because then they'll know what to respond to.
ParlaMint-NL_2015-10-28-tweedekamer-7.u10	Yes. I do not know whether all the group chairmen who are now a little further away in the Chamber and perhaps want to take part in the debate will be able to achieve that.
ParlaMint-NL_2015-10-28-tweedekamer-7.u11	The proposal is therefore to hold a short debate with the Prime Minister at 5.30 p.m. on the situation that has arisen. The Prime Minister has asked to make a statement. That too is quite common in a situation like this.
ParlaMint-NL_2015-10-28-tweedekamer-7.u12	Yes.
ParlaMint-NL_2015-10-28-tweedekamer-7.u13	Is two minutes' speaking time okay?
ParlaMint-NL_2015-10-28-tweedekamer-7.u14	Two to three minutes; that's fine.
ParlaMint-NL_2015-10-28-tweedekamer-7.u15	Two minutes. Fine.
ParlaMint-NL_2015-10-28-tweedekamer-7.u16	Mr Pechtold said that the CDA also supported this request for a debate. I suggest we have that debate after dinner break. I would also like to say to the cabinet that it would be nice if not only the Prime Minister, but also the Minister for Finance and the Minister for Infrastructure and the Environment were present in that debate. From now on they are responsible for the Dutch Railways and the ILT. It would be good if they were in charge of that, too.
ParlaMint-NL_2015-10-28-tweedekamer-7.u17	The request is to hold a debate with the Prime Minister after dinner break. I'm saying that dinner break ended at 5:30 p.m. So Mr Van Helvert agrees.
ParlaMint-NL_2015-10-28-tweedekamer-7.u18	I just let this work on me for a second. I think we should do it. I think we should do it at 5:30. The cabinet is now losing more parts than the Fyra, so I think it would be wise to talk about it here. I don't need the presence of other rulers. Let us have this debate with the Prime Minister alone. We will have separate debates on all these other areas.
ParlaMint-NL_2015-10-28-tweedekamer-7.u19	On behalf of the PvdA, I support the request for a debate with the Prime Minister, President. I think it would be very appropriate to have that debate. I also support your proposal for the order of business today to hold that debate at 5.30 p.m. and then to start discussing the budget for I and M after dinner.
ParlaMint-NL_2015-10-28-tweedekamer-7.u20	Mr. Chairman. Perhaps it would be useful to respond equally to additional requests. They asked for an extension. I had already supported Mr Pechtold's request. It is now a question of the political situation which has arisen, namely the resignation of the Secretary of State. That is why I think it is appropriate to conduct the debate alone with the Prime Minister. Later we will talk about the consequences on the ground itself.
ParlaMint-NL_2015-10-28-tweedekamer-7.u21	I support the request for a brief debate. My group is happy to start discussing the budget afterwards, as the Minister has said that she is willing and able to do so.
ParlaMint-NL_2015-10-28-tweedekamer-7.u22	I would also like to respond to the supplementary request. It seems to me really right that we should only have the debate with the Prime Minister and really confine ourselves to resigning. The whole process of examining the Fyra report will continue for many hours, to which other rulers will be invited to come to the Chamber, but not tonight.
ParlaMint-NL_2015-10-28-tweedekamer-7.u23	Mr Pechtold, I note that there is broad support for your request that you have done on behalf of many people. The proposal is to have a short debate with the Prime Minister at 5.30 p.m. I propose two minutes of speaking time per group. At the end of that debate, we are simply going to start the budgetary treatment of I and M. I have also heard from the Minister that she has the opportunity to have that debate alone.
ParlaMint-NL_2015-10-28-tweedekamer-7.u24	You may have said it, but I still want to know whether we will start with a statement from the Prime Minister first.
ParlaMint-NL_2015-10-28-tweedekamer-7.u25	Yes. The Prime Minister asked us to do that, so let's start with that. That's what we're gonna do. For the people who want to dine now there is now a dinner break and for those who want to dine later there is a later dinner break. Twice is fine; you are right, Mr Pechtold.
