ParlaMint-NL_2015-07-07-eerstekamer-8.u1	I have already welcomed the Secretary of State for Security and Justice to the Upper House.
ParlaMint-NL_2015-07-07-eerstekamer-8.u2	Mr. Chairman. This legislative proposal aims to implement the amendment of the so-called European Procedure Directive and the European Reception Directive. Those directives were adopted almost two years ago today. If my group has seen it correctly, the European Commission made the first proposals for these amendments in October 2009, and December 2008, respectively. This means that we are now six to seven years ahead and we need to consider a series of amendments to the Foreigners' Act 2000 on the procedure and reception of applicants for international protection. At present dramas are taking place at the southern and south-eastern borders of Europe. Large numbers of people are trying to reach European country. Incited by wars, civil wars and the lack of any functioning state authority in one's own country, in search of a better economic life and often seduced by smugglers, many tens of thousands risk crossing. Even within Europe there are scenes that we did not think possible until recently and for which even a solution does not seem to be in sight. Think of the situation in Calais. In the light of this, the legislative changes we are considering today are useful. Structurally on an annual basis, however, they represent a considerable additional burden on the judiciary, the cost of which is carefully estimated at around EUR 20 million. The fact that there are major problems elsewhere in the world does not, of course, mean that we should not constantly strive for improvement in Europe and in the Netherlands. But proposals such as these, which are years after they were ever conceived, seep into Dutch law, make the eyebrows frown with my group. This is particularly true at the same time as they show the EU's impotence to come to some essential decision-making in order to tackle the major problems that lie behind the reality of immigration and asylum in Europe. Apart from the question of dealing with the Greek debt crisis, this is perhaps the only issue that really matters in Europe at the moment. The inability to reduce the number of people reaching Europe with the request for international protection and to achieve a European (re-) allocation is also sad to see. In doing so, my group takes account of the fact that the latter is partly the result of the first. The only thing that seems to be possible is to come up with butter-soothing agreements. Those agreements then seem to be only intentions on second thought. The contrast between this reality and the regulation that is now before us is great. We regret that our request to the Secretary of State for a reflection on the directives in the light of current developments has merely led to a list of, in particular, technical changes to the Common European Asylum System over recent years. A real reaction to the substance has not been forthcoming. I would therefore ask the Secretary of State to reflect on this and to assess for us to what extent any effective EU decision-making can be expected in the short term. My group also asks what the Dutch Government's commitment is in this regard. Can the Secretary of State explain what the Dutch commitment has led to so far? The proposed amendment to the Aliens Act 2000 on procedure and reception should be seen not only in the light of the situations giving rise to an application for international protection, but also in the light of its follow-up. For some time now, the General Court has published a report on return policy. That left nothing to be desired. The recent heated political discussions in the Netherlands show the rebuke of this theme, which is still unchanged. How should we see the cumulation of the present amendments to the directives in the light of the difficulties in implementing the return policy? What are the biggest bottlenecks? How does the cabinet intend to take it away from a realistic point of view? Can the Secretary of State explain how the cabinet has acted in the discussion on the content of the directives before us? The idea might be expressed that my group is using the implementation of these guidelines for a broader political discussion, but that is not the intention. My group also considers it important, from the point of view of the task of the First Chamber, not only to look at the technique of implementation, but also, where necessary, to form an opinion on the significance of a proposal in the context of the reality in which it must function. It is so far removed from the major issues facing the EU that it is appropriate to consider them. In more administrative legal terms: what route does the Secretary of State see for himself that we prevent ourselves from implementing at national level changes that are years after and which may no longer be the answer to today's questions? Then I come to the directives and their implementation itself. My group's questions focus on two aspects: the so-called ex-nunc review by the judge and the switch to the so-called integral credibility assessment by the board. First of all, I come to the ex-nunc review. In response to questions raised by my group and by other groups about their consequences for Dutch implementation practice and legal practice, the Secretary of State more than once indicates the starting point of the directives. It should be noted that the Secretary of State then formulates the consequences very conditionally, more as a hope than as a certainty. For example, he states that the starting point of the bill is that ex-nunc research should "not lead to longer judicial proceedings" and later that the "point of departure" is that the lead times are "in principle not adversely affected by the bill." What does this mean? Will the government, when the lead times are longer, facilitate the courts financially, for example, or take longer lead times for granted? What is the role of legal decision-makers in this? What are the advantages of an ex-nunc assessment in the eyes of the State Secretary over an ex-tunc assessment? Does this ex-nunc assessment have an intrinsic meaning or is it merely a harmonisation, which is simply linked to what is most common in the EU Member States? Does my group see it right that the Secretary of State states that ex-nunc assessment means that the decision of the IND, including the so-called credibility assessment, is fully reviewed and not marginal? Can my group also see that this means that the judge must give his own opinion on the facts, the credibility and the so-called need for protection? In our view, this requires a substantial own investigation. What does it mean, in concrete terms, that the judge does not judge the grounds for asylum? Can the Secretary of State explain again what exactly is the difference between the current and the comprehensive credibility assessment? My group awaits with interest the answers of the Secretary of State, both on the context of the proposal and on the more technical content of the legislative proposal itself.
ParlaMint-NL_2015-07-07-eerstekamer-8.u3	I call Mrs Stienen. She's making her maiden speech. So now I'm going to press the bell too.
ParlaMint-NL_2015-07-07-eerstekamer-8.u4	Mr. Chairman. It is an honor to have my maiden speech in this Chamber today on the implementation of the Reception and Procedure Directive in the Dutch Aliens Act. This subject reminds me of my time as a human rights diplomat at the Dutch embassies in Cairo and Damascus. I was also responsible for the immigration and asylum files at the time. I have seen that in the migration dossier there is always an interaction between the "push factors" and the "pull factors": forces that make people want to leave their country and forces that make people want to go to a particular country. That's not new. Migration is of all times. Also in our own national history there were moments, think of the years after the Second World War, that compatriots would give anything to find a better, safe place in Canada or Australia for example. In the Arab region, many people have a well-founded fear of persecution by their governments or many people cannot find protection if they are persecuted by other groups. At the time, when I was working at these embassies, it was the dictator Saddam Hussein, the sanctions against Iraq and the war in Iraq that forced millions of Iraqis to leave their country. By the way, it was then that Syria provided a large proportion of those Iraqi refugees with relatively safe accommodation, alongside the hundreds of thousands of Palestinian refugees who had already received it. How cynical it is that today millions of Syrians themselves have to flee from a war that seems to be coming to an end and that many gates outside the region remain closed to them. During my work at the embassies, I have also been able to observe how smugglers knew exactly what the loopholes in our laws and regulations are to provide potential refugees with a ready-made asylum story. They also knew and know very well the importance the Dutch Government attaches to the presentation of documents by asylum seekers as proof of identity, persecution or family relations. At the time, the markets in Damascus and Baghdad found perfect forgeries of all the necessary documents, such as identity cards, arrest warrants and family books. Smugglers were only too willing to arrange that for a lot of money for the people who wanted to flee. In doing so, they often forced people to make high debts in order to pay for their journey to Europe, allowing these smugglers to control their so-called "customers" for years. This criminal "firm ruse and deception" sells fake dreams to people in search of a better future. Dreams about security and safeguarding prosecution, but also about easy access to employment and social services in Europe, preferably in countries such as the Netherlands, Sweden or Germany. These smugglers know our legislation through and through and will use the loopholes in our law to better serve their "customers" for even more money. But they will not care about international law when it comes to protecting these refugees. They are not awake when the dreams of their "customers" end in the deep waters of the Mediterranean. Also in the bill we are discussing today, documents still play an important role in assessing the credibility of the asylum seeker's story. This brings me to my group's first question following Article 30b (1) (c) and 1d of the new law on the manifestly unfounded declaration of application for a fixed-term residence permit on the basis of the presentation of false documents or the withholding of relevant documents. In the reply of 22 June last, the Secretary of State says that it is of course not bad faith of a stranger if he has lost those documents on the charge of a smuggler of human beings or has not asked for relevant documents back. However, the Secretary of State writes in the same paragraph: "This may be different if, for example, the asylum seeker's statements show that he also did not attempt to get these documents back because he wanted to get in a better position." I ask the Secretary of State whether it is logical that foreigners should do everything people smugglers ask for, precisely because they are in a vulnerable and dependent position. Moreover, they have heard from those smugglers that they should not have confidence in the officials of the Dutch government. Very often these refugees come from countries where there is indeed good reason not to have confidence in the government. These people arrive, are heard and are in a situation that if you are a political refugee, reminiscent of cells, prisons and police stations, where you are questioned in a less friendly way than by the IND. The question is whether they will at such a time admit what they have done with the documents. On what basis, according to the Secretary of State IND Hearing Officers, do they distinguish between the lack of documents between, on the one hand, a conscious obstruction of the hearing by the stranger and, on the other hand, pure body retention or fear of repercussions for family members in the country of origin? The D66 Group supports all measures that help to ensure a just, humane and rigorous handling of asylum matters within Europe. My group also recognises that there are limits to our ability to accept asylum seekers. However, we would like to say that the Netherlands is a welcoming country in which people seeking refuge can count on legal certainty and legal protection in the handling of their asylum applications and the way in which they are received by the Dutch State during this treatment. That is why the D66 Group welcomes this bill to lay down these two European directives on asylum procedures and asylum reception in the Dutch Aliens Act. We therefore see this as further harmonisation of national legislation with international and European law. My group is looking forward to the State Secretary's assessment of what this means for the Common European Asylum System. My group would like to thank the Secretary of State for his comprehensive answer to the questions put by our and other groups in this Chamber in the reply of 22 June. and the note following the report of 3 July. However, I still have a number of questions about the border procedure, the relationship between the administration and the judge in the assessment of credibility and possible consequences for current cases. The D66 Group understands that the Secretary of State wishes to ensure that the four-week period set out in the Procedural Directive is not exceeded for border detention of persons entering the border procedure. In what cases does the Secretary of State foresee that asylum seekers will still be able to enter the closed extended asylum procedure after those four weeks? What criteria does he use to ensure that vulnerable persons and children do not enter the border procedure or are as short as possible? Who considers the Secretary of State to be vulnerable persons to whom this border procedure does not apply? My next question concerns the relationship between the administration and the judge and the full credibility assessment. A lot of questions have been asked by all the political groups about the interpretation of the meaning of "integral credibility assessment" and "a full and ex-nunc investigation by the judge." The Secretary of State has repeatedly stated in his answers that there is not a new policy but a different, more insightful way of justifying the judgement of faith. My group believes that, despite this statement by the Secretary of State, there is still a lack of clarity as to the scope for the courts to review the decision of the administrative body in the light of new facts and new asylum motives. In the letter of reply dated 3 July last. The Secretary of State writes about the full and ex-nunc investigation: "In future, in terms of credibility, the board will always have to give convincing and consistent reasons for how it has come to its opinion, which may make judicial review less restrictive." This phrase raises a number of questions in order to better understand what the Secretary of State means here. First of all, I have a few questions about the board. How should the administration justify a judgment on an asylum application differently than before after the implementation of the Procedural Directive? What is the difference, according to the Secretary of State, between no longer being allowed to apply the positive power of persuasion, the so-called POK, and the full credibility assessment of asylum applications? I also have a number of questions about the role of the judge. What does the Secretary of State mean in this quotation, but also in other places with "less cautious review" by the judge? What scope will the judge have after the entry into force of the law that was not there before? In the event that the court finds that the board has not sufficiently convincingly substantiated the rejection of an asylum application by a consistent statement of reasons, what scope does the court itself have for making an independent judgment on the asylum application or the appeal case? In addition, my group would like to know the impact of the implementation of the above-mentioned Reception and Procedure Directive on the working methods of IND staff at first hearing and additional hearing. A work instruction for the IND (work instruction 2014/10) has been in place since 1 January 2015 which takes into account the implementation of the above-mentioned Reception and Procedure Directive. Can the Secretary of State indicate how this instruction is or will be adapted on the basis of the assumption that the board will "from now on always have to be convincing and consistent in motivating how it has come to its opinion"? My third point concerns current cases. From the documents before us, the D66 Group has not made it clear what the implementation of the Reception and Procedure Directive means for pending appeals. That is why my group would like an explanation from the Secretary of State on this point. Is there indeed a case in progress which is now falling between ship and ship, and if so, is transitional law applied in these cases? I'm rounding up. As has already been said, my group welcomes this proposal. I look forward to the Secretary of State's answers.
ParlaMint-NL_2015-07-07-eerstekamer-8.u5	Congratulations on your maiden speech, Mrs Stienen. A month ago you were sworn in as a member of this Chamber, where you are a member of the Committee on Foreign Affairs, Defence and Development Cooperation, the Committee on European Affairs, the Committee on Immigration & Asylum/JHA Council and the Committee on Infrastructure, Environment and Spatial Planning. From 1984 to 1990 you studied Arabic languages and cultures at the University of Leiden. Then you studied Near and Middle East Studies in London at the School of Oriental and African Studies. After completing the diplomat class, you worked as the second secretary at the Dutch Embassy in Cairo from 1995 to 1999 in the field of development cooperation, culture and human rights. From there, you moved to Damascus, where you were the first Secretary of State to deal with asylum policy and human rights. In 2004 you returned to the Ministry in The Hague, where you became senior policy officer in the gender department and later Deputy Head of the North America Department. From August 2009 to December 2010 you worked as a senior social development advisor at BMC Groep. Since spring 2011, you have been a publicist and independent professional in the fields of participation, leadership and inclusiveness. You have published several books, both about your birthplace Roermond and about the Arab world. Roermond Remunj for connoisseurs; the Warrior knows exactly how to pronounce it.. is by the way a city that has already produced several senators of different political colors before you. The Arab world, as we know, has been increasingly exposed in recent years, particularly since the outbreak of a wave of uprisings, protests and revolutions in December 2010. For your regular performances as a commentator in news programs during the Arab Spring, you received the Woman in the Media Award in 2012. Your motivation for these performances was to make people look differently at the Arab world and remove prejudices. That you are a popular subject for the media also works in favour of the Chamber. So you said in Trouw this month that in the First Chamber the wisdom of the whole of the Netherlands is together.
ParlaMint-NL_2015-07-07-eerstekamer-8.u6	As of today, you are officially part of that wisdom. We assume that your social, diplomatic and political experience will provide you with an interesting further contribution to the work of the Chamber and wish you every success. I shall suspend the sitting to allow colleagues to congratulate you on your maiden speech. The first one you congratulate is me.
ParlaMint-NL_2015-07-07-eerstekamer-8.u7	First of all, congratulations to Mrs Stienen. From the roaring on the benches of the entire Chamber she has already been able to deduce that her maiden speech tastes even more! Mr. Chairman. I believe that there is almost no other law in the Netherlands that we change as frequently as the Foreigners Act 2000. This time it is legislation that aims to transpose two EU directives into national law. These are the revised EU Procedure Directive and the also revised EU Reception Directive, which are issues that fall within the scope of the European Union's common immigration and asylum policy, which my group has always supported. This effort towards a common and harmonised policy in the field of asylum has, in my group's view, become more relevant as a result of the dramatic events involving refugee flows through the Mediterranean. After this legislative proposal, too, we consider that a more far-reaching common European approach and, therefore, further harmonisation of asylum legislation is highly desirable. Careful and efficient treatment of asylum applications and decent reception for asylum seekers should be the cornerstones of this policy. In addition to further practical cooperation between Member States on many concrete issues, this wave of refugees and migrants wishing to come to Europe may require a new phase in the development of the Common European Asylum System (CEAS). That would be the third phase after "Amsterdam" and "Lisbon." The PvdA Group would like to receive a response from the Secretary of State in which he states whether he sees it as such or looks at it differently. The European Agenda on Migration and thus the further development of the Common Asylum System are issues that will undoubtedly play a major role and will require a great deal of attention during the Dutch Presidency of the European Union. More specifically, on the legislative proposal, I would like to raise briefly three issues. The first issue is border detention. Several groups, including those of the Labour Party, have expressed concerns about the almost automatic border detention of asylum seekers upon entry into the Netherlands at the external border in the written preparation of this bill. The College of Human Rights has also rightly pointed out to us that immediate deprivation of liberty is an ultimatum remedium and should never be a standard procedure. This is also the result of paragraphs 8 and 15 of the preamble to the revised Reception Directive. It stipulates that a foreigner may be detained only if this is necessary and considered as lighter alternatives. At first glance, the virtually automatic detention of asylum seekers upon entry into the Netherlands seems to be in conflict with this. Of course, we support the government in the objective of effective border surveillance, but the question arises as to whether the automatic imposition of border detention fulfils the criterion of necessity. If necessary, can the Secretary of State confirm that detention will be as short as possible at all times and will not last longer than is strictly necessary? Now the bill merely states that detention will last up to four weeks, but not that the deadline should be as short as possible. I ask the Secretary of State how he intends to prevent this four-week detention period from becoming common practice, rather than merely the minimum period necessary for the examination of the identity and background of the asylum seeker, which may in many cases be shorter. We are also looking forward to the forthcoming bill of return and detention, in which, according to the Secretary of State himself, alternatives to foreign detention are also discussed. We hope that the solutions put forward by the Secretary of State will reduce as much as possible the necessity and duration of border detention. My second topic concerns medical research. Article 18 of the revised Asylum Procedure Directive provides that, if the IND does not order a medical examination, the applicant may have such an examination carried out at his own expense. However, many asylum seekers will not have the financial means to do so. For this reason, we welcome the support which, inter alia, Amnesty International organises where appropriate. In the written procedure with the First Chamber, the Secretary of State has already promised to reimburse the costs if the outcome of the medical examination financed by the applicant or by third parties is the reason to grant the application at first instance. We welcome this commitment, but we still have two concerns in this regard. Firstly, acceptance is usually not justified and may be based on various facts or documents which may not have contributed individually but in combination to the acceptance. Will the Secretary of State undertake that he is willing to have the IND reimburse the costs of the medical examination in all cases if the outcome of a medical examination, perhaps among other factors, has contributed to the decision to comply? Secondly, there is a problem with subsequent asylum applications. In practice, asylum applications are often accepted in such a procedure, because asylum seekers often do not feel free at first instance to express themselves about their medical suffering, for example as a result of torture or trauma. If later medical examination is the objective basis for granting a residence permit, would it not make sense to exclude those medical costs of reimbursement by the IND? The Secretary of State himself states in the note on the basis of the report that the Administrative Court Division also considers it possible for medical reports to show that a foreigner was not at all able to make a statement on the event or circumstance in question at the time of the first procedure. Is the Secretary of State prepared to look at this again and possibly adjust his policy in that respect? Or should I read the Secretary of State's reply in such a way that he has actually done so by pointing out what he calls "an absolute minimum limit"? He added rather vaguely: "in the case of special facts and circumstances relating to the individual case, there may be a need not to contradict formal rules." Do I read it that well? My third and final point is the judicial review. Article 46 (3) of the Procedural Directive requires the Netherlands to make a number of changes to the current national system of legal protection within the meaning of the obligation to carry out a full review and an ex-nunc examination of both the facts and the legal grounds in judicial review at first instance. Our group considers this as an improvement in the legal protection of asylum seekers. Does the Secretary of State expect these enhanced quality criteria to give rise to longer judicial proceedings? If so, how does this relate to the efforts made by these directives to speed up decision-making procedures? In the note following the report, the State Secretary states that the full credibility assessment set out in the legislative proposal is essentially not different from the current practice of the positive-confidence test. According to him, there is only another, more insightful way of explaining the credibility assessment. Our question is whether an interpretation of the words 'integral' and 'ex nunc' in their common sense does not mean that new asylum motives, for example, after entering the country of asylum, can also be taken into account in the judicial assessment? In short, on what grounds could new asylum motives not already be included in the ex-nunc test by the judge? We share the Secretary of State's ambition to meet the deadline set by the European Commission for this implementation legislation. We look forward to the answers of the Secretary of State to our questions concerning the three points of border detention, medical examination and judicial assessment.
ParlaMint-NL_2015-07-07-eerstekamer-8.u8	Mrs Van Weerdenburg has the floor for her maiden speech. I'm gonna ring the bell.
ParlaMint-NL_2015-07-07-eerstekamer-8.u9	First, I would like to congratulate Mrs. Stienen from this place on her maiden speech. Mr. Chairman. The price of freedom is eternal vigilance. That's what Thomas Jefferson, the third president of the United States, said. This is a quote that everyone should take to heart, because today freedom is slipping through our fingers more and more rapidly through the advancing Islamization, a European superstate that is taking away more and more sovereignty and the still suffocating politically correct morale that the Dutch citizen is holding hostage. I've been a close associate of Geert Wilders for three and a half years. The most important thing I learned from him is this: despite difficult circumstances, we must continue to fight for our freedom, because that is our most precious asset. You don't realize that until you've lost it. In the meantime, there are several PVVs who, under serious personal threat, defend freedom and democracy. From this place I want to say to them: you are heroes; hold on, be brave. I won't let you down. We stand shoulder to shoulder and together we will eventually turn the tide. Today we are discussing the implementation of the Reception and Procedure Directive. And that feels double. It feels like we're painting the walls of a house that's on fire. Because there is an invasion going on, not of the Russians, but of chanceless lucky seekers who are massively crossing the road in shady boats from North Africa. Giant sums of money are paid to shameless smugglers who overcrowd boats. The coastguard of the European countries can hardly cope with the number of rescue operations. Last week, the United Nations Refugee Organisation, UNHCR, announced that 137,000 refugees have reached Europe by sea in the last six months. That is 83% more than last year in the same period. Moreover, the Islamic State has announced that their jihadis have mixed themselves with the refugees on the boats and there are indications that some of these terrorists are already on our continent unhindered. The Italian prosecutor made the cautious assessment that there are now one million people on the coast of Libya to make the short-term crossing to Europe. One million. Why don't you let that number take it easy on you? One million. When my six-year-old niece got this message through the Journal, she ditched her arms in the air and yelled at her mother: "But Mom! You can't do that, can you? There are so many people here already, it's already so full here!" Young children often see things very clearly; they do not suffer from colonial guilt and they have not yet been brainwashed with politically correct multicultipropaganda. If not the esteemed colleagues on the left side of the political spectrum. As soon as it's about lucky seekers from Africa, they're acutely losing their rational ability to think, as far as they have it. In April, during a debate in the House of Representatives, my party was even accused of being "a danger to humanity"; a scandalous and also dangerous accusation. This is because we are calling for the reception of refugees in the region and for the immediate return of all migrants crossing the border to Europe. A proposal that can also count on broad support from the Dutch people! A poll by EenVandaag shows that two thirds of citizens think the Netherlands is too full and prefers shelter in the region. Let me also make it quite clear in this Chamber: we of the PVV also find it terrible when people drown. Every lost life is one too many. That's why we need to make sure they don't get on those crummy boats anymore. Let them know in advance that they will not have access to Europe and the power will dry itself. The PVV is a supporter of Australian push-back policy. That policy means that the Australian Coast Guard is pushing all boats with migrants back to where they come from. All of them, without exception. And if the boats in which the migrants are insecure, they get safe boats from the Australian Coast Guard, with clean drinking water, air conditioning and life jackets on board. But back they go. Without exception. And, Mr. Chairman, that policy works. Meanwhile, the flow of migrants trying to reach Australia has dried up. That means that no more people are drowning, now that they no longer have the false hope that they can start a new life in Australia and that they will not even get on those boats anymore! That is the solution to the problem. The people who get into these crummy boats on the coast of North Africa, some of them facing drowning death, do so because they have the hope of starting a new life in Europe. This hope is fueled by the fact that so many of them have already managed to reach the coast of Europe. They are picked up by the Western Coast Guards and as a kind of taxi service the migrants are taken to Europe. That policy must stop immediately. We cannot cope with this huge influx in Europe. We simply can't handle it. Send them back. Clear. Thanks to the current government under the leadership of the VVD, the asylum influx has increased enormously. In 2014, there was even a doubling of the number of first asylum applications compared to the year before. And every asylum seeker costs the Dutch taxpayer more than €36,000 per year. That's almost the triple of what an AOWer gets. That's, to stay in PVV terms, crazy. Over and over again, this cabinet proves that it prefers to stand up for the rest of the world. That it would rather do what the European Union wants than stand up for its own citizens, for its own elderly. The PVV Group once again calls on the cabinet: rather spend that money here. To our own elders. To the people who built this country. To the people who chose us. And stop thinking that we are responsible for the problems in the rest of the world, that we should solve the problems in Africa and that we should take care of all the pathetic poor people from the rest of the world. Stop it. Cut the asylum crazy. Enough is enough.
ParlaMint-NL_2015-07-07-eerstekamer-8.u10	Thank you, Mrs Van Weerdenburg. Congratulations on your maiden speech. As you have just heard, it is customary in the First Chamber for Members of Parliament who have made their maiden speech to be given a brief outline of their background. From you I can mention that you have studied law in Amsterdam and have been a policy officer for a number of years of the chairman of the PVV Group in the Lower House. Since 22 June 2015, you have held this position again. We've done everything we can to find out more about you, but we haven't succeeded. Ironically, in the few public information available about you, there is so little to find about you. Of course, it is your right not to want everything out in the open, and I assume that you would like to keep it that way. I would like to say that we wish you every success in your further contribution to the work of the Chamber and that we hope that at the end of this parliamentary term we will have got to know you better. I shall suspend the sitting to give the House the opportunity to congratulate you on your maiden speech, but as I said, I shall do it first.
ParlaMint-NL_2015-07-07-eerstekamer-8.u11	I give the floor to Mrs Duthler.
