ParlaMint-NL_2015-09-03-tweedekamer-8.u1	There have been ten speakers for this VAO, so we are busy for a while.
ParlaMint-NL_2015-09-03-tweedekamer-8.u2	Mr. Chairman. I'll file my three motions immediately. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas volatile and low milk prices are problematic for many dairy farmers;]] [[Whereas the Market Responsibility Programme of the European Milk Board has a ready-made plan to achieve production control using the root and stick;]] [[Whereas this builds on the existing European Milk Market Observatory;]] [[calls on the Government, at the forthcoming Agriculture and Fisheries Council, to promote the rapid implementation of this programme,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas important decisions should be taken on the future of dairy farming and a proportionate distribution of stakeholders is crucial;]] [[calls on the Government to allow land-based dairy farmers to be adequately represented in the Regiegroep Phosphate en Melkveehouder via the Network Grondig,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas virtually the entire animal sector is in crisis due to various causes, this further degrades the image of the sector and is and will remain scarce in the Netherlands;]] [[calls on the government, from now on, to consistently steer a shift from quantity to quality of production,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-853]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-854]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-855]]
ParlaMint-NL_2015-09-03-tweedekamer-8.u3	Mr. Chairman. I, too, immediately proceed to read out my motions. I'll serve two. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a crisis in Dutch pig farming as a result of cost increases and that there are fewer markets available;]] [[noting that, as a result of additional national policies, the cost of production for Dutch pig farmers is €0,19 per kilogram carcass weight higher than for their European colleagues;]] [[Whereas cost-enhancing measures lead to an increase in scale and the loss of family farms;]] [[calls on the Government to draw up an inventory of the cost increases that can be removed or reversed in the short term in order to create a level playing field and enable family businesses to continue to undertake;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that in South-Eastern Europe, resources from the second pillar of the Common Agricultural Policy (CAP) are used to increase production in different sectors;]] [[Whereas there is an uneven playing field vis-à-vis farmers in North-West Europe and specifically vis-à-vis farmers in the Netherlands;]] [[calls on the Government to identify how the use of resources from the second pillar of the CAP is being completed by the various European Member States, with a specific and quantified approach to the use of these resources to increase production in different sectors and to the market distortion of such spending,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders, Mr Geurts and Mr Dijkgraaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-856]] [[This motion has been proposed by Mr Lodders, Mr Dijkgraaf and Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-857]]
ParlaMint-NL_2015-09-03-tweedekamer-8.u4	Mr. Chairman. I'm filing three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Netherlands has chosen to charge a fee for official controls and the rates for both slaughter and live animals have increased significantly in recent years;]] [[Whereas in other Member States the cost to industry is significantly lower;]] [[calls on the Government, within the framework of a European level playing field and reduction of charges, to lower the rates of NVWA so that family businesses can continue to engage,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[invites the Government to allow the inspection of the premises in accordance with the applicable standards by 1 October 2015 at the latest,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-858]] [[This motion has been proposed by Mr Geurts, Mr Lodders and Mr Dijkgraaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-859]]
ParlaMint-NL_2015-09-03-tweedekamer-8.u5	My third motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a very important objective of the European Union is a common market;]] [[Whereas the common agricultural policy is based on and ensures a common market;]] [[Whereas Member States are now introducing national measures to deal with the crisis in the agricultural sector;]] [[calls on the government to call on the Commissioner for Agriculture to take joint action rather than national action;]] [[calls on the government also to steer European policies towards strengthening agricultural policy by, inter alia, strengthening cooperation between farmers, providing additional means of promotion and extending competition law,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Geurts, Mr Dijkgraaf and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-860]]
ParlaMint-NL_2015-09-03-tweedekamer-8.u6	I have a question about Mr Geurts' first motion. This concerns a reduction in the rates of NVWA. It may be me, but I missed a cover. How is this motion covered?
ParlaMint-NL_2015-09-03-tweedekamer-8.u7	I've been thinking about that. It is not unusual in this house to do it this way on important subjects. Look at defense. A motion has also been tabled with regard to defence, including by Mrs Lodder's party, which was not yet covered at the time. We're coming up with a budget soon. I cannot now deliver an amendment with cover. If the motion is passed, I hope we can get the Cabinet out of here. Otherwise, I will look at how I am going to deal with the budget.
ParlaMint-NL_2015-09-03-tweedekamer-8.u8	My question is exactly the same. To be honest, I haven't heard an answer yet. There's a motion here. We've got to get the rates down. We discussed this at length this afternoon. I understand it all very well, but there has to be a cover proposal. Otherwise we cannot support the motion.
ParlaMint-NL_2015-09-03-tweedekamer-8.u9	Actually, that's the same answer. I'll only tell Mrs Dik-Faber in a slightly different way. Her group also participated in a motion on defence, without a proposal for cover at the time of submission. You couldn't have. I can't deliver that now either. This is very important. It is one of the few things we can do for our own agricultural sector at the moment. The Secretary of State mentioned fair politics this afternoon. I have indicated that I would like to draw a line on this. This is what we can do. I believe that action should be taken at the moment to help our family farms in the agricultural sector, in pig farming, in this way. I have another question that has not been answered this afternoon in the crowds. At least I didn't hear the answer. I asked if the Secretary of State is prepared to argue in Brussels for the earlier payment of income allowances. Can she give us an answer to that?
ParlaMint-NL_2015-09-03-tweedekamer-8.u10	That was an open question this afternoon. I give the floor to Mrs Dik-Faber. Mr Graus said that he did not want to speak.
ParlaMint-NL_2015-09-03-tweedekamer-8.u11	Mr. Chairman. I have a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the German Initiative Tierwohl pig farmers who introduce additional animal welfare measures receive direct compensation for this;]] [[Whereas this ensures that pig farmers have the assurance that additional sustainability efforts will be rewarded and that there is an incentive for further sustainability;]] [[noting that the German competition authority approved the initiative;]] [[Calls on the Government to examine the German initiative, to request an opinion from the ACM and to discuss the potential of the initiative in the administrative consultation on the pig sector;]] [[also invites the Government, in consultation with other Member States, to explore ways of reconciling sustainability initiatives in livestock farming,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-861]]
ParlaMint-NL_2015-09-03-tweedekamer-8.u12	Then I give the floor to Mrs Koşer Kaya of D66. Mrs Koşer Kaya, if I am not mistaken, it is the first time you have spoken in plenary again after your installation.
ParlaMint-NL_2015-09-03-tweedekamer-8.u13	Mrs. Ouwehand was first, I think.
ParlaMint-NL_2015-09-03-tweedekamer-8.u14	Excuse me, I was really fast. But Mrs Ouwehand does not find it a problem that we do it the other way around. Apologies, Mrs. Ouwehand.
ParlaMint-NL_2015-09-03-tweedekamer-8.u15	Mr. Chairman. Sustainability, innovation and chain transparency are the ways in which we can move forward with our farmers and our agricultural sector and improve quality. A commitment has already been made on chain transparency, so I will not table a motion on that. I do that about innovation and sustainability. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that a document of the Luxembourg Presidency for the Additional Agriculture and Fisheries Council of 7 September 2015 identified as a possible measure the financing of modernisation of agricultural holdings from EFSI funds;]] [[Whereas the European Fund for Strategic Investments should not focus primarily on agriculture and should, in particular, promote innovation;]] [[calls on the Government not to agree to such a measure, unless grants from that fund explicitly lead to innovative sustainability and sustainability of the sector,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Koşer Kaya and Mr Grashoff. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-862]]
ParlaMint-NL_2015-09-03-tweedekamer-8.u16	For me, the following is essential for the assessment of whether or not I will support the motion. Does what you ask apply to all European countries? How is this explicitly recorded? It cannot be the case that we are only pursuing your objective in the Netherlands, while other countries in Europe are working to distort the market.
ParlaMint-NL_2015-09-03-tweedekamer-8.u17	For a level playing field, it is of course important that the other European countries also comply with it. I assume this will be the Secretary of State's commitment.
ParlaMint-NL_2015-09-03-tweedekamer-8.u18	Then I would like to ask the Secretary of State if she wishes to comment explicitly on this in her reply, so that we have a guarantee that other countries will not be able to use it differently.
ParlaMint-NL_2015-09-03-tweedekamer-8.u19	Mr. Chairman. It's a crisis in the pig sector. That's not new. The only difference is that we now perhaps see a little better for ourselves that the situation is acute and that we can no longer ignore the problems. The Secretary of State has said that a reduction in the pig population is inevitable, both Dutch and European. She deserves a compliment for this, because her predecessors have so far only looked away from the problems and directed towards bulk production, while bulk production is not a earning model. The Party for Animals does think that, if you admit that shrinkage is inevitable, you have to do something about it. We are happy to support her with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to commit itself to shrinking the European pig population.]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-32-863]]
