ParlaMint-NL_2015-12-22-eerstekamer-3.u1	I would like to welcome the Minister of Economic Affairs to the First Chamber.
ParlaMint-NL_2015-12-22-eerstekamer-3.u2	Mr. Chairman. In less than a month's time, the expression "after Paris" has acquired a dual meaning. That expression initially referred primarily to the horrific explosion of terrorist violence in the French capital on 13 November, but since 12 December it has also referred to the groundbreaking agreements on climate and sustainability. So destruction and hope in one city are very close together. The legislative proposal we are discussing today contains provisions on the offshore grid which are of great importance in securing the Dutch contribution to the sustainability of energy production, as far as wind energy is concerned at sea. In this sense, we are already working 14 days after Paris on legislation that will contribute to the realisation of the ambitions of the elaboration of the Paris agreements. We have not yet finished discussing the locations of the wind farms with the Minister, but the need for the net at sea, as stated in the present proposal, is not a point of discussion for the CDA Group. We support those elements of the law. Moreover, I would like to hear from the Minister what is really the critical timetable in this dossier. The Minister would prefer to see the law accepted today. I understand that, but I also understand that only on 31 March 2016 will the tenders close for the realization of the first wind farm, namely Borssele. In that context, I believe that the deadline would be acceptable at the beginning of March, especially if the prospect of regulating the network at sea became clear quickly. I'd like to hear a response from the Minister. I fell into the house in terms of content, because at the start of my speech I wanted to highlight how the CDA Group thinks about wind at sea and the sustainability agenda. But there's more to the law. I will make a few comments on decentralised power generation and wiring, after which I will consider in detail what my group considers to be the biggest stumbling block in this law, namely the enforcement of the group ban. This brings me to the question of why the government has chosen to deal with these issues in a single law. Why, for example, was the net at sea not included in the legislation on wind energy at sea? The government has chosen to present us with a package of legislation with very different parts. Whether or not she was wise enough to present such an incoherent whole in some sense, today must prove to be the case. The legislative proposal also aims to simplify and harmonise the provisions of the current Electricity and Gas Act. We have no problem with large parts of this harmonisation. The same applies to the rules on small-scale decentralised renewable energy generation. This form of energy generation is, or becomes, of great importance for a sustainable energy economy. The law provides a number of facilities on this point, and the CDA Group is satisfied with the clarification we have received in this respect. Then the subject of wiring, the grounding of high voltage cables. That's gonna raise some questions. We are talking, in a way, about a strange situation. According to the government, cabling is not really necessary, as there are no known health risks associated with living under or in the immediate vicinity of high voltage cables. Nevertheless, the government considers it necessary to regulate wiring and, in particular, cost-sharing through this law. Why is that? To avoid social unrest? What's the government's motive for wiring? Initially, the Minister wanted to determine that a municipality where wiring takes place should pay 25% of the cost. On the basis of the Vos/Mulder amendment in the House of Representatives, a contribution towards carrying capacity has been replaced. That seems to us to be a first improvement. We also consider it reasonable for the municipality to contribute, in proportion to its capacity and taking into account the size, complexity and costs of the wiring project in a municipality, the book value and planned replacement costs with the network operator. All this should be taken into account in determining the contribution of a municipality, because it does not have to stand up for costs that the network operator would still incur. I assume that this capacity of a municipality can be determined according to an objective formula, for example in relation to the distribution from the Municipal Fund or parts of it, at the time when a municipality decides to cable. With this method, local government is forced to carefully consider the usefulness and necessity of the project. A municipality therefore knows what amount to contribute if it agrees to a wiring project. This seems to me to be a neat and manageable method for municipalities. However, as we understand it, the Minister still wants municipalities together to pay 25% of the cost. I'd like to hear from the Minister if that's right. Because if that is the case, we find that strange and not really defendable. This would mean that as a municipality you only know afterwards, when all wiring projects and their costs are known, what the relative share of your project is in the total cost, what amount your carrying capacity is ultimately calculated and what amount you are supposed to contribute. That is impossible for a municipality to use or accept in budgetary terms, and that probably means that there are not many projects. However, the national authorities cannot and should not, in our view, prescribe such a method, especially at a time when the financial potential of municipalities as a result of large decentralisation operations is already under considerable pressure. I'd like to hear a response from the Minister. We do have problems with the group ban and we do have serious problems with it. Before I go into that further, I would like to point out that we understand that the ACM has already started to maintain in several ways. Now the ACM is independent, but you can expect some political awareness. In any case, it is not very chic to start this enforcement literally in parallel with the debate in this Chamber. Enforcement concerns more than just the group ban, including, for example, charging posts for electric motor vehicles, there seems to be enforcement problems. In all of this, the ACM prescribes deadlines, which I am told by those involved that they are completely unrealistic. Perhaps the Minister would like the ACM to be friendly again because that is how you are going to ask an independent supervisor to take another critical look at the deadlines in conversation with those involved. The group ban we are talking about today was incorporated into Dutch legislation through the Independent Network Management Act in 2008 in order to develop European legislation. In doing so, the Netherlands has opted for the furthest form of transposition of the European rules, namely through ownership unbundling. Two less far-reaching possibilities, namely the independent system or the independent transmission operator, have not been chosen. The then Minister of EZ's expectation was that other European countries would follow this path, thus creating a level playing field at European level in a liberalised energy market. At the time, there were signs in both the European Parliament and, among other things, in this Chamber that other European countries would not follow the Netherlands. When the Law on independent grid management was discussed in this Chamber, there were serious objections, as witnessed by the Doek-Sylvester motion which was adopted at that time. Those objections have remained, in society, in some energy companies and also in Parliament, especially with our group. If we look at the context in which we are looking at the provisions again today, at least three things have changed. Firstly, it appears that no European country has so far followed us in the far-reaching step: there is no question of a level playing field at European level, as the government expected at the time. Secondly, we believe that the necessary additional legislation and regulations have made a strong and adequate guarantee that networks and network management are not neglected or otherwise threatened if other parts of an integrated company include other activities, including production and distribution. For the record, such a company can only be a government-owned company with reliable shareholders. I assume that the Minister also has confidence in these shareholders, who also own infrastructure and distribution system management companies. Maybe he wants to confirm that trust again today. Thirdly, thinking about the division of companies into our society has changed. The conclusions of the parliamentary committee on self-determination have contributed to this to a considerable extent. In short, we believe that a review of the ban on groups is appropriate. We consider it very important that the Netherlands now has two integrated companies. One of them, DELTA, is very important for employment in the province of Zeeland. Friend and enemy agree that the company has no perspective on independent survival after split. If we hadn't thought of that ourselves, the countless e-mails from the company's employees have brought that to our attention once again. When a company disappears because of economic circumstances, that is sad, but sometimes inevitable. However, it raises serious concerns in my group about ending a company by means of government legislation.
ParlaMint-NL_2015-12-22-eerstekamer-3.u3	I would like to ask Mr Flierman a question. We have been given a lot of information on this in recent weeks and have been able to think about it. A question has not yet been answered for me, but I'm sure Mr Flierman can do it himself. How does he stand up to the farms which are already divided if the division could be reversed?
ParlaMint-NL_2015-12-22-eerstekamer-3.u4	I shall come back to that in detail in the course of my speech. I hope Mrs Huijbregts will wait for my answer.
ParlaMint-NL_2015-12-22-eerstekamer-3.u5	That's not my strong suit, but I'll hold.
ParlaMint-NL_2015-12-22-eerstekamer-3.u6	Patience is a good thing, even in this house, Mrs. Huijbregts. As I said, the government's forced termination of a business raises serious objections to my group. For Eneco, therefore, the company is ready to make large investments in sustainability, which are no longer relevant in the event of forced division. The CDA Group wonders whether the Netherlands should want to split up its last large energy company if the rest of Europe does not. We now have the know-how that belongs to such a company, the ownership is in Dutch government hands and there is the willingness to invest in the Netherlands, even if this may be less profitable. Government shareholders also value non-financial proceeds. If you have to go to Essen or Stockholm for investment in sustainability, where you always ask yourself where the euro invested is most profitable in Europe, we really have a different situation. Investments in sustainability in the Netherlands then simply compete with other investments, possibly also in other activities. This way of doing things is literally outlined to me by one of the people from a daughter of an undivided foreign parent company.
ParlaMint-NL_2015-12-22-eerstekamer-3.u7	I warned Mr Flierman about my impatience, which is why I am again interrupting him with a question about what he is saying. He suggests that investments by public shareholders are made with money other than what originally comes from the customer, the citizen. What's the difference? The customers of these companies therefore pay the investments, while at the time the split was based on the agreement not to do so anymore.
ParlaMint-NL_2015-12-22-eerstekamer-3.u8	I am not suggesting that public companies invest with other money. I suggest that the decision-making framework and the trade-offs of a public body are different from those of a private-owned company that primarily steers the return on its shareholders. That's a trade-off I got first-hand confirmation that a multinational integrated energy company is different from a Dutch company.
ParlaMint-NL_2015-12-22-eerstekamer-3.u9	The shareholders are public authorities in this case. The return on these authorities, I hope, can also be to support the regional economy. Eneco suggests in a letter that when the company needs to be further split, it will no longer be able to boost the regional economy. Governments have the opportunity to return the money to the customers, the society in which they fill out that shareholdership.
ParlaMint-NL_2015-12-22-eerstekamer-3.u10	Yeah, you can. If a government receives dividend, it can, of course, fill it out at its own discretion. That's true. But at the time when a government is a shareholder, it has a steering influence on the company and will thus also be able to steer and influence investments in sustainability. You cannot agree with me, but with a Dutch company a company that is in Dutch government hands is capable of doing so and that will be weighed differently with a company that is ultimately controlled from Essen or Stockholm.
ParlaMint-NL_2015-12-22-eerstekamer-3.u11	Finally, Mrs Huijbregts!
