Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u1	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u2	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	ArdaGerkens	Gerkens, Arda	F	1965	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u3	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u4	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	ArdaGerkens	Gerkens, Arda	F	1965	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u5	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u6	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HansFranken	Franken, Hans	M	1936	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u7	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u8	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HansFranken	Franken, Hans	M	1936	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u9	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	KlaasDijkhoff	Dijkhoff, Klaas	M	1981	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u10	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HansFranken	Franken, Hans	M	1936	
ParlaMint-NL-en_2015-05-26-eerstekamer-12	ParlaMint-NL_2015-05-26-eerstekamer-12.u11	Report of the meeting of the Dutch Upper House, Meeting 32, Session 12 (2015-05-26)	2015-05-26	Upper house	Meeting of the 34th Eerste Kamer	Session 12	Meeting 32	Sitting 2015-05-26	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
