Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LoesYpma	Ypma, Loes	F	1980	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u12	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u13	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u14	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u15	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u16	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u17	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u18	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u19	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u20	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-11-24-tweedekamer-3	ParlaMint-NL_2015-11-24-tweedekamer-3.u21	Report of the meeting of the Dutch Lower House, Meeting 28, Session 3 (2015-11-24)	2015-11-24	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 28	Sitting 2015-11-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
