ParlaMint-NL_2015-09-17-tweedekamer-6.u1	I give the floor to the Prime Minister so that he can continue his first-term response.
ParlaMint-NL_2015-09-17-tweedekamer-6.u2	Mr. Chairman. I come now to the subject of finance, economics and purchasing power. First of all, I would like to focus on the issue of purchasing power. I would also like to answer a number of questions about the purchasing power of older people. Let me say the following for an introduction. With regard to the always sensitive issue of the purchasing power of older people, I think it is right to establish that this requires a nuanced picture. Sometimes you hear that old people have only been given money. Some people say that the elderly are only getting worse. When you look at the facts, a few things jump out. Firstly, the interdepartmental policy research (ibo) on older people shows that the income position of older people has improved over the past two decades compared to households under 65. This is mainly because new generations of older people, more than previous generations of older people, have a supplementary pension. In addition, if you look at the years 2013-2015, we have to find that older people have had a negative purchasing power effect over workers. This is mainly due to the fact that the indexing rate of pension funds was left behind in wage and price developments. Moreover, it is good to note that the lack of indexing also affects workers. Workers do not see this in their purchasing power, because of course they will not notice it until they retire. The pension structure of workers is also, of course, adjusted with those reduced indexing possibilities. Another delicate and sensitive issue is the risk of poverty among older people. The risk of poverty among older people is the lowest of all age groups. 4.5% of the elderly had an income below the low income limit in 2013. That is about twice as low as the population as a whole, because there the figure is 9.7%. This is also low in international comparisons. What I'm trying to say is that anyone can actually shop in those facts. You can say with Mr Krol and others that in recent years the purchasing power of older people has fallen behind. Then they're right. Others can say that if you look over a somewhat longer period, you can see that older people have benefited a little more than the average of the Netherlands. The underlying causes lie in the fact that pension funds have not been able to achieve an indexing rate in the last few years, which has ensured that the purchasing power of older people remains the same as that of workers. I thought it was good to get those facts straight and nuanced. Again, you can draw all kinds of conclusions from that. They do not contradict the conclusions drawn yesterday by several speakers, but they do help us to put the picture down.
ParlaMint-NL_2015-09-17-tweedekamer-6.u3	On purchasing power cards in general, I'll come back later. I assume that the Prime Minister is far from done with that. I shall now turn to this point. I would like to refer to what the Prime Minister had the King pronounce. In the Throne speech, the King has literally said, "For pensioners and people with benefits, purchasing power is maintained." That's the story millions of people have been watching at home. Everyone in that situation thought: ah, for pensioners and people with benefits, purchasing power is maintained, because that is what the king said. So that doesn't seem right. 700,000 pensioners and 130,000 people with benefits are either standing at zero or declining. By the way, standing at zero is also going backwards. So you had the King say something that wasn't right. How are you gonna fix that?
ParlaMint-NL_2015-09-17-tweedekamer-6.u4	I think it's different. I have said before that there is no other country in the world that knows purchasing power signs. My party colleague Halbe Zijlstra has also started a kind of holy war against it, but so far he has not been successful, because we are still attached to it every year. These purchasing power figures include the purchasing power development of income groups. Older people in the Netherlands, as a group, are on the increase 0.2% and benefit recipients are on the same level. This means that purchasing power is not falling, but 0.2% is not a significant increase in purchasing power, I admit that. However, if we had not invested EUR 900 million in the recovery of purchasing power for the elderly and beneficiaries of benefits, it would have become clear that there would have been strong mints. The coalition has chosen to let the burden relief land on workers, but at the same time it wanted to ensure that older people and beneficiaries would not fall below zero in purchasing power.
ParlaMint-NL_2015-09-17-tweedekamer-6.u5	I'll come back to purchasing power later. What matters now is that this Prime Minister continues to cling to the fact that he swings images into the world that are not true. He doesn't only do this himself; he's doing it now even through the King and the Throne. In plain Dutch: this sounds like a lie to people at home. We have had this before with the €1,000 and there are other examples, but now it's happening again. Now the image in which the king literally says in the speech of the throne that pensioners and people with benefits do not go backwards, that their income is maintained, but it is not true. It's not a little bit false, no, it's not true for nearly 830,000 people. Those people feel this and they think: the king said quite another thing. How's the Prime Minister making this up to you? This can't be happening. It's really sticking to him that he swings images into the world that aren't right.
ParlaMint-NL_2015-09-17-tweedekamer-6.u6	Mr Roemer knows how it works. It is impossible to map exactly what the sum of pluses and minuses is for each individual beneficiary or pensioner; that is what we do for groups. When you look at the group of older people, you can see that they are making more progress than they are getting worse. On average, there is more purchasing power increase than a fall in purchasing power. The group as a whole improves about two tenths. That is very little, but if we had not repaired the purchasing power, there would be a considerable minus. There is also a small plus for beneficiaries. That's how the system works.
ParlaMint-NL_2015-09-17-tweedekamer-6.u7	It's not small. The Prime Minister may try to marginalize this, but he has done so through the King in the Throne speech to insult nearly 1 million people. People don't talk in medians and averages, they just look: what does this mean to me? The Prime Minister already knew very well before the throne speech that it would be less for nearly 1 million people. Yet he lets the king say that it stays up to everyone's standards. You can't do that. I believe that the Prime Minister should apologize to the people for that.
ParlaMint-NL_2015-09-17-tweedekamer-6.u8	I really don't see it that way. The system we have chosen for working with purchasing power is based on groups. The group of older people and the group of beneficiaries are improving. You can have a debate about the fact that they are making limited progress in relation to the workers, which is a choice, but they are making progress. If we had not invested heavily in purchasing power recovery, that would not have happened.
ParlaMint-NL_2015-09-17-tweedekamer-6.u9	I would like to hear what part of the progress that is not there is structural and what part of it is incidental. To make the example even clearer. The Nibud has calculated that someone with only AOW and care costs per month is €140 going backwards and only AOW is nothing at all. If there is an AOW with a slightly larger pension, the Nibud says that you are going to fall back €200 per month due to the accumulation of costs. I'm sorry, but then the King's words pass by all kinds of people. I don't understand why the Prime Minister had him pronounce it.
ParlaMint-NL_2015-09-17-tweedekamer-6.u10	You do purchasing power repair every year. Every year you look at the situation of the different income groups. The coalition had to answer the question of how it would deal with the strong loves that stood out for pensioners and benefit recipients before 2016. You always do this for a year. This means that next summer will be looked at again. We have solved this by allocating a total of EUR 877 million for a purchasing power package aimed at the elderly and benefit recipients. This includes the failure to continue with the cut in the rent allowance, a one-off extension of the temporary increase in the care allowance, an increase in the child-related budget for the second child and an increase in the elderly discount.
ParlaMint-NL_2015-09-17-tweedekamer-6.u11	I ask my question again: what is structural and what is one-off? What do you say to the people who are reducing €120 or even a multiple of them and who have heard the king say that their purchasing power remains the same? That's just not true.
ParlaMint-NL_2015-09-17-tweedekamer-6.u12	On the second question, I give the same answer as I gave Mr Roemer three times with great pleasure. I have just given the answer to the first question. We spend our year on purchasing power repair every year. We keep looking at the situation in August and where purchasing power repair is needed.
ParlaMint-NL_2015-09-17-tweedekamer-6.u13	The cabinet, this prime minister, looks at the median purchasing power development. Then purchasing power development is positive for everyone. However, the claim in the Throne speech was very different, namely that everyone is improving on it. If you then note that this does not apply to all groups, 16% of the people do not progress, can you but conclude that the statement in the Throne speech is not correct? It's okay to say that maybe you should have expressed yourself a little more nuanced about that or that you're still trying to fix it?
ParlaMint-NL_2015-09-17-tweedekamer-6.u14	If it did not go well, I would like to admit it here, but I believe that the text is correct. Because we're starting from groups. A group of older people and a group of beneficiaries are making progress. The group of workers is making the most progress. That's the choice the coalition made. However, we did not want to see, as the workers progress significantly, there to be significant loves for benefit recipients and the elderly. We have managed to improve those groups too, albeit modestly. That costs a lot of money, but we're doing it for a very good reason.
ParlaMint-NL_2015-09-17-tweedekamer-6.u15	I'm still trying to follow it. The Millions note says that 16% of people are either getting worse or not getting better. They don't benefit from it. Yet the Prime Minister says that what is in the Throne speech is true. Everyone in the Netherlands is improving. You can't keep that going, can you? That's not right, is it? Everyone says or writes something wrong. Then you can just say that maybe you should have been a little more nuanced, that this was a little too exuberant and that maybe you should have been a little more sober in the throne speech?
ParlaMint-NL_2015-09-17-tweedekamer-6.u16	It seems as if we had already heard Mr. Klaver for writing the throne speech. After all, with that thought in mind, we have written the speech of the throne.
ParlaMint-NL_2015-09-17-tweedekamer-6.u17	It is nice that the Prime Minister wrote the speech on the throne with that in mind, but I ask whether he has not been far too positive. If you're saying that everyone's getting better and this isn't backed up by the numbers, you have to conclude that it's not true? Then you can come back to it and say you should have been more nuanced? I mean, you can say that medians are getting better, but this doesn't apply to every individual, right? That's one extra sentence. That would have been much clearer for people in the Netherlands, wouldn't it? Now it seems as if the cabinet has promised that everyone is making progress, while that is not at all the issue. Be honest about that, Prime Minister.
ParlaMint-NL_2015-09-17-tweedekamer-6.u18	In the speech of the throne, it is reported that purchasing power is maintained for older people and beneficiaries and that there is a strong plus for workers, and that is also true.
ParlaMint-NL_2015-09-17-tweedekamer-6.u19	I think the cabinet is hiding behind a very short time. That system lasts for one year. I guess a lot of old people don't realize that. This repair, in particular for the elderly and beneficiaries, covers 850 million and applies for one year. Then we just fall back to the disappointing figures you presented before the summer. Isn't that right?
ParlaMint-NL_2015-09-17-tweedekamer-6.u20	That's how the system works. In the summer you will see the consequences of all measures taken by the cabinet for the purchasing power of large groups of Dutch people and you will fix them. In addition, you should be careful not to repair for non-indexing pensions, because that is a matter outside the government. So you look very closely at the purchasing power effects, especially those for the elderly, and look at what is and is not related to the indexation of pensions, to prevent you, what happens in the second pension pillar, from making this all the responsibility of the government. That is not desirable. After we have weighed all this up and studied it carefully, we have come to this purchasing power package. This must always be done in August in the purchasing power decision-making process leading up to this debate and, of course, to Princess Day. We have to do that again next year. Then we look again at the whole situation.
ParlaMint-NL_2015-09-17-tweedekamer-6.u21	The Prime Minister just accused me of not choosing D66 for the elderly. It's clear now that the cabinet doesn't either, does it? It's a one-time thing. The eulogy of the throne seems to me to be such a financial product. The king may say things on behalf of the cabinet, but in fact it must be broadcast behind it: bear in mind that this product is very dangerous. There's always such a beautiful line. I would almost say that the Prime Minister should not do it to the King to give rise to the idea that older people are making structural progress. No, it's a one-year repair. Perhaps the Prime Minister took into account that he would no longer bear the responsibility for it next year, but he will pay a very heavy bill of 850 million next year. Is that right?
ParlaMint-NL_2015-09-17-tweedekamer-6.u22	No, you'll have to review that in next year's purchasing power decision. You cannot now make predictions about how much purchasing power repair is needed. Where this cabinet fixes purchasing power, D66, in its counter-budget, causes it to deteriorate structurally very much for the elderly and benefit recipients. That's a choice you can make, but it's a different choice from ours. I notice that as a lighter note to conclude my reaction, and I am glad that Mr Pechtold is so concerned about the position of the king. I do. That's why we're paying very close attention to what he's saying.
ParlaMint-NL_2015-09-17-tweedekamer-6.u23	We'll get to that in a minute. I say to the Prime Minister: prepare yourself, because there are still some problems about the royal house and the finances. The cabinet should have simply provided a financial package leaflet with this budget. It makes no sense to go you-bake and say: D66 makes it much worse. That's not true. We are concerned that many elderly people are waiting for this to happen, that generations will have opportunities in the labour market, that will attract the economy and we will be able to support responsible people in their purchasing power, and not from the debts of the next generation soon to give a gift that will be worthless next year. Because that is the reality. The Prime Minister thought he could get away with it, but we did expose it nicely here.
ParlaMint-NL_2015-09-17-tweedekamer-6.u24	I understand that Mr Pechtold is proud of that finding, but she is not right. In the summer, in August, we always look at how all cabinet measures work out for different groups in the Netherlands, such as workers in all kinds of special situations, older people, benefit recipients. If you find that in that picture imbalances arise.............................................................................................................................................................. That's what happened this time. We will, of course, try that again next year if it would be necessary.
ParlaMint-NL_2015-09-17-tweedekamer-6.u25	I understand from the last words of the Prime Minister that the cabinet always looks very closely at how imbalances should be eliminated. I drew attention to the one-earners yesterday. Does he consider the tax burden on single-earning families to be balanced against two-earning families?
ParlaMint-NL_2015-09-17-tweedekamer-6.u26	The purchasing power of two-earners and of one-earners will increase next year. Both groups therefore benefit from the reduction of charges. It is also true that, in the purchasing power picture, two earners are making more progress than one earner. So they are both improving, but the two-earners are indeed making more progress. This is mainly due to the intensification of the childcare allowance and the income-dependent combination reduction. That's part of the tax package. We have opted for an intensification of these arrangements because it simply has a direct positive impact on employment. This also fits in with the government's focus to strengthen employment in particular. However, due to previous discussions with Mr Slob and Mr Van der Staaij, we have also looked in particular at the position of sole earners. This has led to an increase in the child-related budget from the second child. This has an advantage especially for large families, including many of the sole earners. That is why all groups are making progress. Anyway, that was the short shot.
ParlaMint-NL_2015-09-17-tweedekamer-6.u27	I know these numbers. It is good to get them straight again, but my question was whether the Prime Minister considers the tax burden on families with a single earner balanced with families in the same composition with two-earners. That was my question. I would like to have an answer to that. I have a view of it myself, but I would like to know what the Prime Minister thinks about it.
ParlaMint-NL_2015-09-17-tweedekamer-6.u28	Of course, it's size. As a cabinet, we have chosen to use the money in such a way that it has the maximum effect on employment growth. Then you can see that measures, especially with regard to the income-dependent combination discount and the childcare allowance, have important effects, more than the child-related budget. You can make shifts from those choices to the child-related budget. That's a choice you can make. That's not unethical at all. It is only a difference from the valuation we have made with regard to our proposals. From the point of view of employment participation, we have made this choice. In addition, we looked at whether the families with a breadwinner were making progress and that was the case.
ParlaMint-NL_2015-09-17-tweedekamer-6.u29	Mr President, you are listening, so I am again not getting an answer to my question. I ask whether the Prime Minister considers the tax burden on families with a single earner to be balanced in relation to what happens to two-earners. I'll give him the answer. If you have a family where both partners work and they each earn about €20,000, add up to €40,000, and you have a family where a partner who also earns €40,000, that last family pays five times more tax than the family with the two earners where the same amount is earned; that's about €2,000 compared to €10,000. I see the Minister of Finance now looking with frowned eyebrows, but I can report that this has been calculated by experts. And if it's any different, I'd like to hear it today. In any case, I do not think it is balanced. I understand that there is a difference and I understand that the government also has views on promoting employment, although we all know that you should not exaggerate, because there are reports from the CPB that suggest that raising the childcare allowance really does not mean a run on the labour market; that effect is even very modest. So that's a choice but it's also a choice to make the difference that big. Madam President, I would like to ask the Prime Minister through you: will you do something about this, because this is not to be explained to the people?
ParlaMint-NL_2015-09-17-tweedekamer-6.u30	This is the cabinet's proposal and we are talking about it now. I simply imagine that this debate will continue in the General Financial Reviews. Of course, I also hear what is being said about it from other circles, but these are the choices we have made now. I am naturally defending them here because they meet the coalition's objective of achieving employment participation. By the way, Mr Slob is right that this child care allowance cannot continue indefinitely. It is not the case that as you increase it, the number of jobs increases linearly, but because of previous discounts, this additional investment in the childcare allowance does indeed have a labour market effect. Of course, I also know very well the political position of the Christian Union and the SGP on this dossier, so I understand this question from Mr Slob. Only, we've made another choice.
ParlaMint-NL_2015-09-17-tweedekamer-6.u31	On this point, the Prime Minister says that this point is very much alive in the Christian Union and the SGP, but I would like to tell him that it is actually a much broader point. If you're a teacher at a school, you have a couple of kids at home and you earn €40,000 as a earner, you have to pay about that €40,000 €10,000 tax, while your neighbors who have the same job and the same family income pay five times as little tax. Doesn't the Prime Minister think that this is an imbalance which should be said by everyone to undermine people's freedom of choice?
ParlaMint-NL_2015-09-17-tweedekamer-6.u32	Yes, of course, this also has to do with the fact that we are gradually coming to a reduction in the double tax rebate. This is a choice we have made that also has a positive effect on the labour market. Once again, I understand very well what Mr Van der Staaij is saying. The tricky thing is that we have all these purchasing power cards. In it, you try to achieve as much as possible a balanced distribution across all groups, at the same time taking into account that the primary objective is to maximise the contribution to employment growth through the growth of the economy. This is a debate we have often had. We have done something for the sole earners at the same time by increasing the child-related budget, but of course I understand from the position of Mr Van der Staaij that he does not think that is enough. I think we should continue this debate with each other, also in the context of the General Financial Reviews.
ParlaMint-NL_2015-09-17-tweedekamer-6.u33	I do think it would be good to discuss this, but I would also like to hear it if these figures, which have come out again today, were not correct. I also assume that they are correct in this relationship. Does this mean that the Prime Minister sees room for adjustment, including within the framework of the Tax Plan, which could also benefit the earner's families?
