ParlaMint-NL_2015-05-27-tweedekamer-3.u1	A warm word of welcome to the Secretary of State, who may be in the building for the whole week.
ParlaMint-NL_2015-05-27-tweedekamer-3.u2	Mr. Chairman. At first I think: is this a very shocking change of law that we are discussing today? Maybe not, but on the other hand, the passenger transport and mobility Act in the Netherlands is very important. Especially in a small country like the Netherlands, with relatively many people in a small area, it is very important that individuals can easily, quickly, efficiently and preferably as cheaply as possible go from one place to another in order to live, learn, work and recreate well. The CDA thinks it's very important that you can travel from door to door without having to take anything out of your bag or pocket all the time, where you can choose: walk this piece, take a bike, hire a bike, take a taxi, take a bus, catch the car, train or one of the beautiful modes of transport that might be there in the short term? That's the power, because now you often hear "I never travel by train" or "I only travel by train." Then we'll do ourselves but also the people who say that. Let me give you an example. I was in Rome the other day. I like to come into the eternal city. There I spoke to Dutch people who were there by chance. They said they always take the subway because it's so easy in Rome. Now the metro in Rome is indeed very easy and if you don't get into the buses, you think: oh dear, where do all those buses go? But I said, "Try taking the bus next to the subway." At the end of the weekend, in the Church of the Frisians, we met again. Then those people said that they also took the bus and that a new Rome had opened for them. It is, because then you see other things and more things than on the subway, but I'm sure you understand that. What I mean by this is that if we can stimulate and facilitate people to use multiple modalities at once, the possibilities for us all are growing. This is very important for the well-being of our people, but also for the prosperity of the Netherlands. In this context, the CDA considers it very important that we pay close attention to the Passenger Transport Act 2000 and its amendment. Does the Secretary of State think that the current law offers sufficient opportunities to ultimately achieve a set of modalities from which you can choose? Otherwise asked, what does the Secretary of State need from the Chamber to work towards that in the future? That's what we really want to go to, isn't it? When we look at how, at least at the moment, we arrive at these different modes of transport, we see that the mobility cards play an important role in this. At the moment you can say that some 550,000 people, about 6% of the workforce, use mobility cards for commuting alone. More than half, 300,000, is offered by the NS via the business card; the rest, 250,000, is offered by other providers. Other providers are also looking at new, better technological applications, especially in relation to fuel, time, road capacity, environment and labour productivity. In this context, the question arises as to how the NS and other providers can offer the best possible product in the future. In the chain door to door, with things like the rental bike, the rental car, the taxi, the bus, the train and the refueling, there is a lot of providers. In this sense, a level playing field is automatically created. However, there are fewer providers on the train. This level playing field may be somewhat compromised. How do we ensure in the law that we maintain a level playing field for all providers, now and in the future, who want to offer a mobility card? Or is the law already equipped for that, or does it take something to change that? If you are dealing with a monopolist on the main rail network, that is the Dutch Railways in the Netherlands, which currently offer more than half of the mobility cards to........................................................................................................................................................................................... The same problem may arise if you compete for a concession for regional transport. We saw that in Limburg. We should not get that again when offering mobility cards. Is there a level playing field for mobility card providers in this respect? If not, what it will take to secure this in the law? In the meantime, the concession parties have set up a platform for cooperation. That's the National Public Transport Committee, the NOVB. The CDA considers this to be very important, particularly in the context of subsidiarity. If a platform can arrange things, the government shouldn't be in between. If I understand correctly, this is also the Secretary of State's approach. How do we make the NOVB even stronger and how do we ensure this in the law? Is there anything else we can do about that? The more we can do the platform, the less we have to worry about it. The draft law entrusts the ACM with the supervision of the detailed rules concerning the institutions issuing electronic transport tickets, the market for payment services in public transport and the distribution of revenues from the use of electronic transport tickets. The legislative proposal also lays down the sanctions available to the ACM. We have already talked about the power of the ACM. Perhaps the Secretary of State could briefly comment on whether the position of the ACM in this regard is strong enough. This afternoon we also have a debate on it. In that context, I have prepared a number of amendments with Mrs De Boer to strengthen the position of the ACM. According to the Secretary of State, is that necessary? There is tension between the customer-friendliness of the OV-chipkaart and the information needs of participants, especially when it comes to check-in and check-out. Is the Secretary of State going to take care of that or are there any other priorities?
ParlaMint-NL_2015-05-27-tweedekamer-3.u3	Mr. Chairman. The OV-chipkaart could of course have been a wonderful system. Travellers could have made use of public transport with all conveniences. Unfortunately, we have had a lot of childhood diseases with the O.V. chip card. In retrospect, we could have dealt with these problems sooner or even in advance if we had listened carefully to the criticism. Even when the problems arose, we watched for too long without really intervening. Now there is a legislative proposal for us to change this. We hope, of course, that this will happen. In our opinion, however, the OV-chipkaart and the systems behind it are infrastructure. Infrastructure should actually fall under the responsibility of the Secretary of State. That doesn't belong to a company founded with public money. We sold World Online shares and sold Telfort shares, and the money for that, billions, used to finance the O.V. chip card. It was all founded with public money and then it's all housed in a private company. A company whose top also felt it was necessary not to adhere to the beaming standard and to deliver very poor performance. In the meantime, the company is being transformed into a cooperative of all carriers, but the SP Group is curious how this will be worked out. TLS was founded with community money. Does the Secretary of State see any money back from what was tucked in, or is the money now being given away to the carriers? Our criticism of the OV-chipkaart was that there was too little direction. The Secretary of State is trying with the bill to get more direction on the OV-chip card and the product offer. That is something we have been asking for for for a long time. The Secretary of State also wants to make it possible to enforce certain cases if the concession parties do not come out among themselves. These are now working together in the NOVB. Can the Secretary of State explain what expectations it has of the NOVB? Cooperation between parties which have to compete with each other will probably not always be smooth. In that case, there is often a need to intervene. My question to the Secretary of State is, therefore, when has the time come to intervene or not intervene? How often does she expect to have to intervene? I must admit that the legislative proposal is an improvement on the current situation. Now it is a great chaos, because of all the different OV products and non-coherent systems used by OV companies. The Secretary of State hopes that, after many meetings, there will be consistency. Poldering and meetings is of course always fine, but the question is whether there should be so much meeting to get a bus ticket. Can't carriers use their time better? Why should such a complex system with so many different transport regions, tariffs and products be facilitated? Why isn't the Secretary of State really going through with this? Why doesn't she just take the lead so that everyone knows where he or she is, especially the traveller? The OV-chipkaart would provide simplicity and clarity, but I do not think there have been so many different travel products before and the traveller no longer sees the forest through the trees. The SP Group would like a response from the Secretary of State. No further action is taken within the chosen framework either. Surely it is a missed opportunity that this bill does not offer any opportunity to intervene in the rates of urban and regional transport, by, for example, creating a possibility of setting a maximum rate? In our view, the possibility of setting maximum rates is also in line with the objective of this legislative proposal, namely to be able to intervene if cases that are cross-licensing or of national interest are not satisfactorily resolved by the concession parties. Recently, we saw huge price increases in various regional concessions. These increases caused a great deal of incomprehension among travellers. Travelers suddenly paid a lot more for the same trip. This is causing confusion. Suddenly you have to pay a lot more for the same mile. The question is: why does the Secretary of State leave the opportunity to intervene in such a case?
ParlaMint-NL_2015-05-27-tweedekamer-3.u4	I hear Mr Bashir saying that he wants to sit on the carrier's seat. I would like to ask Mr Bashir about this, because if there are fluctuations in the rates, it is also because this is necessary for a final business operation. There have been agreements with the concessionors about this. Does Mr Bashir realize that the carriers can contact Mr Bashir for compensation if they do not get the budget back? Mr Bashir proposed setting maximum rates. How are we gonna fix this? There are two parties that pay for public transport: one the traveller, two the taxpayer. How's he gonna fix this?
ParlaMint-NL_2015-05-27-tweedekamer-3.u5	If my proposal is adopted, carriers and regional concessionaires and distributors will know that maximum rates can be set. At the time when they set an exorbitant rate, they can expect the Secretary of State to use its power to intervene. Then they know in advance that if they are going to introduce bizarre tariffs, there will be intervention. They can focus on this and come up with a realistic price, including towards tendering.
ParlaMint-NL_2015-05-27-tweedekamer-3.u6	If the prices of buses in Limburg go up, Mr Bashir is here asking the Secretary of State to limit them. Again, there are two ways of earning: one comes from the traveller. If these prices cannot be raised - which could indeed lead to a final exploitation - is Mr Bashir prepared to add tax money as a second form of income? 'Cause it should be.
ParlaMint-NL_2015-05-27-tweedekamer-3.u7	The proposal is clear. With 'exorbitant price increases' I am not talking about an ordinary price increase that follows inflation, for example, or slightly more than inflation. I'm really talking about exorbitant price increases. We have seen them in The Hague, for example, with price increases of 20%, but also in other regions. We have also done research ourselves and then we saw that in some regions prices had risen by 30% to 35%. That's exorbitant. At that time, a debate may take place here in the Chamber, but that is not necessary. It may also be that the Secretary of State himself decides that this is out of proportion, that this is a cross-border concession and that he sees a role for himself to intervene. Then the Secretary of State can intervene and then the question arises as to who should pay for the missed costs. It seems logical to me that this is the person who issued the tender and not the national treasury. I note that double take-off rates are now a thing of the past, but this does not yet apply to the difference in the level of the take-off rate. This creates differences in the price of the outward and return journey when travelling through two concession areas by train. Is resolving this also something the NOVB is currently or should be concerned with? I would like to make one specific point. As of 14 December 2014, the OV-chipkaart can no longer be used on Texel. In response to my parliamentary questions on this matter, the Secretary of State wrote that she would like to use the present bill to make the O.V. chip card mandatory on a national basis. Is that already in preparation through a General Measure of Governance? Will this continue to apply to all regions? At the moment there are also reports from, for example, Zeeland. There, too, we would not want to make use of the chip card in certain regions. I'd like to hear a response from the Secretary of State.
ParlaMint-NL_2015-05-27-tweedekamer-3.u8	Mr. Chairman. With this bill there will be clear rules for the O.V. chip payment market. The Christian Union welcomes that. We don't know exactly what rules will come up yet. They come under lower regulation. The Christian Union would like to know more about when the matters which the State Secretary wants to achieve are actually dealt with in this law for the traveller. My group also wants to tighten up the law on a limited number of parts. First of all, let me address the issue of user-friendliness. The new Article 30.2 allows rules on the quality and functionality of tickets. This may include the obligation of the O.V. parties to provide single check-in and check-out in the rail chain, so that the forest can be dealt with by crossing posts. These poles mostly hinder passengers and make them miss the train. The Secretary of State and I have had a lot of discussions on this. We have been waiting many years for this to be tackled. If we wait for the initiative of the carriers in the NOVB, the deadline for implementation is certainly not reasonable anymore. The Secretary of State also wonders whether it is possible to achieve the desired situation on the basis of self-regulation. The AMvB is meant to be a stick behind the door, but when does the Secretary of State say: now the border has been reached and I am putting the AMvB in? As far as the Christian Union is concerned, the AMvB is being prepared as a matter of urgency. The ChristianUnion wants to have the single check-in and check-out done by 1 July 2016. If the Secretary of State does not make a commitment today, I am considering tabling a motion on this point. According to the explanatory memorandum, Article 30.2 also means that tickets must be readily available at reasonable prices and accessible conditions of use. The Christian Union considers this interpretation of user-friendliness to be too narrow. For example, the article should also cover the equipment you need for this. For example, it should also be user-friendly for people with disabilities. That is what I have the amendment on item No. 10. I also miss provisions on the privacy of the OV-chip card system in the article. For example, it is now mandatory to keep travel data because the Tax Administration needs to be able to check whether declarations have been made and because the traveller needs to be able to make use of the money refund scheme in case of delay. What happens if a traveler who doesn't want to, but wants to use a subscription, doesn't have an anonymous card? The Christian Union wants the AMvB to include a rule stating that the traveller can erase his personal travel history if he agrees to do so, not to be able to use the money back scheme in case of delay. I have also tabled an amendment on this subject, namely No. 11. It lays down rules on the protection of travellers' privacy. Article 30 also allows rules on fares and conditions of carriage. These could be rules on a level playing field for travel by different means of transport and across concession limits without leading to a change in fares and conditions. That's nice; of course. Why, however, is this also a possibility? The NS has for years refused to replace its system of tariff units with a system based on the number of kilometres travelled. As a result, passengers on some routes, such as Breukelen-Woerden and Lelystad-Zwolle, are significantly more expensive off for the same travel distance. I would like to hear the Secretary of State promise that she will oblige the NS to calculate all rates from 1 January 2016 on the basis of the number of kilometres travelled according to the shortest route. On this point, too, I am considering a motion. The Christian Union wonders why the Secretary of State can opt for all of these provisions at all. Due to the determination, the AMvB is presented as a kind of extreme agent if agreement in the NOVB is not achieved. Does the Secretary of State currently see any reason to actually settle matters in an AMvB? If so, what are the points in the bill? The Christian Union wants more clarity on this. In existing Article 32 (3), it is already mandatory to lay down open access rules. Why is this a requirement, but does the new provisions on access to the chip card in the bill suddenly apply? Why this difference? The Christian Union is considering an amendment to lay down in the legislative proposal that the rules in question should be drawn up rather than being able to be drawn up. I will let it depend for a moment on the course of this debate whether we are actually tabling this amendment. The Christian Union believes that the position of the Secretary of State with regard to the NOVB should be strengthened. It is good if consensus can be achieved and it is good that this has also been achieved at a number of points around the OV-chipkaart. But innovation is still far too slow. Take travels into account. When can all consumers throughout the whole of the country travel on account? Is it not time to make clear agreements on this? The Secretary of State also states that the NOVB itself can set a deadline for finding a solution to a problem raised. The Christian Union believes that the Secretary of State himself should have a decisive voice in setting such deadlines. Furthermore, the Secretary of State states that it is not intended to cross the outcome of the NOVB Council with new rules based on changed policy preferences. I don't think the Secretary of State can say this. In that case, the House of Representatives will no longer be able to table any motion on the OV-chipkaart. In the end, the primacy lies with the Chamber and not with the NOVB. The NOVB cooperates exclusively in the area of the OV-chip card system. This bill also has this narrow look. The Christian Union believes that this is a missed opportunity. The concepts of "accessibility," "use-friendliness" and "interoperability" should also cover other aspects of the organisation. Let me give you two examples, starting with the rights of travellers. For the traveller there is still no uniform money-back-by-delay scheme for a journey from A to B carried out with several carriers. The Secretary of State states in the note following the report that this does not fall within the scope of Article 30 (2) because it concerns travellers' rights. My group does not understand this. This article therefore makes it possible to lay down rules on the conditions of carriage, but apparently only if these are to be applied to the O.V. chip card. But not when it comes to travel rights. That is true, while passengers' rights are part of the conditions of transport. They are not only there for the carrier, but also for the traveller. This limitation of the scope of Article 30 (2) does not seem to the Christian Union to be user-friendly. I have an amendment on this point. 12, which provides for national rules on uniform passenger rights to be adopted. A second topic where cooperation is desirable is the marketing of ov. Back in the day, you had the joint commercials for the d.V. on TV. Now every carrier is responsible for this. Fine if the NS is running a campaign for the benefit card. But where's the complete O.V. marketing offensive? The star spots are dominated by a lot of road transport and not by public transport. I'd like the Secretary of State's view on this. I do not have an amendment on this at the moment, because in some provinces it is not the carrier, but the government that is responsible for the proceeds. This makes the cooperation in the field of marketing very difficult. I am well aware of that, but I would like a response from the Secretary of State. According to the State Secretary, the scope of the bill is not about the functioning of public transport in a broad sense. According to my group, this is the crux. We believe that the 2000 Passenger Transport Act, which we are discussing, covers the whole of the area. Is this law still sufficiently up-to-date, as new forms of payment and intelligent apps are emerging? I come to the second part of the bill: the payment market. The proposed Article 30a and beyond offers opportunities to develop rules for a well-functioning payment market. Simply put: there may be rules for an orderly national introduction of new payment forms, such as paying with your mobile phone. This law ensures that TLS cannot favour one carrier at the expense of another and that parties other than TLS can also issue tickets. I have two questions about this. Firstly, the Christian Union notes that the bill is mainly about transport tickets, but actually very little says about the hardware, the check-in and check-out posts and their back office. Article 30a (1) refers to bodies issuing, managing or operating electronic transport tickets. The whole infrastructure of check-in and check-out is not mentioned there. Is that one underneath? Can this bill also create competition for TLS, which will allow another party to manage check-in posts in part of the Netherlands? Does this law force the party to cooperate well with TLS, so that both parties accept all tickets, from any provider, at their posts? If that is the case, why doesn't it say so explicitly in the bill? If it isn't, does TLS have a monopoly on the poles? I'd like to get a response from the Secretary of State. The legislative proposal focuses exclusively on the system of tickets, tickets and payment services of public transport. That is what the note on the basis of the report says. However, the bill does not regulate a different organisation of the transport market. Under this bill, no rules can be imposed on the importation and sale of mileage by new suppliers or on large-scale consumer contracts concluded between carriers or with other providers of mobility services. My group is disappointed about this. The Chamber has adopted the Dik-Faber/De Boer motion. It not only mentions new innovative possibilities, such as paying with your mobile. At the heart of that motion was the introduction of the roaming system into the public service pay market. In other words, several providers can offer their own national products and buy them in bulk kilometres from the carriers. NS could then sell subscriptions that are also valid with Arriva. Blokker could become a formidable competitor with cheap day tickets that are valid for all carriers. Now Blokker still has to negotiate with all carriers a card that is valid throughout the country. It is therefore often the case that promotional tickets are not valid for all carriers. The ChristianUnion wants the Authority to ensure, as in the telecoms market, that all mobility providers can do business with all carriers at reasonable rates. The question to the Secretary of State is why it does not carry out the almost unanimous vote in the Chamber on this point. Since the State Secretary is not carrying out the motion, I have an amendment in consideration similar to the roaming arrangements in the Telecommunications Act. Since this was not introduced from today to tomorrow and because the market needs time to prepare, I naturally took into account an introduction period, which can be decided by the Secretary of State. My group is thinking as a deadline of 1 January 2018. It is good that Article 30c provides for data on travellers' flows to be made available, but does it guarantee the full implementation of my motion on open data? I do not yet read in that article that these data should be available as open data for everyone, so not just for the concession provider. I would like to receive a response from the Secretary of State. Finally, I have a question about the cost to the traveller. The intended effect of this bill is that there will be more travel ease. In the explanatory statement, it is stated that the costs may lead to a partial reduction in the rate of increase for all passengers, but what is "a limited increase in the rate" and how does this relate to the fact that in the Netherlands tariff increases are regulated by the concession holder? Will we be getting proposals for additional tariff increases every year? And why should the traveller pay for service that should be taken for granted? Why does the traveller have to pay for solving problems that transporters themselves have caused in designing an O.V. chip card system, because in the first few years they have looked at them with their own eyes and not put the traveller first? If we opt for a market with more mobility providers, there will be competition on service and there will be no need for price increases. Then the traveler really is in the first place.
ParlaMint-NL_2015-05-27-tweedekamer-3.u9	Mr. Chairman. This legislative proposal provides for more access to data on transport flows for new mobility or payment service providers. Mobility providers can develop much better O.V. products with data on transport flows and provide tailor-made travel advice. Examples include products and information that take different forms of mobility, including bike, train, loan car and so on. As a result of increased disclosure of data, these providers can investigate individual travel behaviours, looking for the best and most advantageous subscriptions or travel forms. This creates a better product and therefore more freedom of choice for the traveller. This is very important for the traveller who can obtain customised travel advice from door to door upon request. In addition, the aim is to allow new providers of mobility services or payment services to enter the public service pay market. Having new mobility or payment service providers can lead to a better and cheaper product for the traveller and more freedom of choice. The customer should be able to access all modes of public transport with an easy means of payment and not be hindered by a variety of different payment systems. This bill provides the basis for this. The starting point of the law is primarily self-regulation of carriers and concession providers through the achievement of consensus in the National Public Transport Council, in which all carriers and concession providers are represented. However, if the NOVB cannot reach an agreement, which frustrates the accession of new mobility service providers or payment services, this bill will allow the State Secretary to intervene in AMvB and to draw up rules of play. So it gives the Secretary of State a certain power of perseverance if the parties themselves do not come out in the National Public Transport Council. As Liberals, of course, we are directly in favour of more government intervention, but we are also realistic and we see that we are dealing here with an imperfect market. In order to make the existing system of data more accessible to new entrants and thus to allow more competition, what can contribute to more market forces.................................................................................................................................................................................................... In the case of an open market, an open market, the VVD considers that the perseverance created by this bill would no longer be necessary. We ask the Secretary of State if she can respond to the inclusion of a horizon clause in the law. We can then see if an evaluation will allow the perseverance power to be dropped. Within the National Public Transport Council, carriers and concession providers will be engaged in a regulatory framework for transparent, non-discriminatory tariffs, conditions and access of new entrants or candidates for the provision of, inter alia, new mobility services and payment methods. Unfortunately, new providers of these cards and services are not involved in the gaming framework that is indeed starting. I think that's a missed opportunity. The new providers are looking for innovative new products, while existing carriers are aiming to preserve their own interests. In what way can this group also be involved in forming a gaming framework? I'd say just let them join the meeting. I am considering tabling a motion on this point. It is clearly not the intention of the Secretary of State or the Chamber to interfere with the level of tariffs, as Mr Bashir wishes. This would nullify the decentralised tariff freedom and would be contrary to the decentralised concession system in public transport. The legislative proposal also supports this position, but it is unclear what role the Secretary of State himself identifies here. What role does the Secretary of State intend to play here? Is there also a form of supervision of the pricing by the largest carrier on the track? The legislative proposal entrusts the ACM with the monitoring of compliance with rules for a well-functioning public service payment market. That is a good thing, but what exactly is this monitoring about? That doesn't quite make sense. The National Public Transport Council is also working on the development of a data base for transport information. When will that transport bank be ready? I agree with Mrs Dik-Faber that we have been waiting for this information to be made available for some time. That can really be revolutionary in public transport. In short, the amendment of the Passenger Transport Act 2000 could make the public transport market more accessible to new mobility providers by making transport data more publicly available. This will make it easier for new providers to join and give rise to freedom of choice and improvement of quality in the public service pay market. The market gets room to innovate and that's good for the traveller. With the opening of the payment market for other providers, we can grow into a demand-driven market instead of a supply-driven market, which it is now. From product to mobility service, that's what it's all about.
ParlaMint-NL_2015-05-27-tweedekamer-3.u10	Mr. Chairman. First of all, I would like to thank the Secretary of State for the proposal before us. The Labour Party is pleased that there will finally be perseverance for the Minister. We are pleased because of the possibilities offered by the bill to intervene in the public transport market. In short, to cut the buttons when carriers don't get out of each other. As has already been pointed out by the government, this bill serves to make it possible for me to paraphrase government intervention through regulation, with the justification that self-regulation does not solve the problem of cross-fertilisation in the system of tickets, payment methods and payment services in public transport. The proposed changes are part of the decentralised concession system. Carriers are therefore the first to take the initiative to solve cross-fertilisation problems. If this does not succeed in time, the government can then enforce the necessary measures through its system of regulation and supervision. This seems to be a sensible choice for now, because the problems, including multiple check-in and check-out, the concession limits, which create inconveniences, the multitude of regional travel products, the problems for people with disabilities, the lack of information and the lack of complaint handling, will be a matter for the past more quickly by adopting this bill. At least we hope so. Everyone here, but also everyone outside this Chamber, agrees that it is time to take steps in the area of bureaucracy, red tape, points of contact, unreadable conditions of use and unclear information. Rules will apply equally to both the main rail network and the regional concession areas in this legislative proposal. We should also like to receive a statement of reasons on this point. What consequences does this provision have if, for example, cross-progressing problems relate only to regional concessions? We would like to have an explanation on this point. We would like a statement of reasons from the State Secretary as to why the supervision of compliance with the rules in Article 30a, first and third paragraphs is invested in the Authority for Consumer & Market (ACM). The construction of laws and regulations at the moment makes this the most logical step; it is in line with expectations. However, I would like to comment on this point. The argument that the independence and expertise of the ACM is decisive here seems to be fair, but the ACM is designed to maintain market surveillance. Since there is a strong consolidated market with few players, a public character and largely public money and public interests, the PvdA Group wonders how it is ensured that the ACM review is appropriate to the circumstances and to the nature of the "market'. My group would also like to hear whether there has been any thought, for example, to organise this differently and what arguments have been decisive in this regard. In the explanatory memorandum, the government states that substantive matters and technical matters are dealt with in AMvB. That offers a lot of room, especially for the cabinet. A front of the AMvB to be made is not yet provided. We would like to know from the Secretary of State whether it intends to send the decisions it is going to take to the Chamber. If not, we would like to do so and perhaps make a proposal on this point. I trust that the Secretary of State will meet us on this point. The Secretary of State can do a lot after this law has entered into force. She can do a lot of things, but the question is whether she's gonna do something, or she's gonna intervene. Rules may be laid down concerning complaint procedures, payment services, tickets, payment services. We would like to be more precise when intervention will take place and when it is justified. How will the Secretary of State deal with the prudential aspects, a good word for the desire to intervene or not? This is because it affects the functioning of this bill and its effectiveness.
ParlaMint-NL_2015-05-27-tweedekamer-3.u11	Mr. Chairman. We are talking about a change to the Passenger Transport Act. In general, this should be about choices that travellers can make about how they wish to be transported. That is actually an optimal system for a market. In this respect, I would say that previous choices in this area have been good. They were aimed at the market and the choice of the traveller. Of course there will be children's diseases, as Mr Bashir says. If you introduce a new system, things can't go well at first. Sometimes that has to do with ourselves. Sometimes we have just set too few basic conditions. I am thinking, for example, of the wood of poles that Mrs Dik-Faber talked about. Maybe we could have foreseen that. We might have been able to do something about that, too. However, it is never too late to look at that, especially when you see that the market is not working properly. As has been said, the market is, for the most part, working pretty well. When I look at the concessions, the quality of public transport and all kinds of things, I see that there is a positive development in public transport and that there are also a lot of product choices. In my opinion, there can never be too many choices, even if the traveller no longer sees the forest in Mr Bashir's eyes because of the trees. However, I think that the market ultimately determines what goes on and what does not if there is a lot of choice. It's about door-to-door transportation. You can indeed make different choices in that. It is then just right that this should be done as user-friendly as possible. As a right-wing liberal, I actually think that the market should regulate itself, but it does not work perfectly as it has just been said. That is a reason for me to say in advance that I support this bill, because I think it is a good thing to add some things to it. I do so in the hope that the rights granted to the Secretary of State in this way will not have to be used and that the parties who have to implement it will be able to arrange it themselves. So I hope this is some kind of stick behind the door that helps to make things better. One of the things that really bothers me is that it is not possible to check in and out of a single check-in. We've talked about this before in an AO. I think this is really very important for ease of use. It would be good to set a deadline for that. Ms Dik-Faber spoke about 1 July 2016. Perhaps that is indeed a deadline that can be set and it should actually be settled. I would like to ask the Secretary of State about these deadlines. Can the Commission state the period within which it intends to take action? How much patience does the Secretary of State have before she feels that the parties themselves are letting it go too long? And once that has happened, does she think that there will be a moment when it is settled, the market itself can do it and it can withdraw from it? If she is planning to intervene, how will the House of Representatives be involved? Mr Hoogland also spoke about this. How does that work? Is there gonna be a front? How is she going to inform us about the steps she intends to take? Are the rights we give her in this system sufficiently forward-looking? Is this enough to facilitate the introduction of future payment systems? If we do that, will we not create the risk that old payment systems may have to be maintained which are used too limited and will therefore become too expensive? I imagine there's a risk if you have multiple systems. The Secretary of State writes in the explanatory statement that she is capable of giving herself the right or that we give her that right to ensure that there remains a national payment system. That is fine in itself, but can that also lead to a system that is simply too expensive? I assume that this cannot happen and that other systems will be beneficial enough, but my question to the Secretary of State is: is that a risk or do I see it too gloomy? In short, I think this is a good addition to the Passenger Transport Act. If it is right, it works in favour of the traveller and creates more clarity. I would say that the Chamber should be pleased with that.
