ParlaMint-NL_2015-10-06-tweedekamer-27.u1	Of course, I still welcome the Secretary of State for Economic Affairs.
ParlaMint-NL_2015-10-06-tweedekamer-27.u2	Mr. Chairman. We have had a very wide-ranging discussion on the Oostvaardersplassen and we have explored with each other what explorations are possible to see how we can achieve better management of the Oostvaardersplassen. The Secretary of State has indicated that he needs a ruling from the Chamber. That's why I'm filing two motions. If one of the two motions is adopted, I am already very satisfied. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that substantial resources are being made available for the Oostvaardersplassen nature reserve, to which taxpayers have no access;]] [[Whereas nature is not only there to be protected, but it should also be polite and exploited;]] [[Whereas experience of nature is not possible because of the failing policy for the Oostvaardersplassen;]] [[calls on the government to make full use of the economic potential of the Oostvaardersplassen to experience and exploit the nature reserve, to make the nature reserve more accessible to nature lovers and to allow appropriate and adapted management in coordination with the province,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Rudmer Heerema. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32563-57]]
ParlaMint-NL_2015-10-06-tweedekamer-27.u3	The motion I am about to read, I would prefer it accepted. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the province of Flevoland is responsible for the nature management of the Oostvaardersplassen, but not for the animal welfare of the large grassers in that area;]] [[Whereas, in order to improve the management of the Oostvaardersplassen, it is important that the province of Flevoland should also be responsible for animal welfare in the area in question;]] [[calls on the Government, the management and responsibility for animal welfare in the Oostvaardersplassen to transfer to the province of Flevoland and, if necessary, to ensure legal certainty,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Rudmer Heerema and Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32563-58]]
ParlaMint-NL_2015-10-06-tweedekamer-27.u4	I wonder what order should be followed in the vote tomorrow. If the motion by the VVD Group on decentralisation is adopted, the first motion is not at all on the agenda. Mr Heerema wants to decentralise, but also lay down all kinds of conditions. If the second motion is adopted, will Mr Heerema withdraw his first motion? Can we vote in that order?
ParlaMint-NL_2015-10-06-tweedekamer-27.u5	Before I give the floor to Mr Heerema, I would like to say the following. In this house it is customary that the most far-reaching motion is always put to the vote first. The Griffin is watching that very closely.
ParlaMint-NL_2015-10-06-tweedekamer-27.u6	The sequence of these motions has been randomly chosen. The petitioners are waiting quietly for the answer of the Secretary of State and what is her opinion on the two motions. Depending on that opinion, it is conceivable that there will be a reaction on my part to tabling the motions.
ParlaMint-NL_2015-10-06-tweedekamer-27.u7	Does Mr Herma not agree with me that these two things are contradictory? You want to decentralize the policy, or you want to influence the square millimeters, but you can't do both at the same time.
ParlaMint-NL_2015-10-06-tweedekamer-27.u8	I strongly dispute that one of my motions states that it is necessary to agree precisely on the millimeter what is happening. I totally disagree with Mr Grashoff. That is where we are not on the same side.
ParlaMint-NL_2015-10-06-tweedekamer-27.u9	Mr. Chairman. The Netherlands is a small country in which we as people manage nature. In particular, large animals such as horses, cattle and red deer have a large impact on population size. I think we can make the Oostvaardersplassen even more beautiful with a form of active population management. In the debate, the Secretary of State said that the population is stabilizing. Now winter's coming. I ask the Secretary of State if she can guarantee that the population will remain stable during a severe winter. Letting these hungry animals rot in an open plain does not fit in the Netherlands. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the experiment of non-managing in the Oostvaardersplassen results in unnecessary suffering of animals;]] [[Whereas good management is necessary for the diversity of biodiversity in the Oostvaardersplassen;]] [[calls on the Government to proceed with management of the populations of konikhorses, heckhounds and red deer according to the capacity of the area,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32563-59]]
ParlaMint-NL_2015-10-06-tweedekamer-27.u10	Mr. Chairman. In this VAO too, in this brief debate, I would like to thank the Secretary of State for Animal Welfare. Of the five rulers I have experienced over the last nine years, she has done the most for animal welfare, and I know it. Thank you for that. In recent years, I have always asked for the duty of care for the Oostvaardersplassen to be respected. In fact, that led me to press charges against the Secretary of State. It is ultimately responsible for the management of the Oostvaardersplassen. As a second best, I asked for adequate protection. This Graus motion has been adopted. There were ramparts made, but the stalls never came. So I'm asking you to provide adequate shelter. That is being worked on, so I will not table another motion on it, especially now that my motion has been adopted. Then I come to the refreshment during persistent frost and cold. The animals can't migrate. They can't migrate climatologically either. Some parties say that you have to raise areas, but that is pointless, because animals cannot migrate climateologically within the Netherlands. So that's all bullshit. Then it is no longer possible to direct veterinaryly. So these are bullshit proposals. Finally, I would like to ask a question for which I am asking for a commitment from the Secretary of State. Why not turn off the tap before mopping? Go do something about birth control, because that doesn't mean a waste. I commissioned the Professor of Fertility Bertschinger, a South African who has been promoted in the Netherlands in the field of hormone darts and the prick pill. During the AO, the Secretary of State promised to involve this Mr Bertschinger and to look at the possibilities of using the hormone dart and needle pill for the desired birth control. Then the crane is closed and can only be mopped. It's very disrespectful to talk about animals like that, but it is.
ParlaMint-NL_2015-10-06-tweedekamer-27.u11	Mr. Chairman. An international advisory committee has examined the Oostvaardersplassen twice and made recommendations. Some recommendations are being implemented, others remain in place and the Secretary of State now picks up, except for the linking of this area with the Veluwe, which the Animal Party is and remains a strong supporter of. A motion for now. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that no hunting takes place in the Oostvaardersplassen, but that a reactive management is based on recommendations from international committees, leaving the great grazers as far as possible alone while avoiding unnecessary suffering through a gunshot;]] [[noting that the recommendation of these international committees to increase the habitat of animals through the opening up of surrounding forests is now being partially implemented;]] [[noting that there may be a different management in these forests than the reactive management in the Oostvaardersplassen itself;]] [[points out that it is undesirable to carry out other forms of management, such as hunting and the expulsion of animals, when opening up surrounding forests to the large graziers in the Oostvaardersplassen than in the Oostvaardersplassen itself,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32563-60]]
ParlaMint-NL_2015-10-06-tweedekamer-27.u12	I was also pleased to hear in general consultation that the Secretary of State agrees with the Animal Party that the expulsion of animals in fenced areas is not a good idea. You have to expand the areas and connect them together, then the animals come when you're lucky. There is a plan in Brabant which I hope the Secretary of State will oppose. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Secretary of State for Economic Affairs has stated that he is not in favour of the expulsion of animals into fenced nature reserves;]] [[noting that in North Brabant there is a plan to evict red deer in a fenced nature reserve with deer as a management form;]] [[calls on the government to oppose the expulsion of deer from nature reserve De Scheeken,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32563-61]]
ParlaMint-NL_2015-10-06-tweedekamer-27.u13	Finally, the Group of the Party of Animals would like to express its deep sorrows, and I have already done so in Amsterdam about how things are going in the Amsterdam Water Line Dunes, where animals are just being shot off.
ParlaMint-NL_2015-10-06-tweedekamer-27.u14	Mr. Chairman. My request to the Secretary of State would be to maintain full management in accordance with the various opinions of the international advisory committees for the Oostvaardersplassen. I do not need to make a motion for that, because I think the Secretary of State had already promised it. Finally, I would like to add that the motions tabled by Mr Heerema of the VVD indicate where the problem lies. On the one hand, you cannot say that you want to decentralise and on the other hand you want to put forward all kinds of provisions, for example on opening up, making them accessible and using them economically. These things are simply contradictory.
